x,y,z
5.56,3.31,23.57
8.559999,3.31,23.57
8.5598,3.31,23.57
8.5598,3.31,23.57
8.544813,3.303333,23.86948
8.499677,3.296667,24.1659
8.425181,3.29,24.4563
8.322078,3.283333,24.73779
8.191402,3.276667,25.00754
8.034466,3.27,25.26287
7.852844,3.263333,25.50124
7.648355,3.256667,25.72025
7.423048,3.25,25.91773
7.179178,3.243333,26.09172
6.919186,3.236667,26.24047
6.645672,3.23,26.36251
6.361373,3.223333,26.45663
6.06913,3.216667,26.52188
5.771867,3.21,26.55763
5.472553,3.203333,26.56352
5.174179,3.196667,26.53951
4.879726,3.19,26.48583
4.592135,3.183333,26.40303
4.314278,3.176666,26.29195
4.048928,3.17,26.1537
3.798733,3.163333,25.98967
3.56619,3.156667,25.8015
3.353619,3.15,25.59108
3.163138,3.143333,25.36051
2.996645,3.136667,25.1121
2.855799,3.13,24.84835
2.742001,3.123333,24.57188
2.656381,3.116667,24.28547
2.59979,3.11,23.99197
2.572785,3.103333,23.69432
2.57563,3.096667,23.39549
2.608291,3.09,23.09848
2.670433,3.083333,22.80624
2.76143,3.076667,22.52169
2.880366,3.07,22.24769
3.026046,3.063333,21.98696
3.19701,3.056667,21.74209
3.391543,3.05,21.51555
3.607697,3.043333,21.30958
3.843308,3.036667,21.12624
4.096016,3.03,20.96736
4.363294,3.023333,20.83451
4.642468,3.016667,20.72902
4.930748,3.01,20.65194
5.225248,3.003333,20.60403
5.523027,2.996667,20.58576
5.821109,2.99,20.59731
6.116518,2.983333,20.63856
6.406297,2.976667,20.70908
6.68756,2.97,20.80817
6.957493,2.963333,20.93483
7.213404,2.956666,21.08779
7.45274,2.95,21.26551
7.673112,2.943333,21.46622
7.872325,2.936666,21.6879
8.048391,2.93,21.92833
8.199558,2.923333,22.18511
8.324321,2.916667,22.45567
8.421436,2.91,22.7373
8.489944,2.903333,23.02719
8.529165,2.896667,23.32244
8.538713,2.89,23.62009
8.5185,2.883333,23.91718
8.468735,2.876667,24.21073
8.38992,2.87,24.49781
8.282852,2.863333,24.77556
8.148602,2.856667,25.04121
7.988523,2.85,25.2921
7.804216,2.843333,25.52572
7.597531,2.836667,25.73975
7.370535,2.83,25.93206
7.125502,2.823333,26.10073
6.864883,2.816667,26.24408
6.591284,2.81,26.36068
6.307447,2.803333,26.44937
6.016203,2.796667,26.50928
5.72047,2.79,26.5398
5.423197,2.783333,26.54065
5.12736,2.776667,26.51183
4.835909,2.77,26.45361
4.551757,2.763333,26.3666
4.277743,2.756667,26.25168
4.016603,2.75,26.10998
3.77094,2.743333,25.94295
3.543204,2.736667,25.75224
3.335668,2.73,25.53977
3.150403,2.723333,25.30767
2.989251,2.716666,25.05827
2.853818,2.71,24.79404
2.745454,2.703333,24.51766
2.665232,2.696666,24.23186
2.613948,2.69,23.93952
2.592109,2.683333,23.64355
2.599925,2.676666,23.34692
2.637313,2.67,23.05257
2.703892,2.663333,22.76347
2.79899,2.656667,22.48248
2.92165,2.65,22.21243
3.070641,2.643333,21.956
3.244469,2.636667,21.71575
3.441393,2.63,21.49407
3.659436,2.623333,21.2932
3.89642,2.616667,21.1151
4.149971,2.61,20.96158
4.41755,2.603333,20.83415
4.696484,2.596667,20.73408
4.98398,2.59,20.66237
5.277169,2.583333,20.61972
5.573115,2.576667,20.60656
5.868866,2.57,20.623
6.161466,2.563333,20.66889
6.447989,2.556667,20.74375
6.725575,2.55,20.84682
6.991453,2.543333,20.97708
7.242973,2.536667,21.13322
7.477623,2.53,21.31366
7.693061,2.523333,21.51661
7.887138,2.516666,21.74002
8.057922,2.51,21.98167
8.203715,2.503333,22.23914
8.323061,2.496666,22.50983
8.414776,2.49,22.79106
8.477949,2.483333,23.08001
8.511956,2.476666,23.37379
8.516463,2.47,23.66946
8.491433,2.463333,23.96408
8.437122,2.456666,24.25469
8.354079,2.45,24.53839
8.243141,2.443333,24.81235
8.105421,2.436666,25.07384
7.942302,2.43,25.32025
7.75542,2.423333,25.54912
7.546647,2.416667,25.75816
7.318072,2.41,25.94529
7.071981,2.403333,26.10866
6.810845,2.396667,26.24662
6.537269,2.39,26.35781
6.253991,2.383333,26.44112
5.963846,2.376667,26.49573
5.669733,2.37,26.5211
5.374586,2.363333,26.51698
5.081358,2.356667,26.48341
4.792982,2.35,26.42075
4.512333,2.343333,26.32963
4.242212,2.336667,26.21095
3.985317,2.33,26.06591
3.744215,2.323333,25.89598
3.521308,2.316667,25.70284
3.318813,2.31,25.48843
3.13876,2.303333,25.25492
2.982938,2.296667,25.00462
2.852895,2.29,24.74004
2.749928,2.283333,24.46383
2.675058,2.276667,24.17876
2.629028,2.27,23.88767
2.61229,2.263333,23.59347
2.625005,2.256667,23.2991
2.667039,2.25,23.00751
2.737965,2.243333,22.72161
2.83707,2.236667,22.44424
2.963357,2.23,22.17818
3.115554,2.223333,21.92609
3.292144,2.216666,21.69047
3.491348,2.21,21.47369
3.711175,2.203333,21.2779
3.949418,2.196666,21.10506
4.203702,2.19,20.95688
4.471479,2.183333,20.83484
4.750065,2.176666,20.74015
5.036685,2.17,20.67376
5.328468,2.163333,20.63632
5.622498,2.156667,20.62819
5.915837,2.15,20.64946
6.205549,2.143333,20.6999
