u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
38.0,66.0,60.5,65.5,82.5,66.0,60.0,88.0,60.5,43.5
38.0,66.0,60.5,65.5,82.5,66.0,60.0,88.0,60.5,43.5
38.0,66.0,60.5,65.5,82.5,66.0,60.0,88.0,60.5,43.5
38.0,66.0,60.5,65.5,82.5,66.0,60.0,88.0,60.5,43.5
38.0,66.0,60.5,65.5,82.5,66.0,60.5,87.5,60.5,43.5
38.0,66.0,60.5,65.5,83.0,66.0,60.5,87.5,60.5,43.5
38.0,66.0,60.5,65.5,83.0,65.0,60.5,87.5,60.5,43.5
38.5,65.5,60.5,65.5,83.0,65.0,60.5,87.5,60.5,43.5
38.5,65.5,60.5,65.5,83.0,65.0,61.0,87.5,60.5,43.5
38.5,65.5,60.5,65.5,83.0,65.0,61.0,88.0,60.5,43.5
39.0,66.0,61.5,65.5,83.0,66.0,61.0,88.0,61.5,43.5
39.0,65.5,62.0,65.5,84.0,65.5,61.0,88.0,61.5,43.5
39.0,65.5,62.0,65.5,84.0,66.0,62.0,87.5,61.5,43.5
40.0,65.0,62.0,65.5,84.0,66.0,62.5,87.0,62.0,43.0
40.0,65.0,62.5,65.5,84.0,65.5,62.5,87.5,63.0,43.0
41.0,66.0,62.5,65.5,84.5,65.5,62.5,87.5,63.0,43.0
41.0,66.0,62.5,65.5,84.5,65.5,62.5,87.5,63.0,43.0
41.0,65.5,62.5,65.5,84.5,65.5,62.5,87.5,63.0,43.0
41.0,65.5,62.5,65.5,85.0,65.0,62.5,87.5,63.0,43.0
41.0,65.5,62.5,65.5,85.0,65.0,63.0,87.5,62.5,43.5
42.0,65.5,63.5,65.5,85.5,65.5,63.0,87.0,63.0,43.0
42.5,65.5,63.5,65.5,86.0,65.0,64.0,87.0,64.0,43.0
42.5,65.5,63.5,65.5,87.0,65.5,64.0,87.0,64.0,43.5
42.5,65.5,63.5,65.5,87.0,65.0,65.0,87.0,64.0,43.5
43.0,65.5,64.0,65.0,88.5,65.0,65.0,87.0,65.0,43.0
43.5,65.0,64.0,66.0,89.0,65.0,66.0,87.0,66.0,43.0
44.0,66.0,64.0,66.0,89.0,65.0,66.0,87.0,66.5,42.5
44.5,65.5,66.0,65.0,89.0,64.5,66.5,87.0,67.0,43.0
45.0,65.0,66.0,65.0,89.0,65.0,67.0,87.0,67.0,42.5
45.5,65.0,66.0,65.0,89.0,65.0,67.0,87.0,67.0,43.0
46.0,64.5,67.0,65.0,89.0,65.0,67.0,87.0,67.5,42.5
46.0,65.0,67.0,65.0,90.0,65.0,68.0,87.0,68.0,42.0
46.0,65.0,68.0,65.0,90.0,65.0,68.0,87.0,68.0,42.0
46.0,64.0,68.5,64.5,90.5,64.0,68.0,86.5,68.0,42.0
46.0,64.0,68.5,64.5,90.5,64.0,68.0,87.0,68.0,42.0
46.0,64.0,68.0,64.0,91.0,64.0,68.0,86.5,69.0,42.0
46.0,64.0,68.0,64.5,92.0,64.0,68.5,86.5,68.0,43.0
47.0,64.0,68.0,64.5,92.0,64.0,68.5,86.5,68.0,43.0
47.0,64.0,68.0,64.5,92.0,64.0,70.0,86.0,68.0,43.0
46.5,64.0,68.0,65.0,92.0,63.5,70.0,86.0,70.0,44.0
46.5,64.0,68.5,63.5,92.0,63.5,70.0,86.0,70.0,44.0
46.0,64.0,70.5,64.0,92.0,63.5,70.0,86.0,70.0,44.0
48.0,64.0,71.0,64.0,92.5,64.0,70.5,86.5,70.5,42.0
48.5,63.5,71.0,64.0,92.5,64.0,70.5,86.5,70.5,42.0
48.5,63.5,71.0,64.0,92.5,64.0,70.5,86.5,70.5,42.0
49.0,64.0,71.0,64.0,92.5,64.0,70.0,87.0,70.5,42.0
49.0,64.0,71.0,64.0,92.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.0,63.5,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.5,64.0,70.5,86.5,71.0,42.0
49.0,64.0,71.0,64.0,93.0,64.0,70.5,86.5,70.5,42.5
48.5,64.0,71.0,64.0,93.5,64.0,70.5,86.5,70.0,43.0
48.0,64.0,71.0,64.0,93.0,63.5,70.5,86.5,70.0,43.0
48.0,64.0,71.0,64.0,93.0,64.0,70.5,86.5,45.5,77.5
48.0,64.0,71.0,64.0,92.5,64.0,70.0,86.0,68.0,42.0
47.0,64.0,70.0,64.0,92.5,64.0,70.0,86.0,68.0,42.0
47.0,64.0,70.0,64.0,92.5,64.0,70.0,86.0,68.0,42.0
47.0,64.0,69.5,63.5,92.0,64.0,69.0,86.0,69.5,41.5
47.0,64.0,69.0,63.0,92.0,64.0,69.0,86.0,69.0,42.0
47.0,63.5,69.0,63.0,92.0,64.0,68.0,86.0,69.5,41.5
46.0,64.0,68.5,63.5,91.5,63.5,68.0,86.0,68.0,42.0
46.0,64.0,68.5,63.5,91.0,63.0,68.0,86.0,68.0,44.0
46.0,64.0,68.0,63.5,90.5,63.5,68.0,86.0,44.5,77.0
46.0,64.0,67.5,63.5,90.0,63.5,68.0,86.0,68.0,41.0
46.0,64.0,67.5,63.5,90.0,63.5,67.0,86.0,67.5,41.5
45.5,64.0,67.0,63.5,90.0,64.0,67.0,86.0,67.0,41.5
44.0,64.0,66.5,63.5,89.0,64.0,67.0,86.0,66.0,42.0
43.5,63.5,66.0,63.0,89.0,64.0,66.0,86.0,66.0,42.0
43.5,63.5,66.0,63.5,88.5,64.0,65.0,86.0,66.0,42.0
