u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
54.5,65.5,76.0,66.0,100.0,66.0,77.5,87.5,77.5,43.5
54.5,65.5,76.0,66.0,100.0,66.0,77.5,87.5,77.5,43.5
54.5,65.5,76.0,66.0,100.0,65.5,77.5,87.5,77.5,43.5
54.5,65.5,76.0,66.0,99.0,66.0,77.0,87.0,76.5,43.5
54.5,65.5,76.0,66.0,99.0,66.0,77.0,87.0,76.0,43.0
54.0,65.5,75.5,65.5,99.5,65.5,75.0,87.0,76.0,43.0
53.5,65.5,75.5,65.5,98.0,66.0,75.0,87.0,76.0,43.5
53.5,65.5,75.0,66.0,98.0,66.0,75.0,87.0,75.0,43.0
52.5,65.5,74.5,65.5,98.0,65.0,74.0,87.0,74.5,42.5
51.0,66.0,74.0,65.5,97.0,65.0,73.0,87.0,73.5,43.0
50.5,65.5,74.0,65.5,96.0,65.0,73.0,87.5,73.0,43.0
50.5,65.5,73.0,65.0,95.0,65.0,72.5,87.5,72.5,43.0
49.0,66.0,72.0,65.0,94.5,65.5,71.0,87.0,71.0,42.5
48.5,65.5,70.5,65.5,92.5,65.5,70.5,86.5,70.0,43.0
48.0,65.0,69.5,65.5,92.5,65.5,69.5,87.5,70.0,43.0
46.5,65.5,68.5,65.5,91.5,65.5,68.0,87.0,68.5,43.0
46.0,65.0,68.0,65.5,90.5,65.5,68.0,87.0,68.0,43.5
45.0,65.0,67.0,65.5,90.0,65.0,67.0,87.5,67.0,43.0
44.0,65.5,66.5,65.5,89.0,66.0,66.5,87.5,66.5,43.5
42.5,66.0,65.0,65.5,88.5,66.0,64.5,87.5,65.0,44.0
42.0,66.0,64.0,66.5,86.5,66.0,64.0,88.0,64.0,44.0
41.0,67.0,63.0,66.0,85.0,66.5,63.0,88.5,63.0,45.0
41.0,67.0,62.5,66.5,84.5,66.5,63.0,89.0,62.5,44.5
40.0,67.5,62.0,67.0,84.0,67.0,62.0,89.0,62.0,45.0
39.5,67.5,61.5,67.5,83.5,67.5,61.5,89.5,61.5,45.5
38.0,68.0,60.5,67.5,82.5,68.0,60.0,90.0,60.0,46.0
37.5,68.5,60.0,68.5,82.0,69.0,59.5,90.5,59.5,46.5
36.5,69.5,59.0,69.0,80.5,69.5,58.5,91.5,58.5,47.5
36.0,69.0,58.5,69.5,80.5,69.5,58.5,91.5,58.5,47.5
35.5,70.0,58.0,70.0,80.0,70.0,57.0,92.0,57.5,48.0
34.5,70.5,57.0,70.0,78.5,70.5,56.5,92.5,56.5,48.5
34.0,71.0,56.0,71.0,78.0,71.0,56.0,92.5,56.0,49.0
33.5,71.5,56.0,71.5,78.0,71.5,56.0,93.5,56.0,49.5
33.0,72.0,55.5,71.5,77.0,72.0,55.0,93.5,55.5,50.0
32.5,72.0,55.0,71.5,76.5,72.0,55.0,94.0,55.0,50.0
32.5,73.0,54.5,72.5,76.5,72.0,54.0,95.0,54.5,50.5
32.0,73.0,54.5,73.0,76.0,73.0,54.0,95.0,54.5,51.5
32.0,74.0,54.0,73.0,76.0,73.0,54.0,96.0,54.0,52.0
31.5,74.0,54.0,73.5,75.5,74.0,53.5,96.0,53.5,52.0
31.5,74.0,53.5,74.0,75.5,74.0,53.0,96.0,54.0,52.5
31.0,75.0,54.0,74.0,75.0,74.0,53.0,97.0,53.5,53.0
31.0,75.5,53.5,75.0,75.0,75.0,53.0,97.5,53.5,53.0
31.0,76.0,53.0,75.5,75.0,75.5,53.0,98.0,53.5,53.5
31.0,76.0,53.0,76.0,75.0,75.5,53.0,98.0,53.5,54.0
31.0,76.0,53.5,76.0,75.0,76.0,53.0,98.5,53.5,54.0
31.0,76.5,53.5,76.0,75.0,76.0,53.0,98.5,21.0,112.0
31.5,77.0,53.5,76.0,75.0,76.5,53.0,98.5,21.0,112.0
31.5,77.0,54.0,76.5,75.0,77.0,53.0,99.0,20.5,112.0
31.5,77.5,54.0,77.0,75.5,77.0,53.5,99.5,54.0,56.0
32.0,77.5,54.5,77.0,76.0,77.0,53.5,99.5,54.0,56.0
32.0,77.0,54.0,77.0,76.0,77.5,54.0,99.5,54.0,56.0
32.5,77.5,54.5,77.0,76.0,77.0,54.5,99.5,54.5,55.5
32.5,77.5,55.0,77.5,76.5,77.5,54.5,99.5,55.0,55.5
33.0,77.5,55.0,77.5,77.0,77.0,55.0,100.0,55.0,56.0
33.5,77.5,56.0,77.0,77.0,77.0,55.0,100.0,55.5,55.5
34.0,77.5,56.0,77.0,78.0,77.0,56.0,100.0,56.0,55.5
34.5,77.5,56.5,77.0,78.5,77.0,56.0,99.5,56.5,55.5
34.5,77.5,57.0,77.0,78.5,77.0,56.5,99.5,57.0,55.0
35.0,77.5,57.5,77.0,79.0,77.0,57.0,99.5,57.0,55.0
35.5,77.0,58.0,76.5,79.0,76.5,57.5,99.0,57.5,55.0
36.0,77.0,58.0,76.0,80.0,76.5,58.0,98.5,21.0,112.0
36.5,76.5,59.0,76.0,80.5,76.0,58.5,98.5,58.0,55.0
36.5,76.0,59.0,75.5,81.0,76.0,59.0,98.0,20.5,112.0
37.5,75.5,59.5,75.5,81.0,76.0,59.0,98.0,59.0,54.0
38.0,75.0,60.0,75.0,81.5,75.0,60.0,97.0,40.5,83.0
38.5,75.0,60.5,75.0,82.0,75.0,60.0,97.0,21.0,112.0
39.0,74.5,61.0,74.0,83.0,74.0,60.5,96.5,21.0,112.0
39.0,74.0,61.5,73.5,83.0,73.5,61.5,96.0,21.0,112.0
39.5,73.5,62.0,73.0,84.0,73.5,61.5,95.5,61.0,52.0
40.0,73.0,63.0,73.0,84.5,73.5,62.0,95.0,62.0,52.0
41.0,72.0,63.0,72.0,85.0,72.0,63.0,95.0,62.0,51.0
41.0,71.5,62.5,71.5,85.0,72.0,63.0,94.0,62.0,50.0
41.0,71.0,63.0,71.0,85.0,71.0,62.0,93.0,62.5,49.5
41.5,70.5,63.0,71.0,85.0,71.0,63.0,93.0,63.0,49.0
42.0,70.0,64.0,69.0,86.0,69.0,63.0,92.0,64.0,47.5
42.0,69.0,64.0,69.0,86.0,69.0,64.0,91.0,64.5,47.5
42.0,69.0,64.0,68.5,86.5,69.0,64.5,91.0,64.0,47.0
42.0,68.0,64.0,68.0,87.0,68.0,64.5,90.0,64.0,46.0
43.0,68.0,65.0,67.5,87.5,67.5,65.0,90.0,65.0,45.5
42.5,67.0,64.5,67.0,88.5,67.0,64.0,89.0,65.0,45.0
42.5,66.5,65.0,66.0,88.5,66.5,65.0,88.0,65.0,44.0
43.5,65.5,65.5,65.5,88.5,66.0,65.0,88.0,65.5,43.5
43.0,65.0,66.0,65.0,89.0,65.0,65.5,87.5,66.0,43.0
43.5,64.5,66.0,65.0,88.5,64.5,66.0,87.0,66.0,42.0
44.0,64.0,67.0,64.0,89.0,64.0,66.0,86.5,66.0,42.0
44.0,64.0,66.0,63.0,89.0,64.0,66.0,85.0,66.0,41.0
44.0,63.0,66.5,63.0,88.5,62.5,66.0,85.0,67.0,41.0
44.0,62.0,66.5,62.5,88.5,62.5,66.5,84.5,66.5,40.5
43.5,62.0,66.5,62.0,88.5,62.5,66.5,84.0,66.0,40.0
43.5,62.0,66.0,62.0,89.0,62.0,66.0,84.0,66.0,39.0
43.5,61.5,66.0,61.0,89.0,61.0,66.0,83.0,66.0,39.0
43.0,61.0,66.0,61.0,88.5,60.5,66.0,83.0,66.0,39.0
43.0,61.0,66.0,61.0,88.5,60.5,66.0,83.0,66.0,39.0
43.0,61.0,66.5,61.0,88.5,60.5,66.0,83.0,66.0,39.0
43.0,61.0,66.5,61.0,88.5,60.5,66.0,82.5,65.5,38.5
43.0,61.0,66.5,61.0,88.5,60.5,66.0,83.0,65.5,38.5
43.0,61.0,66.5,61.0,88.5,60.5,66.0,83.0,65.0,38.0
43.0,61.0,66.0,61.0,88.5,60.5,66.0,83.0,65.0,38.0
43.0,60.5,66.0,61.0,88.0,60.0,65.0,82.0,65.0,38.0
43.0,60.5,66.0,61.0,88.0,60.5,65.0,82.5,65.0,38.0
43.0,61.0,65.0,61.0,88.0,61.0,65.0,83.0,65.0,39.0
43.0,61.0,65.0,61.0,88.0,61.0,65.0,83.0,65.0,39.0
43.0,61.0,65.5,61.5,88.0,61.0,65.5,83.5,65.0,39.0
43.0,61.5,65.5,61.5,87.5,61.5,65.5,83.5,65.0,39.0
43.0,62.0,65.0,62.0,88.0,62.0,65.0,84.0,65.0,40.0
42.5,62.0,65.0,62.0,88.0,62.0,65.0,84.0,65.0,40.0
42.5,62.5,65.0,63.0,88.0,63.0,64.5,84.5,65.0,41.0
42.5,63.0,65.0,63.0,88.0,63.0,65.0,85.0,64.5,42.0
42.5,64.0,65.0,63.0,87.5,63.5,64.5,86.0,65.0,42.0
42.5,64.0,65.0,64.0,88.0,64.0,64.5,86.0,65.0,42.0
43.0,65.0,65.0,65.0,88.0,65.0,65.0,87.0,65.0,43.0
43.0,65.0,65.0,65.5,88.0,65.0,65.5,87.5,64.0,44.0
42.5,66.0,65.5,65.5,88.0,66.0,65.5,87.5,64.5,44.0
43.0,66.0,65.0,66.0,89.0,66.0,66.0,88.0,64.5,44.5
44.0,67.0,66.0,67.0,89.0,67.0,66.0,89.0,65.5,45.0
43.5,67.5,66.0,67.5,88.5,67.5,66.0,90.0,65.0,46.0
44.0,68.0,66.5,67.5,89.0,68.0,66.0,90.0,66.0,46.5
44.5,68.5,67.0,68.0,89.0,68.0,67.0,90.5,66.0,47.0
44.5,69.5,67.0,69.0,89.0,69.0,67.0,91.0,66.0,48.0
45.0,69.5,67.0,69.0,89.0,69.5,67.0,91.5,66.5,48.0
46.0,70.0,67.5,69.5,90.0,70.0,67.5,92.0,67.0,48.0
46.0,71.0,68.0,71.0,90.0,70.5,68.0,93.0,67.5,49.0
46.5,71.5,68.0,71.0,90.0,71.5,68.0,93.0,68.0,50.0
46.5,71.5,68.5,71.5,90.5,71.5,68.5,93.5,68.0,50.0
46.5,71.5,68.5,71.5,90.5,71.5,68.5,93.5,68.0,50.0
47.0,72.0,68.5,71.5,91.0,72.0,69.0,94.0,68.5,50.0
48.0,72.5,70.0,72.0,91.5,72.5,69.5,94.5,69.0,51.0
48.0,73.0,70.0,72.5,92.0,73.0,70.0,95.0,70.0,51.5
48.5,73.5,70.5,73.5,92.5,73.5,70.5,95.5,70.0,52.0
48.5,73.5,70.5,73.5,92.5,73.5,70.5,95.5,70.0,52.0
