x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.249901,3.359991,23.66993
7.359212,3.409926,23.76941
7.467344,3.45975,23.868
7.573717,3.509408,23.96528
7.677758,3.558844,24.06079
7.778909,3.608004,24.15413
7.876626,3.656833,24.24487
7.970382,3.705276,24.33261
8.059675,3.75328,24.41696
8.144025,3.800792,24.49755
8.222977,3.847759,24.57402
8.296108,3.894127,24.64603
8.363025,3.939847,24.71326
8.423368,3.984868,24.77541
8.476811,4.029138,24.83221
8.523068,4.07261,24.88339
8.561893,4.115234,24.92874
8.593073,4.156964,24.96806
8.616442,4.197752,25.00116
8.631875,4.237555,25.02791
8.639289,4.276327,25.04817
8.638643,4.314025,25.06187
8.629942,4.350607,25.06895
8.613232,4.386034,25.06936
8.588602,4.420265,25.06311
8.556186,4.453263,25.05023
8.516157,4.48499,25.03077
8.468731,4.515412,25.00482
8.414162,4.544495,24.9725
8.352744,4.572206,24.93395
8.284808,4.598516,24.88933
8.210717,4.623393,24.83886
8.130872,4.646811,24.78274
8.045699,4.668744,24.72124
7.955658,4.689167,24.65463
7.861234,4.708058,24.58319
7.762932,4.725397,24.50726
7.661281,4.741162,24.42716
7.556828,4.755337,24.34325
7.450136,4.767907,24.25591
7.341775,4.778857,24.16552
7.23233,4.788175,24.07248
7.122389,4.79585,23.97721
7.012543,4.801875,23.88013
6.903381,4.806242,23.78168
6.795491,4.808948,23.68228
6.689454,4.809987,23.58239
6.585838,4.809361,23.48244
6.485201,4.807068,23.38288
6.388084,4.803112,23.28415
6.295009,4.797497,23.18669
6.206475,4.79023,23.09093
6.12296,4.781318,22.9973
6.044912,4.770772,22.90622
5.972751,4.758602,22.81808
5.906863,4.744823,22.73329
5.847604,4.72945,22.65221
5.795293,4.7125,22.57521
5.750209,4.693992,22.50263
5.712597,4.673946,22.4348
5.682657,4.652385,22.372
5.660551,4.629332,22.31453
5.646397,4.604814,22.26264
5.640272,4.578857,22.21655
5.642209,4.55149,22.17648
5.652197,4.522745,22.1426
5.670182,4.492651,22.11506
5.696068,4.461244,22.09398
5.729716,4.428557,22.07946
5.770945,4.394629,22.07157
5.819532,4.359495,22.07033
5.875218,4.323195,22.07575
5.937703,4.285769,22.08782
6.00665,4.247259,22.10646
6.08169,4.207708,22.13161
6.162418,4.16716,22.16315
6.248401,4.125659,22.20094
6.339177,4.083252,22.24482
6.434257,4.039986,22.29458
6.533131,3.995909,22.35001
6.635267,3.95107,22.41085
6.740118,3.905518,22.47685
6.847116,3.859305,22.5477
6.955689,3.812482,22.6231
7.065253,3.7651,22.7027
7.175219,3.717213,22.78616
7.284996,3.668874,22.8731
7.393992,3.620136,22.96313
7.501626,3.571052,23.05586
7.607313,3.52168,23.15088
7.710489,3.472072,23.24775
7.810598,3.422284,23.34606
7.907103,3.372371,23.44537
7.999484,3.322389,23.54522
8.087245,3.272393,23.64519
8.169914,3.222438,23.74482
8.247047,3.172581,23.84368
8.31823,3.122877,23.94132
8.383079,3.073381,24.03731
8.441246,3.024148,24.13123
8.492418,2.975232,24.22265
8.536321,2.926688,24.31117
8.572717,2.87857,24.3964
8.601413,2.830931,24.47796
8.622252,2.783825,24.55548
8.635124,2.737303,24.62863
8.639959,2.691417,24.69707
8.636732,2.646219,24.7605
8.625459,2.601758,24.81865
8.606201,2.558084,24.87124
8.579062,2.515245,24.91806
8.544187,2.47329,24.95889
8.501764,2.432264,24.99355
8.452022,2.392213,25.02188
8.395226,2.353182,25.04376
