u0,v0,u1,v1,u2,v2,u3,v3
81.0,97.0,64.5,96.5,81.0,79.0,64.5,79.5
80.5,99.0,63.0,98.0,79.5,81.5,62.5,81.5
79.0,100.0,62.0,100.0,78.5,83.0,62.0,82.0
78.0,102.0,61.0,101.5,78.0,84.0,61.0,84.0
78.0,103.0,60.5,103.0,77.0,86.0,60.5,85.5
77.0,105.0,59.0,104.0,76.0,87.0,60.0,87.0
76.0,106.0,58.5,106.5,75.0,88.0,59.0,88.0
75.0,107.0,58.0,107.0,74.5,89.0,58.0,89.0
74.0,108.0,57.0,108.0,73.5,89.5,57.5,89.5
73.5,109.0,56.0,108.5,73.0,90.0,57.0,90.0
73.0,108.0,56.0,109.0,72.0,91.0,56.0,90.0
72.0,109.0,55.5,109.0,72.0,90.5,55.0,90.0
72.0,109.0,54.0,108.0,71.0,90.0,55.0,90.0
71.0,109.0,53.5,109.0,71.0,90.0,54.0,90.0
71.0,108.0,53.0,108.0,70.0,90.0,53.5,90.0
70.0,108.0,53.0,107.0,69.5,89.5,53.5,89.5
69.5,107.0,52.0,107.0,70.0,89.0,52.5,89.5
69.5,105.5,52.0,105.5,69.0,87.0,,
69.0,104.0,51.0,104.0,,,52.0,86.0
,,51.5,102.5,68.0,84.0,,
68.5,101.0,51.0,101.0,68.5,83.5,51.5,83.5
68.5,99.5,50.5,99.5,68.0,81.0,51.0,81.5
68.5,97.5,50.5,97.5,68.0,80.0,51.0,80.0
68.0,96.0,50.5,96.0,68.0,79.0,51.0,79.0
68.0,94.0,51.0,94.0,68.0,77.0,51.0,77.0
68.0,92.5,50.5,92.5,67.5,75.5,51.0,75.5
68.0,91.0,51.0,91.0,68.0,74.0,51.0,74.0
68.5,89.5,51.0,89.5,68.5,72.5,51.0,72.0
68.5,88.0,51.0,88.0,68.0,71.0,51.5,71.0
68.5,87.0,51.0,87.0,68.5,69.5,52.0,69.5
69.0,85.0,52.0,85.5,69.0,69.0,52.0,69.0
69.0,85.0,52.5,84.5,69.5,67.5,52.5,68.5
70.0,83.0,52.5,83.5,70.0,67.5,52.5,67.5
70.0,83.0,53.0,83.0,70.0,66.0,53.5,66.5
70.0,83.0,53.0,83.0,71.0,66.0,54.0,66.0
71.0,83.0,54.0,83.0,71.0,66.0,54.0,66.0
72.0,83.0,54.5,82.5,72.0,66.0,56.0,66.0
72.0,83.0,56.0,82.0,72.0,66.0,56.0,66.0
73.0,83.0,56.0,83.0,73.0,67.0,56.0,66.0
74.0,84.0,57.0,84.0,73.5,67.5,56.0,67.0
74.5,84.5,57.0,84.5,74.0,68.0,57.0,68.0
75.0,86.0,58.0,86.0,75.0,69.5,58.0,69.0
76.5,87.5,59.0,87.5,76.0,71.0,59.0,71.0
77.0,89.0,60.0,89.0,77.0,72.0,60.0,72.0
78.0,91.0,61.0,91.0,78.0,74.0,61.0,74.0
79.0,93.0,62.0,92.5,78.5,76.0,62.0,75.5
80.0,95.0,62.5,94.5,79.0,77.5,62.5,77.5
81.0,97.0,64.0,96.0,81.0,79.0,64.0,79.5
82.0,99.0,65.0,98.0,81.0,81.5,64.5,81.0
83.0,101.0,66.0,100.0,82.0,83.5,66.0,83.0
84.0,103.0,67.0,102.0,83.0,85.5,66.5,84.5
85.0,105.0,67.0,104.0,84.0,87.0,67.0,87.0
85.0,107.0,68.0,106.0,85.0,89.0,68.0,88.0
87.0,108.0,69.0,108.0,85.5,90.5,69.0,89.0
88.0,109.0,70.0,109.0,87.0,91.0,69.5,90.5
