x,y,z
7.14,4.87,21.72
5.009474,4.87,21.72
5.009474,4.87,21.72
5.009474,4.87,21.72
5.060879,4.835345,21.70267
5.121644,4.802696,21.68635
5.191598,4.772499,21.67125
5.270519,4.745183,21.65759
5.35813,4.721166,21.64558
5.454106,4.700846,21.63542
5.558071,4.684599,21.6273
5.669602,4.672777,21.62139
5.788236,4.665701,21.61785
5.913463,4.663663,21.61683
6.044737,4.666922,21.61846
6.181478,4.675698,21.62285
6.323071,4.690176,21.63009
6.468874,4.710499,21.64025
6.618221,4.736768,21.65338
6.770425,4.769042,21.66952
6.924783,4.807336,21.68867
7.080579,4.851619,21.71081
7.23709,4.901816,21.73591
7.393589,4.957806,21.7639
7.54935,5.019424,21.79471
7.703652,5.086461,21.82823
7.855785,5.158664,21.86433
8.00505,5.235737,21.90287
8.150767,5.317346,21.94367
8.29228,5.403116,21.98656
8.428955,5.492636,22.03132
8.560191,5.585464,22.07773
8.685418,5.68112,22.12556
8.804103,5.779103,22.17455
8.915752,5.878883,22.22444
9.019914,5.979908,22.27495
9.11618,6.081606,22.3258
9.204192,6.183396,22.3767
9.283638,6.284679,22.42734
9.354256,6.384854,22.47743
9.415837,6.483315,22.52666
9.468225,6.579458,22.57473
9.511312,6.672683,22.62134
9.545053,6.762398,22.6662
9.569445,6.848029,22.70901
9.584545,6.929012,22.74951
9.590461,7.004811,22.78741
9.587348,7.07491,22.82245
9.575416,7.138824,22.85441
9.554915,7.196099,22.88305
9.526147,7.246314,22.90816
9.489454,7.289089,22.92954
9.445219,7.324084,22.94704
9.393863,7.351003,22.9605
9.335838,7.369595,22.9698
9.271632,7.379656,22.97483
9.201758,7.381033,22.97552
9.126753,7.373623,22.97181
9.047173,7.357375,22.96369
8.963591,7.33229,22.95115
8.876594,7.298422,22.93421
8.786774,7.25588,22.91294
8.694728,7.204822,22.88741
8.601056,7.14546,22.85773
8.506349,7.078056,22.82403
8.411192,7.002922,22.78646
8.31616,6.920419,22.74521
8.221811,6.830952,22.70048
8.128682,6.734968,22.65248
8.03729,6.632959,22.60148
7.948123,6.525452,22.54773
7.861642,6.413009,22.4915
7.778275,6.296226,22.43311
7.698418,6.175724,22.37286
7.622426,6.052149,22.31107
7.550616,5.926167,22.24808
7.483267,5.798462,22.18423
7.420612,5.669728,22.11986
7.362844,5.540666,22.05533
7.31011,5.411982,21.99099
7.262513,5.284381,21.92719
7.220109,5.158562,21.86428
7.182913,5.035213,21.80261
7.150894,4.91501,21.7425
7.123976,4.798611,21.68431
7.102044,4.686647,21.62832
7.084939,4.57973,21.57486
7.072464,4.478436,21.52422
7.064387,4.383311,21.47666
7.060438,4.294862,21.43243
7.060316,4.213557,21.39178
7.06369,4.139819,21.35491
7.070204,4.074027,21.32201
7.079475,4.016513,21.29326
7.091103,3.967557,21.26878
7.104671,3.927389,21.24869
7.119745,3.896185,21.23309
7.135887,3.874067,21.22203
7.152649,3.861102,21.21555
7.169583,3.857304,21.21365
7.186241,3.862631,21.21631
7.202181,3.876985,21.22349
7.216971,3.900217,21.23511
7.230191,3.932123,21.25106
7.241436,3.972449,21.27122
7.250322,4.020892,21.29544
7.256488,4.0771,21.32355
7.259597,4.140679,21.35534
7.259342,4.211188,21.39059
7.255447,4.28815,21.42908
7.247671,4.371053,21.47053
7.235806,4.459347,21.51467
7.219686,4.552459,21.56123
7.199181,4.649785,21.60989
7.174201,4.750704,21.66035
7.144702,4.854574,21.71229
7.110679,4.960741,21.76537
7.072171,5.068542,21.81927
7.029259,5.177311,21.87366
6.982067,5.286378,21.92819
6.930761,5.395079,21.98254
6.875549,5.502757,22.03638
6.816678,5.608767,22.08938
6.754433,5.712479,22.14124
6.689134,5.81329,22.19164
6.621139,5.910609,22.2403
6.550836,6.003881,22.28694
6.478642,6.09258,22.33129
6.405001,6.176213,22.37311
6.33038,6.254325,22.41216
6.255267,6.326499,22.44825
6.180166,6.392363,22.48118
6.105595,6.451584,22.51079
6.03208,6.503879,22.53694
5.960155,6.549012,22.55951
5.890353,6.586793,22.5784
5.823207,6.617084,22.59354
5.759244,6.639795,22.6049
5.69898,6.654887,22.61244
5.642917,6.662369,22.61618
5.591542,6.662301,22.61615
5.545318,6.654788,22.61239
5.504685,6.639988,22.60499
5.470055,6.618098,22.59405
5.441806,6.589363,22.57968
5.420285,6.554068,22.56203
5.4058,6.512536,22.54127
5.398619,6.46513,22.51756
5.398968,6.412242,22.49112
5.40703,6.3543,22.46215
5.42294,6.291755,22.43088
5.446786,6.225084,22.39754
5.478611,6.154784,22.36239
5.518404,6.081368,22.32568
5.566104,6.005363,22.28768
5.621605,5.927305,22.24865
5.684746,5.847733,22.20887
5.75532,5.76719,22.16859
5.833069,5.686213,22.12811
5.917691,5.605337,22.08767
6.008835,5.525081,22.04754
6.106109,5.445955,22.00798
6.209076,5.368449,21.96922
6.317264,5.293033,21.93152
6.430161,5.220151,21.89507
6.547223,5.150222,21.86011
6.667874,5.083634,21.82682
6.791516,5.020741,21.79537
6.917519,4.961866,21.76593
7.04524,4.907292,21.73865
7.174019,4.857263,21.71363
7.303185,4.811983,21.69099
7.432057,4.771616,21.67081
7.559954,4.736282,21.65314
7.686194,4.706061,21.63803
7.810102,4.680985,21.62549
7.931009,4.661048,21.61552
8.048264,4.646199,21.6081
8.161232,4.636345,21.60317
8.269299,4.631353,21.60068
8.371878,4.63105,21.60052
8.468411,4.635227,21.60261
8.558374,4.643636,21.60682
8.641277,4.655998,21.613
8.716671,4.672002,21.621
8.784151,4.691307,21.63065
8.843353,4.713548,21.64177
8.893965,4.738336,21.65417
8.935719,4.765264,21.66763
8.968403,4.793908,21.68195
8.991854,4.823831,21.69691
9.005962,4.854588,21.71229
9.010675,4.885728,21.72786
9.005991,4.916798,21.7434
8.991964,4.947347,21.75867
8.968702,4.976932,21.77347
8.936367,5.005115,21.78756
8.895172,5.031474,21.80074
8.845382,5.055604,21.8128
8.787311,5.077117,21.82356
8.721318,5.095651,21.83282
8.64781,5.110867,21.84043
8.567234,5.122457,21.84623
8.480078,5.130144,21.85007
8.386864,5.133685,21.85184
8.288149,5.132873,21.85143
8.184518,5.127539,21.84877
8.076581,5.117554,21.84378
7.964972,5.10283,21.83641
7.850339,5.083322,21.82666
