x,y,z
7.14,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.135557,5.036543,21.91985
9.122249,5.202346,22.11881
9.100133,5.366673,22.31601
9.069309,5.528793,22.51055
9.029914,5.687987,22.70158
8.982121,5.843546,22.88825
8.926146,5.99478,23.06973
8.862234,6.141016,23.24522
8.790671,6.281606,23.41393
8.711775,6.415925,23.57511
8.625895,6.543375,23.72805
8.533413,6.66339,23.87207
8.434741,6.775438,24.00653
8.330317,6.879021,24.13083
8.220604,6.973677,24.24441
8.106091,7.058988,24.34678
7.987285,7.134573,24.43749
7.864715,7.200098,24.51612
7.738925,7.25527,24.58232
7.610475,7.299845,24.63581
7.479934,7.333624,24.67635
7.347883,7.356459,24.70375
7.214908,7.368246,24.71789
7.081601,7.368934,24.71872
6.948553,7.35852,24.70622
6.816355,7.337049,24.68046
6.685596,7.304619,24.64154
6.556855,7.261372,24.58965
6.430705,7.2075,24.525
6.307706,7.143243,24.44789
6.188405,7.068887,24.35866
6.073332,6.984762,24.25771
5.962997,6.891241,24.14549
5.857892,6.78874,24.02249
5.758483,6.677714,23.88926
5.665212,6.558658,23.74639
5.578494,6.432098,23.59452
5.498712,6.298599,23.43432
5.426222,6.158753,23.2665
5.361347,6.013181,23.09182
5.304373,5.86253,22.91104
5.255555,5.70747,22.72496
5.215109,5.548689,22.53443
5.183215,5.386893,22.34027
5.160015,5.222799,22.14336
5.145611,5.057139,21.94457
5.140068,4.890648,21.74478
5.14341,4.724064,21.54488
5.155623,4.558129,21.34575
5.176652,4.393579,21.14829
5.206404,4.231147,20.95337
5.244746,4.071552,20.76186
5.291508,3.915505,20.57461
5.346483,3.763699,20.39244
5.409426,3.616807,20.21617
5.480058,3.475483,20.04658
5.558064,3.340355,19.88442
5.643099,3.212023,19.73043
5.734785,3.091056,19.58527
5.832713,2.977994,19.44959
5.93645,2.873336,19.324
6.045533,2.77755,19.20906
6.159479,2.69106,19.10527
6.277781,2.614251,19.0131
6.399914,2.547463,18.93295
6.525334,2.490995,18.86519
6.653486,2.445095,18.81011
6.7838,2.409969,18.76796
6.915696,2.385772,18.73893
7.048588,2.372612,18.72313
7.181886,2.370548,18.72066
7.314998,2.379588,18.73151
7.447333,2.399693,18.75563
7.578302,2.430773,18.79293
7.707325,2.47269,18.84323
7.833827,2.525257,18.90631
7.957246,2.588242,18.98189
8.077034,2.661364,19.06964
8.192658,2.744298,19.16916
8.303607,2.836677,19.28001
8.409386,2.938089,19.40171
8.509525,3.048085,19.5337
8.60358,3.166175,19.67541
8.691132,3.291834,19.8262
8.771793,3.424505,19.9854
8.845203,3.563598,20.15232
8.911039,3.708495,20.32619
8.969006,3.858552,20.50626
9.018847,4.013104,20.69172
9.060341,4.171462,20.88175
9.093303,4.332924,21.07551
9.117586,4.496771,21.27213
9.133084,4.662277,21.47073
9.139727,4.828706,21.67045
9.137486,4.995318,21.87038
9.126369,5.161374,22.06965
9.106428,5.326135,22.26736
9.077751,5.488869,22.46264
9.040464,5.648854,22.65462
8.994735,5.805379,22.84245
8.940765,5.957747,23.0253
8.878795,6.105284,23.20234
8.809099,6.247332,23.3728
8.731988,6.383262,23.53591
8.647804,6.512467,23.69096
8.556921,6.634376,23.83725
8.459743,6.748446,23.97413
8.356702,6.85417,24.101
8.248256,6.951079,24.21729
8.134885,7.038742,24.32249
8.017094,7.116771,24.41612
7.895406,7.184817,24.49778
7.770363,7.242579,24.56709
7.642519,7.289799,24.62376
7.512442,7.32627,24.66752
7.380711,7.351827,24.69819
7.24791,7.366358,24.71563
7.114629,7.369799,24.71976
6.981462,7.362133,24.71056
6.849,7.343396,24.68807
6.717828,7.313669,24.6524
6.588533,7.273085,24.6037
6.461689,7.221826,24.54219
6.337858,7.160117,24.46814
6.217591,7.088234,24.38188
6.101421,7.006496,24.28379
5.989867,6.915267,24.17432
5.883421,6.81495,24.05394
5.782559,6.705992,23.92319
5.687728,6.588877,23.78265
5.599348,6.464126,23.63295
5.517814,6.332293,23.47475
5.443486,6.193962,23.30875
5.376696,6.04975,23.1357
5.317739,5.900296,22.95635
5.266878,5.746263,22.77151
5.22434,5.588338,22.58201
5.190312,5.427223,22.38867
5.164947,5.263631,22.19236
5.148356,5.098291,21.99395
5.140614,4.931937,21.79432
5.141754,4.765307,21.59437
5.151772,4.599143,21.39497
5.170624,4.434182,21.19702
5.198225,4.271157,21.00139
5.234453,4.110793,20.80895
5.279148,3.953802,20.62056
5.332109,3.800881,20.43706
5.393102,3.65271,20.25925
5.461858,3.509945,20.08793
5.538068,3.373225,19.92387
5.621396,3.243155,19.76778
5.71147,3.120312,19.62037
5.80789,3.005243,19.48229
5.91023,2.898458,19.35415
6.018032,2.800433,19.23652
6.13082,2.711602,19.12992
6.248091,2.632361,19.03483
6.369324,2.563061,18.95167
6.493982,2.50401,18.88081
6.621509,2.455471,18.82257
6.75134,2.417659,18.77719
6.882898,2.390743,18.74489
7.0156,2.37484,18.72581
7.148853,2.370024,18.72003
7.282067,2.376315,18.72758
7.414649,2.393685,18.74842
7.546011,2.422056,18.78247
7.67557,2.461303,18.82956
7.802748,2.511251,18.8895
7.926983,2.571679,18.96202
8.047721,2.642318,19.04678
8.164426,2.722854,19.14342
8.27658,2.812929,19.25151
8.383684,2.912143,19.37057
8.485263,3.020056,19.50007
8.580865,3.136188,19.63943
8.670067,3.260024,19.78803
8.75247,3.391011,19.94521
8.827709,3.52857,20.11028
8.89545,3.672088,20.28251
8.955391,3.820928,20.46111
9.007268,3.974428,20.64531
9.050848,4.131908,20.83429
9.085939,4.292667,21.0272
9.112385,4.455991,21.22319
9.130068,4.621154,21.42138
9.138908,4.787423,21.62091
9.138869,4.954059,21.82087
9.129949,5.120321,22.02038
9.112188,5.28547,22.21856
9.085665,5.448777,22.41453
9.050497,5.60951,22.60741
9.006842,5.766957,22.79635
8.954893,5.92042,22.9805
8.89488,6.069215,23.15906
8.827071,6.212683,23.33122
8.751767,6.350185,23.49622
8.669302,6.481112,23.65333
8.580042,6.60488,23.80186
8.484385,6.720941,23.94113
8.382755,6.828778,24.07053
8.275604,6.927913,24.1895
8.163407,7.017905,24.29749
8.046664,7.098354,24.39402
7.925892,7.168903,24.47868
7.801628,7.22924,24.55109
7.674425,7.279094,24.61091
7.544848,7.318245,24.65789
7.413472,7.346519,24.69182
7.280882,7.36379,24.71255
7.147666,7.369982,24.71998
7.014415,7.365067,24.71408
6.881722,7.349066,24.69488
6.750177,7.322052,24.66246
6.620364,7.284144,24.61697
6.492859,7.23551,24.55861
6.36823,7.176367,24.48764
6.247029,7.106977,24.40437
6.129796,7.027649,24.30918
6.017049,6.938734,24.20248
5.909293,6.840628,24.08475
5.807005,6.733768,23.95652
5.710639,6.618627,23.81835
5.620623,6.495718,23.67086
5.537357,6.365585,23.5147
5.461212,6.228808,23.35057
5.392525,6.085995,23.17919
5.331602,5.937779,23.00133
5.278713,5.784819,22.81778
5.234094,5.627794,22.62935
5.197942,5.467403,22.43688
5.170418,5.304358,22.24123
5.151645,5.139383,22.04326
5.141705,4.973209,21.84385
5.140644,4.806579,21.64389
5.148465,4.64023,21.44427
5.165134,4.474902,21.24588
5.190578,4.31133,21.04959
5.224681,4.150242,20.85629
5.267295,3.992347,20.66681
5.318229,3.838351,20.48202
5.377255,3.688943,20.30273
5.444116,3.544778,20.12973
5.518507,3.406505,19.96381
5.600106,3.27473,19.80568
5.688543,3.150046,19.65606
5.783432,3.033,19.5156
5.884344,2.924119,19.38494
5.990839,2.82388,19.26466
6.102435,2.732734,19.15528
6.218645,2.651081,19.0573
6.338944,2.579288,18.97115
6.462806,2.517671,18.89721
6.589673,2.466506,18.83581
6.718989,2.426018,18.78722
6.850175,2.396389,18.75167
6.982645,2.377749,18.7293
7.115818,2.370183,18.72022
7.249094,2.373722,18.72447
7.38189,2.388352,18.74202
7.513608,2.414007,18.77281
