u0,v0,u1,v1,u2,v2,u3,v3
61.0,97.0,43.5,97.0,61.0,79.5,44.5,79.5
61.0,97.0,43.5,97.0,61.0,80.0,44.0,80.0
61.0,97.5,44.0,98.0,61.0,80.0,44.0,81.0
61.0,98.0,44.0,99.0,61.0,81.0,44.5,81.5
61.0,99.0,44.0,99.0,61.5,81.5,45.0,82.0
61.0,99.5,44.0,100.0,61.5,81.5,44.5,82.0
61.5,99.5,44.0,100.0,61.5,82.0,45.0,83.0
62.0,100.0,44.5,101.0,62.0,83.0,45.0,83.5
62.0,101.0,44.5,101.5,62.0,83.5,45.0,84.0
62.0,101.5,44.5,102.0,62.0,84.0,45.0,84.0
62.0,102.0,44.5,102.5,62.5,84.5,46.0,85.0
62.5,103.0,45.0,103.0,63.0,85.0,46.0,85.0
63.0,103.0,45.0,103.5,62.5,85.5,46.5,85.5
62.5,103.5,46.0,104.0,63.0,85.5,46.0,86.0
63.0,104.0,46.0,104.0,64.0,86.5,46.5,86.5
64.0,105.0,46.5,105.0,64.0,87.0,47.0,87.0
64.0,105.0,46.5,105.5,64.0,88.0,47.5,87.5
64.5,105.5,46.5,106.5,64.0,88.0,47.5,87.5
64.5,106.0,47.0,107.5,64.0,88.0,48.0,89.0
65.5,108.0,47.0,108.0,65.0,89.0,48.0,89.0
66.0,108.0,47.0,108.0,66.0,90.0,49.5,89.5
65.5,107.5,48.0,108.0,65.0,90.0,49.5,89.5
66.0,108.0,49.0,108.0,66.0,89.5,50.0,90.0
67.0,108.0,49.0,109.0,67.0,90.0,50.0,90.0
67.0,109.0,50.0,109.0,67.0,90.0,51.0,90.0
68.0,109.0,50.0,109.0,67.5,90.5,51.0,90.5
68.0,109.0,51.0,109.0,68.0,91.0,52.0,91.0
69.0,110.0,51.0,110.0,68.0,91.0,52.0,91.0
69.0,110.0,52.0,110.0,69.0,91.0,52.0,91.0
70.0,110.0,52.0,110.0,69.5,91.5,53.0,92.0
70.5,110.5,53.0,110.0,70.0,92.0,53.0,92.0
71.0,111.0,53.5,110.5,70.0,92.0,54.0,92.0
71.0,111.0,54.0,111.0,71.0,92.5,54.0,92.0
72.0,111.0,54.0,111.0,71.5,92.5,55.0,92.5
72.0,111.0,55.0,111.0,71.5,92.5,55.5,92.5
73.0,112.0,56.0,111.0,72.5,92.5,56.0,93.0
74.0,112.0,56.0,112.0,73.0,93.0,56.0,93.0
74.0,112.0,57.0,112.0,74.0,93.0,57.0,93.0
75.0,112.0,58.0,112.0,73.5,93.5,58.0,93.0
75.5,112.5,58.0,112.0,75.0,93.0,58.0,93.0
75.5,112.5,58.0,112.0,75.0,94.0,59.0,93.5
77.0,113.0,59.0,112.0,76.0,94.0,59.0,94.0
77.0,113.0,59.5,112.5,76.0,94.0,60.0,94.0
77.5,112.5,59.5,112.5,77.0,94.0,60.0,94.0
78.0,113.0,61.0,112.0,78.0,94.0,61.0,94.0
79.0,113.0,61.5,112.5,78.0,94.0,61.0,94.0
79.0,113.0,62.0,113.0,78.0,94.0,62.0,94.0
80.0,113.5,62.0,112.0,79.5,94.5,63.0,94.0
81.0,114.0,63.0,113.0,80.0,94.0,63.0,94.0
81.5,113.0,63.0,113.0,80.0,94.0,64.0,94.0
82.0,113.0,64.0,113.0,81.0,94.0,64.0,94.0
83.0,113.0,64.0,113.0,82.0,94.0,65.0,93.5
83.0,113.0,65.0,113.0,82.0,94.0,65.5,94.0
84.0,113.0,66.0,112.0,83.0,94.0,66.0,94.0
85.0,113.0,67.0,112.0,83.5,94.5,67.0,93.0
