x,y,z
7.14,4.87,21.72
7.14,4.87,21.72
7.14,4.87,21.72
7.14,4.87,21.72
7.273234,5.069667,21.81996
7.405877,5.267339,21.91967
7.537339,5.46104,22.01888
7.667035,5.648837,22.11734
7.794389,5.828851,22.21481
7.918837,5.999285,22.31104
8.039824,6.158435,22.40579
8.156813,6.304712,22.49884
8.269285,6.436654,22.58993
8.37674,6.552942,22.67885
8.4787,6.652415,22.76537
8.574712,6.734078,22.84929
8.664351,6.797116,22.93037
8.747216,6.840899,23.00843
8.822942,6.86499,23.08328
8.891191,6.869147,23.15471
8.951658,6.85333,23.22256
9.004078,6.817695,23.28665
9.048216,6.7626,23.34683
9.083876,6.688595,23.40294
9.110899,6.596418,23.45485
9.129167,6.486993,23.50241
9.138597,6.36141,23.54553
9.139147,6.220926,23.58408
9.130816,6.066944,23.61797
9.11364,5.901002,23.64712
9.087695,5.72476,23.67145
9.053097,5.539976,23.6909
9.01,5.348498,23.70543
8.958594,5.15224,23.71499
8.89911,4.95316,23.71957
8.831809,4.753251,23.71915
8.756992,4.554508,23.71373
8.674992,4.358917,23.70333
8.586171,4.168433,23.68797
8.490926,3.984959,23.66769
8.389679,3.810328,23.64255
8.282879,3.646284,23.6126
8.171002,3.494467,23.57792
8.054545,3.356395,23.53859
7.934024,3.233445,23.49472
7.809976,3.126848,23.44642
7.682951,3.037668,23.3938
7.553514,2.966796,23.33699
7.422239,2.914939,23.27615
7.289711,2.882618,23.21141
7.156518,2.870153,23.14295
7.023251,2.877671,23.07092
6.890503,2.905095,22.99553
6.758863,2.952151,22.91694
6.628918,3.018371,22.83537
6.501242,3.103091,22.751
6.376404,3.205465,22.66406
6.254959,3.324471,22.57476
6.137445,3.458919,22.48332
6.024386,3.607467,22.38997
5.916284,3.768629,22.29495
5.813618,3.940796,22.1985
5.716845,4.122248,22.10084
5.626395,4.311169,22.00224
5.542669,4.505676,21.90293
5.46604,4.703823,21.80316
5.396848,4.903628,21.70318
5.335401,5.103099,21.60325
5.281971,5.30024,21.50361
5.236795,5.493083,21.40451
5.200076,5.679699,21.3062
5.171975,5.858228,21.20892
5.152618,6.02688,21.11292
5.14209,6.183974,21.01843
5.140439,6.327939,20.9257
5.147671,6.457336,20.83496
5.163754,6.570873,20.74643
5.188618,6.667416,20.66033
5.222152,6.746,20.57688
5.264205,6.80584,20.49628
5.314593,6.846336,20.41875
5.373091,6.867086,20.34447
5.439438,6.867883,20.27362
5.513341,6.848716,20.20639
5.594471,6.809779,20.14295
5.682468,6.751461,20.08344
5.776939,6.674343,20.02803
5.877467,6.579197,19.97685
5.983604,6.466974,19.93002
6.094878,6.338794,19.88767
6.210796,6.195937,19.84989
6.330842,6.039834,19.8168
6.454484,5.872041,19.78845
6.58117,5.694235,19.76494
6.710339,5.508196,19.74631
6.841417,5.315778,19.73262
6.973822,5.118908,19.72389
7.106965,4.919549,19.72015
7.240254,4.719697,19.72141
7.373099,4.521346,19.72767
7.504908,4.326477,19.73891
7.635096,4.13704,19.75509
7.763083,3.954927,19.77619
7.888303,3.781958,19.80215
8.010198,3.619858,19.8329
8.128227,3.470249,19.86837
8.241865,3.334628,19.90847
8.350609,3.214346,19.95309
8.453974,3.110608,20.00213
8.5515,3.024449,20.05546
8.642756,2.956729,20.11296
8.727336,2.908127,20.17447
8.804863,2.879127,20.23985
8.874994,2.870019,20.30892
8.937416,2.880895,20.38152
8.991854,2.911645,20.45747
9.038063,2.961962,20.53657
9.075839,3.031343,20.61863
9.105016,3.119096,20.70344
9.125462,3.224343,20.79079
9.137087,3.346034,20.88047
9.139839,3.482951,20.97225
9.133706,3.633727,21.06589
9.118716,3.796854,21.16117
9.094934,3.970707,21.25784
9.062469,4.153543,21.35567
9.021461,4.343538,21.45442
8.972094,4.538795,21.55382
8.914587,4.737358,21.65364
8.849197,4.937247,21.75363
8.776213,5.136466,21.85353
8.69596,5.333022,21.9531
8.608793,5.52495,22.05208
8.515101,5.710334,22.15024
8.4153,5.887323,22.24732
8.309834,6.054148,22.34308
8.19917,6.20914,22.43729
8.083799,6.350751,22.5297
7.964237,6.477569,22.62009
7.84101,6.588325,22.70823
7.714671,6.68191,22.7939
7.585778,6.757392,22.87688
7.454905,6.814015,22.95697
7.322633,6.851215,23.03397
7.189549,6.868619,23.10769
7.056246,6.866053,23.17794
6.923315,6.843544,23.24454
6.791346,6.801315,23.30733
6.660926,6.73979,23.36616
6.532634,6.659582,23.42087
6.407041,6.561493,23.47133
6.284705,6.446504,23.51742
6.166168,6.315763,23.55901
6.051956,6.170573,23.596
5.94258,6.012392,23.6283
5.838523,5.842796,23.65584
5.74025,5.663479,23.67854
5.648194,5.476233,23.69634
5.562767,5.282933,23.7092
5.484346,5.085506,23.71709
5.413282,4.885925,23.71998
5.349889,4.686184,23.71788
5.294449,4.488282,23.71079
5.247208,4.294193,23.69872
5.208377,4.105856,23.6817
5.178127,3.925155,23.65978
5.156594,3.753897,23.63301
5.143872,3.593784,23.60146
5.140019,3.446426,23.56521
5.145052,3.313293,23.52434
5.158948,3.195715,23.47897
5.181644,3.094865,23.4292
5.213042,3.011751,23.37515
5.253001,2.947205,23.31697
5.301343,2.90187,23.2548
5.357854,2.8762,23.18879
5.422283,2.870451,23.11911
5.494343,2.884681,23.04594
5.573715,2.918748,22.96945
5.660045,2.972311,22.88983
5.75295,3.044836,22.80729
5.852019,3.135597,22.72204
5.956809,3.243687,22.63428
6.066855,3.368028,22.54424
6.18167,3.507376,22.45213
6.300742,3.660336,22.3582
6.423543,3.825385,22.26266
6.549526,4.000871,22.16578
6.678133,4.185039,22.06778
6.808793,4.376053,21.96891
6.940923,4.572003,21.86942
7.073938,4.770931,21.76955
7.207247,4.970848,21.66956
7.340257,5.169755,21.5697
7.472376,5.365669,21.47021
7.603022,5.556631,21.37135
7.731608,5.740733,21.27335
7.857566,5.916134,21.17648
7.980336,6.081083,21.08096
8.099372,6.233931,20.98704
8.214147,6.373148,20.89495
8.324148,6.497349,20.80493
8.428889,6.605289,20.71719
8.527904,6.69589,20.63196
8.620752,6.76825,20.54944
8.707023,6.821641,20.46986
8.78633,6.855533,20.39339
8.858324,6.869586,20.32025
8.922684,6.863659,20.2506
8.979123,6.837813,20.18463
9.027391,6.792305,20.12249
9.067275,6.72759,20.06435
9.098596,6.644314,20.01034
9.121215,6.543309,19.96061
9.135032,6.425585,19.91527
9.139985,6.292321,19.87445
9.136053,6.144843,19.83824
9.123253,5.984628,19.80673
9.101642,5.813278,19.78
9.071315,5.6325,19.75813
9.032408,5.444104,19.74115
8.985094,5.249971,19.72913
8.929582,5.052042,19.72208
8.866119,4.852297,19.72002
8.794987,4.652722,19.72296
8.716502,4.455326,19.73089
8.631014,4.262069,19.7438
8.538901,4.074886,19.76164
8.440574,3.895648,19.78438
8.336469,3.726145,19.81196
8.227047,3.568074,19.84431
8.112796,3.423009,19.88134
7.994223,3.292401,19.92297
7.871855,3.177559,19.9691
7.746235,3.079625,20.01959
7.617923,2.999579,20.07434
7.487486,2.938223,20.13321
7.355506,2.896168,20.19603
7.222567,2.873836,20.26267
7.089263,2.871448,20.33295
6.956184,2.889029,20.4067
6.823922,2.926404,20.48373
6.693064,2.983198,20.56385
6.564193,3.058843,20.64685
6.437877,3.152588,20.73255
6.314681,3.263492,20.82071
6.195155,3.390444,20.91111
6.079823,3.532182,21.00354
5.969204,3.687285,21.09776
5.863784,3.854211,21.19354
5.764037,4.03128,21.29063
5.6704,4.216735,21.38879
5.583295,4.408711,21.48779
5.503104,4.6053,21.58736
5.430187,4.80453,21.68726
5.364865,5.004417,21.78725
5.307431,5.202959,21.88706
5.258137,5.39818,21.98647
5.217205,5.588117,22.0852
5.184814,5.770885,22.18302
5.161111,5.944649,22.27969
5.1462,6.107672,22.37495
5.140146,6.258331,22.46858
5.142978,6.395117,22.56033
5.154681,6.516668,22.64999
5.175205,6.621763,22.73732
5.204459,6.709358,22.82211
5.242311,6.778571,22.90415
5.288595,6.828716,22.98322
5.343103,6.85929,23.05914
5.405597,6.869987,23.13171
5.475793,6.860703,23.20075
5.553386,6.831526,23.26609
5.638025,6.782752,23.32757
5.72934,6.714864,23.38503
5.826922,6.628543,23.43832
5.930336,6.524654,23.48733
6.039126,6.404231,23.53191
6.152804,6.26848,23.57196
6.270871,6.118751,23.60739
6.392797,5.95655,23.6381
6.518045,5.783486,23.66401
6.646053,5.601302,23.68507
6.776259,5.411808,23.70121
6.908078,5.216904,23.71241
7.040931,5.018529,23.71862
7.17422,4.818675,23.71984
7.307361,4.619326,23.71605
7.439758,4.422481,23.70728
7.57082,4.230116,23.69354
7.699971,4.04414,23.67487
7.826631,3.866419,23.65131
7.950244,3.698723,23.62293
8.070253,3.542732,23.58979
8.186134,3.399998,23.55197
8.297363,3.271956,23.50958
8.403454,3.159877,23.46271
8.503927,3.064889,23.41149
8.598345,2.987936,23.35604
8.68628,2.929788,23.2965
8.767348,2.891026,23.23302
8.841185,2.872036,23.16576
8.907465,2.87301,23.09488
8.965892,2.893938,23.02057
9.016206,2.934609,22.94301
9.058185,2.994618,22.86239
9.091641,3.073364,22.77892
9.116427,3.170063,22.69279
9.132433,3.283745,22.60424
9.139585,3.413281,22.51348
9.137856,3.557368,22.42073
9.127249,3.714575,22.32623
9.107813,3.883321,22.23022
9.079635,4.061928,22.13293
