u0,v0,u1,v1,u2,v2,u3,v3
81.0,97.0,64.5,96.5,81.0,79.0,64.5,79.5
80.0,97.0,62.5,97.5,80.0,80.0,62.5,79.5
78.5,98.0,61.0,98.0,78.0,81.0,61.5,80.5
77.0,99.0,60.0,99.0,76.5,81.5,60.0,81.0
76.0,99.5,58.5,99.5,75.5,82.0,59.0,82.0
74.5,100.0,57.5,99.5,74.5,82.5,58.0,82.0
73.5,101.0,56.5,101.0,73.0,83.0,56.5,83.5
72.5,101.5,55.0,101.0,72.0,84.0,56.0,83.5
72.0,101.5,54.0,102.0,71.0,84.0,54.5,84.5
70.5,102.5,53.5,102.5,70.5,84.5,54.0,84.5
70.0,103.0,52.5,103.5,69.5,85.5,53.0,85.0
69.5,103.5,52.0,104.0,69.5,85.5,52.5,85.5
69.0,104.0,51.5,103.5,68.5,86.0,52.0,86.0
69.0,104.0,51.0,104.0,68.5,86.5,51.5,86.5
68.5,105.0,51.0,105.0,68.0,87.0,52.0,87.0
68.0,105.0,50.5,105.5,68.0,87.0,51.5,87.5
68.0,105.0,50.5,105.5,68.5,87.5,51.5,87.5
68.0,105.0,50.0,106.0,68.5,87.5,51.5,87.5
68.5,105.5,50.5,106.5,68.5,87.5,51.0,88.0
68.5,106.0,51.0,107.0,68.0,88.0,51.5,88.0
69.0,106.0,51.0,108.0,68.5,89.0,52.5,89.0
69.5,107.5,52.0,107.0,69.0,89.0,52.5,89.0
70.5,107.0,52.5,107.0,70.0,89.0,53.0,89.0
71.0,107.0,54.0,107.0,70.5,89.0,54.0,89.0
72.0,107.5,54.5,107.0,72.0,89.0,55.0,89.0
73.0,107.0,56.0,107.0,72.0,89.0,56.0,89.0
74.0,107.0,56.5,107.0,73.0,89.0,57.0,89.0
75.0,107.0,57.5,107.5,75.0,89.0,58.0,88.5
76.5,107.0,58.5,106.5,75.0,89.0,58.5,88.0
77.5,107.5,60.0,106.5,76.5,88.5,60.0,88.0
78.5,106.5,61.0,106.0,78.0,88.0,61.0,88.0
80.0,106.0,62.5,106.0,79.0,88.0,62.5,87.5
81.0,106.0,64.0,105.5,80.5,87.5,64.0,88.0
83.0,106.0,65.0,105.0,82.0,87.5,64.5,87.0
83.0,105.0,66.0,105.0,82.5,87.0,66.0,87.0
84.5,105.5,66.0,105.0,83.5,87.5,66.0,86.0
86.5,104.0,69.0,103.0,85.0,86.0,68.0,86.0
87.0,104.0,70.0,103.0,86.5,86.0,69.0,85.0
88.5,103.0,71.0,102.0,87.0,85.5,70.5,84.5
90.0,103.0,72.0,102.0,88.5,85.0,71.0,84.0
90.5,102.0,73.0,101.0,89.0,85.0,72.5,83.5
91.5,101.5,74.0,101.0,91.0,84.0,73.0,83.0
92.5,100.5,75.0,100.0,91.0,83.5,74.0,83.0
93.0,100.0,75.0,99.0,92.0,83.0,75.0,82.0
93.5,99.5,76.0,99.0,92.5,82.0,75.0,81.0
94.0,99.0,76.5,98.0,93.5,81.5,76.0,81.0
94.5,98.5,77.0,98.0,93.5,81.0,77.0,80.0
95.0,98.0,77.0,97.0,94.0,80.0,77.0,80.0
94.5,96.5,77.0,96.0,94.0,80.0,77.0,79.0
94.5,96.0,77.0,95.0,94.0,79.0,77.0,78.5
95.0,96.0,77.0,94.0,94.0,78.0,77.0,78.0
94.5,94.5,77.0,94.0,93.5,77.5,77.0,77.0
94.0,94.0,77.0,93.0,93.0,77.0,76.0,76.0
93.0,93.0,76.0,92.0,93.0,76.0,75.5,75.5
93.0,92.0,75.5,91.5,92.0,75.5,75.0,75.0
92.0,91.0,74.5,90.5,91.0,75.0,74.0,74.0
91.0,91.0,74.0,90.0,90.0,74.0,73.5,73.5
90.0,90.0,73.0,89.0,89.5,73.5,72.5,72.5
89.0,89.0,71.5,89.5,88.5,73.5,71.5,72.0
87.0,89.0,70.0,88.0,87.0,72.0,70.0,72.0
86.0,88.0,70.0,88.0,86.0,72.0,69.0,71.0
84.0,87.0,67.0,87.0,83.0,71.0,67.0,71.0
83.0,87.0,66.0,86.5,83.0,70.5,66.0,70.5
82.0,86.5,65.0,86.5,82.0,70.0,65.0,70.0
81.0,86.0,64.0,86.0,81.0,70.0,64.0,70.0
79.0,86.0,62.0,85.0,78.0,69.0,62.0,69.5
77.0,85.0,61.0,85.0,77.0,69.0,61.0,69.0
75.5,84.5,59.0,85.0,75.0,69.0,59.0,69.0
74.0,84.0,57.5,84.5,74.0,68.0,58.0,68.0
73.0,84.0,57.0,84.0,73.0,68.0,57.0,68.0
72.0,84.0,55.0,84.0,72.0,68.5,55.5,68.0
71.0,84.0,55.0,84.0,71.0,68.0,55.0,68.0
70.0,85.0,53.5,84.0,70.0,69.0,53.0,68.0
69.0,85.0,53.0,84.0,69.5,68.5,53.0,68.5
68.5,84.5,52.0,85.0,68.0,69.0,52.0,69.0
67.0,85.0,51.5,85.0,68.0,69.0,52.0,69.0
67.0,85.0,51.0,85.0,67.0,69.0,51.0,69.0
67.0,85.0,50.0,86.0,67.0,70.0,51.0,70.0
67.0,86.0,50.0,86.0,67.0,70.0,50.5,70.0
67.0,86.5,50.0,86.0,67.0,70.0,50.5,70.0
67.0,87.0,50.0,87.0,67.0,70.5,51.0,70.0
67.0,87.0,50.5,87.0,67.0,71.0,51.0,71.0
67.5,88.0,51.0,88.0,67.5,71.0,51.0,72.0
68.0,88.5,51.0,88.0,68.0,72.0,52.0,72.0
69.0,89.0,52.0,89.0,69.0,73.0,53.0,73.0
70.0,90.0,53.0,90.0,70.0,73.5,53.0,73.5
71.0,91.0,54.0,91.0,70.5,74.0,54.0,74.0
72.0,91.5,55.0,91.0,72.0,75.0,55.0,75.0
73.0,92.0,56.0,92.0,73.0,75.5,56.5,75.5
74.0,93.0,57.0,93.0,74.0,76.0,57.0,76.0
76.0,94.0,58.5,93.5,75.0,77.0,58.5,77.0
76.5,94.5,60.0,94.0,76.5,77.5,60.0,77.5
78.0,95.0,61.0,95.0,77.5,78.5,61.0,78.0
79.0,96.0,62.5,95.5,79.0,79.0,62.5,79.0
81.0,97.0,64.0,96.0,80.0,79.5,64.0,79.5
82.0,97.5,65.0,97.0,81.5,80.0,65.0,80.0
83.0,98.0,66.0,98.0,83.0,81.0,66.0,80.0
84.0,99.0,67.0,98.0,84.0,81.5,67.0,81.0
86.0,100.0,68.0,99.0,84.5,82.0,68.0,81.0
87.0,100.0,69.5,99.5,86.0,83.0,69.0,82.0
88.0,101.0,70.0,100.0,87.0,84.0,70.0,83.0
89.0,102.0,71.0,101.0,88.0,84.0,71.0,84.0
90.0,102.0,72.0,102.0,88.5,84.5,71.5,83.5
90.5,103.0,73.0,102.0,89.0,85.0,72.5,84.0
91.5,103.5,73.0,103.0,90.0,86.0,73.0,84.0
92.0,104.0,74.0,103.0,90.5,86.0,73.5,85.5
93.0,104.0,74.0,103.0,91.0,86.0,74.0,85.0
92.5,105.0,74.5,103.5,91.0,87.0,74.0,86.0
93.0,105.0,75.0,104.0,91.5,87.0,74.5,86.5
93.0,106.0,74.5,104.0,92.0,87.5,74.5,86.5
93.0,106.5,75.0,105.0,92.0,87.5,74.5,86.5
93.0,107.0,75.0,105.0,91.0,88.0,74.0,87.0
93.0,107.0,75.0,105.0,91.5,88.5,74.0,87.0
93.0,107.0,75.0,106.0,91.0,88.5,74.0,87.5
92.0,107.0,74.0,106.0,91.0,89.0,74.0,87.0
91.0,107.0,73.0,106.0,90.0,89.0,73.0,88.0
91.0,107.0,72.5,106.5,89.0,89.0,72.0,88.0
90.0,107.5,72.0,107.0,88.5,89.0,72.0,88.0
89.0,107.0,71.0,106.0,88.0,89.0,71.0,88.0
88.0,107.0,70.5,106.5,87.0,89.0,70.0,88.0
87.0,107.0,69.0,106.0,86.0,89.0,69.0,88.0
86.0,107.0,68.0,106.5,85.0,89.0,68.0,88.0
85.0,107.0,67.0,106.5,84.0,89.0,67.0,88.0
84.0,107.0,66.0,106.0,83.0,89.0,66.0,88.0
83.0,107.0,65.0,106.0,82.0,88.0,65.0,88.0
81.0,106.0,64.0,105.5,81.0,88.0,64.0,88.0
80.5,105.5,63.0,105.5,79.5,87.5,63.0,87.5
79.0,105.5,61.5,105.0,78.0,87.0,62.0,87.0
78.0,105.0,60.5,104.5,77.0,87.0,60.5,87.0
76.5,104.5,59.0,104.0,75.5,86.5,59.0,86.0
75.5,104.0,58.0,103.5,75.0,86.0,58.5,85.5
