x,y,z
7.14,4.87,21.72
9.139999,4.87,21.72
9.138,4.87,21.72
9.138,4.87,21.72
9.128018,4.866666,21.91947
9.094906,4.863333,22.11628
9.042394,4.86,22.30848
8.971069,4.856667,22.49416
8.881709,4.853333,22.6715
8.775265,4.85,22.83875
8.652858,4.846666,22.99426
8.515763,4.843333,23.13654
8.3654,4.84,23.2642
8.203315,4.836667,23.37601
8.031165,4.833333,23.47092
7.850704,4.83,23.54804
7.663763,4.826666,23.60665
7.472229,4.823333,23.64622
7.278032,4.82,23.66644
7.083119,4.816667,23.66717
6.88944,4.813333,23.64846
6.698925,4.81,23.61056
6.513464,4.806666,23.55393
6.334894,4.803333,23.47919
6.164974,4.8,23.38714
6.00537,4.796667,23.27878
5.85764,4.793333,23.15523
5.72322,4.79,23.01779
5.603406,4.786666,22.86787
5.499343,4.783333,22.70701
5.412016,4.78,22.53687
5.342239,4.776667,22.35916
5.290648,4.773333,22.17569
5.257694,4.77,21.98832
5.243641,4.766666,21.79892
5.248564,4.763333,21.6094
5.272346,4.76,21.42165
5.314685,4.756667,21.23754
5.375091,4.753333,21.05889
5.452899,4.75,20.88747
5.547268,4.746666,20.72497
5.657199,4.743333,20.57297
5.781538,4.74,20.43296
5.918993,4.736667,20.30629
6.068145,4.733333,20.19419
6.227461,4.73,20.09771
6.395315,4.726666,20.01776
6.57,4.723333,19.9551
6.749747,4.72,19.91026
6.932743,4.716667,19.88366
7.117147,4.713333,19.87547
7.301115,4.71,19.88573
7.48281,4.706666,19.91425
7.660426,4.703333,19.96069
7.832204,4.7,20.02452
7.996449,4.696667,20.10504
8.151548,4.693333,20.20139
8.295987,4.69,20.31254
8.428362,4.686666,20.43733
8.547394,4.683333,20.57446
8.651943,4.68,20.72252
8.741019,4.676667,20.88
8.81379,4.673333,21.04528
8.869587,4.67,21.21668
8.907917,4.666667,21.39247
8.928461,4.663333,21.57088
8.93108,4.66,21.75012
8.915814,4.656667,21.92839
8.882883,4.653333,22.10392
8.832681,4.65,22.27496
8.765774,4.646667,22.43982
8.68289,4.643333,22.59689
8.584921,4.64,22.74461
8.472898,4.636666,22.88155
8.347997,4.633333,23.00639
8.211509,4.63,23.11791
8.064844,4.626667,23.21507
7.909504,4.623333,23.29693
7.747072,4.62,23.36275
7.579202,4.616666,23.41192
7.407585,4.613333,23.44402
7.233954,4.61,23.4588
7.060047,4.606667,23.45616
6.887606,4.603333,23.43621
6.718343,4.6,23.3992
6.553939,4.596666,23.34558
6.396017,4.593333,23.27594
6.24613,4.59,23.19105
6.105743,4.586667,23.0918
5.976221,4.583333,22.97925
5.858815,4.58,22.85456
5.754653,4.576666,22.71904
5.664721,4.573333,22.57407
5.589863,4.57,22.42115
5.530768,4.566667,22.26183
5.487964,4.563333,22.09772
5.461816,4.56,21.93049
5.452518,4.556666,21.76182
5.460097,4.553333,21.5934
5.484411,4.55,21.4269
5.525152,4.546667,21.26398
5.581846,4.543333,21.10627
5.653865,4.54,20.9553
5.740428,4.536666,20.81257
5.840614,4.533333,20.67946
5.953367,4.53,20.55727
6.07751,4.526667,20.44718
6.211759,4.523333,20.35022
6.354731,4.52,20.26733
6.504963,4.516666,20.19926
6.660927,4.513333,20.14665
6.82104,4.51,20.10995
6.983688,4.506667,20.08947
7.147234,4.503333,20.08535
7.310044,4.5,20.09755
7.470493,4.496666,20.1259
7.626988,4.493333,20.17004
7.777981,4.49,20.22946
7.921987,4.486667,20.30352
8.057599,4.483333,20.39141
8.183495,4.48,20.49219
8.298457,4.476666,20.60481
8.401381,4.473333,20.7281
8.491292,4.47,20.86077
8.567345,4.466667,21.00146
8.628835,4.463333,21.14874
8.675212,4.46,21.30111
8.706074,4.456666,21.45702
8.721178,4.453333,21.6149
8.72044,4.45,21.77317
8.703932,4.446667,21.93024
8.671886,4.443333,22.08455
8.62469,4.44,22.23457
8.562877,4.436666,22.37882
8.487125,4.433333,22.51589
8.398253,4.43,22.64442
8.297203,4.426667,22.76319
8.185037,4.423333,22.87104
8.062921,4.42,22.96694
7.932116,4.416667,23.04998
7.793972,4.413333,23.1194
7.649894,4.41,23.17455
7.50135,4.406667,23.21495
7.349844,4.403333,23.24025
7.196901,4.4,23.25027
7.044053,4.396667,23.24498
6.892828,4.393333,23.2245
6.74473,4.39,23.18909
6.601225,4.386666,23.13917
6.463723,4.383333,23.07531
6.333575,4.38,22.99821
6.212048,4.376667,22.90868
6.100317,4.373333,22.8077
5.999453,4.37,22.6963
5.91042,4.366666,22.57565
5.834054,4.363333,22.447
5.771058,4.36,22.31167
5.722005,4.356667,22.17104
5.687322,4.353333,22.02653
5.667291,4.35,21.87962
5.662046,4.346666,21.73177
5.671574,4.343333,21.58447
5.695713,4.34,21.43918
5.734155,4.336667,21.29736
5.786453,4.333333,21.16039
5.852021,4.33,21.02963
5.930142,4.326666,20.90636
6.019983,4.323333,20.79177
6.120589,4.32,20.68696
6.230907,4.316667,20.59294
6.349788,4.313333,20.51061
6.47601,4.31,20.44072
6.608275,4.306666,20.38392
6.745232,4.303333,20.34071
6.885496,4.3,20.31147
7.027648,4.296667,20.29642
7.17026,4.293333,20.29565
7.311903,4.29,20.3091
7.451166,4.286666,20.33656
7.586673,4.283333,20.3777
7.717085,4.28,20.43204
7.841124,4.276667,20.49898
7.95758,4.273333,20.57779
8.065326,4.27,20.66762
8.163326,4.266666,20.76752
8.250648,4.263333,20.87646
8.326469,4.26,20.9933
8.39009,4.256667,21.11682
8.440929,4.253333,21.24578
8.478543,4.25,21.37885
8.502619,4.246666,21.51468
8.51298,4.243333,21.65191
8.509589,4.24,21.78915
8.492548,4.236667,21.92503
8.462092,4.233333,22.05821
8.418592,4.23,22.18737
8.362544,4.226666,22.31123
8.294571,4.223333,22.42858
8.21541,4.22,22.53829
8.125907,4.216667,22.63929
8.027008,4.213333,22.73062
7.919745,4.21,22.81141
7.805233,4.206666,22.88091
7.684654,4.203333,22.93848
7.559237,4.2,22.9836
7.430264,4.196667,23.01589
7.29904,4.193333,23.03509
7.166888,4.19,23.04106
7.035135,4.186666,23.03382
6.905091,4.183333,23.01351
6.778049,4.18,22.98039
6.655262,4.176666,22.93486
6.537938,4.173333,22.87744
6.427219,4.17,22.80877
6.324179,4.166667,22.72957
6.229811,4.163333,22.64072
6.145008,4.16,22.54312
6.07057,4.156667,22.43782
6.007191,4.153333,22.3259
5.955442,4.15,22.20851
5.915784,4.146667,22.08685
5.888548,4.143333,21.96217
5.873943,4.14,21.83572
5.872049,4.136666,21.70878
5.882818,4.133333,21.58261
5.906075,4.13,21.45848
5.941524,4.126667,21.33761
5.988745,4.123333,21.2212
6.047205,4.12,21.11038
6.11626,4.116666,21.00623
6.195161,4.113333,20.90977
6.283071,4.11,20.8219
6.379062,4.106667,20.74347
6.482128,4.103333,20.6752
6.591207,4.1,20.61772
6.705173,4.096666,20.57156
6.822862,4.093333,20.53711
6.943076,4.09,20.51464
7.064601,4.086667,20.50434
7.186216,4.083333,20.50621
7.306701,4.08,20.52019
7.424863,4.076666,20.54607
7.539533,4.073333,20.58352
7.64958,4.07,20.6321
7.753938,4.066667,20.69127
7.851587,4.063333,20.76038
7.94159,4.06,20.83868
8.023094,4.056666,20.92533
8.095327,4.053333,21.01944
8.157624,4.05,21.12001
8.209413,4.046667,21.22599
8.250238,4.043333,21.33632
8.279753,4.04,21.44984
8.297726,4.036666,21.56541
8.304043,4.033333,21.68187
8.298708,4.03,21.79805
8.28184,4.026667,21.91278
8.253675,4.023333,22.02493
8.214558,4.02,22.1334
8.164941,4.016666,22.23711
8.105385,4.013333,22.33506
8.036541,4.01,22.4263
7.95915,4.006667,22.50996
7.874038,4.003333,22.58525
7.782096,4,22.65147
7.68429,3.996666,22.70799
7.581625,3.993333,22.75433
7.475163,3.99,22.79007
7.365985,3.986666,22.81492
7.255203,3.983333,22.8287
7.14393,3.98,22.83133
7.033286,3.976666,22.82285
