u0,v0,u1,v1,u2,v2,u3,v3
68.0,97.0,50.5,97.0,67.0,80.0,51.0,79.5
68.0,97.0,50.5,97.0,67.0,80.0,51.0,79.5
68.0,97.0,50.5,97.0,67.0,80.0,51.0,79.5
67.5,96.5,50.5,97.0,67.0,80.0,51.0,79.5
67.5,96.5,50.5,97.0,67.0,80.0,51.0,79.5
67.5,96.5,50.0,97.0,67.0,80.0,51.0,79.5
67.5,96.5,51.0,96.0,67.0,79.0,51.0,79.5
68.0,96.0,50.5,96.0,68.0,79.0,51.0,79.0
67.5,96.0,50.5,96.0,68.0,79.0,51.0,79.0
68.0,96.0,50.5,96.0,67.5,79.0,51.0,79.0
68.0,96.0,50.5,96.0,67.5,79.0,51.0,79.0
68.0,96.0,50.5,96.0,68.0,79.0,51.0,79.0
68.0,95.5,50.5,96.0,68.0,79.0,51.0,79.0
68.0,95.5,51.0,96.0,68.0,79.0,51.0,79.0
68.0,95.5,50.5,95.5,68.0,79.0,51.0,79.0
68.0,95.5,50.5,95.5,68.0,78.0,51.5,78.5
68.0,95.5,51.0,96.0,68.0,78.0,51.0,79.0
68.0,95.5,51.0,96.0,68.0,78.0,51.0,79.0
68.0,95.0,51.0,95.0,68.0,78.0,51.0,79.0
68.5,95.5,51.0,95.5,68.0,78.0,51.5,78.0
68.5,95.5,51.0,95.0,68.0,78.0,51.5,77.5
68.5,95.0,51.0,95.0,68.5,77.5,52.0,78.0
68.5,95.0,51.0,95.0,68.5,77.5,52.0,78.0
68.5,95.0,51.5,95.0,68.5,77.5,52.0,77.5
69.0,95.0,51.5,95.0,68.5,77.5,52.0,77.5
69.0,95.0,52.0,95.0,68.5,77.5,52.0,77.5
69.0,95.0,52.0,95.0,68.5,77.5,52.5,77.5
69.0,94.5,52.0,94.5,68.5,77.5,52.5,77.5
69.0,94.5,52.0,94.5,69.0,77.0,52.5,77.5
69.0,94.0,52.0,94.5,69.0,77.0,52.5,77.5
69.0,94.0,52.0,94.0,69.0,77.0,52.5,77.5
69.0,94.0,52.5,94.0,69.0,77.0,52.5,77.5
69.5,94.0,52.5,94.0,69.0,77.0,53.0,77.0
70.0,94.0,52.5,94.0,69.0,77.0,53.0,77.0
70.0,94.0,52.5,94.0,69.0,77.0,53.0,77.0
70.0,94.0,52.5,94.0,69.5,76.5,53.0,77.0
70.0,94.0,53.0,94.0,69.5,77.0,53.0,77.0
70.5,93.5,53.0,94.0,70.0,77.0,53.0,77.0
70.5,93.5,53.0,93.5,70.5,76.5,53.5,76.5
70.5,93.5,53.0,93.5,70.5,76.5,53.5,76.5
70.5,93.5,53.0,93.5,70.5,76.5,53.5,76.5
70.5,93.5,53.0,93.5,70.5,76.5,53.5,76.5
70.5,93.5,53.0,93.0,70.5,76.5,54.0,76.0
70.5,93.5,54.0,93.0,70.5,76.0,54.0,76.0
71.0,93.5,54.0,93.0,71.0,76.0,54.0,76.0
71.0,93.0,54.0,93.0,71.0,76.0,54.0,76.0
71.0,93.0,54.0,93.0,71.0,76.0,54.0,76.0
71.5,93.0,54.0,93.0,71.0,76.0,54.5,75.5
72.0,93.0,54.5,93.0,71.5,75.5,54.5,75.5
72.0,93.0,54.5,93.0,71.5,75.5,54.5,75.5
72.0,93.0,55.0,93.0,72.0,76.0,55.0,76.0
72.0,93.0,55.0,93.0,72.0,75.5,55.0,75.5
72.0,93.0,55.0,93.0,72.5,75.5,55.5,75.5
72.5,92.5,55.0,93.0,72.5,75.5,55.5,75.5
73.0,93.0,55.5,92.5,72.5,75.5,55.5,75.5
72.5,92.5,55.5,92.5,72.5,75.5,56.0,75.0
73.0,92.0,55.5,92.5,72.5,75.5,56.0,75.5
73.0,92.5,56.0,92.0,72.5,75.5,56.5,75.5
73.5,92.5,56.0,92.0,73.0,75.0,56.5,75.5
73.5,92.5,56.0,92.0,73.0,75.0,56.5,75.5
73.5,92.5,56.5,92.0,73.5,75.5,57.0,75.0
74.0,92.0,56.5,92.0,73.5,75.5,57.0,75.0
