x,y,z
7.14,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.139999,4.87,21.72
9.130009,5.069667,22.10942
9.100133,5.267339,22.43736
9.050673,5.46104,22.65204
8.982121,5.648837,22.71957
8.895164,5.828851,22.6293
8.790671,5.999285,22.39546
8.669684,6.158435,22.05499
8.533413,6.304712,21.66162
8.38322,6.436654,21.27748
8.220604,6.552942,20.9632
8.047192,6.652415,20.7684
7.864715,6.734078,20.72383
7.674997,6.797116,20.83654
7.479934,6.840899,21.08873
7.281474,6.86499,21.44058
7.081601,6.869147,21.83655
6.88231,6.85333,22.21411
6.685596,6.817695,22.51367
6.493421,6.7626,22.68792
6.307706,6.688595,22.70936
6.130307,6.596418,22.5746
5.962997,6.486993,22.30492
5.807447,6.36141,21.94289
5.665212,6.220926,21.54567
5.537713,6.066944,21.17598
5.426222,5.901002,20.89217
5.331856,5.72476,20.73906
5.255555,5.539976,20.74082
5.198083,5.348498,20.89717
5.160015,5.15224,21.18343
5.141729,4.95316,21.5544
5.14341,4.753251,21.95151
5.16504,4.554508,22.31207
5.206404,4.358917,22.57916
5.267087,4.168433,22.71061
5.346483,3.984959,22.68566
5.4438,3.810328,22.50825
5.558064,3.646284,22.2064
5.688135,3.494467,21.82775
5.832713,3.356395,21.4321
5.990353,3.233445,21.08189
6.159479,3.126848,20.83243
6.338402,3.037668,20.7231
6.525334,2.966796,20.77115
6.718409,2.914939,20.96901
6.915696,2.882618,21.28543
7.115223,2.870153,21.67047
7.314998,2.877671,22.06331
7.513026,2.905095,22.40196
7.707324,2.952151,22.63294
7.895956,3.018371,22.71979
8.077034,3.103091,22.64879
8.248749,3.205465,22.43116
8.409386,3.324471,22.10125
8.55734,3.458919,21.71115
8.691132,3.607467,21.32244
8.809425,3.768629,20.9965
8.911039,3.940796,20.78479
8.994957,4.122248,20.72072
9.060341,4.311169,20.81442
9.106537,4.505676,21.05109
9.133084,4.703823,21.39337
9.139717,4.903628,21.78721
9.126369,5.103099,22.17044
9.093175,5.30024,22.48256
9.040464,5.493083,22.67428
8.968766,5.679699,22.71535
8.878794,5.858228,22.59927
8.771449,6.02688,22.34438
8.647804,6.183974,21.9909
8.509092,6.327939,21.59466
8.356702,6.457336,21.21821
8.192155,6.570873,20.92098
8.017095,6.667416,20.74989
7.833269,6.746,20.73197
7.642519,6.80584,20.87003
7.446746,6.846336,21.14229
7.24791,6.867086,21.50575
7.047995,6.867883,21.90304
6.849,6.848716,22.27143
6.652911,6.809779,22.55276
6.461689,6.751461,22.70262
6.277244,6.674343,22.69734
6.101421,6.579197,22.53776
5.935976,6.466974,22.24908
5.782559,6.338794,21.87687
5.642705,6.195937,21.47989
5.517814,6.039834,21.12082
5.409129,5.872041,20.85634
5.317739,5.694235,20.72822
5.244556,5.508196,20.75668
5.190312,5.315778,20.93723
5.155549,5.118908,21.24135
5.140614,4.919549,21.62105
5.145656,4.719697,22.01637
5.170624,4.521346,22.3649
5.215271,4.326477,22.61161
5.279148,4.13704,22.71756
5.361618,3.954927,22.66601
5.461857,3.781958,22.46511
5.578864,3.619858,22.14657
5.71147,3.470249,21.76069
5.858347,3.334628,21.36838
6.018032,3.214346,21.03159
6.188928,3.110608,20.80348
6.369324,3.024449,20.72007
6.557423,2.956729,20.79452
6.75134,2.908127,21.01509
6.949143,2.879127,21.34695
7.148851,2.870019,21.7377
7.348473,2.880895,22.12566
7.546011,2.911645,22.44958
7.739493,2.961962,22.65831
7.926983,3.031343,22.7189
8.106609,3.119096,22.62179
8.27658,3.224343,22.3823
8.435194,3.346034,22.03825
8.580867,3.482951,21.64396
8.712141,3.633727,21.26167
8.827707,3.796854,20.95174
8.926414,3.970707,20.7631
9.007268,4.153543,20.72554
9.069466,4.343538,20.84498
9.112385,4.538795,21.10257
9.135596,4.737358,21.45763
9.138869,4.937247,21.85411
9.122169,5.136466,22.22943
9.085665,5.333022,22.52431
9.029719,5.52495,22.69221
8.954893,5.710334,22.70663
8.861933,5.887323,22.56527
8.751767,6.054148,22.29046
8.625498,6.20914,21.9256
8.484386,6.350751,21.52827
8.329842,6.477569,21.16121
8.163405,6.588325,20.88237
7.986748,6.68191,20.73578
7.801628,6.757392,20.74457
7.609897,6.814015,20.90736
7.413472,6.851215,21.19845
7.214316,6.868619,21.57188
7.014415,6.866053,21.9687
6.815769,6.843544,22.32625
6.620364,6.801315,22.58809
6.430151,6.73979,22.71287
6.247029,6.659582,22.68091
6.07283,6.561493,22.49723
5.909295,6.446504,22.19086
5.758056,6.315763,21.81014
5.620622,6.170573,21.41518
5.498372,6.012392,21.06836
5.392525,5.842796,20.82442
5.304137,5.663479,20.72186
5.234093,5.476233,20.7769
5.183093,5.282933,20.98082
5.151645,5.085506,21.30145
5.140063,4.885925,21.68815
5.148465,4.686184,22.07989
5.176765,4.488282,22.4148
5.224681,4.294193,22.64003
5.291735,4.105856,22.72
5.377255,3.925155,22.64209
5.480388,3.753897,22.41861
5.600106,3.593784,22.08482
5.735209,3.446426,21.69344
5.884347,3.313293,21.30626
6.046029,3.195715,20.9844
6.218645,3.094865,20.77867
6.400466,3.011751,20.72155
6.589673,2.947205,20.82207
6.784382,2.90187,21.06435
6.982645,2.8762,21.41015
7.18248,2.870451,21.80486
7.38189,2.884681,22.18618
7.57888,2.918748,22.49389
7.771488,2.972311,22.67943
7.957787,3.044836,22.71349
8.135914,3.135597,22.5907
8.30409,3.243687,22.33045
8.460636,3.368028,21.97382
8.603986,3.507376,21.57711
8.732706,3.660336,21.20297
8.845514,3.825385,20.91046
8.941281,4.000871,20.74575
9.01905,4.185039,20.73485
9.078045,4.376053,20.87949
9.117675,4.572003,21.15683
9.137545,4.770931,21.52308
9.137456,4.970848,21.92042
9.117409,5.169755,22.28611
9.077604,5.365669,22.56243
9.01844,5.556631,22.70575
8.940507,5.740733,22.69344
8.844583,5.916134,22.52744
8.731627,6.081083,22.23397
8.602769,6.233931,21.85935
8.459297,6.373148,21.46274
8.302642,6.497349,21.10673
8.134369,6.605289,20.84755
7.956164,6.69589,20.72611
7.769801,6.76825,20.76158
7.577145,6.821641,20.94837
7.380121,6.855533,21.25698
7.180698,6.869586,21.63869
6.980873,6.863659,22.03323
6.782633,6.837813,22.37832
6.587964,6.792305,22.61949
6.398811,6.72759,22.71864
6.217064,6.644314,22.66012
6.044538,6.543309,22.45318
5.882958,6.425585,22.13049
5.733941,6.292321,21.743
5.598969,6.144843,21.35186
5.479396,5.984628,21.01885
5.376416,5.813278,20.79654
5.291056,5.6325,20.72002
5.22417,5.444104,20.80137
5.176426,5.249971,21.02776
5.148302,5.052042,21.36343
5.140078,4.852297,21.7554
5.151837,4.652722,22.14179
5.183461,4.455326,22.46157
5.234634,4.262069,22.66428
5.304845,4.074886,22.71791
5.393393,3.895648,22.61399
5.499392,3.726145,22.36893
5.621781,3.568074,22.02142
5.759342,3.423009,21.62632
5.910698,3.292401,21.24601
6.074334,3.177559,20.94053
6.248621,3.079625,20.75811
6.431814,2.999579,20.72756
6.622083,2.938223,20.85369
6.817527,2.896168,21.11659
7.016193,2.873836,21.47475
7.216096,2.871448,21.87164
7.415236,2.889029,22.24458
7.611628,2.926404,22.53471
7.803308,2.983198,22.69621
7.988358,3.058843,22.70359
8.164938,3.152588,22.55568
8.331273,3.263492,22.27583
8.485703,3.390444,21.90824
8.626689,3.532182,21.51092
8.752819,3.687285,21.14662
8.862839,3.854211,20.87283
8.95564,4.03128,20.7328
9.030303,4.216735,20.74862
9.086076,4.408711,20.91781
9.122406,4.6053,21.21364
9.138928,4.80453,21.58941
9.135478,5.004417,21.9858
9.11209,5.202959,22.34023
9.068996,5.39818,22.59674
9.00663,5.588117,22.71483
8.925611,5.770885,22.67585
8.826751,5.944649,22.48597
8.71104,6.107672,22.17516
8.57963,6.258331,21.79249
8.433839,6.395117,21.39838
8.275113,6.516668,21.05503
8.105053,6.621763,20.81668
