x,y,z
5.56,3.31,23.57
6.56,3.31,23.57
6.5598,3.31,23.57
6.5598,3.31,23.57
6.557579,3.303333,23.6366
6.550596,3.296667,23.70287
6.539217,3.29,23.7685
6.523497,3.283333,23.8332
6.503508,3.276667,23.89669
6.479342,3.27,23.95869
6.451108,3.263333,24.01892
6.418936,3.256667,24.07712
6.38297,3.25,24.13302
6.343372,3.243333,24.18639
6.300323,3.236667,24.23698
6.254013,3.23,24.28458
6.204652,3.223333,24.32897
6.152461,3.216667,24.36996
6.097673,3.21,24.40738
6.040534,3.203333,24.44104
5.981298,3.196667,24.47082
5.920232,3.19,24.49657
5.857606,3.183333,24.51819
5.793701,3.176666,24.53559
5.7288,3.17,24.54868
5.663193,3.163333,24.55742
5.597172,3.156667,24.56177
5.53103,3.15,24.56171
5.465061,3.143333,24.55725
5.399558,3.136667,24.5484
5.334812,3.13,24.53521
5.27111,3.123333,24.51775
5.208733,3.116667,24.49609
5.147959,3.11,24.47033
5.089055,3.103333,24.44058
5.032283,3.096667,24.407
4.977893,3.09,24.36971
4.926126,3.083333,24.3289
4.877208,3.076667,24.28475
4.831356,3.07,24.23745
4.788771,3.063333,24.18722
4.74964,3.056667,24.13428
4.714136,3.05,24.07887
4.682412,3.043333,24.02124
4.654607,3.036667,23.96164
4.630842,3.03,23.90034
4.61122,3.023333,23.83762
4.595826,3.016667,23.77375
4.584724,3.01,23.70902
4.577962,3.003333,23.64372
4.575566,2.996667,23.57813
4.577544,2.99,23.51255
4.583884,2.983333,23.44727
4.594555,2.976667,23.38258
4.609507,2.97,23.31877
4.628671,2.963333,23.25611
4.651958,2.956666,23.19489
4.679263,2.95,23.13539
4.71046,2.943333,23.07784
4.74541,2.936666,23.02253
4.783954,2.93,22.96968
4.825919,2.923333,22.91954
4.871116,2.916667,22.87232
4.919341,2.91,22.82823
4.97038,2.903333,22.78747
5.024002,2.896667,22.7502
5.079969,2.89,22.71661
5.138029,2.883333,22.68683
5.197925,2.876667,22.66099
5.259387,2.87,22.6392
5.322143,2.863333,22.62157
5.385913,2.856667,22.60816
5.450412,2.85,22.59903
5.515354,2.843333,22.59422
5.58045,2.836667,22.59375
5.645411,2.83,22.59761
5.709948,2.823333,22.60579
5.773775,2.816667,22.61824
5.836609,2.81,22.63492
5.898172,2.803333,22.65574
5.95819,2.796667,22.6806
6.016399,2.79,22.7094
6.072541,2.783333,22.74199
6.126368,2.776667,22.77825
6.177642,2.77,22.818
6.226139,2.763333,22.86106
6.271643,2.756667,22.90723
6.313955,2.75,22.95632
6.35289,2.743333,23.00811
6.388276,2.736667,23.06235
6.41996,2.73,23.11881
6.447802,2.723333,23.17723
6.471681,2.716666,23.23736
6.491496,2.71,23.29893
6.507159,2.703333,23.36166
6.518604,2.696666,23.42527
6.525784,2.69,23.48948
6.52867,2.683333,23.554
6.527251,2.676666,23.61855
6.521538,2.67,23.68284
6.511557,2.663333,23.74658
6.497357,2.656667,23.80949
6.479004,2.65,23.8713
6.456581,2.643333,23.93173
6.430192,2.636667,23.99051
6.399956,2.63,24.04738
6.36601,2.623333,24.10209
6.328507,2.616667,24.1544
6.287618,2.61,24.20408
6.243525,2.603333,24.25091
6.196426,2.596667,24.29468
6.146533,2.59,24.3352
6.09407,2.583333,24.3723
6.03927,2.576667,24.40581
5.98238,2.57,24.43558
5.923654,2.563333,24.46148
5.863352,2.556667,24.48341
5.801746,2.55,24.50127
5.739108,2.543333,24.51498
5.675718,2.536667,24.52448
5.611858,2.53,24.52974
5.547812,2.523333,24.53073
5.483864,2.516666,24.52745
5.4203,2.51,24.51992
5.357399,2.503333,24.50817
5.295442,2.496666,24.49228
5.234704,2.49,24.47229
5.175452,2.483333,24.44831
5.117949,2.476666,24.42044
5.06245,2.47,24.38882
5.0092,2.463333,24.35358
4.958432,2.456666,24.31489
4.910372,2.45,24.27292
4.865231,2.443333,24.22785
4.823206,2.436666,24.17989
4.784484,2.43,24.12926
4.749233,2.423333,24.07618
4.717608,2.416667,24.02089
4.689746,2.41,23.96363
4.665769,2.403333,23.90466
4.64578,2.396667,23.84425
4.629866,2.39,23.78267
4.618094,2.383333,23.72018
4.610514,2.376667,23.65707
4.607156,2.37,23.59361
4.608032,2.363333,23.5301
4.613136,2.356667,23.46681
4.622442,2.35,23.40402
4.635906,2.343333,23.34201
4.653465,2.336667,23.28106
4.675037,2.33,23.22143
4.700525,2.323333,23.16339
4.729813,2.316667,23.1072
4.762767,2.31,23.0531
4.79924,2.303333,23.00134
4.839065,2.296667,22.95214
4.882064,2.29,22.90572
4.928045,2.283333,22.86228
4.976799,2.276667,22.82202
5.028111,2.27,22.78511
5.081748,2.263333,22.75171
5.137471,2.256667,22.72196
