u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
32.5,66.0,54.5,66.0,76.0,66.0,54.5,87.5,54.5,44.0
32.5,66.0,54.5,66.0,76.0,66.0,54.5,87.5,54.5,44.0
32.5,66.0,54.5,66.0,76.0,66.0,54.5,87.5,54.0,44.0
32.5,66.0,54.5,66.0,76.0,66.0,54.5,87.5,55.0,44.0
33.0,66.0,55.0,66.0,76.0,66.0,54.5,87.5,55.0,44.0
33.0,65.5,55.0,66.0,76.0,66.0,54.5,87.5,55.0,44.0
33.0,65.0,55.0,66.0,77.0,65.5,55.0,87.0,55.0,44.0
32.5,65.5,55.0,65.0,77.0,65.5,55.0,87.5,55.0,43.5
34.0,65.0,55.5,65.5,78.0,65.0,55.5,87.5,55.5,43.5
34.5,65.5,56.5,65.5,78.5,65.5,56.5,87.5,56.5,43.5
34.5,65.5,57.0,65.0,78.5,65.5,56.5,87.5,56.5,43.5
35.0,65.5,57.0,65.0,79.0,65.0,56.5,87.5,57.0,43.5
35.5,65.0,58.0,65.5,79.0,65.0,58.0,87.0,58.0,43.0
36.5,65.5,58.5,65.5,80.5,65.5,59.0,87.0,58.5,43.5
37.0,65.0,59.0,65.0,81.0,65.0,59.0,87.0,59.0,43.0
38.0,65.0,59.5,65.0,82.0,65.5,59.0,87.0,59.0,43.5
38.5,65.5,61.0,65.0,82.5,65.5,60.0,87.0,60.5,43.5
38.5,65.5,61.0,65.0,82.5,65.5,60.5,87.0,61.0,44.0
39.0,66.0,63.0,65.5,84.0,65.0,61.0,87.0,61.0,43.0
40.5,65.5,62.5,65.5,84.5,65.5,63.0,87.0,63.0,43.0
41.0,65.5,63.0,66.0,84.5,65.5,63.0,87.0,63.0,43.0
41.0,65.0,63.0,65.5,85.0,65.0,63.0,87.0,63.0,43.5
42.5,65.5,63.5,65.5,86.0,65.5,63.5,87.0,64.0,44.0
42.5,65.5,64.0,66.0,86.5,65.5,64.0,87.0,64.5,43.5
43.0,65.0,64.5,65.0,87.0,65.0,64.5,87.0,65.0,43.0
44.5,65.5,65.0,65.0,89.0,65.0,67.0,87.0,66.5,43.0
44.5,65.5,66.5,65.0,89.0,65.0,67.0,87.0,67.0,43.0
46.0,65.0,68.0,65.0,89.5,65.0,67.5,86.5,68.0,43.0
46.5,65.5,68.0,65.0,90.5,65.5,68.0,87.0,68.0,43.0
46.5,65.5,68.5,65.5,90.5,65.5,68.0,87.0,68.0,43.0
46.5,65.0,69.0,65.0,92.0,65.0,69.5,87.0,70.0,43.0
48.0,65.5,70.0,65.0,92.5,65.5,70.5,86.5,70.5,42.5
49.0,65.0,70.5,65.5,92.5,65.5,70.5,86.5,70.5,42.5
49.0,65.0,70.5,65.5,93.5,65.5,71.0,87.0,71.0,43.0
