x,y,z
7.14,3.31,23.57
6.074737,3.31,23.57
6.074737,3.31,23.57
6.074737,3.31,23.57
6.130822,3.276348,23.5027
6.20526,3.247591,23.44518
6.297053,3.225423,23.40085
6.404801,3.211388,23.37278
6.526731,3.206831,23.36366
6.660739,3.212849,23.3757
6.804437,3.230249,23.4105
6.955213,3.259521,23.46904
7.110289,3.300809,23.55162
7.266794,3.353903,23.65781
7.421826,3.418231,23.78646
7.572525,3.492869,23.93574
7.71614,3.576558,24.10312
7.850096,3.667732,24.28546
7.972051,3.764552,24.4791
8.079957,3.864954,24.67991
8.172096,3.966698,24.8834
8.247128,4.067427,25.08485
8.304112,4.164729,25.27946
8.342526,4.256199,25.4624
8.362272,4.339506,25.62901
8.363674,4.412455,25.77491
8.347458,4.473049,25.8961
8.314727,4.519545,25.98909
8.266932,4.550502,26.051
8.205816,4.564828,26.07966
8.133376,4.561811,26.07362
8.051795,4.541145,26.03229
7.963387,4.50294,25.95588
7.870528,4.44773,25.84546
7.775596,4.376461,25.70292
7.680905,4.290476,25.53095
7.588645,4.19148,25.33296
7.500821,4.081504,25.11301
7.419209,3.962862,24.87572
7.345308,3.838084,24.62617
7.280306,3.709864,24.36973
7.225055,3.580991,24.11198
7.180055,3.454281,23.85856
7.145447,3.332505,23.61501
7.121022,3.218323,23.38665
7.106232,3.114218,23.17844
7.100219,3.022431,22.99486
7.101845,2.944909,22.83982
7.109737,2.883257,22.71651
7.122335,2.838695,22.62739
7.137943,2.812033,22.57407
7.154791,2.803652,22.5573
7.171091,2.813493,22.57698
7.185095,2.841061,22.63212
7.195161,2.885446,22.72089
7.199798,2.945339,22.84068
7.197723,3.019075,22.98815
7.187903,3.104674,23.15935
7.16959,3.199893,23.34978
7.142351,3.302287,23.55457
7.106085,3.409271,23.76854
7.061033,3.518189,23.98638
7.007774,3.626378,24.20276
6.947217,3.73124,24.41248
6.880569,3.830304,24.61061
6.809321,3.92129,24.79258
6.73519,4.002162,24.95432
6.660083,4.071181,25.09236
6.58604,4.126939,25.20388
6.515176,4.168396,25.28679
6.449622,4.194898,25.3398
6.391459,4.206184,25.36237
6.342659,4.202394,25.35479
6.305027,4.184049,25.3181
6.280143,4.152034,25.25407
6.26931,4.107565,25.16513
6.273515,4.05215,25.0543
6.293393,3.987542,24.92509
6.329202,3.915684,24.78137
6.380802,3.838653,24.6273
6.44766,3.758595,24.46719
6.528845,3.677668,24.30534
6.623055,3.597978,24.14595
6.728632,3.521516,23.99303
6.843611,3.450111,23.85022
6.965758,3.38537,23.72074
7.09262,3.328646,23.60729
7.221592,3.280991,23.51198
7.349977,3.243141,23.43628
7.475051,3.215493,23.38099
7.594132,3.198099,23.3462
7.704649,3.190676,23.33135
7.804206,3.192614,23.33523
7.890638,3.202999,23.356
7.962075,3.220654,23.39131
8.016982,3.244168,23.43834
8.054201,3.271954,23.49391
8.072981,3.302294,23.55459
8.072995,3.333399,23.6168
8.054351,3.363466,23.67693
8.017586,3.390737,23.73147
7.963655,3.413558,23.77712
7.893905,3.430433,23.81087
7.810039,3.440072,23.83014
7.714074,3.441436,23.83287
7.608291,3.433777,23.81755
7.49517,3.416661,23.78332
7.377334,3.389989,23.72998
7.257483,3.354007,23.65801
7.138317,3.309305,23.56861
7.022478,3.256801,23.4636
6.912478,3.197726,23.34545
6.810643,3.133588,23.21717
6.719051,3.066136,23.08227
6.639485,2.997312,22.94462
6.573395,2.929196,22.80839
6.52186,2.863952,22.6779
6.485571,2.803762,22.55752
6.464817,2.750768,22.45154
6.459486,2.707007,22.36401
6.469076,2.67435,22.2987
6.492713,2.65445,22.2589
6.529185,2.648685,22.24737
6.576976,2.658119,22.26624
6.634321,2.683461,22.31692
6.699248,2.725042,22.40008
6.769649,2.782794,22.51559
6.843328,2.856248,22.66249
6.918076,2.944532,22.83907
6.991722,3.046394,23.04279
7.062201,3.160218,23.27044
7.12761,3.284068,23.51814
7.186252,3.415726,23.78145
7.23669,3.552745,24.05549
7.277775,3.692508,24.33502
7.308681,3.832293,24.61459
7.32892,3.969334,24.88867
7.338348,4.100893,25.15179
7.337167,4.224328,25.39865
7.325908,4.337154,25.62431
7.305417,4.437106,25.82421
7.276814,4.522198,25.9944
7.241463,4.590769,26.13154
7.200922,4.641523,26.23305
7.156894,4.673563,26.29713
7.111167,4.686408,26.32282
7.065566,4.680008,26.31001
7.021883,4.654738,26.25948
6.981832,4.611391,26.17278
6.946984,4.551153,26.05231
6.918724,4.475571,25.90114
6.898203,4.386511,25.72302
6.886304,4.286113,25.52223
6.883611,4.176725,25.30345
6.890386,4.060857,25.07171
6.906566,3.9411,24.8322
6.931755,3.820073,24.59015
6.965239,3.700347,24.35069
7.006004,3.584389,24.11878
7.052763,3.474497,23.89899
7.103996,3.372745,23.69549
7.157991,3.280936,23.51187
7.212898,3.200559,23.35112
7.266785,3.132762,23.21552
7.31769,3.078324,23.10665
7.363691,3.037647,23.02529
7.402957,3.010756,22.97151
7.433813,2.997307,22.94461
7.454784,2.996606,22.94321
7.464657,3.00764,22.96528
7.462513,3.029115,23.00823
7.447764,3.059498,23.06899
7.420181,3.097071,23.14414
7.379904,3.139988,23.22997
7.327454,3.186331,23.32266
7.263718,3.234173,23.41835
7.189944,3.281634,23.51327
7.107705,3.326944,23.60389
7.01887,3.36849,23.68698
6.925557,3.40487,23.75974
6.830079,3.434932,23.81986
6.73489,3.457808,23.86562
6.642522,3.472939,23.89588
6.555517,3.480088,23.91018
6.476361,3.47935,23.9087
6.40742,3.471143,23.89229
6.350875,3.456195,23.86239
6.308663,3.435518,23.82104
6.282423,3.410378,23.77076
6.273451,3.382251,23.7145
6.28266,3.352775,23.65555
6.310554,3.323702,23.5974
6.35721,3.296836,23.54367
6.422269,3.273977,23.49795
6.504944,3.256861,23.46372
6.604033,3.247104,23.44421
6.717942,3.246148,23.4423
6.844727,3.255206,23.46041
6.982136,3.275226,23.50045
7.127664,3.306848,23.5637
7.278611,3.350381,23.65076
7.432144,3.405782,23.76156
7.585371,3.472648,23.8953
7.735408,3.55022,24.05044
7.879444,3.637394,24.22479
8.014812,3.732743,24.41549
8.139055,3.834548,24.6191
8.249976,3.940844,24.83169
8.345692,4.049462,25.04892
8.424679,4.158088,25.26618
8.485799,4.264322,25.47865
8.528327,4.365738,25.68148
8.551962,4.459953,25.86991
8.556826,4.544691,26.03938
8.543453,4.617841,26.18568
8.512773,4.677522,26.30504
8.466075,4.722129,26.39426
8.40497,4.750388,26.45078
8.331346,4.761388,26.47278
8.247305,4.754614,26.45923
8.155113,4.729962,26.40992
8.057133,4.687752,26.3255
7.955757,4.628723,26.20745
7.853348,4.554018,26.05803
7.75217,4.465161,25.88032
7.654339,4.364028,25.67806
7.561758,4.252793,25.45559
7.476077,4.133881,25.21776
7.39865,4.009911,24.96982
7.330507,3.88363,24.71726
7.272335,3.757848,24.46569
7.22446,3.635362,24.22072
7.186855,3.518896,23.98779
7.159148,3.411026,23.77205
7.140639,3.314118,23.57824
7.130334,3.230272,23.41054
7.12698,3.161266,23.27253
7.129113,3.108515,23.16703
7.135107,3.073035,23.09607
7.143229,3.055423,23.06085
7.151704,3.055836,23.06167
7.158767,3.073998,23.098
7.162723,3.109201,23.1684
7.162011,3.160331,23.27066
7.155247,3.2259,23.4018
7.141279,3.304077,23.55815
7.119223,3.392743,23.73549
7.088494,3.489554,23.92911
7.048837,3.591983,24.13397
7.000329,3.69741,24.34482
6.943394,3.803164,24.55633
6.878784,3.906618,24.76324
6.807575,4.005226,24.96045
6.731125,4.096619,25.14324
6.651056,4.178632,25.30726
6.569193,4.249382,25.44876
6.487527,4.307295,25.56459
6.408148,4.351154,25.65231
6.333197,4.380114,25.71023
6.264791,4.393728,25.73746
6.204974,4.391943,25.73389
6.155648,4.3751,25.7002
6.118513,4.343913,25.63783
6.095026,4.299447,25.54889
6.086339,4.243075,25.43615
6.093272,4.176447,25.30289
6.116277,4.101422,25.15284
6.155417,4.020029,24.99006
6.210361,3.934391,24.81878
6.280375,3.846682,24.64336
6.364347,3.759043,24.46809
6.46079,3.673543,24.29709
6.567897,3.592103,24.1342
6.683555,3.516457,23.98291
6.805425,3.448094,23.84619
6.930969,3.388229,23.72646
7.057526,3.337769,23.62554
7.182385,3.297285,23.54457
7.302832,3.267012,23.48402
7.416239,3.24684,23.44368
7.520111,3.236327,23.42266
7.612169,3.234717,23.41943
7.690385,3.240965,23.43193
7.753058,3.253783,23.45757
7.798835,3.271671,23.49334
7.826762,3.29298,23.53596
7.836299,3.315957,23.58191
7.827338,3.338809,23.62762
7.800201,3.359756,23.66951
7.755641,3.377095,23.70419
7.694808,3.389254,23.72851
7.619236,3.394843,23.73969
7.530787,3.392704,23.73541
7.431617,3.381948,23.7139
7.324109,3.36199,23.67398
7.210826,3.332575,23.61515
7.094428,3.293783,23.53757
6.977626,3.246043,23.44209
6.863088,3.19012,23.33024
6.753402,3.127104,23.20421
6.650982,3.058374,23.06675
6.558036,2.985576,22.92115
6.47649,2.910567,22.77113
6.40796,2.835373,22.62075
6.353708,2.762135,22.47427
6.314611,2.693034,22.33607
6.291153,2.630252,22.2105
6.283414,2.575888,22.10178
6.291077,2.531912,22.01382
6.313443,2.500095,21.95019
6.349454,2.481965,21.91393
6.397735,2.47875,21.9075
6.456628,2.491346,21.93269
6.524253,2.520278,21.99056
6.598551,2.565681,22.08136
6.677357,2.627292,22.20458
6.758452,2.70444,22.35888
6.839628,2.796061,22.54212
6.918757,2.900723,22.75145
6.993836,3.016641,22.98328
7.063055,3.141741,23.23348
7.124832,3.273677,23.49735
7.177866,3.409921,23.76984
7.221158,3.547787,24.04557
7.254043,3.684533,24.31907
7.276196,3.817392,24.58479
7.287641,3.943676,24.83735
7.288739,4.060805,25.07161
7.280176,4.166409,25.28282
7.262931,4.258349,25.4667
7.238244,4.334804,25.61961
7.207573,4.394289,25.73858
