u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
56.0,44.5,98.0,53.0,82.0,44.0,78.5,86.0,126.0,87.0,36.0,76.0
54.0,43.0,97.0,52.0,80.5,44.0,77.0,85.0,123.5,86.5,35.0,76.0
51.0,42.0,93.5,51.5,78.0,43.0,74.0,84.0,121.0,86.0,32.5,75.5
46.5,42.0,89.5,51.5,73.0,43.0,70.0,84.0,115.0,85.0,27.0,75.0
42.0,43.0,85.0,52.0,69.0,43.0,65.0,84.5,110.0,86.0,21.5,75.5
37.0,44.0,81.0,53.0,65.0,44.0,60.5,85.5,104.5,87.0,17.0,77.0
33.0,46.0,74.5,55.0,57.5,46.0,54.5,87.5,98.0,88.0,10.0,79.0
28.0,48.0,70.0,58.0,53.5,48.0,50.5,90.0,93.0,91.0,4.0,82.0
23.0,51.0,66.0,60.5,49.0,51.0,46.19255548260071,92.67327799373018,88.5,93.5,0.0,85.0
19.0,54.0,62.5,63.5,46.0,54.0,42.5,95.5,85.5,96.0,-2.922911023433729,87.89113869946453
17.0,57.0,61.0,66.0,33.0,125.0,40.5,98.5,83.0,99.0,-4.935740831657728,90.68711093311197
16.5,59.5,60.0,68.0,42.0,59.0,38.5,101.5,81.5,101.5,-6.038489424671999,93.38791670094234
16.0,62.0,59.5,70.0,42.0,61.0,38.5,103.5,81.5,103.5,-6.231156802476539,95.99355600295561
17.0,64.0,60.0,72.0,33.0,125.0,39.318257421170415,104.71900211045963,81.5,105.5,-5.568764255647235,98.37323556105596
19.0,64.0,61.0,72.5,44.0,63.0,40.5,105.5,83.5,106.0,-4.3814395276394,99.74219570666813
20.5,64.0,62.63772921284695,72.28032716522,39.5,94.0,42.0,106.0,85.0,106.5,-2.7242039090289145,99.96964316169614
22.5,63.5,64.95380267622868,71.5186180732851,33.0,125.0,44.5,105.5,87.5,106.0,-0.5970573998157818,99.05557792614013
28.270939799582592,92.23323442214361,67.8293368473619,70.19562179401329,32.5,125.0,47.201858306392616,103.88077524105142,90.69753418733147,104.45477256904894,2.0,97.0
36.704337125991785,141.12917818829726,70.55103046954677,68.19583274631228,32.5,125.0,49.97791205954199,101.22187848734417,94.0,102.0,5.0,94.0
38.0,125.0,73.0,65.5,32.5,125.0,53.0,98.0,96.9254380406122,98.74074164277053,8.0,91.0
33.0,53.0,75.17624543872162,62.108123555076524,32.5,125.0,56.0,94.5,99.47384830916813,94.67699749736059,11.0,87.0
35.0,49.5,77.0,58.5,61.0,49.5,57.5,91.5,101.53533442314,90.52475460327034,14.0,83.0
37.0,46.0,78.5,55.0,62.5,45.5,59.0,87.0,103.0,87.0,15.0,78.5
37.0,42.0,80.0,51.0,64.0,42.0,60.5,83.5,104.0,84.0,16.5,74.5
37.0,38.0,80.0,48.0,65.0,39.0,61.0,80.5,105.0,81.0,16.5,71.5
37.0,35.0,80.0,45.0,65.0,36.0,61.0,78.0,104.5,78.5,17.0,69.0
36.0,34.0,79.0,44.0,64.0,35.0,60.0,77.0,104.0,77.0,16.5,68.5
36.0,34.0,79.0,44.0,63.0,35.0,60.0,77.0,103.0,77.0,15.5,67.5
35.5,34.5,78.0,45.0,63.0,35.0,59.5,77.5,103.0,78.0,15.0,68.0
35.0,37.0,78.0,47.0,62.5,37.0,59.0,80.0,102.5,80.0,14.0,70.5
36.0,40.0,78.5,50.0,62.0,41.0,59.0,82.0,102.5,83.0,14.5,73.0
36.5,43.5,78.0,53.0,62.0,44.0,60.0,85.5,103.0,86.0,15.5,77.0
38.0,47.0,80.0,56.0,64.5,47.0,60.5,89.0,105.0,90.0,17.0,80.0
40.0,50.0,82.0,59.5,65.0,50.0,63.0,92.0,106.0,94.0,19.0,84.0
41.0,51.0,83.0,61.0,66.0,53.0,64.0,94.5,108.0,96.0,20.5,86.5
44.0,55.0,86.0,64.0,68.0,56.0,66.5,97.5,110.5,99.5,22.5,88.5
46.0,57.0,88.0,66.0,70.0,58.0,68.0,99.0,113.5,101.5,25.5,90.0
47.0,57.0,89.5,67.5,72.0,58.5,70.0,100.0,115.5,103.0,27.5,91.5
49.0,57.5,91.0,68.0,74.5,59.0,72.0,100.0,117.5,103.5,29.0,92.0
50.5,57.5,92.5,67.0,74.5,59.0,73.0,100.0,119.0,103.0,30.5,91.0
50.5,57.5,93.0,66.0,76.0,58.0,73.5,99.0,120.0,102.0,31.0,90.0
51.0,55.0,93.0,65.5,76.0,57.5,73.34111920560525,97.72279932890407,120.0,100.0,31.0,89.0
50.5,53.5,92.5,62.5,32.0,125.0,72.5,95.5,118.5,97.5,30.5,86.0
48.5,51.0,91.0,60.0,73.0,52.0,71.0,92.0,116.5,94.5,28.0,83.5
46.0,49.0,88.0,57.5,70.0,50.0,68.5,90.0,113.0,92.0,25.0,82.0
41.0,46.5,83.5,55.5,67.0,47.5,64.0,88.5,109.0,90.0,21.0,80.0
38.0,45.0,80.5,54.0,64.0,45.0,62.0,86.0,105.0,88.0,18.0,78.0
33.0,43.0,76.0,53.0,59.0,44.0,56.0,85.0,100.0,86.0,12.0,76.0
29.0,42.0,72.0,52.0,56.0,43.0,53.0,84.0,96.0,85.0,8.0,76.0
25.0,42.0,68.0,52.0,52.5,42.5,49.0,84.0,92.0,84.0,3.0,75.0
21.0,42.0,65.0,52.0,49.0,42.0,46.0,84.0,89.0,84.5,0.5,75.5
20.0,42.5,64.0,52.0,47.0,42.5,44.0,84.5,86.0,85.0,-0.9877397629258695,76.41382058476803
18.5,43.5,63.0,53.0,46.0,43.0,43.5,85.5,85.5,86.0,-1.8416393486770648,77.4646053654076
18.5,44.5,63.0,55.0,46.0,45.0,43.0,87.0,86.0,87.0,-2.037686875538282,78.61480454661653
