u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.0,44.0,73.0,53.0,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.0,43.0,73.0,53.0,57.0,44.0,53.5,85.5,97.0,86.0,8.5,76.5
30.0,43.0,73.0,53.0,57.0,43.0,53.0,85.0,97.0,87.0,8.0,76.5
30.0,43.0,73.0,53.0,57.0,43.0,53.0,85.0,96.5,86.5,8.0,76.0
29.0,43.0,72.5,52.5,57.0,43.0,53.0,85.0,96.5,86.5,8.0,76.0
29.0,43.0,72.5,52.5,56.0,43.0,52.0,85.0,96.0,86.0,7.0,77.0
28.0,43.0,71.5,52.5,56.5,43.0,52.0,85.0,95.0,86.0,6.0,77.0
28.0,43.0,71.0,53.0,55.0,43.0,52.0,85.0,95.0,86.0,6.0,77.0
27.5,43.0,71.0,53.0,55.0,43.0,52.0,85.0,94.0,86.0,5.0,76.0
27.0,43.0,70.5,52.5,55.0,43.5,51.5,85.5,94.0,86.0,5.0,76.5
26.0,43.0,70.0,53.0,54.0,43.0,50.5,85.5,94.0,86.0,4.0,77.0
26.0,43.0,69.5,53.5,53.5,43.5,50.0,85.5,93.0,86.0,3.5,77.5
25.5,43.5,69.0,53.5,53.0,44.0,49.0,86.0,93.0,87.0,3.0,78.0
25.0,44.0,69.0,54.0,53.0,44.0,49.0,86.0,92.0,87.0,3.0,78.0
25.0,44.5,68.0,54.0,52.0,44.5,49.0,87.0,92.0,87.0,1.0,79.0
24.0,45.0,68.0,55.0,52.0,45.0,48.5,87.5,91.0,87.0,1.0,79.0
23.0,46.0,67.0,55.0,51.0,46.0,48.0,87.5,91.0,87.5,1.0,79.5
23.0,46.0,66.5,55.5,51.0,46.0,47.0,89.0,90.0,89.0,0.5,81.0
23.0,47.0,66.5,57.0,50.5,47.5,46.5,89.5,90.0,90.0,0.0,82.0
23.0,48.0,66.5,57.5,50.0,48.0,46.5,90.0,90.0,91.0,0.0,82.0
22.0,49.0,66.0,58.0,50.0,49.0,46.0,91.0,89.0,91.0,0.0,83.0
22.0,49.0,66.0,59.0,50.0,49.0,46.0,92.0,89.0,92.0,0.0,84.0
22.0,50.0,66.0,60.0,50.0,50.0,46.0,92.5,89.0,93.0,0.0,85.0
22.0,51.5,66.0,61.0,50.0,51.0,46.0,93.5,89.0,94.0,0.0,86.0
22.0,52.0,66.0,61.5,50.0,51.5,46.0,94.0,89.0,95.0,,
22.0,53.0,66.0,62.0,50.0,53.0,46.0,95.5,89.0,96.0,,
22.5,54.0,66.0,63.5,50.0,53.5,46.0,96.0,89.0,97.0,0.0,89.0
23.0,55.0,66.0,64.0,50.0,55.0,46.0,97.5,89.0,98.0,0.0,90.5
23.0,56.0,66.5,65.5,50.0,56.0,47.0,98.0,90.0,99.0,0.5,91.5
24.0,57.0,67.0,66.0,50.5,56.5,46.5,99.5,90.5,100.0,0.0,92.5
24.0,58.0,68.0,67.0,51.0,58.0,47.0,100.0,91.0,101.0,0.5,94.0
25.0,59.0,68.0,67.5,51.5,58.0,48.0,101.0,91.0,102.0,1.0,94.5
25.5,59.5,68.5,68.5,52.0,59.5,48.5,102.0,92.0,103.0,2.0,95.0
26.0,60.0,69.0,69.0,53.0,60.0,49.0,103.0,93.0,104.0,3.0,96.0
27.0,61.0,70.0,70.0,53.5,60.5,50.0,104.0,93.5,105.0,4.0,97.0
28.0,62.0,71.0,70.5,54.0,62.0,51.0,105.0,94.5,106.0,5.0,98.0
29.0,62.5,72.0,71.5,55.0,62.0,51.5,105.0,96.0,107.0,6.0,98.0
30.0,63.0,72.5,71.5,56.0,63.0,52.5,106.0,96.5,107.5,7.0,99.0
31.0,64.0,73.5,72.0,57.0,63.0,54.0,106.0,98.0,108.0,8.0,99.0
32.0,64.0,75.0,73.0,58.0,64.0,54.5,107.0,99.0,109.0,9.0,100.0
33.0,64.0,76.0,73.0,59.0,64.0,55.0,107.0,100.0,109.0,10.5,100.0
34.5,64.5,76.5,73.5,60.0,64.0,57.0,108.0,101.0,110.0,12.0,100.0
35.5,64.5,78.0,73.5,61.0,65.0,58.0,108.0,102.0,110.0,13.0,100.0
36.0,65.0,78.5,73.5,62.0,65.0,59.0,108.5,104.0,110.0,14.0,100.0
38.0,65.0,80.0,73.5,63.5,65.0,60.0,108.0,105.0,111.0,16.0,100.5
39.0,65.0,81.0,74.0,64.0,66.0,61.5,108.0,106.5,111.0,17.0,100.5
40.5,64.5,82.0,74.0,65.0,65.0,62.0,109.0,107.5,111.0,19.0,100.0
41.0,64.0,83.0,74.0,66.0,65.0,63.0,108.0,109.0,111.0,19.5,100.0
42.0,64.0,84.0,73.0,67.0,64.0,64.0,107.5,110.0,110.5,21.0,99.0
43.0,63.5,85.0,73.0,68.0,64.0,66.0,107.0,112.0,110.0,22.0,99.0
44.0,63.0,86.5,72.0,69.0,64.0,66.5,107.0,113.0,110.0,23.0,98.0
45.0,63.0,87.0,72.0,70.0,64.0,67.5,106.0,114.0,109.0,24.0,97.0
46.0,62.0,88.0,71.0,70.5,63.0,68.5,105.0,115.0,109.0,25.0,97.0
46.5,61.5,89.0,70.5,52.5,93.5,69.0,104.5,116.0,108.0,26.0,96.0
47.0,61.0,90.0,69.5,73.0,62.0,70.0,104.0,117.0,107.0,27.0,95.0
48.0,59.5,90.0,69.0,74.0,60.5,71.0,103.0,118.0,106.0,28.0,94.0
49.0,59.0,91.0,68.0,74.0,60.0,71.5,102.0,118.0,105.0,28.0,93.0
49.0,58.0,91.5,67.5,75.0,59.0,72.0,101.0,118.5,104.5,29.0,92.0
50.0,57.5,92.0,67.0,75.5,58.0,73.0,100.5,119.5,103.0,30.0,91.0
50.5,56.5,93.0,66.0,76.0,58.0,73.0,99.0,120.0,103.0,30.0,90.0
51.0,56.0,93.0,65.0,76.5,56.5,73.0,98.0,121.0,102.0,31.0,89.0
51.0,55.0,93.5,64.0,77.0,56.0,74.0,97.5,121.0,101.0,30.5,88.5
51.0,54.0,93.5,63.0,77.0,55.0,74.0,96.5,121.0,99.0,31.0,87.5
51.0,53.0,94.0,62.0,77.0,54.0,74.0,96.0,121.0,98.0,31.0,86.0
51.0,52.0,94.0,61.0,77.0,52.5,74.0,94.0,122.0,97.0,31.5,85.5
51.0,51.0,94.0,60.0,77.0,52.0,74.0,94.0,121.5,96.5,31.0,84.0
51.0,50.0,94.0,59.0,77.0,51.0,74.0,93.0,121.5,94.5,31.5,83.5
51.5,49.5,94.0,59.0,77.0,50.5,74.0,91.5,121.0,94.0,31.0,83.0
51.0,49.0,93.5,58.0,77.0,50.0,74.0,91.0,121.0,93.0,31.0,82.0
51.0,48.0,93.5,57.0,77.0,49.0,74.0,90.0,120.0,92.5,31.0,81.0
51.0,47.0,93.0,56.0,77.0,48.0,73.5,89.5,120.0,92.0,31.0,81.0
50.0,47.0,93.0,56.0,76.0,48.0,73.5,88.5,119.0,91.0,30.0,80.0
