x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.444528,3.462816,23.77356
7.740277,3.614528,23.97452
8.018719,3.764042,24.17028
8.271828,3.910277,24.35834
8.492305,4.052177,24.53628
8.673795,4.188719,24.70183
8.811064,4.318916,24.85285
8.900156,4.441827,24.98742
8.938502,4.556567,25.10379
8.924996,4.662305,25.20049
8.860028,4.758278,25.27627
8.745471,4.843794,25.33016
8.584627,4.918236,25.36146
8.382134,4.981064,25.36977
8.14383,5.031826,25.355
7.876585,5.070156,25.31732
7.588103,5.095777,25.25722
7.286703,5.108502,25.17547
6.981073,5.108242,25.07312
6.680025,5.094996,24.95149
6.392239,5.068862,24.81213
6.126011,5.030029,24.65684
5.889016,4.978775,24.4876
5.688087,4.915471,24.30659
5.529019,4.840576,24.11612
5.416395,4.754628,23.91865
5.353464,4.658249,23.7167
5.34204,4.552135,23.51287
5.382451,4.437052,23.30978
5.473534,4.31383,23.11003
5.612661,4.183361,22.91617
5.795823,4.046585,22.73071
6.017737,3.90449,22.55601
6.272008,3.758104,22.39432
6.551302,3.608481,22.24772
6.84757,3.456703,22.11809
7.152267,3.303866,22.00708
7.456612,3.151073,21.91613
7.751829,2.999428,21.8464
8.029405,2.850025,21.79878
8.28134,2.703944,21.77389
8.500369,2.562239,21.77204
8.680179,2.425933,21.79326
8.815584,2.296011,21.83728
8.902682,2.17341,21.90353
8.938961,2.059016,21.99117
8.923374,1.953655,22.09906
8.856373,1.858088,22.22582
8.739887,1.773004,22.36983
8.577276,1.699019,22.52924
8.373228,1.636666,22.70201
8.133624,1.586395,22.88591
7.865376,1.548571,23.07859
7.576213,1.523464,23.27757
7.274474,1.511258,23.4803
6.968858,1.51204,23.68419
6.668177,1.525804,23.88661
6.381098,1.552451,24.08497
6.115899,1.591789,24.27672
5.880225,1.643534,24.4594
5.68087,1.707312,24.63068
5.523584,1.782661,24.78834
5.412899,1.86904,24.93037
5.352008,1.965823,25.05494
5.342665,2.072312,25.16047
5.38514,2.187738,25.24558
5.478209,2.311266,25.3092
5.619189,2.442008,25.3505
5.804013,2.579016,25.36896
6.027354,2.721302,25.36434
6.282774,2.867839,25.33669
6.56291,3.01757,25.28637
6.859678,3.16941,25.21404
7.164534,3.322267,25.1206
7.468682,3.475036,25.00727
7.763352,3.626612,24.87551
8.04005,3.775902,24.72699
8.290801,3.921829,24.56362
8.50837,4.063335,24.38751
8.686492,4.199405,24.20091
8.820026,4.329051,24.00621
8.905126,4.451339,23.80592
8.939336,4.565387,23.6026
8.92167,4.670369,23.39886
8.852637,4.765529,23.19731
8.734229,4.850179,23.00055
8.569858,4.923707,22.8111
8.364264,4.985584,22.63138
8.123371,5.035363,22.4637
7.854131,5.072682,22.31022
7.564301,5.097274,22.17291
7.262237,5.108961,22.05352
6.95665,5.107658,21.95358
6.65635,5.093375,21.87439
6.369991,5.066214,21.81695
6.105834,5.026372,21.78201
5.871491,4.974138,21.77
5.673721,4.909887,21.7811
5.518224,4.834084,21.81514
5.409484,4.747277,21.8717
5.350635,4.65009,21.95005
5.343374,4.543228,22.04919
5.387912,4.42746,22.16784
5.482963,4.303624,22.30448
5.625786,4.172613,22.45736
5.812263,4.035376,22.62451
6.037024,3.892897,22.80379
6.29358,3.746213,22.99291
6.574543,3.596376,23.18943
6.871803,3.444474,23.39083
7.176798,3.2916,23.59453
7.480732,3.138858,23.79792
7.774843,2.987353,23.99838
8.050652,2.838177,24.19335
8.300204,2.692408,24.38032
