u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
36.5,44.0,78.5,53.5,63.0,44.0,60.0,85.5,103.5,87.0,16.0,77.0
35.0,46.5,77.5,55.5,61.0,47.0,58.0,88.0,102.0,89.5,14.0,80.0
34.0,49.0,76.0,58.0,46.0,86.5,56.5,90.5,100.0,91.5,12.0,82.0
32.5,50.0,75.0,60.0,58.5,50.5,55.0,92.0,98.5,93.5,10.0,84.0
31.0,52.0,73.5,61.5,56.5,52.0,54.0,94.0,96.5,95.5,8.5,86.0
29.5,53.5,,,,,52.5,95.5,96.0,96.0,7.0,88.0
28.5,54.5,71.0,64.0,54.5,54.5,51.0,96.0,94.0,97.0,6.0,89.0
27.5,55.0,70.0,64.0,54.0,54.5,50.0,97.0,93.0,98.0,4.0,90.0
26.5,55.5,70.0,64.0,52.5,54.5,49.0,97.0,92.0,98.0,3.0,90.0
26.0,55.0,68.5,64.0,52.0,54.5,48.5,97.0,91.5,97.5,2.5,89.5
25.5,54.0,68.5,63.5,51.5,53.5,48.5,95.5,,,2.5,89.0
25.0,53.0,68.0,62.5,51.5,53.0,48.0,95.0,90.5,95.5,2.0,87.5
24.5,51.5,68.0,60.5,51.0,51.0,48.0,92.5,90.5,93.5,2.0,85.5
25.0,49.0,68.0,59.0,51.5,49.5,48.5,91.5,90.5,91.5,2.0,83.5
25.0,47.5,68.0,57.5,52.0,48.0,48.5,89.5,91.0,90.0,3.0,82.0
25.5,45.5,68.5,55.0,52.5,45.0,49.5,86.5,92.0,87.0,3.0,79.0
26.0,43.0,69.0,53.0,53.0,43.0,49.0,85.0,92.0,85.0,4.0,76.0
27.0,40.0,71.0,49.0,54.0,41.0,51.0,83.0,92.0,83.0,6.0,74.0
28.0,38.0,71.0,48.0,55.0,39.0,52.0,81.0,94.5,81.5,6.0,72.0
29.0,36.0,71.0,47.5,56.0,38.0,52.0,79.0,95.0,79.0,7.0,70.0
30.0,35.0,70.5,49.5,57.0,35.0,52.0,78.0,94.0,82.0,9.0,68.0
31.0,34.0,74.5,44.5,58.5,34.0,,,98.0,77.0,11.0,67.0
33.0,32.0,75.0,43.0,60.0,33.0,57.0,74.0,99.0,75.0,12.0,65.5
35.5,32.0,77.0,42.0,62.0,32.0,58.0,75.0,101.0,74.0,13.5,65.5
36.0,31.5,79.0,42.0,63.0,32.0,60.0,74.0,103.0,74.5,16.0,65.0
38.0,32.0,80.0,42.0,65.0,33.0,61.0,75.0,105.0,75.0,17.5,65.0
39.0,33.0,82.0,43.0,66.0,34.0,62.5,76.0,106.5,76.0,20.0,66.0
41.0,34.0,83.0,44.0,68.0,35.0,64.0,76.0,108.0,77.0,21.0,68.0
43.0,36.0,85.0,45.0,69.0,37.0,66.0,78.0,110.0,78.0,22.0,69.0
44.0,38.0,87.0,47.0,70.0,39.0,67.0,79.5,111.0,81.0,24.0,70.0
46.0,40.0,88.0,50.0,71.0,41.0,68.0,82.0,112.5,83.0,25.0,73.0
46.5,42.5,89.0,51.5,73.0,43.0,69.0,85.0,114.0,86.0,26.0,76.0
47.5,45.5,90.0,55.0,74.0,46.0,70.0,87.0,116.0,89.0,28.0,78.0
48.5,47.5,91.0,57.0,74.0,49.0,71.0,90.0,117.0,92.0,28.5,81.0
49.0,50.0,91.5,59.5,74.0,51.0,72.0,92.0,118.0,94.0,29.0,83.0
50.0,52.0,92.0,61.5,75.0,53.0,72.5,94.5,118.0,96.0,29.5,85.5
50.0,54.0,92.0,63.0,76.0,55.0,72.5,96.5,119.0,99.0,29.5,87.5
49.5,55.5,92.0,65.0,75.0,56.0,72.5,98.0,119.0,100.5,30.0,89.0
49.0,56.0,92.0,65.5,75.0,57.5,72.0,99.0,119.0,102.5,29.0,90.0
49.0,57.0,91.0,66.0,74.5,57.5,72.0,100.0,118.0,102.5,29.0,90.5
48.5,57.0,91.0,66.0,74.0,58.0,71.0,100.0,117.0,102.5,28.0,91.0
47.0,57.0,89.5,66.0,73.0,58.0,70.0,99.5,116.0,102.0,27.0,91.0
46.0,56.0,88.0,65.0,72.0,57.0,69.0,98.0,114.0,101.0,25.5,89.5
44.5,54.0,86.5,63.5,70.0,55.0,67.5,97.0,112.0,99.0,24.0,88.0
43.0,52.0,85.0,61.5,69.0,53.0,66.0,95.0,111.0,97.0,22.0,86.5
41.0,50.0,83.0,59.0,67.0,51.0,64.0,92.5,109.0,94.0,20.0,84.0
40.0,48.0,82.0,57.0,65.5,48.5,63.0,90.0,107.0,91.0,19.0,82.0
