x,y,z
8.1398,3.31,23.57
8.1398,3.31,23.57
8.137579,3.306667,23.6366
8.130595,3.303333,23.70287
8.119217,3.3,23.7685
8.103497,3.296667,23.8332
8.083508,3.293333,23.89669
8.059341,3.29,23.95869
8.031108,3.286667,24.01892
7.998936,3.283333,24.07712
7.96297,3.28,24.13302
7.923372,3.276667,24.18639
7.880322,3.273333,24.23698
7.834013,3.27,24.28458
7.784652,3.266667,24.32897
7.73246,3.263333,24.36996
7.677673,3.26,24.40738
7.620534,3.256667,24.44104
7.561298,3.253333,24.47082
7.500232,3.25,24.49657
7.437606,3.246667,24.51819
7.373701,3.243333,24.53559
7.3088,3.24,24.54868
7.243193,3.236667,24.55742
7.177172,3.233333,24.56177
7.11103,3.23,24.56171
7.045061,3.226667,24.55725
6.979558,3.223333,24.5484
6.914812,3.22,24.53521
6.85111,3.216667,24.51775
6.788733,3.213333,24.49609
6.727959,3.21,24.47033
6.669055,3.206667,24.44058
6.612283,3.203333,24.407
6.557893,3.2,24.36971
6.506125,3.196667,24.3289
6.457208,3.193333,24.28475
6.411356,3.19,24.23745
6.368771,3.186666,24.18722
6.32964,3.183333,24.13428
6.294136,3.18,24.07887
6.262412,3.176666,24.02124
6.234607,3.173333,23.96164
6.210842,3.17,23.90034
6.19122,3.166667,23.83762
6.175826,3.163333,23.77375
6.164724,3.16,23.70902
6.157962,3.156667,23.64372
6.155566,3.153333,23.57813
6.157544,3.15,23.51255
6.163884,3.146667,23.44727
6.174555,3.143333,23.38258
6.189507,3.14,23.31877
6.208671,3.136667,23.25611
6.231958,3.133333,23.19489
6.259263,3.13,23.13539
6.29046,3.126667,23.07784
6.32541,3.123333,23.02253
6.363954,3.12,22.96968
6.405919,3.116667,22.91954
6.451116,3.113333,22.87232
6.499341,3.11,22.82823
6.55038,3.106667,22.78747
6.604002,3.103333,22.7502
6.659969,3.1,22.71661
6.718029,3.096667,22.68683
6.777925,3.093333,22.66099
6.839387,3.09,22.6392
6.902143,3.086667,22.62157
6.965913,3.083333,22.60816
7.030412,3.08,22.59903
7.095354,3.076667,22.59422
7.16045,3.073333,22.59375
7.225411,3.07,22.59761
7.289948,3.066667,22.60579
7.353775,3.063333,22.61824
7.416609,3.06,22.63492
7.478172,3.056667,22.65574
7.53819,3.053333,22.6806
7.596399,3.05,22.7094
7.652541,3.046667,22.74199
7.706367,3.043333,22.77825
7.757642,3.04,22.818
7.806139,3.036667,22.86106
7.851643,3.033333,22.90723
7.893955,3.03,22.95632
7.93289,3.026667,23.00811
7.968276,3.023333,23.06235
7.999959,3.02,23.11881
8.027802,3.016667,23.17723
8.051682,3.013333,23.23736
8.071495,3.01,23.29893
8.087158,3.006667,23.36166
8.098604,3.003333,23.42527
8.105784,3,23.48948
8.10867,2.996667,23.554
8.107251,2.993333,23.61855
8.101538,2.99,23.68284
8.091558,2.986667,23.74658
8.077357,2.983333,23.80949
8.059004,2.98,23.8713
8.036581,2.976667,23.93173
8.010192,2.973333,23.99051
7.979956,2.97,24.04738
7.94601,2.966667,24.10209
7.908507,2.963333,24.1544
7.867618,2.96,24.20408
7.823524,2.956666,24.25091
7.776426,2.953333,24.29468
7.726533,2.95,24.3352
7.67407,2.946667,24.3723
7.61927,2.943333,24.40581
7.56238,2.94,24.43558
7.503654,2.936666,24.46148
7.443352,2.933333,24.48341
7.381746,2.93,24.50127
7.319108,2.926666,24.51498
7.255718,2.923333,24.52448
7.191858,2.92,24.52974
7.127812,2.916667,24.53073
7.063864,2.913333,24.52745
7.0003,2.91,24.51992
6.937399,2.906667,24.50817
6.875442,2.903333,24.49228
6.814703,2.9,24.47229
6.755452,2.896667,24.44831
6.697949,2.893333,24.42044
6.64245,2.89,24.38882
6.5892,2.886667,24.35358
6.538432,2.883333,24.31489
6.490372,2.88,24.27292
6.44523,2.876667,24.22785
6.403206,2.873333,24.17989
6.364484,2.87,24.12926
6.329233,2.866667,24.07618
6.297608,2.863333,24.02089
6.269746,2.86,23.96363
6.245769,2.856667,23.90466
6.22578,2.853333,23.84425
6.209866,2.85,23.78267
6.198094,2.846667,23.72018
6.190514,2.843333,23.65707
6.187156,2.84,23.59361
6.188032,2.836667,23.5301
6.193136,2.833333,23.46681
6.202442,2.83,23.40402
6.215906,2.826667,23.34201
6.233465,2.823333,23.28106
6.255037,2.82,23.22143
6.280525,2.816667,23.16339
6.309813,2.813333,23.1072
6.342767,2.81,23.0531
6.37924,2.806667,23.00134
6.419065,2.803333,22.95214
6.462064,2.8,22.90572
6.508045,2.796667,22.86228
6.556799,2.793333,22.82202
6.60811,2.79,22.78511
6.661747,2.786667,22.75171
6.717471,2.783333,22.72196
6.775032,2.78,22.696
