u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,96.5,86.5,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.0,44.0,73.5,53.5,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
30.5,44.0,74.0,53.0,57.0,44.0,54.0,86.0,97.0,86.0,9.0,77.0
31.0,44.0,74.0,53.0,57.0,44.0,54.0,86.0,97.0,86.0,10.0,77.0
31.0,44.0,74.0,53.0,57.5,44.0,54.5,86.0,97.0,86.0,10.0,77.0
31.0,43.0,74.0,53.0,57.5,44.0,54.5,86.0,97.0,86.0,10.0,77.0
32.0,44.0,74.0,53.0,57.5,44.0,54.0,86.0,98.0,86.0,10.0,77.0
32.0,44.0,74.5,53.0,58.5,44.0,55.0,86.0,98.5,86.0,11.0,77.0
32.0,44.0,75.0,53.0,58.5,44.0,55.5,85.5,98.0,86.0,11.0,76.0
32.5,44.0,75.0,53.5,59.0,44.0,55.5,85.5,99.0,86.0,11.0,77.0
33.0,43.5,75.0,53.5,59.0,44.0,55.5,85.5,99.0,86.0,12.0,77.0
33.0,43.5,75.0,53.5,59.0,44.0,55.5,85.5,98.5,86.0,12.0,77.0
33.0,44.0,75.0,53.0,59.5,44.0,56.0,85.0,98.5,86.0,12.0,77.0
33.5,43.5,76.0,54.0,59.0,44.0,56.5,85.5,100.0,86.0,12.0,77.0
35.0,43.0,77.0,53.0,61.0,44.0,58.0,85.0,101.0,86.0,13.5,76.0
35.0,43.0,78.0,53.0,62.0,44.0,58.0,85.0,101.0,86.0,14.0,76.5
35.5,43.5,78.5,53.0,62.0,44.0,58.5,85.5,102.0,86.0,14.5,76.5
36.0,43.0,78.5,53.0,62.0,44.0,59.0,85.5,102.5,86.0,15.0,76.0
36.5,43.5,78.5,53.0,62.0,44.0,59.5,85.0,103.0,86.0,15.0,76.0
37.0,43.0,79.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.0
37.0,43.5,80.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.5,76.0
38.0,43.0,80.0,53.0,64.0,44.0,60.5,85.0,104.5,86.0,17.0,76.0
38.0,43.0,80.0,53.0,64.0,44.0,61.5,85.5,105.0,86.0,18.0,76.0
