x,y,z
6.981197,3.477407,23.65484
6.946115,3.510722,23.28876
6.934658,3.880288,23.65454
6.709222,3.612511,23.81619
7.713717,2.951301,24.00358
7.784317,3.025792,23.93907
7.695116,3.044414,23.66873
7.963778,3.152731,23.92034
8.038159,3.328632,23.32664
8.260505,3.239328,24.19802
7.455578,3.549647,23.7564
7.382636,3.4343,23.74838
7.560761,4.338042,23.87219
8.323025,4.384537,24.57218
8.078533,3.261417,24.43931
8.02148,4.317869,23.65087
7.798083,3.491912,23.72305
8.184538,4.41435,24.10068
7.70356,4.030242,24.63439
8.401596,3.45878,24.0892
8.356005,3.473686,24.56324
7.979798,3.582043,23.90879
7.859054,4.420323,24.04358
8.380743,3.838534,24.78619
8.559646,4.752972,23.8122
8.264522,3.763927,24.24423
8.37111,3.713872,24.17336
7.729852,4.332373,24.51272
7.782888,4.049947,24.83979
7.826088,4.829946,24.61148
8.333008,4.77064,24.02222
8.262386,4.208288,25.04285
8.579263,4.479471,24.13887
8.432322,4.400173,24.16677
7.919031,4.405875,24.31332
7.387577,4.908737,25.14307
8.241665,4.94241,24.35018
7.435171,4.13886,24.46983
7.533,4.107405,24.90169
7.884223,4.528298,24.56052
8.207889,4.705656,24.0598
7.386736,4.401425,24.38068
7.255943,4.181619,24.33006
7.959067,4.958021,24.77611
7.167336,4.250148,24.41721
7.691239,4.937255,25.10098
7.346721,3.82223,24.93123
7.749084,3.89147,24.12056
7.326467,4.774717,24.63182
7.308014,4.869976,24.75313
6.557973,4.079088,25.17455
6.700094,3.898968,24.54754
7.389421,4.232985,25.07603
6.9131,4.071179,24.69398
6.824174,4.805522,24.70041
6.636511,4.781951,24.55226
6.558619,3.668396,24.74257
6.331967,3.815313,25.06173
6.175652,4.122661,24.13051
6.930305,3.585603,24.52543
5.812178,4.277894,24.32725
6.464942,4.538629,24.80104
6.355303,3.779696,24.0542
6.785071,3.549751,25.0567
5.680815,3.655962,24.17844
6.595465,4.272,24.00721
6.335433,3.938061,24.9888
6.481969,3.706454,24.35916
5.638994,4.301383,24.62125
6.429935,4.119685,24.3268
6.491612,3.892761,23.80325
6.147843,4.020338,23.89479
6.176312,3.394275,24.77597
6.610502,3.872196,24.7962
6.159949,3.451499,24.06188
5.990056,3.404442,24.04137
6.127616,3.697705,23.93918
6.093339,2.968302,24.24049
6.029674,3.590217,23.76832
5.956175,3.068545,24.34523
6.532392,3.141128,23.66593
6.654335,3.816251,23.56728
6.56747,3.333576,24.472
5.972318,2.627874,23.44752
6.224372,3.245986,23.68191
6.515326,3.434046,24.46304
5.942056,3.10348,24.19482
6.615777,3.008384,24.1931
6.682088,2.445685,23.83076
6.825758,2.883934,24.06396
6.299735,2.943053,24.27155
7.267554,2.828525,24.25076
6.916038,2.972094,24.09505
6.681041,2.277596,23.09197
6.758515,2.110208,23.5253
7.503846,2.611861,23.33972
7.285591,3.143929,24.11404
7.451805,2.818461,22.98234
6.969521,2.025013,23.7615
7.562549,2.757434,23.27186
7.14636,2.71071,23.45688
7.273954,3.031362,22.86109
7.269589,2.601014,23.40966
8.001837,2.802073,23.85306
8.000027,2.24326,22.74319
8.261497,2.329238,23.50038
8.438432,2.225311,23.09598
7.368757,2.276042,23.01739
8.366426,2.026298,23.16266
8.075058,2.312113,23.0772
8.115139,1.859203,23.26218
7.762444,2.808151,22.93491
8.53371,2.404368,22.43646
7.856937,2.227875,23.42027
8.104,2.548648,22.75765
8.059173,2.208397,23.18311
8.542892,2.671791,23.1904
7.90941,2.029986,22.98563
8.746742,2.228078,22.64728
7.813093,2.233955,22.67476
8.369652,2.624907,22.95894
8.261506,1.86356,23.07088
8.418392,1.765978,22.3861
8.099427,2.25346,22.22434
7.764876,2.62224,22.31648
8.282724,2.366232,22.98394
7.704283,2.681649,22.63053
8.252614,2.00739,22.86501
8.030951,2.461905,23.04383
8.238932,2.137182,23.16642
7.754551,2.069497,23.14851
8.28648,1.79108,22.92918
8.382811,2.687128,23.07573
7.229828,2.60919,22.44946
8.217386,1.946304,22.41235
7.482519,2.694805,22.66695
7.429543,1.977908,22.78044
6.933881,2.530608,22.68087
7.254628,2.249093,22.24559
7.351311,2.954216,22.65691
6.939597,2.494874,22.67422
6.726556,2.133542,22.61897
7.016126,2.510451,22.94248
6.55323,3.226285,22.33507
6.617651,2.273514,22.33308
7.254902,3.00841,21.93161
7.010519,2.621002,22.63914
7.357738,2.83228,22.25833
6.867217,2.90288,22.98291
6.583179,3.135376,22.85374
6.497443,2.689599,22.46362
6.8743,3.381982,22.26779
7.051634,3.480736,22.11878
6.38813,2.823553,23.05495
6.114783,2.977293,22.61747
6.250741,2.791083,22.16866
5.976438,2.925635,22.39276
6.65807,2.866592,22.81373
6.080868,3.011976,22.02143
5.615245,3.230511,22.90956
6.217448,3.885489,22.92382
5.800601,3.815226,23.23539
5.747107,3.750402,22.43704
6.383924,3.258184,23.10732
6.268809,3.163928,22.94142
6.025575,3.83117,23.24618
5.753359,3.987002,22.50624
6.243401,4.131732,23.23709
5.841435,3.229439,22.56045
5.997711,4.153522,22.42838
5.747293,3.663865,22.38293
6.515178,3.423672,22.45194
6.443369,3.363695,22.96032
6.32246,4.374888,22.4668
6.505412,4.453529,23.34282
5.998681,3.728083,22.69913
6.424499,3.609687,22.7984
6.853469,4.266929,22.91302
5.918789,3.990447,22.87662
5.840259,4.290426,23.48739
6.724535,3.951759,23.60713
6.184327,4.707549,23.17298
7.052149,4.709711,23.39089
6.695663,3.923187,23.33468
6.455622,4.106027,23.39764
7.176705,3.800694,23.8375
6.591184,3.850926,23.56732
6.811229,4.40428,23.64463
7.137896,3.842519,23.43529
7.365094,4.69278,23.13299
7.33457,4.634893,24.15634
7.84876,4.513412,24.07927
7.070548,4.866289,23.4107
7.925666,4.525183,23.36233
6.941874,4.325045,24.2298
7.647854,4.681737,24.07996
7.044313,3.826786,24.00348
7.804623,4.918356,24.32807
8.251025,3.935208,23.81432
7.580278,4.564508,23.44895
8.172364,4.445384,24.03997
7.991117,4.388516,23.8313
8.321247,4.066319,24.49198
8.029106,4.672698,23.83892
7.929253,4.230509,23.70412
7.820935,4.414881,24.24928
7.977606,3.901459,23.96329
7.678552,4.102939,24.19367
8.603868,4.841072,24.71717
7.888276,4.12724,23.7568
8.01449,4.276066,24.31535
