u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
15.0,52.5,98.0,53.0,13.0,66.0,57.5,66.0,100.0,66.0,14.5,80.0,98.0,79.0
21.0,52.0,104.0,52.0,19.0,66.0,62.0,66.0,105.5,66.0,20.0,79.0,104.0,79.0
16.5,55.0,100.0,55.5,14.5,68.5,59.0,68.0,101.5,68.5,16.5,82.0,100.0,81.5
13.0,54.0,96.5,55.0,11.0,68.0,57.0,68.0,99.0,68.0,13.0,82.0,97.0,81.5
14.0,58.0,97.0,58.0,12.0,72.0,56.5,71.5,99.0,71.5,14.0,86.0,97.0,85.0
14.5,59.5,98.0,60.0,12.5,73.5,56.5,72.0,100.0,73.0,14.0,87.0,97.5,86.0
14.5,63.5,98.0,64.0,12.5,77.5,57.5,76.0,100.0,77.5,14.5,91.5,98.0,90.0
10.5,63.5,95.0,63.0,9.0,77.0,54.5,75.5,96.5,76.0,10.5,91.5,94.5,89.5
12.0,61.5,95.5,61.5,10.0,75.5,54.5,74.5,97.0,75.0,12.0,89.0,95.0,88.0
10.5,64.0,94.0,64.0,8.0,78.5,53.5,77.0,96.0,77.0,10.0,93.0,94.0,91.0
10.0,67.0,94.0,66.5,8.5,81.5,53.5,79.5,96.0,79.5,10.0,96.0,94.0,93.5
10.0,67.0,93.5,66.0,7.0,81.0,53.0,79.0,96.0,79.5,9.0,95.5,93.5,93.5
9.5,63.0,94.0,63.5,7.0,77.0,52.5,76.0,95.0,76.0,9.0,91.5,93.5,89.5
4.5,68.0,89.0,67.5,2.0,82.0,48.5,80.0,90.5,80.0,4.0,97.5,89.0,94.0
4.0,67.0,89.0,66.0,2.0,81.5,49.0,79.0,91.0,80.0,4.0,95.5,89.0,93.0
6.0,62.0,90.5,62.5,4.0,76.0,50.0,75.0,92.0,75.5,5.5,90.5,90.0,88.0
5.0,65.5,90.0,65.5,3.0,79.5,49.5,77.5,91.0,78.0,4.5,94.0,89.5,91.5
5.0,66.0,90.0,66.5,3.0,80.0,48.5,78.0,91.0,79.0,4.5,95.0,89.0,92.0
,,,,4.0,74.0,,,,,6.0,88.0,91.0,87.0
6.0,60.0,90.5,61.0,4.0,74.0,51.0,73.0,92.5,73.5,6.0,88.0,91.0,87.0
0.0,58.0,86.0,58.0,,,46.0,71.0,,,0.5,86.5,,
4.0,60.0,,,1.5,74.0,48.5,73.5,90.5,73.5,3.0,88.0,88.5,86.5
2.0,54.0,88.0,54.0,1.0,68.0,47.0,68.0,89.0,68.0,2.0,82.0,88.0,82.0
1.0,53.5,87.0,54.0,0.5,68.5,47.0,68.0,88.0,68.0,2.0,82.0,87.0,80.0
0.5,50.5,85.0,52.0,,,45.0,65.0,87.0,65.0,0.0,79.0,85.0,78.0
4.5,52.0,89.0,53.5,3.0,66.0,48.0,66.0,91.0,66.0,5.0,80.0,89.0,79.0
1.0,50.0,86.0,52.0,0.5,65.0,46.0,65.0,88.5,64.5,1.0,78.0,86.0,77.0
4.0,47.0,88.5,48.5,2.0,61.0,49.0,61.0,91.5,61.0,4.0,75.0,89.0,74.0
8.0,48.0,92.0,49.0,6.0,62.0,52.0,62.0,94.0,62.5,8.0,76.0,92.0,75.0
4.0,44.5,89.0,46.0,2.0,59.0,49.0,59.0,91.0,59.0,4.0,73.0,89.0,72.0
3.0,42.0,88.0,44.5,1.5,56.5,48.0,58.0,89.5,57.5,4.0,71.0,88.0,71.0
3.0,39.0,88.0,42.0,2.0,53.0,48.0,55.0,89.5,54.5,3.0,68.0,88.0,67.0
8.0,37.0,92.0,39.0,6.0,51.0,51.5,52.5,94.0,52.0,8.5,66.0,93.0,66.0
3.5,38.5,89.0,41.0,2.0,53.0,48.5,54.5,91.0,54.0,4.0,67.5,89.0,67.0
3.5,40.5,89.0,42.5,2.0,55.0,49.0,56.5,90.5,56.5,4.0,69.0,89.0,69.0
7.0,42.0,91.0,43.0,5.5,56.5,52.0,57.0,93.0,56.0,7.5,70.5,92.0,70.0
9.0,40.0,92.5,41.5,6.0,55.0,52.0,55.0,94.5,54.5,9.0,68.5,93.0,68.0
5.5,36.5,90.0,39.0,3.5,50.5,49.5,52.5,92.0,52.0,5.5,64.5,89.5,65.5
6.0,41.0,91.0,43.0,4.5,55.0,51.0,56.5,93.0,56.0,6.0,69.0,91.0,69.0
7.0,42.0,91.5,43.0,5.0,55.5,51.0,57.0,93.5,56.5,7.5,70.5,91.5,69.5
8.0,42.0,92.0,43.0,6.0,56.0,51.0,57.0,94.0,56.0,8.0,70.0,92.0,70.0
13.0,46.0,96.5,47.0,11.0,60.0,56.0,60.5,98.0,60.0,13.0,74.0,97.0,74.0
12.0,45.5,96.0,47.0,11.0,60.0,56.0,61.0,98.0,60.0,13.0,74.0,96.0,74.0
13.0,46.0,96.0,47.0,11.0,60.5,56.0,61.0,98.0,60.0,13.0,74.5,96.0,74.0
13.0,50.0,96.5,50.5,11.0,64.0,56.0,63.0,98.0,63.0,13.0,77.0,96.5,76.5
19.5,46.5,103.0,46.0,17.0,60.0,62.0,60.0,105.0,60.0,19.0,73.0,103.0,73.5
16.0,53.0,99.0,53.5,14.0,67.0,58.5,66.5,101.0,67.0,16.0,80.5,99.0,79.5
16.0,50.0,99.0,51.0,13.0,64.0,58.5,64.0,101.0,64.0,16.0,78.0,99.5,77.5
22.0,52.0,104.5,52.5,20.0,65.0,63.0,65.0,106.0,66.0,22.0,79.0,104.5,78.5
22.0,54.0,105.0,54.0,20.0,67.0,63.0,66.5,106.0,67.0,22.0,80.5,105.0,81.0
23.0,58.5,106.0,59.0,21.0,72.0,64.0,71.5,107.5,72.0,23.0,85.5,106.0,86.0
19.5,61.5,102.5,61.5,17.5,75.0,62.0,73.0,105.0,75.0,19.0,89.0,103.0,88.0
20.0,62.0,103.0,62.0,18.0,76.0,62.5,75.0,105.0,75.5,20.0,89.5,103.0,89.5
22.0,59.0,105.0,59.0,20.0,72.5,63.0,71.5,106.5,72.5,22.0,86.0,105.0,86.0
23.5,65.5,106.5,65.5,21.5,79.0,64.0,78.0,108.0,79.0,23.0,93.0,106.5,93.0
28.0,64.0,110.0,63.0,26.0,77.0,68.0,76.0,112.5,77.0,27.0,90.0,110.5,90.5
26.5,61.5,109.5,61.5,24.5,75.0,68.0,74.0,111.0,75.0,26.5,88.0,110.0,89.0
26.0,63.0,109.0,63.5,24.0,76.0,67.0,75.5,111.0,77.0,26.0,90.0,109.0,90.0
25.0,67.0,108.0,67.0,23.0,80.0,66.0,79.0,110.0,80.5,25.0,94.0,108.0,95.0
28.0,65.5,111.0,66.0,26.0,79.0,68.0,78.0,113.0,79.5,28.0,93.0,111.0,93.5
25.0,64.0,108.0,64.5,23.0,77.5,66.0,77.0,110.0,78.0,24.5,91.0,108.0,91.5
30.0,67.0,113.0,67.5,28.0,80.0,70.0,79.5,115.0,82.0,29.5,93.5,113.0,95.0
30.0,64.0,113.5,63.5,28.5,77.0,71.0,76.0,115.5,77.5,30.0,90.0,114.0,91.0
31.5,66.0,115.0,66.0,30.0,79.5,72.5,79.0,117.0,81.0,32.0,93.0,115.5,94.5
29.0,63.5,112.5,64.0,27.0,77.0,70.0,77.0,114.0,77.5,29.0,90.0,112.5,91.5
30.5,60.5,114.0,60.0,28.5,73.5,71.0,73.0,116.0,74.0,30.5,87.0,114.0,88.0
30.5,60.0,114.0,60.0,29.0,73.5,71.0,73.0,116.0,74.0,30.5,87.0,114.0,87.5
31.0,60.5,114.5,60.5,29.0,73.5,72.0,73.5,116.5,74.0,31.0,87.0,114.5,87.5
29.5,59.5,113.0,59.0,27.5,73.5,69.0,73.0,115.0,73.0,29.0,86.0,112.5,87.5
29.0,54.0,113.5,53.5,27.0,67.0,69.5,67.0,115.5,67.5,30.0,80.0,113.0,81.0
33.0,54.0,116.0,53.0,30.5,66.5,73.0,67.0,118.0,67.0,33.5,79.5,117.0,81.0
29.5,53.0,113.0,52.5,27.0,66.0,70.0,66.0,115.0,66.0,29.0,79.0,113.5,79.5
29.0,51.0,112.0,50.0,27.0,64.0,69.5,64.0,114.0,64.0,29.0,77.0,112.0,78.0
32.5,48.5,116.0,47.0,30.0,61.0,73.0,61.0,117.5,60.5,32.0,74.0,115.5,74.5
33.0,49.0,116.0,47.0,30.5,62.5,74.0,62.0,118.0,62.0,33.0,75.0,116.0,75.0
30.5,47.0,114.0,47.0,29.0,61.0,71.5,60.5,115.5,60.5,30.0,73.0,114.0,74.0
29.0,43.0,111.5,42.5,27.0,56.0,69.5,56.5,114.0,56.0,29.0,69.0,112.0,69.0
27.0,43.0,110.0,42.0,25.0,56.0,68.0,56.0,112.0,56.0,27.0,69.0,110.0,69.0
27.0,41.0,110.0,41.0,25.5,54.5,68.0,55.0,112.0,54.0,27.0,68.0,110.0,68.0
26.0,41.0,109.5,40.5,25.0,54.0,67.5,54.5,111.5,54.5,26.5,67.0,109.5,66.5
27.5,40.5,111.5,40.5,25.5,54.5,69.0,55.0,113.0,54.0,28.0,67.5,111.0,67.5
30.0,42.0,113.5,40.5,28.0,55.0,70.5,55.5,115.5,54.5,29.5,68.5,113.5,68.5
29.0,38.0,112.0,37.0,26.0,51.0,69.0,52.0,113.5,50.5,29.0,64.0,112.0,64.0
27.5,40.5,111.0,40.0,25.5,54.5,68.5,54.5,113.0,53.0,27.5,66.5,111.0,67.0
25.5,38.5,108.0,38.0,23.5,52.5,66.0,53.0,110.0,52.0,25.0,65.0,108.0,65.0
27.0,42.0,110.0,41.0,25.0,55.0,68.0,56.0,112.5,55.0,27.5,68.5,111.0,68.0
27.0,42.0,111.0,41.5,25.5,55.0,68.0,56.0,113.0,55.0,27.5,68.5,111.0,69.0
26.5,42.0,110.0,41.0,25.0,55.0,68.0,56.0,111.5,54.5,27.0,69.0,109.5,68.5
26.0,46.0,109.0,45.0,23.5,58.5,67.0,59.0,111.0,58.0,26.0,72.0,109.0,72.0
20.5,43.5,104.0,44.0,19.0,57.0,62.0,58.0,105.5,56.5,20.0,70.0,104.0,70.0
24.0,46.0,107.0,46.0,22.0,59.0,65.0,60.0,109.5,59.5,24.0,73.0,107.0,73.0
19.5,45.5,103.0,46.0,18.0,59.0,62.0,60.0,105.0,59.0,20.0,73.0,104.0,73.0
23.0,48.0,105.5,48.0,21.0,62.0,64.0,61.5,108.0,61.0,23.0,75.0,106.0,75.0
17.0,51.5,100.0,52.0,15.0,65.0,59.0,65.5,102.0,65.0,17.0,79.0,100.5,78.5
18.0,52.0,101.0,53.0,16.0,66.0,60.0,65.5,103.5,66.0,17.5,79.5,101.0,79.0
19.5,55.5,102.5,56.0,17.5,69.5,61.5,69.5,105.0,69.0,20.0,83.0,102.5,83.0
19.0,56.0,102.0,56.0,17.0,70.0,61.0,69.0,103.5,69.5,19.0,83.5,102.0,83.0
14.0,57.0,98.0,57.0,12.0,71.0,57.0,70.0,99.0,71.0,14.0,84.5,97.5,84.0
15.0,61.0,98.5,61.0,13.0,74.5,57.5,73.5,100.5,74.0,14.5,89.0,98.5,87.5
16.0,64.0,99.5,64.0,14.0,77.5,58.5,76.5,101.0,77.0,16.0,91.5,99.5,90.5
10.0,64.0,93.5,63.5,8.0,78.0,53.0,76.5,95.0,77.0,9.0,92.0,93.0,90.0
14.0,64.0,97.5,64.5,12.0,78.0,57.0,77.0,100.0,78.0,14.0,92.0,98.0,91.0
13.0,65.0,96.5,65.0,11.0,79.0,56.0,78.0,98.0,78.0,13.0,93.0,96.5,91.5
7.0,66.0,91.0,66.0,5.0,80.0,50.5,78.5,93.0,79.0,6.5,94.5,91.0,92.0
6.0,64.5,90.5,64.5,4.0,79.0,50.0,77.0,92.5,77.5,5.5,93.0,90.0,91.0
12.0,66.0,96.0,66.0,10.0,80.0,55.0,78.0,98.0,79.0,12.0,94.0,95.5,92.5
7.0,69.0,91.0,69.0,5.0,83.0,51.0,81.0,93.0,81.5,6.5,98.0,91.0,95.0
7.0,68.0,91.5,67.5,5.0,82.0,51.0,80.0,93.0,81.0,7.0,96.0,91.0,93.5
