u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
32.5,54.5,115.5,54.0,29.5,67.5,73.5,67.5,118.0,68.0,32.5,81.5,115.5,81.5
32.5,54.5,115.0,54.0,29.5,67.5,72.5,67.5,117.5,67.5,32.5,81.5,115.5,81.5
31.0,54.5,115.0,54.0,29.5,67.5,72.5,67.5,116.5,67.5,32.5,81.0,115.5,81.5
30.0,54.0,113.5,53.0,27.0,67.0,71.0,67.0,115.0,67.0,29.5,79.5,113.5,81.5
28.0,54.0,113.0,53.0,26.5,66.5,69.0,67.0,113.0,67.0,28.5,79.5,112.5,81.5
27.0,54.0,110.0,53.0,25.0,67.0,68.0,66.5,112.0,67.0,27.0,79.0,110.0,80.5
25.0,54.0,108.0,54.0,22.5,67.0,66.0,66.0,110.0,67.0,25.0,79.5,109.0,80.0
23.0,54.0,105.5,53.5,21.0,67.0,64.0,67.0,107.5,67.0,23.5,80.0,105.0,81.0
21.0,54.0,104.5,54.5,19.5,67.5,63.0,67.0,106.0,67.0,22.0,81.0,104.5,81.5
19.0,54.0,102.5,54.5,17.0,68.0,61.5,67.5,104.5,68.0,19.0,81.5,102.0,81.5
17.0,55.0,99.5,55.0,12.0,67.0,59.0,68.0,101.5,68.5,16.5,82.0,100.0,81.5
14.0,55.0,97.0,55.5,12.0,69.0,56.0,68.0,99.0,69.0,14.0,83.0,97.0,82.0
12.0,56.0,95.0,56.0,10.0,70.0,55.0,69.0,97.0,69.5,11.5,83.5,95.0,82.0
10.0,57.0,94.0,57.0,8.0,70.0,53.5,69.5,96.0,69.0,10.0,85.0,93.5,83.5
8.5,57.5,92.0,59.0,6.0,71.5,52.0,71.0,94.0,71.0,8.5,85.5,92.5,83.5
7.0,59.0,91.0,59.0,5.0,72.0,50.5,71.5,92.0,71.0,6.5,86.5,90.5,84.5
6.0,60.0,90.0,60.0,3.0,74.0,49.0,71.5,91.0,73.0,5.0,88.0,90.0,85.5
4.0,61.0,88.5,61.0,3.0,74.0,49.0,72.0,90.5,73.5,4.0,89.0,88.5,86.0
3.0,65.0,88.0,65.0,1.5,79.0,48.0,77.5,89.0,77.5,3.0,93.0,87.5,90.0
4.0,66.0,88.5,65.5,2.5,79.5,48.5,77.5,89.5,78.0,3.0,93.0,88.0,90.5
4.5,65.5,89.0,66.0,2.5,79.5,49.0,77.5,90.5,78.0,4.0,93.0,88.5,90.0
5.5,65.5,89.0,65.5,4.0,79.0,49.0,78.0,91.0,78.0,5.5,93.0,89.0,90.5
6.5,65.5,90.5,65.5,4.5,79.5,50.5,77.5,92.0,78.0,6.0,93.0,90.0,90.5
7.5,65.5,91.0,65.5,6.0,79.0,51.0,77.5,92.5,77.5,7.0,92.5,91.0,90.0
8.5,65.0,92.0,64.5,6.5,78.5,52.0,77.0,93.5,77.0,8.5,91.5,92.0,89.5
9.0,65.0,93.0,64.5,8.0,78.0,53.0,76.5,95.0,77.0,9.5,91.5,92.5,89.5
10.5,63.5,94.0,63.5,9.0,77.0,54.0,75.5,95.0,76.0,10.5,90.5,94.0,89.0
