u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
18.0,54.0,101.0,55.0,16.5,68.0,60.0,67.5,103.5,68.0,18.0,81.5,101.5,81.5
17.5,55.5,101.0,56.0,15.0,69.5,60.0,69.0,103.0,69.0,17.0,83.0,101.0,82.0
17.0,57.0,100.0,57.5,14.5,71.0,58.5,70.5,101.5,70.5,16.5,85.0,100.0,84.0
16.5,58.5,99.0,59.0,14.0,72.0,58.5,71.5,101.0,72.0,16.0,86.0,99.0,85.5
15.0,60.0,98.5,60.0,13.0,73.5,58.0,73.0,100.5,73.5,15.0,87.5,98.5,86.5
14.0,61.0,98.0,61.0,12.5,75.0,57.0,74.0,99.5,74.5,14.0,89.0,98.0,88.0
14.0,62.5,97.0,62.5,11.5,76.5,56.5,75.5,99.0,76.0,13.0,90.0,97.0,89.0
13.0,63.5,96.5,63.5,11.0,78.0,56.0,76.5,98.5,77.0,12.5,91.5,96.0,90.0
12.0,65.0,96.0,64.0,10.0,79.0,55.5,77.0,98.0,78.0,12.0,93.0,96.0,91.5
11.0,66.0,95.0,66.0,9.0,79.5,54.5,78.5,97.0,79.0,11.0,94.0,95.0,92.0
10.5,66.0,94.5,66.5,8.5,80.5,54.0,79.0,96.5,79.5,10.0,95.0,94.5,93.0
10.0,67.5,94.0,67.0,8.0,81.5,53.5,79.5,96.5,80.0,10.0,95.5,94.0,94.0
9.0,68.0,93.5,67.5,7.0,82.0,52.5,80.0,95.0,81.0,9.0,96.5,93.0,94.0
9.0,68.5,92.5,68.5,6.5,82.5,52.5,80.0,94.5,81.5,8.0,97.0,92.5,95.0
8.0,69.0,92.5,68.5,6.0,83.0,52.0,81.0,94.0,82.0,8.0,98.0,92.0,95.0
8.0,69.0,92.0,68.5,5.0,83.0,51.5,81.5,93.0,82.0,7.0,98.0,91.5,95.5
7.0,69.5,91.0,69.0,5.0,83.5,50.5,81.5,93.0,82.0,6.0,98.0,91.0,95.0
6.5,69.0,91.0,69.0,4.0,83.5,50.5,81.5,92.5,81.5,6.0,98.0,90.0,95.0
