u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
45.0,55.0,,,43.0,67.0,85.0,68.0,,,45.5,79.5,,
44.0,55.0,,,42.0,67.0,84.0,67.0,,,44.5,79.5,,
43.0,54.0,,,41.5,66.5,83.5,66.5,,,43.0,79.0,,
41.5,53.5,125.5,52.5,39.5,66.5,81.5,66.5,,,42.0,79.0,125.5,79.5
40.0,53.0,124.5,51.5,37.5,65.5,81.0,66.0,125.5,66.5,40.0,79.0,125.5,79.5
37.0,53.0,122.0,52.0,35.5,65.5,77.5,65.5,124.0,66.0,37.0,79.0,122.0,79.0
35.5,52.5,119.0,52.0,33.5,65.5,75.5,65.5,121.5,65.5,35.0,78.5,119.5,79.0
32.5,52.5,115.5,51.5,32.0,65.0,73.5,65.5,119.0,66.0,32.5,78.5,116.0,79.0
,,113.0,52.0,27.5,65.5,70.0,65.5,115.0,66.0,29.5,78.5,113.5,79.5
26.5,52.5,110.0,52.0,25.0,66.0,68.0,66.0,111.0,66.0,27.0,79.0,109.5,79.5
22.5,53.0,106.0,53.0,21.0,67.0,64.0,66.5,107.0,67.0,23.0,80.0,105.0,80.0
20.0,54.0,103.5,54.0,17.5,67.5,62.0,67.0,105.0,67.5,21.0,81.0,103.5,81.0
16.5,55.0,99.5,55.0,13.5,67.5,58.5,68.0,102.0,68.0,16.5,82.0,100.0,81.0
12.5,56.0,96.0,55.5,11.0,69.5,56.0,69.0,98.0,69.5,12.0,83.0,96.0,82.0
9.0,57.0,93.0,57.0,7.0,71.0,53.0,70.0,95.0,70.0,9.0,85.0,93.0,84.0
6.0,59.0,90.0,59.0,4.0,72.5,50.0,71.5,92.0,71.0,6.0,87.0,90.0,85.0
2.5,60.0,88.0,59.0,0.5,74.5,47.0,73.0,89.0,73.5,2.0,89.0,87.5,86.0
0.0,62.5,,,,,46.5,73.0,87.0,75.0,,,84.5,87.5
,,,,,,49.0,71.0,,,,,,
,,80.5,65.5,,,,,,,,,80.0,90.5
,,,,,,38.5,79.5,80.0,80.0,,,,
,,77.0,69.0,,,37.0,82.0,78.5,81.5,,,76.0,94.0
,,77.0,70.0,,,36.0,83.0,78.0,82.0,,,75.5,95.5
,,75.5,72.0,,,34.5,84.5,76.5,84.5,,,74.5,96.5
,,74.5,73.5,,,34.0,86.0,76.0,86.0,,,74.0,98.0
,,74.0,75.0,,,34.0,87.0,75.5,87.0,,,73.5,99.5
,,74.0,76.0,,,34.0,89.0,,,,,73.0,101.5
,,74.5,77.5,,,33.5,90.0,75.5,90.0,,,73.5,102.0
,,74.5,77.5,,,34.0,91.5,75.5,90.0,,,73.0,103.0
,,74.5,79.0,,,34.0,91.5,76.0,91.5,,,74.0,103.5
,,75.0,79.0,,,34.5,91.5,76.0,91.5,,,74.0,104.0
,,75.0,80.0,,,34.5,91.5,76.5,91.5,,,75.0,104.0
,,,,,,,,,,,,75.0,103.0
,,79.0,79.5,,,39.0,93.5,,,,,79.0,105.5
,,79.0,80.0,,,39.0,92.0,81.0,92.0,,,78.0,106.0
,,80.5,79.5,,,40.0,93.0,81.5,92.5,,,79.0,106.0
,,81.5,79.5,,,41.5,92.0,83.0,92.0,,,81.0,105.0
,,83.5,79.5,,,43.5,91.5,85.0,92.0,,,82.5,104.5
0.5,79.5,85.0,78.0,,,45.0,91.0,86.0,91.0,0.0,109.0,84.0,104.0
2.0,79.0,86.5,77.5,0.0,93.0,46.0,90.0,88.0,90.0,1.0,108.0,85.5,103.5
3.5,76.5,88.0,76.0,1.0,91.0,47.5,89.0,89.0,89.0,3.0,106.0,87.0,102.0
6.0,75.0,90.0,74.0,3.5,89.5,49.0,87.0,91.5,87.0,5.0,104.0,89.0,100.0
7.5,73.5,,,5.0,87.0,49.0,87.5,92.5,85.5,6.5,101.5,91.0,98.0
9.0,71.5,93.0,71.0,7.0,85.0,52.5,83.0,94.5,83.5,8.5,99.5,92.5,97.0
11.0,69.0,94.5,68.5,9.0,83.0,54.0,81.0,96.0,82.0,10.5,97.5,94.0,95.0
12.0,67.0,95.5,66.5,10.5,80.5,55.0,79.5,97.5,79.5,12.0,94.5,95.5,93.0
14.0,65.0,97.0,65.0,12.0,78.0,56.5,76.5,98.5,77.5,13.0,92.0,97.0,91.0
14.5,62.0,98.0,62.0,13.0,75.5,57.0,75.0,100.0,75.5,14.5,89.5,98.0,89.0
16.0,60.0,99.0,60.0,14.0,73.5,58.5,72.5,101.0,73.0,16.0,87.0,99.0,86.0
17.0,57.5,100.5,57.5,15.0,71.0,59.5,70.5,102.0,71.0,17.0,85.0,100.0,84.0
18.0,55.0,101.0,55.0,16.0,68.0,60.0,68.0,103.0,68.0,18.0,82.0,101.5,81.5
19.0,53.0,102.0,53.0,16.5,66.0,60.5,66.0,104.0,66.0,19.0,80.0,102.0,80.0
19.0,50.5,102.0,51.0,17.0,64.0,61.5,64.0,104.5,64.5,19.0,78.0,102.0,78.0
19.5,48.5,102.5,48.5,17.0,62.0,62.0,62.0,105.0,62.0,19.5,75.5,102.5,75.5
19.5,46.5,103.0,46.5,17.0,60.0,62.0,61.0,105.0,60.0,19.0,74.0,103.0,74.0
