u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
45.0,55.0,100.83147017128913,60.146230354944485,43.0,67.0,85.0,68.0,102.54967408407404,73.41949838305541,45.5,79.5,100.7474325180177,86.87511662747072
44.0,55.0,100.83147017128913,60.146230354944485,42.0,67.0,84.0,67.0,102.54967408407404,73.41949838305541,44.5,79.5,100.7474325180177,86.87511662747072
43.0,54.0,100.83147017128913,60.146230354944485,41.5,66.5,83.5,66.5,102.54967408407404,73.41949838305541,43.0,79.0,100.7474325180177,86.87511662747072
41.5,53.5,125.5,52.5,39.5,66.5,81.5,66.5,102.54967408407404,73.41949838305541,42.0,79.0,125.5,79.5
40.0,53.0,124.5,51.5,37.5,65.5,81.0,66.0,125.5,66.5,40.0,79.0,125.5,79.5
37.0,53.0,122.0,52.0,35.5,65.5,77.5,65.5,124.0,66.0,37.0,79.0,122.0,79.0
35.5,52.5,119.0,52.0,33.5,65.5,75.5,65.5,121.5,65.5,35.0,78.5,119.5,79.0
32.5,52.5,115.5,51.5,32.0,65.0,73.5,65.5,119.0,66.0,32.5,78.5,116.0,79.0
29.680037985414096,52.44257569559714,113.0,52.0,27.5,65.5,70.0,65.5,115.0,66.0,29.5,78.5,113.5,79.5
26.5,52.5,110.0,52.0,25.0,66.0,68.0,66.0,111.0,66.0,27.0,79.0,109.5,79.5
22.5,53.0,106.0,53.0,21.0,67.0,64.0,66.5,107.0,67.0,23.0,80.0,105.0,80.0
20.0,54.0,103.5,54.0,17.5,67.5,62.0,67.0,105.0,67.5,21.0,81.0,103.5,81.0
16.5,55.0,99.5,55.0,13.5,67.5,58.5,68.0,102.0,68.0,16.5,82.0,100.0,81.0
12.5,56.0,96.0,55.5,11.0,69.5,56.0,69.0,98.0,69.5,12.0,83.0,96.0,82.0
9.0,57.0,93.0,57.0,7.0,71.0,53.0,70.0,95.0,70.0,9.0,85.0,93.0,84.0
6.0,59.0,90.0,59.0,4.0,72.5,50.0,71.5,92.0,71.0,6.0,87.0,90.0,85.0
2.5,60.0,88.0,59.0,0.5,74.5,47.0,73.0,89.0,73.5,2.0,89.0,87.5,86.0
0.0,62.5,85.72646346719675,60.207784080646135,-2.767443611311807,76.54529819906614,46.5,73.0,87.0,75.0,-1.7468826811550255,90.94521450254055,84.5,87.5
-2.097601146040249,65.09745395479464,83.02836014154775,62.95375618077557,-5.616926943383691,78.54821994932684,49.0,71.0,84.76153272456632,76.51086644827981,-5.004582205069854,92.82032450792298,82.09971362405136,88.9760439735788
-3.9444187965358997,67.4671598301355,80.5,65.5,-8.04844999621565,80.50876525078209,44.58967084871222,74.31341187478606,82.17194830704854,78.24788510937204,-7.773098571744484,94.62533001614733,80.0,90.5
-5.540452951486955,69.60911762602264,78.24043470537802,67.55686282158806,-10.062012769807687,82.42693410343195,38.5,79.5,80.0,80.0,-10.052431781178916,96.36023102721362,77.68004767309966,92.24162511829886
-6.8857036108934135,71.52332734245601,77.0,69.0,-11.657615264159798,84.30272650727636,37.0,82.0,78.5,81.5,-11.842581833373147,98.02502754112176,76.0,94.0
-7.980170774755271,73.20978897943561,77.0,70.0,-12.83525747927199,86.13614246231535,36.0,83.0,78.0,82.0,-13.143548728327183,99.61971955787182,75.5,95.5
-8.823854443072536,74.6685025369615,75.5,72.0,-13.594939415144252,87.9271819685489,34.5,84.5,76.5,84.5,-13.955332466041014,101.14430707746376,74.5,96.5
-9.416754615845202,75.89946801503362,74.5,73.5,-13.936661071776587,89.675845025977,34.0,86.0,76.0,86.0,-14.277933046514653,102.59879009989761,74.0,98.0
-9.758871293073272,76.90268541365197,74.0,75.0,-13.860422449169006,91.38213163459969,34.0,87.0,75.5,87.0,-14.111350469748094,103.98316862517339,73.5,99.5
-9.850204474756742,77.67815473281658,74.0,76.0,-13.3662235473215,93.04604179441694,34.0,89.0,75.42005267656754,88.73199299354351,-13.455584735741331,105.29744265329106,73.0,101.5
-9.690754160895617,78.22587597252743,74.5,77.5,-12.454064366234064,94.66757550542876,33.5,90.0,75.5,90.0,-12.310635844494374,106.54161218425062,73.5,102.0
-9.298921507946856,78.5691610684639,74.5,77.5,-11.182721366374627,96.21304540084735,34.0,91.5,75.5,90.0,-10.945676443421062,107.66112696836308,73.0,103.0
-8.785113454652231,78.84788163470219,74.5,79.0,-9.904853310550703,97.48032727994591,34.0,91.5,76.0,91.5,-9.629879179935244,108.60143675593939,74.0,103.5
-8.167731157468705,79.08534960692167,75.0,79.0,-8.679236659230204,98.43573377593661,34.5,91.5,76.0,91.5,-8.363244054036914,109.36254154697954,74.0,104.0
-7.446774616396275,79.28156498512233,75.0,80.0,-7.505871412413133,99.07926488881947,34.5,91.5,76.5,91.5,-7.14577106572608,109.94444134148358,75.0,104.0
-6.622243831434942,79.43652776930416,77.03279436124959,79.84971385315365,-6.384757570099491,99.41092061859449,36.76029835153638,92.86608552375043,77.83652667308897,91.54087781774328,-5.977460215002735,110.34713613945151,75.0,103.0
-5.694138802584708,79.55023795946715,79.0,79.5,-5.3158951322892785,99.43070096526169,39.0,93.5,79.8004077622913,91.61453178563792,-4.858311501866883,110.57062594088326,79.0,105.5
-4.662459529845571,79.62269555561139,79.0,80.0,-4.299284098982493,99.13860592882102,39.0,92.0,81.0,92.0,-3.788324926318523,110.61491074577889,78.0,106.0
-3.5272060132175325,79.65390055773676,80.5,79.5,-3.334924470179138,98.5346355092725,40.0,93.0,81.5,92.5,-2.7675004883576544,110.47999055413835,79.0,106.0
-2.28837825270059,79.64385296584331,81.5,79.5,-2.4228162458792104,97.61878970661613,41.5,92.0,83.0,92.0,-1.7958381879842777,110.1658653659617,81.0,105.0
-0.9459762482947465,79.59255277993108,83.5,79.5,-1.5629594260827115,96.39106852085195,43.5,91.5,85.0,92.0,-0.8733380251983929,109.67253518124892,82.5,104.5
0.5,79.5,85.0,78.0,-0.7553540107896414,94.85147195197989,45.0,91.0,86.0,91.0,0.0,109.0,84.0,104.0
2.0,79.0,86.5,77.5,0.0,93.0,46.0,90.0,88.0,90.0,1.0,108.0,85.5,103.5
3.5,76.5,88.0,76.0,1.0,91.0,47.5,89.0,89.0,89.0,3.0,106.0,87.0,102.0
6.0,75.0,90.0,74.0,3.5,89.5,49.0,87.0,91.5,87.0,5.0,104.0,89.0,100.0
7.5,73.5,91.58929484616706,72.59466503656964,5.0,87.0,49.0,87.5,92.5,85.5,6.5,101.5,91.0,98.0
9.0,71.5,93.0,71.0,7.0,85.0,52.5,83.0,94.5,83.5,8.5,99.5,92.5,97.0
11.0,69.0,94.5,68.5,9.0,83.0,54.0,81.0,96.0,82.0,10.5,97.5,94.0,95.0
12.0,67.0,95.5,66.5,10.5,80.5,55.0,79.5,97.5,79.5,12.0,94.5,95.5,93.0
14.0,65.0,97.0,65.0,12.0,78.0,56.5,76.5,98.5,77.5,13.0,92.0,97.0,91.0
14.5,62.0,98.0,62.0,13.0,75.5,57.0,75.0,100.0,75.5,14.5,89.5,98.0,89.0
16.0,60.0,99.0,60.0,14.0,73.5,58.5,72.5,101.0,73.0,16.0,87.0,99.0,86.0
17.0,57.5,100.5,57.5,15.0,71.0,59.5,70.5,102.0,71.0,17.0,85.0,100.0,84.0
18.0,55.0,101.0,55.0,16.0,68.0,60.0,68.0,103.0,68.0,18.0,82.0,101.5,81.5
19.0,53.0,102.0,53.0,16.5,66.0,60.5,66.0,104.0,66.0,19.0,80.0,102.0,80.0
19.0,50.5,102.0,51.0,17.0,64.0,61.5,64.0,104.5,64.5,19.0,78.0,102.0,78.0
19.5,48.5,102.5,48.5,17.0,62.0,62.0,62.0,105.0,62.0,19.5,75.5,102.5,75.5
19.5,46.5,103.0,46.5,17.0,60.0,62.0,61.0,105.0,60.0,19.0,74.0,103.0,74.0
19.5,44.5,103.0,45.0,17.5,58.5,62.0,59.0,105.0,59.0,19.5,72.5,103.0,72.5
19.0,43.0,102.0,44.0,17.0,57.0,62.0,58.0,105.0,58.0,19.5,71.0,103.5,71.5
19.0,43.0,102.0,43.0,17.0,56.5,61.0,57.0,105.0,57.0,20.0,70.0,103.0,70.0
19.0,41.0,102.0,42.0,17.0,55.0,61.0,57.0,104.0,56.0,19.0,69.0,103.0,70.0
18.0,41.0,102.0,42.0,17.0,55.0,60.5,55.5,103.5,55.0,18.0,69.0,102.0,69.0
18.0,40.0,102.0,42.0,16.0,54.0,60.0,56.0,103.0,55.0,18.0,68.5,102.0,69.0
18.0,40.0,101.0,42.0,15.5,54.5,60.0,56.0,103.0,55.0,17.5,68.5,102.0,69.0
17.5,40.5,101.0,42.0,15.0,55.0,60.0,56.0,103.0,55.0,18.0,69.0,101.5,69.0
17.5,42.5,100.0,43.0,15.0,56.0,59.5,56.5,102.0,56.0,17.0,70.0,100.0,69.0
17.0,43.0,100.0,44.0,15.0,57.0,59.0,58.0,102.0,57.0,17.0,71.0,100.0,70.0
17.0,44.0,100.0,45.0,14.0,58.0,59.0,59.0,102.0,58.0,16.0,72.0,100.0,72.0
16.5,46.5,100.0,47.0,14.0,60.0,59.0,60.0,102.0,60.0,16.5,74.0,100.0,73.0
17.0,48.0,100.0,48.0,14.0,62.0,59.0,62.0,102.0,62.0,17.0,76.0,100.0,75.0
17.0,50.0,100.0,49.5,14.0,64.0,59.0,63.0,102.0,63.5,17.0,77.0,100.0,77.0
17.0,52.0,101.0,53.0,15.5,65.5,60.0,65.5,102.5,65.5,17.5,79.5,101.0,79.0
18.0,54.0,101.0,54.0,16.0,67.5,60.0,67.5,103.0,68.0,18.0,81.5,101.5,81.0
19.0,56.0,102.0,56.5,17.0,70.0,61.0,69.5,104.5,70.0,19.0,84.0,102.0,83.0
20.0,58.0,103.0,58.0,17.5,71.5,62.0,71.0,105.0,71.5,19.5,85.5,103.0,85.0
21.0,60.0,104.0,60.0,19.0,74.0,62.5,72.5,106.0,74.0,21.0,87.0,104.0,87.0
22.0,62.0,104.5,62.5,20.0,76.0,63.0,75.0,106.0,75.0,22.0,89.0,104.5,88.5
22.5,64.0,105.0,64.0,21.0,77.0,64.0,76.5,107.5,77.5,22.0,91.0,106.0,92.0
