x,y,z
7.14,3.31,23.57
8.026457,4.196457,24.29344
7.395175,3.565175,23.81172
8.312257,4.482257,24.23455
7.59497,3.772719,23.99811
7.573683,3.756208,23.91518
7.412033,3.591892,23.75671
7.313167,3.490056,23.71282
7.26896,3.444131,23.66268
8.055047,4.259624,24.37239
8.556436,4.773685,24.80909
7.669727,3.854194,24.0435
7.452034,3.628307,23.84063
7.530177,3.704916,23.90724
8.388535,4.563282,24.46981
8.308871,4.473466,24.60426
7.999843,4.158749,24.32119
7.197374,3.366177,23.61301
7.634462,3.79039,23.80451
8.458244,4.581214,24.40631
7.860412,3.999707,24.20742
7.541396,3.691534,23.92836
8.100019,4.215747,24.23486
7.713243,3.846485,24.07488
8.489181,4.561122,24.41281
7.207334,3.371766,23.61825
8.529112,4.567576,24.82586
8.178887,4.235397,24.51647
8.505612,4.502288,24.7849
7.494069,3.611564,23.82567
8.508696,4.440706,24.70001
8.408125,4.319212,24.81401
7.787992,3.802751,24.01458
7.954237,3.895901,24.3165
7.529178,3.571915,23.85182
7.208686,3.35262,23.61057
7.992706,3.789202,24.0961
8.005929,3.740657,24.4364
7.508214,3.467072,23.89577
7.922668,3.583763,23.96935
7.889231,3.510172,24.15042
7.933431,3.45215,24.08611
8.070472,3.389799,24.28522
7.510565,3.304897,23.9282
8.319013,3.167808,24.66634
8.218707,3.054909,24.60851
7.559674,3.157259,23.98327
8.048342,2.849759,24.25749
7.711107,2.927426,24.12358
7.681427,2.843855,23.87995
7.402938,3.023247,23.82461
7.623652,2.645289,24.04227
7.701071,2.336023,23.97655
7.183957,3.212758,23.61356
7.513253,2.241145,23.89622
7.164721,3.216181,23.59421
7.180518,3.099176,23.60837
7.238137,2.574551,23.63935
7.230532,2.256024,23.65962
7.191512,2.248679,23.61775
7.158509,2.407986,23.58806
7.141255,2.170582,23.57124
7.131919,2.535294,23.56424
7.122195,2.10659,23.55362
7.124764,2.115532,23.55518
7.137357,2.794453,23.56738
7.146477,2.41127,23.57647
7.172215,1.92741,23.6016
7.193939,2.030853,23.61844
7.167263,2.875933,23.5963
7.155015,3.131782,23.5847
7.196997,2.770263,23.62606
7.221245,2.665615,23.64569
7.333512,1.976313,23.76025
7.289044,2.391454,23.66961
7.305257,2.378721,23.73406
7.416724,1.85995,23.81042
7.345981,2.294888,23.77583
7.147746,3.273901,23.57617
7.224571,2.936825,23.64743
7.469848,1.92553,23.75709
7.368261,2.390619,23.7535
7.172148,3.184257,23.60018
7.360797,2.458975,23.75373
7.205261,3.057725,23.64042
7.226962,2.965537,23.65611
7.14519,3.288352,23.57663
7.240436,2.852456,23.76522
7.177074,3.115396,23.63062
7.167202,3.13027,23.67076
7.17588,2.952436,23.78313
7.164339,2.622745,23.85743
7.116465,2.799398,23.94581
7.024679,2.529239,24.16015
7.099178,3.161185,23.66367
7.095372,3.20695,23.64816
7.005654,3.098417,23.76368
7.062617,3.223818,23.65305
7.024603,3.217929,23.67657
7.081353,3.276715,23.60323
6.779027,3.168832,23.77194
6.543455,3.160814,23.72916
7.052431,3.298333,23.58971
6.359416,3.284142,23.66884
6.857086,3.32562,23.57959
6.424789,3.406758,23.51535
6.440666,3.456585,23.46735
7.12193,3.31506,23.56596
6.37972,3.57454,23.31241
6.17444,3.710165,23.27691
6.453874,3.639561,23.27181
6.541371,3.636993,23.36888
6.923604,3.442572,23.41509
6.106043,4.012856,22.80194
6.425795,3.843967,23.17149
6.802419,3.585421,23.32677
6.960711,3.468431,23.38829
6.596893,3.826514,23.20906
7.119364,3.33102,23.54593
6.394388,4.120119,22.70076
6.990487,3.482513,23.43864
6.645824,3.912507,22.91041
6.503874,4.124663,22.70966
6.814016,3.745453,23.15175
7.107984,3.35425,23.52468
6.308426,4.488466,22.36503
7.00064,3.510517,23.38112
6.904238,3.650866,23.30156
6.93647,3.602572,23.31933
7.032167,3.462506,23.45634
6.744529,3.854758,23.14959
6.796808,3.766153,23.1558
6.930149,3.576889,23.3657
6.050393,4.626511,22.23768
6.321789,4.243754,23.02641
6.419837,4.082908,22.74027
6.670971,3.782061,23.06695
6.532512,3.882609,23.12379
6.36609,3.99324,22.79482
6.915274,3.496081,23.32818
5.901163,4.274565,22.40152
5.941595,4.190433,22.38198
6.099256,4.034471,22.77384
6.462529,3.758901,22.89843
7.109917,3.329064,23.55084
6.059391,3.968027,22.81179
5.755633,4.123488,22.33371
5.640557,4.163413,22.10679
6.440422,3.696789,23.1187
5.832412,4.013768,22.27488
5.81435,4.005415,22.24998
6.327445,3.725635,23.04514
5.83532,3.960608,22.85692
6.397945,3.670543,22.97383
6.845187,3.449466,23.32403
6.468351,3.61898,23.00428
6.828472,3.44906,23.34781
7.049021,3.34927,23.48442
6.171419,3.712261,22.60244
5.773547,3.852289,22.23602
5.784236,3.819479,22.35796
6.614315,3.494843,23.05494
6.028147,3.670179,22.9602
7.115531,3.317154,23.54751
6.298374,3.525942,22.73007
6.022539,3.551697,22.95237
6.327202,3.449232,22.81187
6.455609,3.393125,23.15934
6.122816,3.377847,22.87793
6.884091,3.311805,23.40669
6.87493,3.294796,23.30568
6.434353,3.220876,23.02601
6.078413,3.098282,22.76652
6.96982,3.262972,23.40978
5.977235,2.89543,22.54203
5.908707,2.768798,22.81427
6.856658,3.161272,23.31604
6.539508,2.942311,23.13769
6.595358,2.927857,23.06682
6.074046,2.464663,22.99758
6.174872,2.453934,22.73473
6.134726,2.32032,22.89626
6.556071,2.675272,23.07179
6.492285,2.534878,22.92641
6.582715,2.57626,23.25233
6.25426,2.024838,22.68532
6.37235,2.077626,22.95259
6.608598,2.359841,23.23339
6.817277,2.661135,23.248
7.116489,3.256136,23.54691
7.06367,3.107086,23.52978
6.66854,1.818159,23.25394
7.075046,3.055403,23.52172
7.09376,3.069407,23.53078
7.080372,2.83796,23.52467
7.117452,2.914204,23.5449
7.145945,2.940366,23.55894
7.198363,2.680907,23.5708
7.293269,2.423153,23.60611
7.349092,2.492599,23.63249
7.162378,3.244414,23.57601
7.589622,2.260757,23.65417
7.736905,2.156271,23.70283
7.446626,2.805289,23.63349
7.172575,3.263399,23.5781
7.879659,2.376329,23.71022
7.990437,2.352092,23.73902
7.415696,3.030672,23.61977
7.841303,2.667467,23.67539
7.625774,2.906387,23.66159
7.242171,3.232976,23.5815
8.172645,2.604935,23.75965
8.212381,2.64973,23.71978
7.459138,3.134092,23.62463
7.838055,2.969302,23.68077
7.379156,3.208284,23.60966
8.162085,2.939954,23.74283
7.299129,3.262661,23.6028
7.738119,3.171894,23.72118
7.687534,3.221485,23.65233
7.364832,3.28993,23.6259
7.346678,3.307233,23.64965
7.668558,3.344914,23.69567
7.468485,3.358899,23.67342
7.569956,3.410838,23.83596
7.887002,3.550766,24.09902
7.215735,3.341153,23.62502
7.212975,3.346551,23.61108
7.753886,3.67256,24.0097
7.974429,3.878219,24.18769
7.882574,3.884076,24.43003
7.988534,4.04677,24.65544
7.649914,3.80355,24.26502
7.761503,3.977002,24.12695
7.335047,3.541172,23.76983
7.512583,3.796045,24.07525
7.79523,4.247695,24.69405
7.726658,4.22746,24.31013
7.316605,3.610316,23.81885
7.797615,4.517951,24.26838
7.389149,3.800092,24.03607
7.397086,3.845625,23.90661
7.281161,3.617373,23.85361
7.458884,4.024604,24.2132
7.549109,4.237801,24.32464
7.350712,3.785302,24.01355
7.643432,4.420736,24.40915
7.72504,4.553466,24.62413
7.356534,3.747664,23.96273
7.813845,4.592092,24.41019
7.748875,4.39257,24.40277
7.829769,4.450802,24.21806
7.931831,4.525589,24.36407
7.307729,3.548977,23.77602
8.030855,4.489744,24.26758
8.089484,4.481791,24.56551
7.954332,4.249786,24.35339
8.257207,4.520276,24.68645
8.162249,4.353579,24.61582
7.808323,3.955325,24.1706
8.289409,4.363177,24.54963
8.146747,4.187635,24.36965
7.450739,3.568193,23.88088
8.623158,4.485701,24.41443
8.470796,4.316452,24.4253
7.702479,3.715509,23.85744
7.877104,3.815785,24.23064
8.49226,4.191368,24.65283
8.046653,3.869971,24.34663
7.733371,3.656325,24.10489
7.327647,3.413156,23.75411
8.252539,3.883603,24.25829
7.920166,3.685044,23.98067
7.769663,3.589847,24.0556
8.066733,3.685974,24.17404
7.745289,3.529778,24.11064
7.944609,3.563283,24.5579
7.842051,3.491418,24.37447
7.344846,3.34913,23.86151
7.359418,3.333934,23.9178
7.799356,3.315658,24.39734
7.307394,3.290808,23.89275
7.172466,3.301421,23.62985
7.541431,3.132507,24.42358
7.279149,3.219962,23.92112
7.384336,3.096721,24.05163
7.442741,2.974552,24.04269
7.205788,3.222061,23.7224
7.501454,2.752551,24.20033
7.492105,2.707365,24.52207
7.223678,3.156188,23.82312
7.159196,3.273088,23.62012
7.495596,2.608753,24.528
7.406716,2.778107,23.9151
7.437485,2.715485,24.2646
7.39879,2.794356,23.86651
7.453092,2.689342,23.93825
7.589788,2.42292,24.19111
7.546304,2.511678,24.23388
7.295393,3.005173,23.72922
7.471183,2.659881,23.80756
7.29641,3.00215,23.73855
7.707928,2.188079,24.09052
7.623649,2.3516,23.89489
7.413863,2.766883,23.77962
7.200973,3.18926,23.61503
7.435863,2.726122,23.75217
7.355042,2.887767,23.64914
7.852171,1.920879,23.75593
7.563072,2.491453,23.64138
7.633833,2.363712,23.67593
7.447596,2.727136,23.62013
7.588006,2.471814,23.61808
7.373038,2.880158,23.58454
7.478521,2.695213,23.57641
7.486507,2.691004,23.56974
7.762512,2.216613,23.55756
7.644617,2.438228,23.55721
7.331724,2.983717,23.56405
7.458254,2.774796,23.55801
7.204606,3.20207,23.56823
7.597924,2.543675,23.56044
7.211227,3.189069,23.56898
7.20504,3.195782,23.57
7.356377,2.905014,23.57328
7.296026,2.983081,23.57309
7.192968,3.17413,23.5721
7.140672,3.307418,23.57001
7.161601,3.006504,23.5659
7.103942,3.132073,23.5552
7.059617,3.176491,23.54056
7.105532,3.281227,23.5578
6.951644,3.22151,23.49658
7.135835,3.308878,23.56803
7.054856,3.297688,23.53623
7.111083,3.308262,23.55507
7.100998,3.310055,23.54472
6.961062,3.318793,23.45435
6.633919,3.354743,23.16242
6.910315,3.338108,23.45714
6.796972,3.362418,23.23886
6.966001,3.341398,23.39087
6.41048,3.458922,22.87613
7.064984,3.326669,23.48532
6.833082,3.38185,23.21937
6.509807,3.461372,22.93542
6.756906,3.402523,23.1149
7.060222,3.329102,23.4753
6.427011,3.477925,22.82512
7.042182,3.332623,23.45609
6.891902,3.366591,23.29979
7.131331,3.31197,23.56138
6.997441,3.342744,23.44157
6.891678,3.368693,23.36389
6.143425,3.557108,22.61689
5.931103,3.630414,22.58197
7.040745,3.338592,23.50337
5.949232,3.687834,22.92309
6.152018,3.658627,22.58636
7.013555,3.359904,23.44334
6.914028,3.409962,23.34561
7.009009,3.374881,23.4437
7.065697,3.351055,23.52837
6.057789,3.973139,22.50757
5.857085,4.175168,22.31161
6.311405,3.919463,23.16232
6.508862,3.811278,23.06595
5.851909,4.402941,22.31839
6.3118,4.0524,23.05064
6.873028,3.559981,23.35064
7.094936,3.353583,23.52695
6.146309,4.291757,22.76888
5.815751,4.632439,22.47478
6.515615,3.933912,23.00507
6.463492,3.979976,23.05416
6.185386,4.238546,22.63369
6.147229,4.250247,22.62121
7.09369,3.352338,23.52582
7.005446,3.427666,23.43739
5.876842,4.355629,22.51315
6.617009,3.714668,23.09063
5.840511,4.235326,22.51861
6.395905,3.788138,23.08372
6.591834,3.619939,23.09511
6.459507,3.637344,22.90312
6.708039,3.478595,23.3204
6.540454,3.486499,22.99546
6.53076,3.428689,23.23448
7.128787,3.311047,23.56291
6.814953,3.30741,23.26678
5.880135,3.175032,22.61712
6.951692,3.271949,23.38702
6.516641,3.128669,23.20506
7.126074,3.30482,23.55682
7.041924,3.266438,23.49112
6.576282,3.024352,23.03329
6.382797,2.886367,22.90691
5.806582,2.506243,22.64528
6.366114,2.816665,22.95256
5.700255,2.352921,22.3696
6.678252,2.993211,23.26794
6.069421,2.557403,22.95426
5.739777,2.305876,22.48676
6.501513,2.843872,23.0687
6.918293,3.145207,23.39911
6.595863,2.897415,23.13164
7.128885,3.301372,23.5642
6.33582,2.667796,22.94645
6.734305,2.97469,23.34721
7.139977,3.30998,23.56999
6.221388,2.479416,22.83948
6.66365,2.854346,23.34539
6.475167,2.631932,23.10908
6.331647,2.424081,22.96338
6.21482,2.211841,22.88396
7.135571,3.304259,23.56674
6.916919,2.991164,23.42895
6.676241,2.570204,23.07284
6.673096,2.465851,23.03303
6.629963,2.245018,22.98491
6.896492,2.709063,23.37441
6.883715,2.540628,23.13637
6.943449,2.564789,23.18984
7.090609,3.060794,23.4781
6.971314,2.081095,22.96456
7.059457,2.322119,23.07979
7.107211,2.261152,23.26512
7.148858,2.656148,23.33451
7.207761,2.034714,23.02621
7.263894,1.900589,23.00833
7.194725,2.847761,23.3772
7.284522,2.314584,23.09894
7.294374,2.396126,23.34902
7.395022,1.969354,23.06186
7.253078,2.770795,23.33209
7.417222,2.094102,23.15384
7.3059,2.634782,23.24093
7.292792,2.73003,23.31676
7.444077,2.231508,23.02529
7.17483,3.194663,23.51477
7.354105,2.650274,23.30893
7.247021,3.004893,23.42249
7.387851,2.661444,23.27853
7.407702,2.673452,23.35922
7.164457,3.257766,23.55552
7.420372,2.778805,23.42901
7.226159,3.166968,23.558
7.38032,2.964261,23.56574
7.332798,3.071676,23.61124
7.500725,2.928921,23.6683
7.529978,2.958614,23.78327
7.320681,3.171031,23.67814
7.157535,3.298461,23.58128
7.549809,3.078942,23.92082
7.246445,3.258654,23.66257
7.640718,3.104304,23.98587
7.628513,3.140567,24.13724
7.578557,3.183492,24.10732
7.397505,3.249754,23.87332
7.831737,3.184237,24.17838
7.417692,3.273701,23.89517
7.47999,3.282934,23.97647
7.538621,3.298998,24.02832
7.209063,3.311795,23.65575
7.424772,3.333264,23.91502
7.927014,3.420021,24.413
7.654015,3.413028,24.05553
8.139233,3.573359,24.3713
7.685814,3.489526,23.91195
7.685337,3.52599,23.87419
8.10886,3.759949,24.57228
7.754305,3.637532,24.07912
7.845526,3.734338,23.96038
7.262603,3.391926,23.63095
7.156855,3.322345,23.58586
7.29031,3.429193,23.7074
8.010315,4.048785,24.31555
7.51759,3.649524,23.86746
7.259213,3.42244,23.64971
7.669233,3.828827,24.02625
7.728241,3.90434,24.07126
7.216949,3.389508,23.63682
8.103667,4.321101,24.15403
8.482331,4.731164,24.63583
7.420029,3.607505,23.78493
8.314812,4.556485,24.28317
7.974218,4.190387,24.35459
