u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
17.0,55.0,101.0,55.0,15.0,68.0,59.0,68.0,102.5,68.0,17.0,82.0,100.5,82.0
16.5,55.5,99.0,56.0,14.0,70.0,58.5,69.5,101.0,69.5,16.5,83.5,99.0,83.0
14.0,57.0,97.0,58.0,11.0,71.0,56.5,70.5,98.5,70.5,14.0,84.0,97.0,84.0
18.0,55.0,100.5,55.0,16.0,69.0,60.0,67.5,102.5,68.0,17.0,82.0,101.5,81.5
17.5,54.5,100.5,55.0,15.0,68.0,59.5,67.5,102.5,68.0,17.0,82.0,100.5,81.5
15.0,54.0,98.5,55.0,14.0,68.0,58.0,67.5,100.5,67.5,16.5,81.5,98.5,81.5
16.0,54.0,100.0,53.5,14.0,67.5,59.0,67.0,102.0,67.0,16.0,81.0,99.5,80.5
17.0,54.0,100.0,53.5,15.0,67.5,59.5,67.0,102.0,67.0,17.0,81.0,100.0,80.0
17.0,51.5,100.5,52.0,15.0,65.5,59.0,65.0,102.0,65.0,17.0,79.0,100.5,79.0
17.0,52.0,100.5,52.5,15.0,66.0,60.0,66.0,103.0,66.0,17.0,79.5,100.5,79.5
17.0,51.5,100.5,52.0,15.0,65.5,59.0,65.0,102.5,65.5,17.0,79.0,101.0,79.0
17.5,53.5,100.5,53.5,15.5,66.5,59.5,66.0,103.0,66.0,17.5,80.0,100.5,79.5
17.0,53.0,100.5,53.5,15.0,66.0,59.0,66.0,102.0,66.0,17.0,79.5,100.5,79.5
16.0,51.5,98.0,51.0,13.5,65.5,58.0,65.0,100.5,65.5,15.0,79.0,99.0,78.0
16.0,53.0,100.0,53.5,14.5,67.0,59.0,66.0,102.0,67.0,16.0,80.0,100.0,79.0
15.0,53.0,98.0,53.5,12.5,66.5,58.0,66.0,100.5,66.5,16.0,80.0,98.5,79.5
14.0,53.0,97.0,53.0,12.0,66.0,56.0,66.0,98.5,66.0,13.0,80.0,97.0,79.0
16.5,54.0,100.0,54.0,,,59.0,67.5,102.5,67.5,16.0,81.0,100.0,81.0
15.0,53.5,98.5,53.5,13.0,67.0,58.5,67.5,102.0,67.5,16.0,81.0,99.0,80.0
15.0,54.0,98.5,53.5,13.0,67.0,58.5,67.5,102.0,67.5,16.0,81.0,99.0,80.0
13.0,53.0,96.0,54.0,11.0,66.5,55.0,65.0,98.0,67.0,13.0,79.5,96.0,80.0
17.0,54.0,99.5,54.0,15.0,68.0,58.5,67.5,102.0,67.5,17.0,82.0,100.0,80.5
11.0,52.0,95.0,53.0,10.0,66.0,54.0,66.0,96.5,66.0,11.0,79.0,94.5,78.5
17.0,54.0,100.0,54.0,14.0,68.0,59.0,67.5,102.0,67.5,16.5,81.5,100.0,81.0
17.0,54.0,100.0,54.0,15.0,67.5,59.0,67.0,102.0,67.5,17.0,81.0,100.0,81.0
13.0,50.0,96.5,50.5,11.0,64.0,56.0,64.0,98.0,64.0,13.0,77.5,96.5,76.5
13.5,49.0,97.0,50.0,12.0,63.0,56.0,63.0,99.0,63.0,14.0,77.0,97.0,76.0
16.0,50.0,100.0,51.0,14.0,64.0,58.5,64.0,102.0,64.0,16.5,78.0,100.0,77.0
17.0,48.0,100.5,49.0,15.0,62.0,59.0,62.0,102.0,62.0,17.0,75.5,100.0,75.0
18.0,54.5,101.0,55.0,16.0,68.0,60.0,67.5,103.5,68.0,18.0,81.5,101.5,81.5
19.0,48.0,102.0,49.0,17.0,62.0,61.0,62.0,105.0,62.0,19.5,75.5,103.0,76.0
19.0,53.0,102.0,53.0,17.0,66.0,61.0,66.0,104.0,66.0,19.0,80.0,102.0,79.5
24.0,43.0,107.5,42.5,22.0,57.0,65.5,56.5,109.0,56.0,24.0,70.0,107.0,70.0
24.0,45.0,107.0,45.0,22.0,59.0,65.5,58.5,109.5,58.5,23.0,72.0,108.0,72.0
22.5,50.0,105.0,50.0,20.0,63.0,64.5,63.5,107.0,64.0,22.0,77.0,105.0,77.0
22.0,51.0,105.0,50.0,20.0,64.5,64.0,64.0,107.0,64.0,22.0,77.0,105.0,77.0
22.0,51.0,105.0,51.0,20.0,65.0,64.0,64.0,107.0,65.0,22.0,79.0,105.0,78.0
23.5,50.5,107.0,50.0,22.0,64.0,65.0,64.0,109.0,64.0,23.0,78.0,107.0,77.5
21.0,54.0,104.0,53.0,19.0,67.0,62.5,66.5,106.0,67.0,21.0,80.0,104.0,80.0
31.0,50.0,115.5,48.5,29.5,62.5,72.5,62.5,117.5,62.5,31.0,76.0,115.0,77.0
31.0,50.0,114.5,48.5,28.5,63.0,71.5,62.5,116.0,63.0,31.0,76.0,113.0,77.0
21.5,54.0,105.0,53.5,20.0,67.0,63.0,66.0,106.0,67.0,22.0,80.5,105.0,80.0
26.5,52.5,110.0,52.0,25.0,66.0,68.0,66.0,112.0,66.0,26.0,79.0,110.0,79.0
29.0,53.0,112.0,52.0,26.5,66.5,70.0,66.0,114.0,66.0,29.0,79.0,111.5,79.5
27.0,53.0,111.0,52.0,25.0,66.0,68.0,66.0,112.5,66.5,27.5,79.5,110.0,79.5
18.5,54.5,102.0,54.0,16.5,68.0,61.0,67.5,104.5,68.0,19.0,82.0,102.0,81.0
28.0,54.0,112.0,53.0,26.0,67.0,69.0,67.0,113.0,67.0,28.0,81.0,111.0,81.0
26.0,54.0,109.0,54.0,23.0,68.0,67.0,67.0,111.0,67.0,26.0,81.0,109.5,81.0
26.0,54.0,110.0,53.0,24.0,67.0,67.0,67.0,112.0,67.0,26.5,80.5,110.0,81.0
27.0,53.0,110.0,53.0,24.0,67.0,68.0,67.0,112.0,67.0,26.5,80.5,110.0,81.0
29.0,52.0,112.0,53.0,27.0,66.0,69.5,66.0,114.0,66.5,29.0,79.0,112.0,80.0
29.0,52.5,112.0,53.0,27.0,66.0,69.0,66.0,114.0,66.5,29.0,79.0,111.5,80.0
29.0,53.0,112.0,53.0,27.0,66.0,69.0,66.0,114.0,66.5,29.0,79.0,111.5,80.0
28.0,53.0,111.5,52.5,26.0,66.5,68.5,66.5,113.5,66.5,28.0,80.0,111.5,80.0
25.0,53.0,109.0,53.0,23.0,67.0,66.0,66.0,110.5,66.5,25.0,80.0,109.0,80.0
30.0,53.0,113.0,53.0,27.5,66.5,70.0,66.5,115.0,67.0,29.5,80.0,113.0,81.0
28.0,53.0,111.0,53.0,26.0,67.0,69.0,67.0,113.5,66.5,28.0,80.0,112.0,81.0
23.0,54.0,105.0,54.0,21.0,68.0,64.0,67.0,107.5,67.5,23.0,81.0,105.0,81.0
22.5,54.5,105.0,54.0,21.0,68.0,64.0,67.0,107.0,68.0,22.0,81.0,105.0,81.0
29.0,55.0,112.0,54.0,27.0,68.0,69.0,68.0,114.5,68.0,29.0,81.0,111.0,81.0
27.5,55.5,111.0,55.0,26.0,69.0,69.0,68.0,113.0,69.0,27.0,82.0,111.0,82.5
29.0,56.0,112.0,56.0,27.0,69.0,69.0,69.0,114.0,70.0,29.0,83.0,111.0,83.0
24.0,56.0,107.0,56.0,22.0,69.0,65.0,69.0,109.5,69.5,23.0,83.0,106.5,83.0
20.0,55.0,103.0,55.0,18.0,68.0,62.0,68.0,105.0,68.0,20.0,82.0,103.0,82.0
23.0,56.5,106.0,57.0,21.0,70.0,65.0,69.5,108.0,70.0,23.0,84.0,106.0,83.0
23.0,57.0,106.0,57.0,21.0,70.0,64.5,69.5,107.5,70.0,23.0,84.0,106.0,84.0
22.0,57.0,105.0,57.0,20.5,70.5,63.5,69.5,107.0,70.0,22.0,84.0,105.0,84.0
23.0,57.0,106.0,57.0,21.0,71.0,64.0,70.0,108.0,71.0,23.0,84.5,106.0,84.5
28.0,60.0,110.5,60.5,26.0,74.0,68.0,73.0,113.0,74.0,28.0,87.0,111.0,87.5
26.5,60.0,110.0,60.0,25.0,73.0,67.5,73.0,112.0,74.0,26.5,87.0,109.5,87.5
24.0,58.5,107.0,59.0,22.0,72.0,65.0,71.5,109.0,72.0,23.5,85.5,107.0,86.0
24.0,58.0,107.0,58.5,22.0,72.0,65.0,71.5,109.0,72.0,24.0,85.0,107.0,85.5
30.5,63.5,113.5,63.5,28.0,76.5,71.0,76.0,116.0,77.0,30.5,90.0,114.0,91.0
