x,y,z
7.14,3.31,23.57
10.14,3.31,23.57
10.14,3.31,23.57
10.14,3.31,23.57
10.13334,3.409926,23.63662
10.11337,3.509408,23.70294
10.0802,3.608004,23.76867
10.03396,3.705276,23.83352
9.974871,3.800792,23.89719
9.903183,3.894127,23.95942
9.819219,3.984868,24.01991
9.723351,4.07261,24.07841
9.616007,4.156964,24.13464
9.497662,4.237555,24.18837
9.368842,4.314025,24.23935
9.23012,4.386034,24.28736
9.082112,4.453263,24.33217
8.925476,4.515412,24.37361
8.760906,4.572206,24.41147
8.589136,4.623393,24.44559
8.410928,4.668744,24.47583
8.227073,4.708058,24.50204
8.038388,4.741162,24.52411
7.845713,4.767907,24.54194
7.649901,4.788175,24.55545
7.451825,4.801875,24.56458
7.252362,4.808948,24.5693
7.052401,4.809361,24.56957
6.852829,4.803112,24.56541
6.654532,4.79023,24.55682
6.458394,4.770772,24.54385
6.265282,4.744823,24.52655
6.076057,4.7125,24.505
5.891559,4.673946,24.4793
5.712607,4.629332,24.44955
5.539998,4.578857,24.4159
5.374496,4.522745,24.3785
5.216838,4.461244,24.3375
5.067725,4.394629,24.29309
4.927818,4.323195,24.24546
4.79774,4.247259,24.19484
4.678068,4.16716,24.14144
4.569334,4.083252,24.0855
4.47202,3.995909,24.02727
4.38656,3.905518,23.96701
4.313333,3.812482,23.90499
4.252664,3.717213,23.84147
4.204823,3.620136,23.77676
4.170022,3.52168,23.71112
4.148417,3.422284,23.64486
4.140102,3.322389,23.57826
4.145115,3.222438,23.51163
4.163435,3.122877,23.44525
4.194978,3.024148,23.37943
4.239605,2.926688,23.31446
4.297119,2.830931,23.25062
4.367262,2.737303,23.1882
4.449725,2.646219,23.12748
4.544139,2.558084,23.06872
4.650087,2.47329,23.01219
4.767097,2.392213,22.95814
4.894649,2.315213,22.90681
5.032177,2.242634,22.85842
5.179069,2.174796,22.8132
5.334674,2.112002,22.77133
5.4983,2.05453,22.73302
5.669218,2.002636,22.69842
5.846671,1.956551,22.6677
6.029871,1.916478,22.64099
6.218001,1.882597,22.6184
6.410229,1.855057,22.60004
6.6057,1.833981,22.58599
6.803544,1.819463,22.57631
7.002882,1.811568,22.57104
7.202829,1.810329,22.57022
7.402497,1.815753,22.57384
7.600999,1.827816,22.58188
7.797453,1.846464,22.59431
7.990988,1.871614,22.61108
8.18074,1.903154,22.6321
8.365869,1.940945,22.6573
8.54555,1.984818,22.68654
8.718988,2.034579,22.71972
8.88541,2.090006,22.75667
9.044079,2.150853,22.79724
9.194288,2.216851,22.84123
9.33537,2.287705,22.88847
9.466698,2.363101,22.93873
9.587689,2.442703,22.9918
9.697805,2.526159,23.04744
9.796558,2.613097,23.1054
9.883509,2.703131,23.16542
9.958271,2.795863,23.22724
10.02051,2.890877,23.29058
10.06995,2.987754,23.35517
10.10638,3.086063,23.42071
10.12963,3.185366,23.48691
10.13959,3.285223,23.55348
10.13623,3.385191,23.62013
10.11955,3.484825,23.68655
10.08964,3.583681,23.75245
10.04663,3.681322,23.81755
9.990697,3.777313,23.88154
9.922103,3.871227,23.94415
9.841147,3.962648,24.0051
9.748192,4.05117,24.06411
9.643649,4.136399,24.12093
9.527982,4.217957,24.1753
9.401706,4.29548,24.22699
9.265382,4.368626,24.27575
9.119615,4.437068,24.32138
8.965054,4.500502,24.36367
8.802383,4.558648,24.40243
8.632327,4.611245,24.4375
8.45564,4.658062,24.46871
8.273109,4.69889,24.49593
8.085545,4.733547,24.51903
7.893778,4.761879,24.53792
7.698663,4.783762,24.55251
7.501067,4.799096,24.56273
7.301866,4.807815,24.56854
7.101944,4.809879,24.56992
6.902193,4.80528,24.56685
6.7035,4.794037,24.55936
6.506742,4.776201,24.54747
6.3128,4.751851,24.53123
6.122533,4.721096,24.51073
5.936787,4.684071,24.48605
5.756386,4.640941,24.45729
5.582132,4.591898,24.4246
5.4148,4.53716,24.38811
5.255132,4.47697,24.34798
5.103839,4.411595,24.3044
4.961592,4.341326,24.25755
4.829022,4.266476,24.20765
4.70672,4.187376,24.15492
4.595229,4.104377,24.09958
4.495044,4.01785,24.0419
4.406609,3.928178,23.98212
4.330317,3.835758,23.92051
4.26651,3.741003,23.85734
4.215468,3.644334,23.79289
4.17742,3.546179,23.72745
4.152534,3.446975,23.66132
4.140921,3.347162,23.59477
4.142632,3.247185,23.52812
4.157659,3.147486,23.46166
4.185936,3.048509,23.39567
