u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
3.5,54.0,88.0,54.0,1.0,68.0,48.5,67.5,90.0,67.0,3.0,82.0,88.5,81.0
3.5,54.0,88.0,54.5,1.0,68.5,48.0,68.0,90.0,68.0,3.0,83.0,89.0,81.0
3.0,55.0,88.0,55.0,1.0,70.0,48.5,68.5,90.5,69.0,3.5,84.0,88.0,82.0
4.0,56.0,89.0,57.0,2.0,70.0,48.5,69.5,90.0,70.0,3.5,84.0,88.5,82.5
4.0,57.0,89.0,57.0,1.5,71.0,48.5,70.0,90.0,70.0,3.0,85.0,88.5,83.0
4.0,57.0,89.0,58.0,2.0,71.0,48.5,70.5,90.5,71.0,4.0,86.0,88.5,83.5
4.0,58.0,89.0,59.0,2.0,72.0,48.5,71.5,90.5,71.5,4.0,86.0,88.0,84.0
5.0,59.0,89.0,59.0,2.0,73.0,48.5,71.5,90.5,71.5,4.0,87.0,89.0,85.0
5.0,59.0,89.0,59.0,3.0,73.0,49.0,72.0,91.0,72.5,5.0,88.0,89.0,85.5
5.0,60.0,89.5,60.5,3.0,74.0,49.0,73.0,91.0,73.0,5.0,88.0,89.0,86.0
5.5,61.0,90.0,61.0,3.0,75.0,49.5,73.5,92.0,74.0,5.0,89.0,90.0,87.0
6.0,61.5,90.5,61.5,4.0,75.5,50.0,74.0,92.5,74.5,5.0,90.0,90.0,87.0
6.0,62.0,90.5,62.0,4.0,76.0,50.5,74.5,93.0,75.0,6.0,90.0,90.5,88.0
7.0,63.0,91.0,63.0,5.0,77.0,50.5,75.5,92.5,75.5,6.0,91.0,90.5,88.5
7.0,63.0,91.5,63.5,5.0,77.0,51.0,76.0,93.0,76.0,6.5,91.5,91.0,89.0
8.0,64.0,92.0,64.0,6.0,78.0,51.5,76.0,93.5,76.5,7.0,91.5,91.5,89.5
8.0,64.0,92.5,64.0,6.0,78.0,52.0,77.0,94.0,77.0,8.0,92.0,92.0,90.0
8.5,64.0,92.5,64.0,6.5,78.5,52.0,77.0,94.5,77.5,8.0,93.0,93.0,90.0
9.0,65.0,,,7.0,79.0,52.5,77.5,94.5,77.5,9.0,93.0,93.0,91.0
10.0,65.5,93.5,65.5,8.0,79.5,53.0,77.5,95.0,78.0,9.0,94.0,93.5,91.5
10.5,65.5,94.0,66.0,8.5,79.5,54.0,78.0,96.0,79.0,10.0,94.0,94.0,92.0
11.0,66.0,94.5,66.0,9.0,80.0,54.0,79.0,96.5,79.5,10.5,94.0,94.5,92.0
12.0,66.5,95.0,66.0,9.5,80.5,55.0,79.0,96.5,79.5,11.5,94.5,94.5,92.5
12.5,66.5,96.0,67.0,10.5,80.5,55.0,79.0,97.5,79.5,12.0,95.0,96.0,93.0
13.0,67.0,96.5,66.5,11.0,81.0,55.5,79.5,98.0,80.0,13.0,95.0,96.5,93.5
14.0,67.5,97.0,67.0,11.5,81.0,56.5,79.5,98.5,79.5,14.0,95.0,96.5,93.5
14.5,67.5,97.5,67.5,12.5,81.5,56.5,79.5,99.5,80.5,14.0,95.0,97.5,93.5
15.0,68.0,98.5,67.5,13.0,81.0,57.5,79.5,100.0,80.5,14.5,95.5,98.0,94.0
16.0,68.0,98.5,67.5,14.0,81.0,58.0,80.0,101.0,81.0,15.0,96.0,98.5,94.0
16.5,67.5,99.5,67.5,14.5,81.5,58.5,79.5,101.0,81.0,16.0,95.5,99.5,94.5
17.0,68.0,100.0,68.0,14.5,81.5,59.0,80.0,102.0,81.0,16.5,95.5,100.0,94.0
18.0,68.0,100.5,67.5,16.0,81.0,60.0,80.0,102.0,81.0,17.0,95.5,101.0,95.0
18.5,67.5,101.5,67.5,16.5,81.5,60.5,79.5,103.0,81.0,18.0,95.5,101.0,95.0
19.0,68.0,102.0,67.5,17.0,81.5,61.0,80.0,104.0,81.0,19.0,95.0,102.0,95.0
19.5,67.5,103.0,68.0,18.0,81.5,61.0,80.0,104.0,81.0,19.0,95.0,103.0,95.0
21.0,68.0,102.5,67.5,18.5,81.5,62.0,80.0,105.0,81.0,20.0,95.0,103.0,94.5
21.0,67.5,103.0,68.0,19.0,81.0,62.5,79.5,105.0,81.0,21.0,95.0,104.0,94.5
21.0,67.0,104.5,67.0,19.5,81.0,62.5,79.5,106.5,80.5,21.0,95.0,104.5,94.5
22.0,67.0,105.0,67.0,20.5,81.0,63.5,79.5,106.5,80.5,22.0,94.0,105.0,94.0
22.5,67.0,105.5,67.0,21.0,80.0,64.0,79.0,107.0,80.0,23.0,94.0,106.0,94.0
23.0,67.0,106.0,67.0,21.0,80.0,65.0,79.0,107.0,80.0,23.0,93.0,106.0,94.0
24.0,67.0,107.0,66.0,22.0,79.5,65.0,79.0,108.5,80.0,24.0,93.0,107.0,93.5
24.0,66.0,107.0,66.0,22.5,79.5,65.5,78.5,109.0,79.5,24.0,93.0,107.0,93.0
25.0,65.5,108.0,65.5,23.0,79.0,66.0,78.0,110.0,79.5,25.0,93.0,108.0,93.0
25.5,65.0,108.5,65.5,23.5,78.5,67.0,77.0,110.0,79.0,26.0,92.0,108.5,93.0
26.0,65.0,109.0,65.0,24.5,78.0,67.0,77.5,111.0,78.5,26.0,91.5,109.0,92.0
27.0,65.0,110.0,64.5,25.0,78.0,68.0,77.0,111.0,78.0,27.0,91.0,110.0,92.0
27.0,64.0,110.0,64.0,25.0,77.5,68.0,76.5,112.0,77.5,27.0,91.0,110.0,91.5
27.0,64.0,110.5,63.5,26.0,77.0,68.0,76.0,112.5,77.5,28.0,90.0,110.0,91.0
28.0,63.0,111.0,63.0,26.0,76.0,68.5,75.5,113.0,77.0,28.0,89.5,111.0,90.5
28.5,62.5,111.0,63.0,26.5,75.5,68.5,75.0,113.5,76.0,28.0,89.0,112.0,90.0
28.5,62.0,112.0,61.5,27.0,75.0,69.0,75.0,113.5,75.5,28.5,88.5,111.5,89.5
29.0,61.5,112.0,61.5,27.0,74.5,70.0,74.0,114.0,75.0,29.0,88.0,112.5,89.0
29.0,61.0,113.0,61.0,27.5,74.0,69.5,73.5,115.0,74.0,29.5,87.5,113.0,88.0
29.5,60.0,113.0,60.0,27.5,73.5,70.0,73.0,115.0,74.0,30.0,87.0,113.5,87.5
29.5,59.5,113.5,59.5,28.0,73.0,71.0,72.0,115.5,73.5,30.0,86.0,113.5,87.0
30.0,59.0,113.5,59.0,29.0,72.0,71.0,72.0,116.0,72.0,30.5,85.5,114.0,86.0
30.5,58.5,114.0,58.5,29.0,72.0,71.0,71.5,116.0,72.0,30.0,85.0,114.0,86.0
30.5,58.5,114.0,58.0,29.0,71.0,71.0,71.0,116.0,71.5,31.0,84.0,114.0,85.0
30.5,57.5,114.0,57.5,29.0,70.0,71.0,70.0,116.0,71.0,30.5,83.5,115.0,85.0
31.0,57.0,115.0,56.0,29.5,69.5,71.5,69.5,117.0,70.0,31.0,83.0,115.0,84.0
31.0,56.0,115.0,55.5,29.5,69.0,72.0,69.0,117.0,69.0,31.0,82.0,115.0,83.0
31.0,56.0,115.0,55.0,29.0,68.0,72.0,68.0,117.0,68.0,31.0,82.0,115.0,82.5
31.0,55.0,115.0,54.0,29.5,67.5,71.5,67.5,117.0,68.0,31.0,81.0,115.0,82.0
31.0,54.0,115.0,54.0,29.0,67.0,72.0,67.5,117.0,67.0,31.0,80.5,115.5,81.5
31.0,53.0,115.0,53.0,29.0,66.5,72.0,67.0,117.0,67.0,31.0,80.0,115.0,81.0
31.0,53.0,115.0,52.0,29.5,65.5,72.0,65.0,117.0,66.0,31.0,79.0,115.0,80.0
31.0,52.0,115.0,51.5,29.5,65.5,72.0,65.5,117.0,65.0,31.0,79.0,115.0,79.0
31.0,51.0,114.5,50.5,30.0,65.0,72.0,66.0,116.0,65.0,31.0,78.0,114.0,78.0
31.0,51.0,114.0,50.0,29.0,64.0,71.5,64.0,116.0,64.0,30.5,76.5,114.5,77.0
30.5,50.0,114.0,49.0,29.0,63.0,71.0,63.0,115.5,62.5,30.5,76.5,114.0,77.0
30.5,50.0,114.0,49.0,29.0,62.0,71.0,62.5,116.0,62.0,30.0,76.0,114.0,76.0
30.0,48.0,114.0,48.0,28.0,62.0,71.0,62.0,116.0,62.0,30.0,75.0,114.0,76.0
30.0,48.0,113.0,47.5,28.0,61.0,71.0,62.0,115.5,60.5,30.0,75.0,114.0,75.0
30.0,48.0,113.0,47.0,27.5,60.5,70.5,61.0,115.5,60.5,30.0,75.0,113.5,74.5
29.0,47.0,113.0,46.5,27.5,60.5,70.0,60.0,115.0,60.0,30.0,74.0,113.0,74.0
29.5,46.5,113.0,46.0,27.0,60.0,70.0,60.0,114.0,60.0,29.0,73.0,113.0,74.0
29.0,45.5,111.5,44.5,27.0,59.0,69.0,59.0,113.5,58.5,28.5,72.0,111.5,72.5
28.0,45.0,111.5,44.5,26.0,58.0,69.5,58.5,113.5,58.5,28.0,72.0,111.5,72.5
27.5,44.5,111.5,44.5,26.0,58.0,69.0,58.0,113.0,58.0,27.5,71.0,111.0,72.0
27.5,44.5,111.0,43.0,25.0,57.0,68.0,58.0,113.0,57.0,27.0,71.0,111.0,71.0
26.5,43.5,110.0,43.0,25.0,57.0,67.5,57.5,111.5,56.5,27.0,70.0,110.0,70.0
25.5,42.5,109.5,42.5,24.0,56.0,67.0,57.0,111.5,56.5,26.0,70.0,109.5,70.5
25.5,42.5,109.5,42.5,24.0,56.0,67.0,57.0,111.0,56.0,25.5,69.5,109.0,69.0
25.5,42.5,108.0,42.0,23.0,56.0,66.0,56.0,110.0,56.0,25.0,69.0,108.0,69.0
25.0,42.0,108.0,42.0,23.0,56.0,65.5,56.5,110.0,55.0,24.0,69.0,108.0,69.0
24.0,42.0,107.0,41.0,22.0,55.0,65.0,56.0,109.0,55.0,24.0,69.0,107.5,68.5
23.0,41.0,107.0,41.0,21.5,54.5,65.0,55.0,108.0,55.0,23.5,68.5,106.0,68.0
23.0,41.0,106.0,40.0,21.0,55.0,64.0,55.0,107.5,54.5,23.0,68.0,105.5,68.5
22.0,40.0,106.0,40.0,20.0,54.0,63.5,54.5,107.5,54.5,22.0,68.0,105.0,68.0
21.5,40.0,104.5,40.0,19.5,54.5,63.0,55.0,106.0,54.0,21.0,68.0,104.0,67.0
20.0,40.0,103.5,40.0,18.5,54.0,62.0,55.0,105.5,54.5,21.0,68.0,104.0,68.0
19.0,40.0,103.5,40.0,17.5,54.0,61.0,54.0,105.5,54.5,20.0,67.5,103.0,67.5
19.0,40.0,102.0,40.0,17.0,54.0,61.0,54.0,104.0,54.0,19.0,67.0,103.0,67.0
18.0,40.0,101.0,40.0,17.0,54.0,60.0,55.0,103.0,54.0,18.5,67.0,102.0,67.0
18.0,40.0,101.0,40.0,16.0,54.0,60.0,54.5,103.0,54.0,18.0,67.0,101.0,67.0
18.0,40.0,100.0,40.0,15.0,54.0,60.0,54.0,102.5,54.0,17.0,67.0,100.0,67.0
17.0,40.0,100.0,41.0,14.5,54.0,59.0,55.0,102.0,54.0,17.0,67.0,100.0,67.0
16.0,40.0,99.5,40.5,13.0,54.0,58.0,55.0,101.0,54.0,15.0,68.0,99.0,67.0
15.0,40.0,97.5,40.5,13.0,54.0,57.5,54.5,100.0,54.5,15.0,68.0,98.0,67.0
14.0,40.0,97.5,40.5,12.0,54.0,57.0,55.0,99.5,54.5,14.0,68.0,97.0,68.0
13.0,40.0,97.0,41.5,11.5,54.5,56.5,54.5,99.0,54.0,13.5,68.5,97.0,68.0
13.0,40.0,96.0,42.0,11.0,54.0,56.0,55.0,98.0,55.0,13.0,68.5,96.5,68.5
11.5,40.5,96.0,42.0,9.5,54.5,55.5,55.5,98.0,55.0,12.0,69.0,96.0,68.0
11.5,40.5,95.5,42.5,9.0,55.0,55.0,56.0,97.5,55.5,11.0,69.0,95.5,68.5
10.5,41.0,95.0,42.5,9.0,55.0,54.0,56.0,97.0,56.0,11.0,69.5,95.0,69.0
10.0,42.0,94.0,43.0,8.0,56.0,54.0,56.5,96.0,56.0,10.0,70.0,94.0,69.0
9.5,42.5,93.0,44.0,7.0,56.0,53.0,57.0,96.0,57.0,9.5,70.5,93.5,70.0
9.0,43.0,93.0,44.0,7.0,57.0,53.0,58.0,95.0,57.0,9.0,71.0,93.0,70.0
8.0,43.0,92.0,45.0,6.0,57.0,52.0,58.0,94.0,58.0,8.0,71.0,92.5,71.0
7.0,44.0,92.0,45.0,6.0,58.0,51.5,58.5,94.0,58.0,8.0,72.0,92.0,71.0
7.0,44.0,91.0,46.0,5.5,58.5,51.0,59.0,94.0,59.0,7.5,72.5,91.0,72.0
7.0,44.5,91.0,46.0,5.0,59.0,51.0,59.5,93.0,59.0,7.0,73.0,91.0,72.0
6.0,45.0,91.0,46.5,4.0,59.0,51.0,60.0,93.0,60.0,6.0,73.0,91.0,72.0
5.5,46.5,90.0,47.0,3.0,60.0,50.0,61.0,93.0,60.0,5.0,74.0,90.0,73.0
5.5,46.5,90.0,48.0,3.0,60.0,50.0,61.0,92.0,61.0,5.0,74.0,90.0,74.0
5.0,47.0,89.0,48.0,3.0,61.0,49.0,62.0,91.5,61.5,5.0,76.0,89.0,74.0
5.0,48.0,89.0,49.0,3.0,62.0,49.0,62.0,91.0,62.0,5.0,76.0,89.0,75.0
4.0,49.0,89.0,50.0,2.0,63.0,49.0,62.5,91.0,63.0,4.0,77.0,89.0,76.0
4.0,49.0,89.0,51.0,2.0,63.0,49.0,64.0,91.0,63.5,4.0,78.0,88.0,76.0
4.0,50.0,89.0,51.0,2.0,64.0,49.0,64.0,90.0,64.0,3.5,78.0,89.0,77.0
3.5,50.5,89.0,52.0,1.5,64.5,48.5,64.5,90.0,65.0,3.5,78.5,88.5,77.5
3.0,51.0,88.0,52.0,2.0,65.0,48.0,65.0,90.0,65.0,4.0,79.0,89.0,78.0
4.0,52.0,88.0,53.0,1.0,66.0,48.0,65.5,90.0,66.0,3.0,80.0,89.0,79.0
3.5,52.5,88.0,53.5,1.5,66.5,48.0,66.0,90.5,66.5,3.5,81.0,88.5,79.0
3.5,53.0,88.0,54.0,1.5,67.5,48.0,67.0,90.0,67.0,3.0,82.0,88.5,80.0
3.0,54.0,88.5,55.0,1.0,68.0,48.5,68.0,90.0,68.0,3.0,83.0,88.5,81.0
3.5,55.0,89.0,55.0,1.5,69.0,48.5,68.5,90.5,69.0,3.5,83.5,88.5,81.5
3.5,56.0,88.5,56.5,2.0,70.0,48.5,69.5,90.5,69.5,3.0,84.0,88.0,82.0
4.0,57.0,89.0,57.0,2.0,71.0,48.5,70.0,90.0,70.0,3.5,85.0,88.5,83.0
4.0,57.0,89.0,58.0,2.0,71.0,48.5,70.0,90.0,71.0,3.5,85.5,88.5,83.5
4.0,58.0,89.0,58.0,2.0,72.0,49.0,71.0,90.5,71.5,4.0,85.5,89.0,84.0
4.0,58.0,89.0,59.0,2.0,72.0,48.5,71.5,91.0,71.0,4.0,86.5,89.0,85.0
5.0,59.0,89.0,59.0,2.0,73.0,49.0,71.5,91.0,72.0,4.5,87.0,89.0,85.0
5.0,59.5,89.5,59.5,3.0,74.0,49.0,73.0,91.0,73.0,5.0,88.0,89.0,86.0
5.0,60.0,90.0,61.0,3.0,74.5,49.0,73.0,92.0,74.0,5.0,89.0,89.5,86.5
6.0,61.0,90.0,61.0,4.0,75.0,50.0,74.0,92.0,74.0,5.0,89.0,90.0,87.5
