u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
18.425132259315035,54.15503324990619,82.5,55.0,16.666454493084657,68.04254173786171,42.0,67.5,84.0,67.5,18.191915264177194,81.5327962010003,82.5,80.5
18.425132259315035,54.15503324990619,82.5,55.5,16.666454493084657,68.04254173786171,42.5,68.0,84.0,68.0,18.191915264177194,81.5327962010003,82.0,81.0
18.425132259315035,54.15503324990619,82.5,55.5,16.666454493084657,68.04254173786171,42.5,68.5,85.0,69.0,18.191915264177194,81.5327962010003,82.5,81.5
18.425132259315035,54.15503324990619,83.0,57.0,16.666454493084657,68.04254173786171,42.5,69.5,85.0,69.0,18.191915264177194,81.5327962010003,82.5,82.0
18.425132259315035,54.15503324990619,83.0,57.0,16.666454493084657,68.04254173786171,42.5,69.5,84.5,70.0,18.191915264177194,81.5327962010003,82.5,82.5
18.425132259315035,54.15503324990619,83.5,57.5,16.666454493084657,68.04254173786171,43.5,70.0,85.0,70.0,18.191915264177194,81.5327962010003,83.0,83.0
18.425132259315035,54.15503324990619,84.0,58.0,16.666454493084657,68.04254173786171,44.0,71.0,85.5,71.0,18.191915264177194,81.5327962010003,83.5,83.5
18.425132259315035,54.15503324990619,85.0,59.0,16.666454493084657,68.04254173786171,45.0,71.0,86.5,71.5,18.191915264177194,81.5327962010003,84.0,84.0
0.0,58.5,85.0,59.0,16.666454493084657,68.04254173786171,44.5,71.5,86.5,71.5,18.191915264177194,81.5327962010003,84.5,84.5
1.0,59.0,86.0,60.0,16.666454493084657,68.04254173786171,45.0,72.0,87.0,72.0,0.5,87.5,85.0,85.0
1.0,60.0,86.5,60.0,0.0,74.0,46.5,72.5,88.0,73.0,1.0,88.0,86.5,85.5
2.0,60.0,87.0,60.5,0.0,74.0,47.0,73.5,88.5,73.5,2.0,88.5,87.0,86.0
3.0,61.0,88.0,61.0,1.0,75.0,47.5,73.5,89.5,73.5,3.0,89.0,87.5,86.5
4.0,61.0,88.5,61.5,2.0,75.0,48.5,73.5,90.5,74.0,4.0,89.0,88.5,87.0
5.0,61.0,89.5,61.5,3.5,75.0,49.5,74.0,91.0,74.0,5.0,89.5,90.0,88.0
6.5,61.5,90.5,61.5,5.0,76.0,50.5,74.5,92.5,74.5,6.0,90.0,90.5,87.5
8.0,62.0,92.0,62.0,6.0,75.5,51.0,75.0,93.5,75.5,8.0,90.0,91.0,88.0
8.5,62.5,92.5,62.0,6.5,75.5,52.0,75.0,94.5,75.5,8.5,90.0,92.0,88.0
10.0,62.0,94.0,63.0,8.5,76.0,53.42252910164257,75.09273462181024,95.0,76.0,10.0,90.0,93.41474941570574,88.33954733478305
12.0,63.0,95.0,62.5,10.0,76.5,55.06678851407011,75.34986366760455,96.5,76.0,11.5,90.5,95.11908090378337,89.09403275054547
