u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
11.0,54.0,94.5,54.5,9.5,68.0,54.0,67.5,96.5,67.5,11.0,82.0,94.5,81.0
11.0,54.0,94.5,54.5,9.5,68.0,54.0,67.5,96.5,67.5,11.0,82.0,94.5,81.0
11.0,54.0,94.5,54.5,9.5,68.0,54.0,67.5,96.5,67.5,11.0,82.0,94.5,81.0
11.0,54.0,94.0,54.0,9.0,68.0,54.0,67.5,97.0,68.0,11.0,82.0,94.5,81.0
11.0,54.0,94.0,54.0,9.0,68.0,54.0,67.5,97.0,68.0,11.0,82.0,94.5,81.0
11.0,54.0,94.0,54.0,9.0,68.0,54.0,67.5,97.0,67.0,11.0,82.0,94.5,81.0
11.0,54.0,94.5,54.5,9.0,68.0,54.0,67.0,97.0,67.0,11.0,82.0,94.0,80.0
11.0,54.0,94.0,54.0,9.0,68.0,54.0,67.0,97.0,67.0,10.0,82.0,94.0,80.0
11.0,54.0,94.0,54.0,9.0,67.5,54.0,67.0,96.0,67.0,10.0,82.0,94.0,80.0
10.0,53.0,94.0,54.0,9.0,67.0,54.0,67.0,96.0,67.0,10.0,82.0,94.0,80.0
10.0,53.0,94.0,54.0,8.0,67.0,54.0,67.5,96.5,66.5,10.0,81.0,94.0,80.0
9.0,53.0,94.0,54.0,8.0,67.0,53.5,67.0,96.0,67.0,10.0,81.0,94.0,80.0
9.0,53.0,94.0,54.0,7.5,67.0,53.5,67.0,95.0,67.0,10.0,81.0,94.0,80.0
9.0,53.0,93.5,54.0,7.0,67.0,53.0,67.0,95.0,67.0,10.0,81.0,94.0,80.0
9.0,53.0,93.5,54.0,7.0,67.0,53.0,67.0,95.0,67.0,9.5,81.0,94.0,80.0
9.0,53.0,93.0,54.0,7.0,67.0,52.0,67.0,95.0,67.0,9.5,81.0,94.0,80.0
8.0,53.0,93.0,54.0,6.0,67.0,52.0,67.0,94.5,67.0,8.5,81.0,93.0,80.0
8.0,53.0,93.0,54.0,6.0,67.0,52.0,67.0,94.5,67.0,8.5,81.0,93.0,80.0
8.0,53.0,92.0,54.0,5.0,67.0,52.0,67.0,94.5,67.0,7.0,82.0,93.0,80.0
7.0,53.0,92.0,54.0,5.0,67.5,51.0,67.0,94.0,67.0,7.0,82.0,92.0,80.0
7.0,53.0,91.5,54.0,4.5,68.0,51.0,67.0,94.0,67.0,6.5,82.0,93.0,80.0
6.0,53.5,91.0,54.0,4.0,68.0,51.0,67.0,93.0,68.0,6.0,82.5,91.0,80.5
6.0,54.0,91.0,55.0,3.0,68.0,50.0,67.5,92.0,68.0,6.0,82.5,90.0,81.0
5.0,54.0,90.0,55.0,3.0,68.0,50.0,68.0,92.0,68.0,6.0,83.0,90.0,81.0
5.0,55.0,90.0,55.5,3.0,68.5,50.0,68.0,92.0,68.0,5.0,83.0,90.0,81.0
5.0,55.0,89.5,55.5,2.0,69.0,49.0,69.0,91.5,69.0,4.0,84.0,89.0,82.0
4.0,55.0,89.0,55.5,2.0,70.0,49.0,69.0,91.0,69.0,4.0,84.0,89.0,82.0
4.0,56.0,89.0,56.0,2.0,70.0,49.0,70.0,91.0,69.0,4.0,84.0,89.0,82.5
4.0,56.0,89.0,56.0,2.0,70.0,49.0,70.0,91.0,70.0,4.0,85.0,88.5,83.0
4.0,56.0,88.5,57.5,1.5,71.0,48.5,70.0,90.0,70.0,3.0,85.0,88.0,83.0
3.0,57.0,88.0,58.0,1.0,71.0,48.0,70.5,90.0,70.5,3.0,86.0,88.0,83.5
3.0,57.0,88.0,58.0,1.0,72.0,48.0,71.0,90.0,71.0,3.0,86.0,88.0,84.0
3.0,58.0,88.0,58.0,1.0,72.0,48.0,71.0,90.0,71.0,2.0,87.0,88.0,84.0
2.0,58.0,87.5,59.0,1.0,72.0,47.5,71.5,89.5,72.0,2.0,87.0,87.0,85.0
2.0,58.5,87.5,59.0,0.5,72.5,47.5,71.5,89.5,72.0,2.0,87.5,87.0,85.0
2.0,59.5,87.5,59.5,0.0,73.0,47.0,72.0,89.5,72.5,2.0,88.0,87.0,86.0
2.0,60.0,87.5,60.0,0.0,74.5,47.0,73.0,89.0,73.0,1.5,89.0,87.0,87.0
2.0,61.0,87.0,61.0,0.0,75.0,47.0,74.0,89.0,74.0,1.0,90.0,87.0,87.0
1.5,61.5,87.0,61.5,0.5,75.5,47.0,74.0,89.0,75.0,1.0,91.0,86.5,87.5
1.5,62.0,87.0,62.0,0.0,76.0,46.5,75.0,89.0,75.0,1.0,91.0,86.5,88.0
1.5,63.0,87.0,63.0,0.0,77.0,46.5,75.5,89.0,76.0,1.0,92.0,86.5,89.0
2.0,63.0,87.0,63.5,0.0,78.0,47.0,76.0,88.5,76.5,1.0,93.0,87.0,90.0
2.0,64.0,87.0,64.0,0.0,78.5,46.5,77.0,89.0,77.0,1.0,93.0,86.5,90.0
2.0,65.0,87.0,64.0,0.0,79.0,46.5,77.5,89.0,77.5,1.0,94.0,87.0,91.0
2.0,65.0,87.5,65.5,0.5,79.5,47.0,78.0,89.0,78.0,1.0,95.0,87.0,92.0
2.0,66.0,88.0,66.0,0.0,80.5,47.0,79.0,89.0,79.0,1.5,95.5,87.0,92.0
2.5,67.0,88.0,66.5,0.5,81.0,47.5,79.5,90.0,79.5,2.0,96.0,87.0,93.0
3.0,67.5,88.0,67.0,1.0,82.0,47.5,79.5,90.0,80.0,2.0,97.0,88.0,94.0
3.0,68.0,88.5,67.5,1.0,83.0,48.0,80.0,90.0,81.0,2.5,98.0,88.0,94.0
3.5,69.0,88.5,68.0,1.0,83.0,48.0,81.0,90.5,81.5,3.0,98.0,88.0,95.0
4.0,69.0,89.0,69.0,1.0,84.0,48.5,81.5,91.0,82.0,3.0,99.0,88.5,95.5
4.0,70.0,89.0,69.5,2.0,84.0,49.0,82.0,91.0,83.0,4.0,99.0,89.0,96.0
5.0,71.0,90.0,70.0,2.0,85.0,49.0,83.0,92.0,83.0,4.0,100.0,89.0,97.0
5.5,71.0,90.0,71.0,3.0,86.0,50.0,83.0,92.0,84.0,5.0,101.0,90.0,97.5
6.0,72.0,90.5,71.0,4.0,86.0,50.0,84.0,92.5,84.0,5.5,101.0,90.0,98.0
6.5,72.0,91.0,71.5,4.0,87.0,50.5,84.0,93.0,85.0,6.0,102.0,90.5,99.0
7.0,73.0,92.0,72.0,5.0,87.0,51.0,85.0,94.0,85.5,7.0,102.0,91.0,99.0
8.0,73.0,92.0,72.0,5.5,88.0,52.0,85.0,94.0,86.0,7.0,103.0,92.0,100.0
9.0,74.0,93.0,73.0,6.0,88.0,52.0,86.0,95.0,86.0,8.0,103.0,92.5,100.0
9.0,74.0,93.5,73.5,7.0,88.5,53.0,86.0,95.0,87.0,9.0,104.0,93.0,101.0
10.0,74.5,94.0,74.0,8.0,89.0,53.5,86.5,96.0,87.5,9.0,104.0,94.0,101.5
