x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.306474,3.443234,23.66996
7.471792,3.575877,23.76967
7.634808,3.707339,23.86888
7.794389,3.837035,23.96734
7.949429,3.964389,24.06481
8.098851,4.088837,24.16104
8.241618,4.209824,24.25579
8.37674,4.326813,24.34884
8.503278,4.439285,24.43993
8.620354,4.54674,24.52885
8.727156,4.6487,24.61537
8.822942,4.744712,24.69929
8.907048,4.834351,24.78037
8.978889,4.917216,24.85843
9.03797,4.992942,24.93328
9.083876,5.061191,25.00471
9.116291,5.121659,25.07256
9.13499,5.174078,25.13665
9.139843,5.218216,25.19683
9.130816,5.253876,25.25294
9.107971,5.2809,25.30485
9.071469,5.299167,25.35242
9.021562,5.308597,25.39553
8.958594,5.309147,25.43408
8.883006,5.300816,25.46797
8.795321,5.28364,25.49712
8.696146,5.257695,25.52145
8.586171,5.223097,25.5409
8.46616,5.18,25.55543
8.336945,5.128595,25.56499
8.199421,5.06911,25.56957
8.054545,5.001809,25.56915
7.903322,4.926992,25.56373
7.7468,4.844992,25.55333
7.586068,4.756171,25.53797
7.42224,4.660926,25.51769
7.256452,4.559679,25.49255
7.089857,4.452879,25.4626
6.923609,4.341002,25.42792
6.758863,4.224545,25.38859
6.596763,4.104024,25.34472
6.438433,3.979976,25.29642
6.284972,3.852951,25.2438
6.137445,3.723514,25.18699
5.996877,3.592239,25.12615
5.864242,3.459711,25.06141
5.740462,3.326518,24.99295
5.626394,3.193251,24.92093
5.522833,3.060503,24.84553
5.430494,2.928864,24.76694
5.350021,2.798918,24.68537
5.281971,2.671242,24.601
5.226816,2.546404,24.51406
5.184939,2.424959,24.42476
5.156632,2.307446,24.33332
5.14209,2.194386,24.23997
5.141414,2.086284,24.14495
5.15461,1.983618,24.0485
5.181584,1.886845,23.95084
5.222151,1.796395,23.85224
5.27603,1.712669,23.75293
5.342844,1.63604,23.65316
5.422132,1.566848,23.55318
5.513341,1.505401,23.45325
5.615841,1.451971,23.35361
5.728919,1.406796,23.25451
5.851791,1.370076,23.1562
5.983604,1.341975,23.05892
6.123443,1.322618,22.96292
6.270337,1.31209,22.86843
6.423265,1.310439,22.7757
6.581169,1.317671,22.68496
6.742952,1.333754,22.59643
6.90749,1.358618,22.51033
7.073642,1.392152,22.42688
7.240255,1.434206,22.34628
7.406171,1.484593,22.26875
7.570241,1.543091,22.19447
7.731323,1.609439,22.12362
7.888303,1.683341,22.05639
8.040088,1.764471,21.99295
8.185628,1.852468,21.93344
8.323909,1.94694,21.87803
8.453974,2.047467,21.82685
8.574919,2.153604,21.78002
8.685905,2.264878,21.73767
8.786161,2.380796,21.69989
8.874994,2.500842,21.6668
8.951784,2.624484,21.63845
9.016,2.75117,21.61494
9.067196,2.880339,21.59631
9.105016,3.011417,21.58262
9.129197,3.143822,21.57389
9.139574,3.276965,21.57015
9.136072,3.410254,21.57141
9.118716,3.543099,21.57767
9.087627,3.674908,21.58891
9.043022,3.805096,21.60509
8.985209,3.933084,21.62619
8.914587,4.058303,21.65215
8.831651,4.180198,21.6829
8.736974,4.298227,21.71837
8.631212,4.411865,21.75847
8.515101,4.520609,21.80309
8.389446,4.623974,21.85213
8.25512,4.721501,21.90546
8.113055,4.812757,21.96296
7.964237,4.897336,22.02447
7.809696,4.974863,22.08985
7.650509,5.044994,22.15892
7.487777,5.107417,22.23152
7.322633,5.161853,22.30747
7.156222,5.208063,22.38657
