u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
18.0,54.0,101.0,55.0,16.5,68.0,60.0,67.5,103.5,68.0,18.0,81.5,101.5,81.5
17.0,55.0,100.0,55.0,15.0,69.0,59.0,68.0,102.5,68.0,17.0,82.0,100.0,82.0
16.5,55.5,99.0,56.0,14.0,69.5,58.5,69.0,101.0,69.0,16.0,83.0,99.0,82.0
15.0,57.0,98.0,57.5,12.5,70.0,57.0,70.0,100.0,70.0,14.5,84.0,98.0,83.5
13.0,57.0,97.0,58.0,11.5,71.0,56.5,70.5,98.5,71.0,14.0,85.0,97.0,84.0
12.0,58.0,96.0,58.5,10.0,71.0,55.0,71.0,98.0,71.5,12.5,85.5,96.0,84.5
11.0,59.0,94.5,59.5,9.0,72.5,54.5,71.5,96.5,71.5,11.0,86.0,95.0,85.0
11.0,59.0,94.0,60.0,8.0,73.0,53.0,72.0,96.0,72.0,10.0,87.5,94.0,86.0
10.0,60.0,93.5,60.5,7.0,74.0,52.5,73.5,94.5,73.5,9.0,88.0,93.0,86.0
8.5,61.0,92.0,61.0,6.5,74.5,52.5,73.5,94.0,74.0,8.5,89.0,92.5,87.0
8.5,61.5,92.0,62.0,6.0,75.5,51.5,74.0,94.0,74.5,7.5,89.5,92.0,88.0
7.0,62.0,91.5,62.0,5.0,76.0,50.5,74.5,92.5,75.5,7.0,90.0,91.0,88.0
6.5,62.5,90.5,62.5,4.5,76.5,50.5,75.5,92.5,75.5,6.5,90.5,90.5,88.0
6.0,63.0,90.5,63.5,4.0,77.0,50.0,75.5,92.0,76.0,6.0,91.0,90.0,89.0
5.5,64.0,90.0,63.5,4.0,78.0,49.5,76.0,91.5,76.0,5.0,91.5,89.5,89.5
5.0,64.0,90.0,63.5,3.0,77.5,49.0,77.0,91.0,76.5,5.0,92.0,89.0,90.0
5.0,64.0,89.0,64.5,3.0,78.0,49.0,76.5,90.5,77.5,4.5,92.5,89.0,90.0
4.0,64.0,89.0,65.0,2.5,78.5,49.0,77.0,90.5,77.5,4.0,93.0,88.5,90.0
4.5,64.0,89.0,65.0,2.5,79.0,49.0,77.0,90.5,77.5,4.0,93.0,88.5,90.0
,,,,2.0,79.0,48.5,77.5,90.5,77.5,4.0,93.0,89.0,90.0
4.5,65.5,88.0,65.0,2.5,79.5,48.5,77.5,90.5,77.5,4.0,93.5,89.0,90.0
4.5,65.5,89.0,65.0,2.5,79.5,48.5,77.5,90.5,77.5,4.0,94.0,89.0,91.0
