x,y,z
7.14,3.31,23.57
7.155895,3.308346,23.57078
7.155895,3.308346,23.57078
7.155895,3.308346,23.57078
7.138719,3.323494,23.55712
7.11219,3.32595,23.55597
7.138442,3.328752,23.55972
7.126964,3.329164,23.58379
7.149601,3.322804,23.57121
7.173682,3.31301,23.57716
7.195574,3.326893,23.57091
7.212347,3.332745,23.55102
7.22257,3.308126,23.55175
7.235466,3.312215,23.57473
7.250564,3.322022,23.5944
7.255824,3.304078,23.57539
7.264289,3.286607,23.59367
7.277287,3.307198,23.5828
7.252096,3.309952,23.5745
7.225878,3.30652,23.57104
7.234888,3.324497,23.55352
7.21863,3.334048,23.57238
7.195933,3.342479,23.5612
7.202202,3.361868,23.57841
7.228364,3.356724,23.57885
7.222825,3.331522,23.57212
7.210522,3.316507,23.59041
7.197768,3.299058,23.60603
7.179796,3.313085,23.5922
7.19087,3.299294,23.57224
7.174186,3.312179,23.55591
7.187552,3.308119,23.57862
7.197984,3.311453,23.55431
7.192171,3.332109,23.53848
7.188906,3.318669,23.56128
7.207571,3.326631,23.57858
7.22409,3.332925,23.59854
7.23861,3.353003,23.6084
7.22925,3.36633,23.62951
7.221136,3.342472,23.63824
7.241161,3.355447,23.62633
7.258846,3.342559,23.64157
7.272463,3.358582,23.65797
7.259929,3.335509,23.66262
7.252223,3.318353,23.64372
7.266166,3.30036,23.62983
7.275269,3.290649,23.60672
7.288075,3.309344,23.62078
7.267894,3.306716,23.60354
7.261318,3.290612,23.62376
7.244073,3.298537,23.64249
7.251817,3.281736,23.66169
7.228623,3.293844,23.66685
7.239372,3.290219,23.64272
7.22818,3.307292,23.62556
7.23756,3.290345,23.64389
7.243141,3.316293,23.6413
7.240111,3.297727,23.6224
7.264601,3.304718,23.63031
7.280607,3.311399,23.65056
7.276348,3.336817,23.65741
7.264422,3.317816,23.67183
7.288596,3.325379,23.66349
7.279176,3.306803,23.68014
7.289822,3.307357,23.6557
7.280617,3.283418,23.663
7.302341,3.285777,23.64771
7.299062,3.306895,23.63177
7.317264,3.288239,23.6374
7.329149,3.266118,23.64637
7.30562,3.259169,23.65682
7.291609,3.268551,23.63616
7.294095,3.29232,23.62433
7.31661,3.287066,23.63762
7.331562,3.274393,23.61954
7.318343,3.272734,23.59644
7.301727,3.25473,23.58591
7.318531,3.250075,23.60608
7.336037,3.26582,23.6186
7.315693,3.250031,23.61168
7.293576,3.239012,23.6217
7.276167,3.246723,23.64037
7.291323,3.260718,23.65727
7.311022,3.276315,23.66621
7.301944,3.252077,23.67263
7.297859,3.236169,23.69364
7.312563,3.218173,23.70671
7.318888,3.213452,23.68124
7.293891,3.213398,23.67196
7.293668,3.229102,23.69351
7.297301,3.247938,23.71203
7.322788,3.240185,23.71083
7.334156,3.263847,23.70615
7.357599,3.276453,23.70776
7.367921,3.259215,23.72529
7.349268,3.265875,23.70744
7.373639,3.27481,23.71355
7.388269,3.25261,23.71148
7.376669,3.272386,23.7251
7.357996,3.253728,23.72132
7.353743,3.265711,23.74476
7.351371,3.290468,23.75438
7.335215,3.269307,23.75591
7.318069,3.274211,23.77573
7.309368,3.287082,23.75406
7.297437,3.302761,23.77203
7.284473,3.296941,23.7946
7.28817,3.321759,23.78557
7.267489,3.319657,23.76886
7.261344,3.345121,23.77386
7.256388,3.341404,23.74792
7.243057,3.322117,23.73521
7.268501,3.325591,23.7424
