x,y,z
7.14,3.31,23.57
9.139999,3.31,23.57
9.1398,3.31,23.57
9.1398,3.31,23.57
9.138455,3.306667,23.64331
9.134092,3.303333,23.7165
9.12705,3.3,23.78946
9.11734,3.296667,23.86211
9.104975,3.293333,23.93434
9.089973,3.29,24.00605
9.072355,3.286667,24.07716
9.052146,3.283333,24.14756
9.029373,3.28,24.21716
9.004067,3.276667,24.28586
8.976266,3.273333,24.35359
8.946005,3.27,24.42023
8.913327,3.266667,24.48571
8.878276,3.263333,24.54994
8.8409,3.26,24.61283
8.80125,3.256667,24.6743
8.759381,3.253333,24.73426
8.71535,3.25,24.79264
8.669215,3.246667,24.84935
8.621041,3.243333,24.90433
8.570891,3.24,24.95749
8.518836,3.236667,25.00877
8.464945,3.233333,25.0581
8.40929,3.23,25.10542
8.351948,3.226667,25.15065
8.292996,3.223333,25.19374
8.232514,3.22,25.23464
8.170585,3.216667,25.27328
8.10729,3.213333,25.30963
8.042717,3.21,25.34362
7.976952,3.206667,25.37522
7.910083,3.203333,25.40438
7.842203,3.2,25.43106
7.773401,3.196667,25.45524
7.703771,3.193333,25.47687
7.633406,3.19,25.49594
7.562402,3.186666,25.5124
7.490853,3.183333,25.52625
7.418858,3.18,25.53747
7.346511,3.176666,25.54604
7.273911,3.173333,25.55195
7.201156,3.17,25.55519
7.128343,3.166667,25.55577
7.05557,3.163333,25.55367
6.982934,3.16,25.54891
6.910534,3.156667,25.54149
6.838467,3.153333,25.53143
6.766829,3.15,25.51873
6.695718,3.146667,25.50341
6.625227,3.143333,25.4855
6.555452,3.14,25.46503
6.486486,3.136667,25.44201
6.418422,3.133333,25.41648
6.35135,3.13,25.38848
6.285361,3.126667,25.35805
6.220543,3.123333,25.32522
6.156982,3.12,25.29005
6.094765,3.116667,25.25257
6.033973,3.113333,25.21285
5.974689,3.11,25.17093
5.916989,3.106667,25.12687
5.860954,3.103333,25.08074
5.806657,3.1,25.03259
5.75417,3.096667,24.98249
5.703564,3.093333,24.93051
