u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
3.5,54.0,88.5,54.5,1.0,68.0,48.5,67.5,90.0,67.0,3.0,82.0,88.5,81.0
3.5,54.0,88.5,54.5,1.0,68.0,48.5,67.5,90.0,67.0,3.0,82.0,88.5,81.0
3.5,54.0,88.5,54.5,1.0,68.0,48.5,67.5,90.0,67.0,3.0,82.0,88.5,81.0
3.5,54.0,88.5,54.5,1.0,68.0,48.5,67.5,90.0,67.0,3.0,82.0,88.5,81.0
3.5,54.0,88.5,54.5,2.0,68.0,48.5,67.5,90.0,67.0,3.5,82.0,88.5,81.0
3.5,54.0,88.5,54.5,1.5,68.0,48.5,67.5,90.0,67.0,3.5,82.0,89.0,81.0
4.0,54.0,88.5,54.5,2.0,68.0,48.5,67.5,90.0,67.0,3.5,82.0,89.0,81.0
4.0,54.0,88.5,54.5,2.0,68.0,48.5,67.5,90.5,67.0,3.5,82.0,88.5,80.5
4.0,54.0,88.5,54.5,2.0,68.0,48.5,67.5,91.0,67.0,4.0,82.0,88.5,80.5
4.0,53.0,89.0,54.5,2.0,68.0,48.5,67.5,91.0,67.0,4.0,82.0,89.0,80.0
4.5,53.0,89.0,54.5,3.0,68.0,49.0,67.0,91.0,67.0,5.0,81.5,89.0,80.0
5.0,53.0,89.0,54.0,3.0,67.0,49.0,67.5,91.0,67.5,5.0,81.0,89.0,80.0
5.0,53.0,89.0,54.0,3.0,67.0,49.0,67.0,91.0,67.5,5.0,81.0,89.5,80.0
5.0,53.0,89.5,54.0,3.5,67.5,50.0,67.0,91.0,67.0,5.0,81.0,89.5,80.0
5.0,53.0,90.0,54.0,3.5,67.5,50.0,67.0,92.0,67.0,5.0,81.0,90.0,80.0
6.0,53.0,90.0,54.0,4.0,67.0,50.0,67.0,92.5,67.0,6.0,82.0,90.0,80.0
6.0,53.0,90.0,54.0,4.0,67.0,50.0,67.0,92.0,67.0,6.0,81.5,90.5,79.5
6.0,53.0,91.0,54.0,4.0,67.0,50.0,67.0,92.0,67.0,6.0,81.5,90.5,79.5
6.0,53.0,91.0,54.0,4.5,67.5,50.0,67.0,92.5,67.0,6.5,81.5,90.5,79.5
7.0,53.0,91.0,54.0,5.0,67.0,51.0,67.0,93.0,67.0,7.0,81.0,91.0,79.0
8.0,53.0,91.0,54.5,6.0,67.0,51.5,67.0,93.0,67.0,7.5,81.0,91.5,79.5
