x,y,z
7.14,3.31,23.57
9.139999,3.31,23.57
9.139999,3.31,23.57
9.139999,3.31,23.57
9.137822,3.403299,24.12817
9.131295,3.496396,24.67542
9.120432,3.589086,25.20104
9.105256,3.681169,25.69474
9.085802,3.772444,26.14687
9.062111,3.862711,26.54857
9.034234,3.951776,26.89199
9.002234,4.039442,27.1704
8.966178,4.125521,27.37836
8.926146,4.209824,27.5118
8.882225,4.292167,27.5681
8.83451,4.372373,27.54617
8.783106,4.450264,27.44644
8.728124,4.525673,27.27085
8.669684,4.598435,27.02284
8.607914,4.668392,26.70726
8.542947,4.735391,26.3303
8.474926,4.799286,25.89932
8.403997,4.859939,25.42276
8.330317,4.917216,24.90995
8.254045,4.970995,24.37092
8.175347,5.021156,23.81622
8.094395,5.067592,23.25669
8.011365,5.110201,22.7033
7.926437,5.14889,22.16687
7.839797,5.183575,21.65789
7.751634,5.21418,21.18633
7.662138,5.24064,20.76141
7.571506,5.262896,20.39146
7.479934,5.2809,20.0837
7.387622,5.294611,19.84416
7.294771,5.304002,19.67752
7.201583,5.309052,19.58706
7.10826,5.309748,19.57453
7.015007,5.30609,19.64019
6.922026,5.298086,19.78275
6.82952,5.285753,19.99941
6.737689,5.269119,20.28594
6.646735,5.248218,20.63674
6.556855,5.223097,21.04493
6.468244,5.193811,21.50254
6.381096,5.160423,22.0006
6.295601,5.123006,22.52937
6.211944,5.081641,23.0785
6.130307,5.036418,23.63726
6.05087,4.987437,24.19469
5.973804,4.934803,24.7399
5.899276,4.878632,25.26222
5.827451,4.819044,25.75143
5.758483,4.756171,26.19795
5.692524,4.69015,26.59304
5.629716,4.621123,26.92898
5.570197,4.549241,27.19919
5.514096,4.474661,27.39839
5.461535,4.397545,27.52267
5.412628,4.318061,27.56961
5.367483,4.236382,27.53828
5.326198,4.152687,27.4293
5.288861,4.067155,27.2448
5.255555,3.979976,26.9884
5.226353,3.891338,26.66509
5.201317,3.801434,26.28123
5.180502,3.71046,25.84432
5.163954,3.618614,25.3629
