x,y,z
9.104385,5.119565,21.81881
6.55745,6.233967,21.58393
6.451667,6.203047,21.58965
6.347838,6.167094,21.59636
6.246251,6.126242,21.60404
6.147183,6.080641,21.61269
6.050902,6.030459,21.6223
5.957666,5.975883,21.63288
5.867718,5.917113,21.64442
5.781289,5.854363,21.6569
5.698593,5.787865,21.67033
5.61983,5.71786,21.6847
5.347535,5.40801,21.75141
5.29085,5.324482,21.77035
5.238935,5.239111,21.79018
5.191863,5.152199,21.81089
5.149689,5.064048,21.83247
5.112445,4.974966,21.85491
5.080147,4.88526,21.87819
5.052788,4.795236,21.90231
5.030343,4.705199,21.92725
5.012765,4.615451,21.95301
4.99999,4.526289,21.97956
4.991934,4.438003,22.0069
5.247452,3.48496,22.42712
5.287501,3.433619,22.46387
5.329199,3.386098,22.50117
5.774844,3.125377,22.90002
5.8162,3.119831,22.94206
5.855938,3.117609,22.98441
6.071145,3.180121,23.28776
6.090793,3.197669,23.33183
6.10726,3.216655,23.37601
6.120455,3.236822,23.42029
6.130303,3.257905,23.46464
6.136751,3.279636,23.50905
6.139761,3.301743,23.55348
6.139318,3.323952,23.59793
6.135423,3.345988,23.64235
6.015723,3.472885,23.95114
5.986571,3.484041,23.99467
5.954827,3.492747,24.03799
5.80573,3.499068,24.20876
5.763997,3.492645,24.25071
5.720952,3.482722,24.29233
5.676846,3.46918,24.3336
5.631941,3.451915,24.37448
5.586505,3.430841,24.41497
5.540813,3.405895,24.45504
5.495142,3.377028,24.49467
5.449776,3.344211,24.53385
5.405,3.307436,24.57255
5.361098,3.266713,24.61076
5.318354,3.222073,24.64845
5.014352,2.58037,24.99315
5.001721,2.499962,25.02403
4.993168,2.417412,25.05418
4.988859,2.332966,25.0836
4.988944,2.246885,25.11228
4.993557,2.159436,25.14019
5.002816,2.070898,25.16733
5.016816,1.981557,25.19368
5.035637,1.891706,25.21923
5.05934,1.801644,25.24396
5.087965,1.711672,25.26787
5.121532,1.622097,25.29093
5.160044,1.533225,25.31315
5.203479,1.445363,25.33451
5.2518,1.358817,25.35499
5.304948,1.27389,25.3746
5.362844,1.190883,25.39331
5.425389,1.110091,25.41113
5.492467,1.031803,25.42803
5.563943,0.9562982,25.44402
5.639661,0.8838504,25.45908
5.719451,0.8147216,25.4732
5.803125,0.7491627,25.48639
6.911851,0.3214825,25.56791
7.022563,0.3130361,25.56945
7.133612,0.3100089,25.57
8.779535,1.022974,25.42991
8.847125,1.100957,25.41311
8.910198,1.181475,25.39541
8.968634,1.264242,25.3768
9.022331,1.348962,25.35729
9.261267,1.971245,25.19666
9.275818,2.06066,25.1704
9.285617,2.149307,25.14335
9.290758,2.236894,25.11553
9.291357,2.323148,25.08694
9.287546,2.407794,25.0576
9.046956,3.115001,24.7264
9.007591,3.167741,24.68985
8.966473,3.216691,24.65275
8.52089,3.491685,24.25552
8.478994,3.498503,24.2136
8.438627,3.501943,24.17136
8.400023,3.502156,24.12883
8.363404,3.499308,24.08602
8.32898,3.493581,24.04296
8.296949,3.485171,23.99966
8.267491,3.474286,23.95615
8.240773,3.461145,23.91245
8.216946,3.445981,23.86858
8.196143,3.429035,23.82457
8.178482,3.410553,23.78042
8.164062,3.390795,23.73618
8.152962,3.370021,23.69185
8.145246,3.348498,23.64746
8.140955,3.326499,23.60303
8.140114,3.304297,23.55859
8.142727,3.282165,23.51415
