u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
0.0,121.0,111.0,48.0,-0.1439887193121397,68.24865484765897,49.0,81.0,113.0,82.0,-1.4778569746144345,100.62338529639386,112.5,120.0
3.0,53.0,122.0,122.0,0.0,89.0,66.5,85.5,139.82899792448504,71.24178131922305,0.5,127.5,140.80405454509787,108.3230567929302
3.0,53.0,122.0,122.0,1.0,88.0,67.0,85.0,140.59584038989524,70.8952907236559,0.5,127.5,141.61017271057358,107.94684788385084
4.0,52.0,122.0,122.0,1.0,88.0,68.0,85.0,141.34948726689908,70.55140230051458,1.0,127.0,142.40217081222718,107.57345447662577
5.0,52.0,122.0,122.0,2.0,87.0,68.5,84.5,142.08993855549645,70.21011604979911,2.0,127.0,143.18004885005865,107.202876571255
5.5,51.0,122.0,122.0,3.0,87.0,69.0,84.0,142.81719425568744,69.87143197150952,2.0,126.5,143.94380682406808,106.83511416773855
6.0,51.0,122.0,122.0,4.0,86.5,69.5,83.5,143.53125436747203,69.53535006564576,3.0,126.0,144.69344473425534,106.47016726607639
7.0,50.0,122.0,122.0,4.0,86.0,70.0,83.5,144.23211889085022,69.20187033220787,4.0,125.0,145.42896258062052,106.10803586626855
7.5,50.0,122.0,122.0,5.0,85.0,70.5,82.5,144.91978782582203,68.87099277119583,4.0,124.0,146.15036036316354,105.74871996831503
8.0,49.0,121.0,120.5,5.0,84.0,71.0,82.0,145.5942611723874,68.54271738260964,5.0,123.0,146.85763808188446,105.39221957221578
9.0,49.0,121.0,120.5,6.0,84.0,71.5,81.5,146.25553893054638,68.2170441664493,5.5,122.5,147.5507957367833,105.03853467797084
9.0,48.0,121.0,120.5,6.5,83.0,72.0,81.5,146.903621100299,67.89397312271483,6.0,121.5,148.22983332786004,104.68766528558024
10.0,46.0,88.0,114.0,8.0,81.0,73.0,79.5,149.36399389524527,66.62771067203542,8.0,119.0,150.80478305394573,103.31234273456074
11.0,45.0,88.0,114.0,8.5,80.0,73.0,78.0,149.94609812296582,66.31765049043018,9.0,118.0,151.4132203259119,102.97555085144164
11.0,44.0,88.0,114.0,9.0,79.0,73.5,77.5,150.51500676228,66.01019248125081,9.5,116.5,152.0075375340559,102.6415744701768
11.5,43.5,113.0,120.0,9.0,78.0,74.0,77.0,151.07071981318776,65.70533664449731,9.0,116.0,152.5877346783778,102.31041359076633
11.0,43.0,113.0,120.0,9.0,78.0,74.0,76.5,151.61323727568913,65.40308298016964,10.0,115.0,153.15381175887762,101.98206821321014
11.5,42.0,113.0,120.0,9.0,77.0,74.0,76.0,152.1425591497841,65.10343148826783,9.5,114.5,153.70576877555536,101.65653833750825
11.5,41.5,113.0,120.0,9.0,76.0,74.0,75.5,152.65868543547262,64.80638216879187,10.0,114.0,154.2436057284109,101.33382396366066
11.5,40.5,113.0,120.0,9.5,76.0,74.5,74.5,153.16161613275474,64.51193502174176,10.0,113.0,154.76732261744436,101.01392509166736
12.0,40.0,113.0,120.0,10.0,75.0,74.5,74.0,153.65135124163052,64.22009004711752,10.0,112.0,155.27691944265572,100.69684172152839
11.5,39.5,113.0,120.0,10.0,75.0,74.0,74.0,154.1278907620999,63.93084724491913,10.0,112.0,155.77239620404498,100.38257385324373
11.5,38.5,113.0,120.0,9.5,74.0,74.0,73.0,154.59123469416284,63.64420661514659,10.0,111.0,156.25375290161213,100.07112148681337
12.0,38.0,113.0,120.0,9.0,73.0,74.0,72.0,155.04138303781934,63.360168157799905,10.0,110.0,156.72098953535712,99.76248462223728
7.5,32.0,107.5,117.5,6.0,67.0,71.5,67.0,159.6925129603718,59.90446590304555,7.0,103.0,161.51013996623018,96.00641605149009
7.0,31.0,107.5,117.5,6.0,67.0,71.0,67.0,159.95792306633874,59.656857859660825,7.0,103.0,161.77969570646565,95.73719621287431
6.5,31.0,107.5,117.5,5.5,66.5,71.0,66.5,160.2101375838992,59.41185198870192,6.0,103.0,162.03513138287894,95.4707918761128
