x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.233299,3.496396,23.63597
7.326396,3.681169,23.7018
7.419086,3.862711,23.76734
7.511169,4.039442,23.83246
7.602444,4.209824,23.897
7.692711,4.372373,23.96082
7.781775,4.525673,24.0238
7.869442,4.668392,24.08579
7.955521,4.799286,24.14666
8.039824,4.917216,24.20627
8.122168,5.021156,24.2645
8.202373,5.110201,24.32121
8.280264,5.183575,24.37629
8.355673,5.24064,24.42961
8.428435,5.2809,24.48106
8.498392,5.304002,24.53053
8.565391,5.309748,24.5779
8.629286,5.298086,24.62309
8.689939,5.269119,24.66597
8.747216,5.223097,24.70647
8.800995,5.160423,24.7445
8.851156,5.081641,24.77997
8.897592,4.987437,24.81281
8.940201,4.878632,24.84293
8.978889,4.756171,24.87029
9.013575,4.621123,24.89482
9.044181,4.474661,24.91646
9.070641,4.318061,24.93517
9.092896,4.152687,24.9509
9.110899,3.979976,24.96364
9.124612,3.801434,24.97333
9.134003,3.618614,24.97997
9.139051,3.433108,24.98354
9.139748,3.246529,24.98404
9.13609,3.060503,24.98145
9.128086,2.87665,24.97579
9.115753,2.696568,24.96707
9.099118,2.521826,24.95531
9.078218,2.353945,24.94053
9.053098,2.194387,24.92276
9.023811,2.044538,24.90206
8.990423,1.905707,24.87845
8.953006,1.7791,24.85199
8.911641,1.665818,24.82274
8.866419,1.566848,24.79076
8.817437,1.483053,24.75613
8.764803,1.41516,24.71891
8.708632,1.363762,24.67919
8.649044,1.329305,24.63705
8.586171,1.31209,24.5926
8.520149,1.312266,24.54591
8.451122,1.329832,24.4971
8.379241,1.364635,24.44628
8.304661,1.416372,24.39354
8.227546,1.484593,24.33901
8.148061,1.568704,24.28281
8.066382,1.667972,24.22505
7.982687,1.781533,24.16587
7.897155,1.9084,24.10539
7.809976,2.047467,24.04375
7.721338,2.197525,23.98107
7.631433,2.357265,23.9175
7.54046,2.5253,23.85317
7.448614,2.700165,23.78822
7.356096,2.880338,23.7228
7.263107,3.064252,23.65705
7.169851,3.250304,23.59111
7.076529,3.436879,23.52512
6.983345,3.622347,23.45923
6.890503,3.805096,23.39358
6.798204,3.983535,23.32831
6.706649,4.156111,23.26357
6.616038,4.321322,23.1995
6.526568,4.47773,23.13624
6.438433,4.623974,23.07392
6.351826,4.758779,23.01268
6.266935,4.880973,22.95265
6.183945,4.989491,22.89397
6.103037,5.083391,22.83676
6.024386,5.161853,22.78114
5.948165,5.224195,22.72725
5.874538,5.269876,22.67518
5.803668,5.298495,22.62507
5.735707,5.309804,22.57701
5.670804,5.303707,22.53112
5.609099,5.280254,22.48749
5.550728,5.239651,22.44621
5.495818,5.18225,22.40739
5.444487,5.108551,22.37109
5.396848,5.019197,22.33741
5.353005,4.914965,22.3064
5.313053,4.796762,22.27815
5.277078,4.665617,22.25272
5.24516,4.522671,22.23015
5.217368,4.36917,22.21049
5.193762,4.206447,22.1938
5.174394,4.035922,22.18011
5.159305,3.859078,22.16944
5.14853,3.677455,22.16182
5.14209,3.492633,22.15726
5.140001,3.306221,22.15579
5.142266,3.119843,22.15739
5.148881,2.935119,22.16207
5.159832,2.753659,22.16981
5.175095,2.577041,22.1806
5.194635,2.406804,22.19442
5.218412,2.244429,22.21123
5.246372,2.09133,22.231
5.278456,1.948838,22.25369
5.314593,1.818195,22.27924
5.354705,1.700537,22.30761
5.398704,1.596891,22.33872
5.446494,1.508156,22.37251
