x,y,z
7.14,3.31,23.57
5.009474,3.31,23.57
5.009474,3.31,23.57
5.009474,3.31,23.57
5.121644,3.242697,23.53635
5.270519,3.185183,23.50759
5.454106,3.140846,23.48542
5.669602,3.112777,23.47139
5.913463,3.103663,23.46683
6.181478,3.115698,23.47285
6.468874,3.150499,23.49025
6.770425,3.209042,23.51952
7.080579,3.291619,23.56081
7.393589,3.397806,23.6139
7.703652,3.526461,23.67823
8.00505,3.675737,23.75287
8.29228,3.843116,23.83656
8.560191,4.025464,23.92773
8.804103,4.219103,24.02455
9.019914,4.419908,24.12495
9.204192,4.623396,24.2267
9.354256,4.824854,24.32743
9.468225,5.019458,24.42473
9.545053,5.202398,24.5162
9.584545,5.369012,24.59951
9.587348,5.51491,24.67245
9.554915,5.636099,24.73305
9.489454,5.729089,24.77954
9.393863,5.791003,24.8105
9.271632,5.819656,24.82483
9.126753,5.813623,24.82181
8.963591,5.77229,24.80115
8.786774,5.69588,24.76294
8.601056,5.58546,24.70773
8.411192,5.442922,24.63646
8.221811,5.270952,24.55048
8.03729,5.072959,24.45148
7.861642,4.853009,24.34151
7.698418,4.615724,24.22286
7.550616,4.366168,24.09808
7.420612,4.109728,23.96986
7.31011,3.851982,23.84099
7.220109,3.598562,23.71428
7.150894,3.355011,23.5925
7.102044,3.126647,23.47832
7.072464,2.918437,23.37422
7.060438,2.734862,23.28243
7.06369,2.579819,23.20491
7.079475,2.456513,23.14326
7.104671,2.367389,23.09869
7.135887,2.314067,23.07203
7.169583,2.297304,23.06365
7.202181,2.316985,23.07349
7.230191,2.372123,23.10106
7.250322,2.460892,23.14544
7.259597,2.580679,23.20534
7.255447,2.728151,23.27908
7.235806,2.899347,23.36467
7.199181,3.089785,23.45989
7.144702,3.294574,23.56229
7.072171,3.508543,23.66927
6.982067,3.726378,23.77819
6.875549,3.942757,23.88638
6.754433,4.152479,23.99124
6.621139,4.350609,24.0903
6.478642,4.53258,24.18129
6.33038,4.694325,24.26216
6.180166,4.832363,24.33118
6.03208,4.943879,24.38694
5.890353,5.026793,24.4284
5.759244,5.079795,24.4549
5.642917,5.102369,24.46618
5.545318,5.094789,24.46239
5.470055,5.058098,24.44405
5.420285,4.994068,24.41203
5.398619,4.90513,24.36757
5.40703,4.7943,24.31215
5.446786,4.665084,24.24754
5.518404,4.521368,24.17568
5.621605,4.367305,24.09865
5.75532,4.20719,24.01859
5.917691,4.045337,23.93767
6.106109,3.885955,23.85798
6.317264,3.733033,23.78152
6.547223,3.590222,23.71011
6.791516,3.460741,23.64537
7.04524,3.347292,23.58865
7.303185,3.251983,23.54099
7.559954,3.176283,23.50314
7.810102,3.120985,23.47549
8.048264,3.086199,23.4581
8.269299,3.071353,23.45068
8.468411,3.075227,23.45261
8.641277,3.095999,23.463
8.784151,3.131307,23.48065
8.893965,3.178336,23.50417
8.968403,3.233908,23.53195
9.005962,3.294588,23.56229
9.005991,3.356798,23.5934
8.968702,3.416932,23.62347
8.895172,3.471474,23.65074
8.787311,3.517117,23.67356
