x,y,z
7.14,3.31,23.57
9.139999,3.31,23.57
9.139999,3.31,23.57
9.139999,3.31,23.57
9.138889,3.276673,23.61999
9.135557,3.243383,23.66993
9.130009,3.210166,23.71975
9.122249,3.177061,23.76941
9.112287,3.144104,23.81884
9.100133,3.111331,23.868
9.085802,3.078778,23.91683
9.069309,3.046483,23.96528
9.050673,3.01448,24.01328
9.029914,2.982805,24.06079
9.007055,2.951494,24.10776
8.982121,2.920582,24.15413
8.955142,2.890101,24.19985
8.926146,2.860088,24.24487
8.895164,2.830575,24.28914
8.862234,2.801593,24.33261
8.82739,2.773177,24.37523
8.790671,2.745358,24.41696
8.752118,2.718165,24.45775
8.711775,2.69163,24.49755
8.669684,2.665782,24.53633
8.625895,2.64065,24.57402
8.580454,2.616261,24.61061
8.533413,2.592644,24.64603
8.484824,2.569823,24.68027
8.434741,2.547825,24.71326
8.38322,2.526673,24.74499
8.330317,2.506392,24.77541
8.276092,2.487003,24.80449
8.220604,2.468529,24.83221
8.163917,2.45099,24.85851
8.106091,2.434405,24.88339
8.047192,2.418792,24.90681
7.987285,2.404171,24.92874
7.926437,2.390555,24.94917
7.864715,2.377961,24.96806
7.802188,2.366402,24.9854
7.738925,2.355892,25.00116
7.674997,2.346442,25.01534
7.610475,2.338062,25.02791
7.54543,2.330762,25.03886
7.479934,2.32455,25.04817
7.414061,2.319433,25.05585
7.347883,2.315417,25.06187
7.281474,2.312505,25.06624
7.214908,2.310702,25.06895
7.148259,2.310009,25.06999
7.081601,2.310426,25.06936
7.015007,2.311955,25.06707
6.948553,2.314592,25.06311
6.882311,2.318335,25.0575
6.816355,2.32318,25.05023
6.750759,2.329121,25.04132
6.685596,2.336152,25.03077
6.620937,2.344265,25.0186
6.556855,2.353451,25.00482
6.493421,2.3637,24.98945
6.430705,2.375,24.9725
6.368777,2.387339,24.95399
6.307706,2.400702,24.93395
6.24756,2.415077,24.91238
6.188405,2.430445,24.88933
6.130307,2.446791,24.86481
6.073332,2.464095,24.83886
