u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
,,117.5,30.5,,,54.0,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.5,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.5,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.5,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.0,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.0,66.0,119.0,66.0,,,118.0,102.0
,,117.5,30.5,,,54.5,66.0,119.0,66.0,,,117.5,101.5
,,117.5,30.5,,,54.5,66.0,119.0,66.0,,,117.5,101.5
,,117.5,30.5,,,54.0,66.0,119.0,66.0,,,117.5,101.0
,,117.5,30.5,,,54.0,66.0,118.5,66.0,,,117.5,101.5
,,117.0,30.0,,,54.0,65.5,118.5,66.0,,,117.0,101.0
,,117.0,30.0,,,53.5,65.5,118.0,66.0,,,117.0,101.0
,,116.5,30.0,,,53.5,65.5,118.0,66.0,,,117.0,101.0
,,116.0,30.0,,,53.0,65.0,118.0,66.0,,,117.0,101.0
,,116.0,30.0,,,52.0,66.0,117.0,66.0,,,116.0,101.0
,,115.5,30.5,,,52.5,66.0,117.0,66.0,,,116.0,101.0
,,116.0,30.0,,,52.0,66.0,117.0,66.0,,,115.5,101.0
,,115.5,30.5,,,52.0,66.0,117.0,66.0,,,115.5,101.0
,,115.0,30.5,,,52.0,66.0,117.0,66.0,,,115.5,101.0
,,114.0,30.0,,,52.0,66.0,115.0,66.0,,,115.0,101.0
,,114.0,30.5,,,51.0,65.5,115.0,66.0,,,115.0,101.0
,,114.0,31.0,,,51.0,66.0,115.0,66.0,,,113.0,102.0
,,113.0,31.0,,,50.0,66.0,114.0,66.5,,,113.0,102.0
,,113.0,31.0,,,50.0,66.0,114.0,67.0,,,113.0,102.0
,,112.0,31.5,,,49.0,67.0,113.5,67.0,,,112.0,103.0
,,112.0,32.0,,,49.0,67.0,113.0,67.0,,,112.0,103.0
,,111.0,32.5,,,49.0,67.5,113.0,68.0,,,112.0,103.0
,,111.0,33.0,,,48.5,68.5,113.0,68.0,,,111.5,103.5
,,110.5,33.5,,,49.0,68.0,112.0,69.0,,,111.0,104.0
,,110.0,34.0,,,49.0,69.0,112.0,69.0,,,111.0,104.0
,,110.0,35.0,,,48.0,69.0,112.0,69.0,,,110.0,105.0
,,110.0,35.0,,,48.0,69.0,111.5,70.0,,,110.0,105.5
,,109.5,35.5,,,48.0,70.0,111.0,70.0,,,110.0,106.0
,,109.0,36.0,,,47.0,70.0,111.0,70.5,,,110.0,106.0
,,109.0,36.0,,,47.0,70.0,111.0,71.0,,,110.0,107.0
,,109.0,37.0,,,47.0,71.0,111.0,71.0,,,110.0,108.0
,,109.0,37.0,,,47.0,72.0,110.5,72.0,,,109.5,108.5
,,109.0,38.0,,,47.0,72.0,110.0,73.0,,,109.5,109.0
,,108.0,39.0,,,46.5,73.0,110.0,73.0,,,109.0,110.0
,,108.0,39.5,,,46.5,73.5,110.0,74.0,,,109.0,110.0
,,108.0,40.0,,,46.5,73.5,110.0,75.0,,,109.5,111.0
,,108.0,41.0,,,47.0,75.0,110.0,75.5,,,109.0,112.0
,,108.0,42.0,,,46.5,75.5,110.0,76.0,,,109.5,113.0
,,108.5,42.0,,,47.0,76.0,110.5,77.0,,,110.0,113.0
,,108.5,43.0,,,47.0,76.5,110.5,77.5,,,110.0,114.0
,,109.0,44.0,,,47.0,77.0,111.0,78.0,,,110.0,115.0
,,109.0,44.0,,,47.0,78.0,111.0,79.0,,,110.0,116.0
,,109.0,45.0,,,47.5,78.5,111.5,79.5,,,111.0,117.0
,,109.5,45.5,,,48.0,79.0,112.0,80.0,,,111.0,117.5
,,110.0,46.0,,,48.0,79.5,112.0,81.0,,,111.5,118.0
,,110.0,47.0,,,48.5,80.0,113.0,82.0,,,112.0,119.0
