x,y,z
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.14,3.31,23.57
7.251941,3.403299,23.70988
7.363532,3.496396,23.84909
7.474422,3.589086,23.98692
7.584263,3.681169,24.12271
7.692711,3.772444,24.25579
7.799427,3.862711,24.38552
7.904075,3.951776,24.51125
8.006328,4.039442,24.63237
8.105864,4.125521,24.74829
8.202373,4.209824,24.85843
8.295549,4.292167,24.96227
8.385105,4.372373,25.05929
8.470756,4.450264,25.14901
8.552235,4.525673,25.231
8.629286,4.598435,25.30485
8.701668,4.668392,25.3702
8.769155,4.735391,25.42674
8.831532,4.799286,25.47418
8.888608,4.859939,25.5123
8.940201,4.917216,25.5409
8.98615,4.970995,25.55985
9.026311,5.021156,25.56905
9.060557,5.067592,25.56846
9.088783,5.110201,25.55809
9.110899,5.14889,25.53797
9.126836,5.183575,25.50822
9.136544,5.21418,25.46897
9.139992,5.24064,25.42042
9.13717,5.262896,25.36281
9.128086,5.2809,25.29642
9.11277,5.294611,25.22157
9.091268,5.304002,25.13863
9.063649,5.309052,25.04801
9.029999,5.309748,24.95015
8.990423,5.30609,24.84553
8.945045,5.298086,24.73466
8.89401,5.285753,24.61809
8.837474,5.269119,24.49638
8.775617,5.248218,24.37014
8.708632,5.223097,24.23998
8.636728,5.193811,24.10653
8.560133,5.160423,23.97046
8.479085,5.123006,23.83243
8.393839,5.081641,23.69311
8.304661,5.036418,23.55318
8.211832,4.987437,23.41335
8.115643,4.934803,23.27427
8.016395,4.878632,23.13665
7.914399,4.819044,23.00115
7.809976,4.756171,22.86843
7.703452,4.69015,22.73915
7.595161,4.621123,22.61395
7.485444,4.549241,22.49342
7.374643,4.474661,22.37817
7.263107,4.397545,22.26875
7.151185,4.318061,22.16571
7.039227,4.236382,22.06954
6.927586,4.152687,21.98073
6.81661,4.067155,21.8997
6.706649,3.979976,21.82685
6.598046,3.891338,21.76254
6.491142,3.801434,21.70708
6.386273,3.71046,21.66074
6.283767,3.618614,21.62376
6.183945,3.526096,21.59631
6.087121,3.433108,21.57853
5.993597,3.339851,21.5705
5.903667,3.246529,21.57227
5.817614,3.153345,21.58382
5.735707,3.060503,21.60509
5.658202,2.968204,21.636
5.585343,2.87665,21.67637
5.517359,2.786038,21.72602
5.454461,2.696568,21.7847
5.396848,2.608433,21.85213
5.3447,2.521826,21.92797
5.298181,2.436935,22.01185
5.257436,2.353945,22.10337
5.222593,2.273037,22.20207
5.193762,2.194387,22.30747
5.171032,2.118165,22.41905
5.154476,2.044538,22.53627
5.144144,1.973668,22.65855
5.14007,1.905707,22.7853
5.142266,1.840804,22.91589
5.150725,1.7791,23.04968
5.165421,1.720729,23.18603
5.186308,1.665818,23.32425
5.21332,1.614487,23.46368
5.246373,1.566848,23.60363
5.285362,1.523005,23.74341
5.330166,1.483053,23.88235
5.380643,1.447078,24.01975
5.436638,1.41516,24.15495
5.497972,1.387368,24.28729
5.564455,1.363762,24.41611
5.635877,1.344393,24.54079
5.712014,1.329305,24.66072
5.792629,1.318529,24.7753
5.877467,1.31209,24.88397
5.966265,1.310001,24.98622
6.058742,1.312266,25.08152
6.154609,1.318882,25.16942
6.253565,1.329832,25.24949
6.355299,1.345095,25.32133
6.459496,1.364635,25.3846
6.565825,1.388412,25.43897
6.673954,1.416372,25.4842
6.783544,1.448456,25.52004
6.894252,1.484593,25.54634
7.005732,1.524705,25.56295
7.117631,1.568704,25.56981
7.2296,1.616494,25.56686
