u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
,,125.5,30.5,,,60.5,66.0,126.5,66.5,,,126.0,103.0
,,125.0,31.0,,,60.0,66.0,126.0,67.0,,,125.0,103.0
,,124.0,31.5,,,59.0,67.0,125.0,67.5,,,124.0,103.5
,,123.0,32.0,,,58.5,67.5,124.0,68.0,,,123.0,104.0
,,122.0,33.0,,,58.0,68.0,123.0,69.0,,,123.0,105.0
,,121.0,34.0,,,56.0,68.0,122.0,69.0,,,122.0,105.5
,,120.0,34.0,,,56.0,69.0,121.0,70.0,,,121.0,106.0
,,119.0,35.0,,,56.0,69.5,120.0,70.0,,,120.0,106.0
,,118.0,35.0,,,55.0,70.0,120.0,71.0,,,119.0,107.0
,,118.0,36.0,,,54.0,70.0,119.0,71.0,,,118.5,107.0
,,117.0,36.0,,,54.0,71.0,118.0,71.0,,,118.0,107.5
,,116.5,37.0,,,53.0,71.0,118.0,72.0,,,118.0,108.0
,,116.0,37.5,,,53.0,71.5,117.0,72.0,,,116.5,108.0
,,115.0,38.0,,,52.5,72.0,116.5,72.5,,,116.0,109.0
,,114.5,38.5,,,52.0,72.0,116.0,73.0,,,116.0,109.0
,,114.0,39.0,,,,,115.5,73.5,,,115.0,109.5
,,113.5,39.5,,,51.0,73.0,115.0,74.0,,,115.0,110.0
,,113.0,39.5,,,51.0,73.0,115.0,74.0,,,114.5,110.0
0.0,121.0,113.0,40.0,,,,,114.5,74.5,,,114.0,110.5
0.0,121.0,112.5,40.0,,,50.5,74.0,113.5,74.5,,,113.5,111.0
0.0,121.0,112.0,40.0,,,49.5,74.0,113.5,75.5,,,113.0,111.5
,,111.5,41.0,,,50.0,74.0,113.0,75.0,,,112.5,111.5
,,111.0,41.5,,,49.5,74.5,113.0,76.0,,,112.5,111.5
,,111.0,42.0,,,49.0,75.0,112.5,75.5,,,112.5,111.5
,,111.0,42.0,,,49.0,75.0,112.5,76.0,,,112.0,112.0
,,110.5,42.5,,,48.5,75.5,112.5,76.5,,,112.5,112.5
,,110.5,42.5,,,48.5,75.5,112.5,76.5,,,112.0,113.0
0.0,121.0,110.0,43.0,,,48.5,75.5,112.0,77.0,,,112.0,113.0
0.0,121.0,110.0,43.0,,,49.0,76.0,112.5,77.5,,,112.0,113.5
0.0,121.0,110.0,44.0,,,49.0,76.0,112.5,77.5,,,112.0,113.5
,,110.5,43.5,,,49.0,76.0,112.5,77.5,,,112.0,114.0
,,110.5,43.5,,,48.5,76.5,112.5,77.5,,,112.0,114.0
,,110.5,43.5,,,48.5,76.5,112.5,77.5,,,112.0,114.0
0.0,121.0,110.0,44.0,,,49.0,77.0,112.5,77.5,,,112.0,114.0
0.0,121.0,110.0,44.0,,,49.0,77.0,112.5,77.5,,,112.0,114.0
0.0,121.0,110.0,44.0,,,49.0,76.5,112.5,77.5,,,112.5,114.5
0.0,121.0,110.5,44.0,,,49.5,77.0,113.0,78.0,,,113.0,115.0
0.0,121.0,111.5,44.0,,,50.0,77.0,114.0,78.0,,,113.0,115.0
0.0,121.0,112.0,44.0,,,50.5,77.5,114.0,78.0,,,114.0,115.0
0.0,121.0,112.0,44.0,,,50.5,77.5,114.0,78.0,,,114.0,115.0
0.0,121.0,112.5,43.5,,,51.0,77.0,115.0,78.0,,,114.5,115.0
0.0,121.0,113.0,44.0,,,51.0,77.0,115.0,78.0,,,115.0,115.0
,,114.0,43.5,,,51.5,77.0,116.0,78.0,,,116.0,115.0
,,114.5,43.5,,,52.5,76.5,116.5,78.0,,,116.0,115.0
,,115.0,43.5,,,52.5,76.5,117.0,78.0,,,116.5,115.0
