x,y,z
7.14,3.31,23.57
8.139999,3.31,23.57
8.139999,3.31,23.57
8.139999,3.31,23.57
8.1392,3.349989,23.80942
8.136802,3.389915,24.0454
8.132809,3.429712,24.27455
8.127227,3.469318,24.49356
8.120067,3.508669,24.69929
8.111338,3.547703,24.88877
8.101055,3.586356,25.05929
8.089235,3.624567,25.20838
8.075896,3.662274,25.33392
8.061061,3.699418,25.43408
8.044751,3.73594,25.50743
8.026995,3.771779,25.55292
8.007819,3.80688,25.56988
7.987255,3.841186,25.55809
7.965335,3.874642,25.51769
7.942096,3.907196,25.44929
7.917572,3.938793,25.35386
7.891806,3.969385,25.23277
7.864836,3.998921,25.08776
7.836707,4.027356,24.92093
7.807463,4.054643,24.73466
7.777151,4.080739,24.53164
7.74582,4.105602,24.3148
7.71352,4.129191,24.08724
7.680302,4.151471,23.85224
7.64622,4.172404,23.61318
7.611328,4.191958,23.3735
7.575682,4.2101,23.13665
7.539339,4.226803,22.90603
7.502357,4.242039,22.68496
7.464796,4.255784,22.47662
7.426715,4.268016,22.284
7.388175,4.278715,22.10988
7.349238,4.287865,21.95676
7.309967,4.29545,21.82685
7.270423,4.301458,21.722
7.230671,4.305881,21.64374
7.190774,4.30871,21.59318
7.150796,4.309942,21.57105
7.1108,4.309574,21.57767
7.070851,4.307606,21.61295
7.031013,4.304043,21.67637
6.991349,4.29889,21.76703
6.951923,4.292154,21.88363
6.912797,4.283847,22.02447
6.874036,4.273983,22.18755
6.8357,4.262576,22.37051
6.79785,4.249645,22.57072
6.760548,4.235211,22.7853
6.723853,4.219297,23.01117
6.687823,4.201929,23.24508
6.652518,4.183133,23.48366
6.617991,4.162941,23.72348
6.584301,4.141383,23.96109
6.551499,4.118496,24.19308
6.519638,4.094316,24.41611
6.48877,4.068881,24.62697
6.458944,4.042231,24.82263
6.430207,4.01441,25.00027
6.402606,3.985463,25.15734
6.376184,3.955435,25.29157
6.350985,3.924374,25.40105
6.327048,3.89233,25.4842
6.304411,3.859355,25.53981
6.283111,3.825501,25.56709
6.263182,3.790823,25.56564
6.244656,3.755374,25.5355
6.227561,3.719214,25.47708
6.211927,3.682399,25.39124
6.197777,3.644988,25.2792
6.185135,3.607041,25.14257
6.174021,3.568619,24.98334
6.164451,3.529783,24.80377
6.156443,3.490596,24.60646
6.150007,3.451119,24.39423
6.145156,3.411417,24.17016
6.141896,3.371553,23.93745
6.140233,3.331591,23.69946
6.140169,3.291593,23.45961
6.141705,3.251626,23.22135
6.144838,3.211751,22.98809
6.149563,3.172034,22.76321
6.155872,3.132537,22.54993
6.163756,3.093324,22.35133
6.173202,3.054459,22.17025
6.184194,3.016001,22.0093
6.196715,2.978014,21.8708
6.210746,2.940559,21.75674
6.226263,2.903694,21.66876
6.243242,2.867479,21.60813
6.261655,2.831972,21.57571
6.281474,2.79723,21.57197
6.302666,2.763309,21.59698
6.325197,2.730262,21.65035
6.349032,2.698142,21.73134
6.374133,2.667001,21.83878
6.400458,2.636889,21.97111
6.427968,2.607853,22.12644
