u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
,,114.0,31.0,,,52.0,66.0,116.0,66.0,,,114.0,102.0
,,113.5,31.5,,,52.0,66.0,116.0,66.5,,,114.0,102.0
,,114.0,32.0,,,51.0,67.0,116.0,67.0,,,114.0,103.0
,,114.0,32.5,,,52.0,67.0,115.5,67.5,,,114.0,103.0
,,114.0,33.0,,,52.0,67.0,115.5,67.5,,,114.5,103.5
,,114.0,33.5,,,51.5,67.5,116.0,67.0,,,115.0,104.0
,,114.0,34.0,,,52.5,68.0,116.0,69.0,,,115.0,104.0
,,114.0,34.0,,,52.5,68.5,116.0,69.0,,,115.0,105.0
,,114.5,35.0,,,51.5,69.5,116.0,69.5,,,115.0,105.0
,,115.0,35.0,,,52.0,70.0,116.0,69.5,,,116.0,106.0
,,115.0,35.0,,,52.0,69.0,116.5,70.0,,,115.5,106.0
,,115.0,35.5,,,52.5,70.0,116.0,71.0,,,116.0,106.0
,,115.0,36.0,,,53.0,70.0,116.5,71.0,,,116.0,106.5
,,116.0,36.0,,,53.0,70.5,117.0,71.0,,,116.5,107.0
,,116.0,36.5,,,53.0,71.0,117.0,71.5,,,117.0,108.0
,,116.0,37.0,,,53.0,71.0,118.0,72.0,,,117.0,108.0
,,116.5,37.5,,,53.5,71.5,118.0,72.0,,,117.0,109.0
,,117.0,38.0,,,53.5,71.5,118.5,72.0,,,118.0,109.0
,,117.0,38.0,,,53.5,72.0,119.0,72.0,,,118.0,109.0
,,117.0,38.0,,,54.5,72.0,118.5,73.0,,,118.5,109.5
,,118.0,39.0,,,54.5,72.0,119.0,73.0,,,119.0,110.0
,,118.0,39.0,,,55.0,73.0,120.0,74.0,,,120.0,110.5
,,118.5,39.5,,,55.0,73.0,120.5,74.0,,,120.0,111.0
,,119.0,39.5,,,55.5,73.5,121.0,74.5,,,121.0,111.0
,,120.0,40.0,,,56.5,73.5,121.0,75.0,,,121.0,111.5
,,120.0,40.0,,,56.5,73.5,122.0,75.0,,,122.0,112.0
,,120.5,40.0,,,57.0,74.0,122.0,75.0,,,122.0,112.0
,,121.0,40.5,,,57.0,74.0,123.0,75.5,,,123.0,113.0
,,121.5,41.0,,,57.5,74.5,123.0,75.5,,,123.0,113.0
,,122.0,41.0,,,58.5,74.5,124.0,76.0,,,124.0,113.0
,,122.5,41.0,,,58.5,74.5,124.0,76.0,,,124.0,113.0
,,123.0,41.0,,,59.0,75.0,125.0,76.0,,,125.0,114.0
,,124.0,41.0,,,59.0,75.0,126.0,76.5,,,125.5,114.0
,,124.0,41.0,,,60.0,75.0,126.0,77.0,,,126.0,114.0
