x,y,z
7.14,3.31,22.292
7.14,3.31,22.292
7.14,3.31,22.292
7.14,3.31,22.292
7.273234,3.509667,22.39196
7.405877,3.707339,22.49167
7.537339,3.90104,22.59088
7.667035,4.088837,22.68934
7.794389,4.268851,22.78681
7.918837,4.439285,22.88304
8.039824,4.598435,22.97779
8.156813,4.744712,23.07084
8.269285,4.876654,23.16193
8.37674,4.992942,23.25085
8.4787,5.092415,23.33737
8.574712,5.174078,23.42129
8.664351,5.237116,23.50237
8.747216,5.2809,23.58043
8.822942,5.30499,23.65528
8.891191,5.309147,23.72671
8.951658,5.293329,23.79456
9.004078,5.257695,23.85865
9.048216,5.2026,23.91883
9.083876,5.128595,23.97494
9.110899,5.036418,24.02685
9.129167,4.926992,24.07442
9.138597,4.80141,24.11753
9.139147,4.660926,24.15608
9.130816,4.506944,24.18997
9.11364,4.341002,24.21912
9.087695,4.16476,24.24345
9.053097,3.979976,24.2629
9.01,3.788498,24.27743
8.958594,3.59224,24.28699
8.89911,3.393161,24.29157
8.831809,3.193251,24.29115
8.756992,2.994508,24.28573
8.674992,2.798917,24.27533
8.586171,2.608433,24.25997
8.490926,2.424959,24.23969
8.389679,2.250328,24.21455
8.282879,2.086284,24.1846
8.171002,1.934467,24.14992
8.054545,1.796395,24.11059
7.934024,1.673445,24.06672
7.809976,1.566848,24.01842
7.682951,1.477668,23.9658
7.553514,1.406796,23.90899
7.422239,1.354939,23.84815
7.289711,1.322618,23.78341
7.156518,1.310153,23.71495
7.023251,1.317671,23.64293
6.890503,1.345095,23.56753
6.758863,1.392151,23.48895
6.628918,1.458371,23.40737
6.501242,1.543091,23.323
6.376404,1.645465,23.23606
6.254959,1.764471,23.14676
6.137445,1.898919,23.05532
6.024386,2.047467,22.96198
5.916284,2.208629,22.86695
5.813618,2.380796,22.7705
5.716845,2.562248,22.67284
5.626395,2.751169,22.57424
5.542669,2.945676,22.47493
5.46604,3.143823,22.37516
5.396848,3.343628,22.27518
5.335401,3.543099,22.17525
5.281971,3.74024,22.07561
5.236795,3.933084,21.97651
5.200076,4.119699,21.8782
5.171975,4.298228,21.78092
5.152618,4.46688,21.68492
5.14209,4.623974,21.59043
5.140439,4.767939,21.4977
5.147671,4.897336,21.40696
5.163754,5.010873,21.31843
5.188618,5.107416,21.23233
5.222152,5.186001,21.14888
5.264205,5.24584,21.06828
5.314593,5.286337,20.99075
5.373091,5.307087,20.91647
5.439438,5.307882,20.84562
5.513341,5.288716,20.77839
5.594471,5.249779,20.71495
5.682468,5.191461,20.65545
5.776939,5.114343,20.60003
5.877467,5.019197,20.54885
5.983604,4.906974,20.50202
6.094878,4.778793,20.45967
6.210796,4.635937,20.42189
6.330842,4.479834,20.3888
6.454484,4.312041,20.36045
6.58117,4.134235,20.33694
6.710339,3.948196,20.31831
6.841417,3.755778,20.30462
6.973822,3.558908,20.29589
7.106965,3.35955,20.29215
7.240254,3.159698,20.29342
7.373099,2.961346,20.29967
7.504908,2.766477,20.31091
7.635096,2.577039,20.3271
7.763083,2.394927,20.34819
7.888303,2.221958,20.37415
8.010198,2.059858,20.4049
8.128227,1.910249,20.44037
8.241865,1.774628,20.48047
8.350609,1.654346,20.52509
8.453974,1.550608,20.57413
8.5515,1.464449,20.62746
8.642756,1.396729,20.68496
8.727336,1.348127,20.74647
8.804863,1.319127,20.81185
8.874994,1.310019,20.88092
8.937416,1.320895,20.95352
8.991854,1.351645,21.02947
9.038063,1.401962,21.10857
9.075839,1.471343,21.19063
9.105016,1.559096,21.27544
9.125462,1.664343,21.36279
9.137087,1.786034,21.45247
9.139839,1.922951,21.54425
9.133706,2.073727,21.63789
9.118716,2.236854,21.73317
9.094934,2.410707,21.82985
9.062469,2.593543,21.92768
9.021461,2.783539,22.02642
8.972094,2.978795,22.12582
8.914587,3.177358,22.22564
8.849197,3.377247,22.32563
8.776213,3.576466,22.42553
8.69596,3.773022,22.5251
8.608793,3.96495,22.62408
8.515101,4.150334,22.72224
8.4153,4.327323,22.81932
8.309834,4.494148,22.91508
8.19917,4.64914,23.00929
8.083799,4.790751,23.1017
7.964237,4.917569,23.19209
7.84101,5.028325,23.28023
7.714671,5.12191,23.3659
7.585778,5.197392,23.44888
7.454905,5.254016,23.52897
7.322633,5.291215,23.60597
7.189549,5.308619,23.67969
7.056246,5.306053,23.74994
6.923315,5.283544,23.81654
6.791346,5.241315,23.87934
6.660926,5.17979,23.93816
6.532634,5.099582,23.99287
6.407041,5.001493,24.04333
6.284705,4.886504,24.08942
6.166168,4.755763,24.13101
6.051956,4.610573,24.168
5.94258,4.452392,24.2003
5.838523,4.282796,24.22784
5.74025,4.103479,24.25054
5.648194,3.916234,24.26834
5.562767,3.722933,24.2812
5.484346,3.525506,24.28909
5.413282,3.325925,24.29198
5.349889,3.126184,24.28988
5.294449,2.928282,24.28279
5.247208,2.734193,24.27072
5.208377,2.545856,24.2537
5.178127,2.365155,24.23178
5.156594,2.193897,24.20501
5.143872,2.033784,24.17346
5.140019,1.886427,24.13721
5.145052,1.753293,24.09634
5.158948,1.635716,24.05097
5.181644,1.534865,24.0012
5.213042,1.451751,23.94715
5.253001,1.387205,23.88897
5.301343,1.34187,23.8268
5.357854,1.3162,23.76079
5.422283,1.310451,23.69111
5.494343,1.324682,23.61794
5.573715,1.358748,23.54145
5.660045,1.412311,23.46183
5.75295,1.484836,23.3793
5.852019,1.575597,23.29404
5.956809,1.683687,23.20628
6.066855,1.808028,23.11624
6.18167,1.947376,23.02413
6.300742,2.100336,22.93019
6.423543,2.265385,22.83467
6.549526,2.440871,22.73778
6.678133,2.625039,22.63978
6.808793,2.816053,22.54091
6.940923,3.012003,22.44142
7.073938,3.210931,22.34155
7.207247,3.410848,22.24156
7.340257,3.609754,22.1417
7.472376,3.805669,22.04221
7.603022,3.996631,21.94335
7.731608,4.180733,21.84535
7.857566,4.356134,21.74848
7.980336,4.521083,21.65296
8.099372,4.673931,21.55904
8.214147,4.813148,21.46695
8.324148,4.937349,21.37693
8.428889,5.04529,21.28919
8.527904,5.13589,21.20396
8.620752,5.208249,21.12144
8.707023,5.261642,21.04186
8.78633,5.295533,20.96539
8.858324,5.309586,20.89225
8.922684,5.303659,20.8226
8.979123,5.277813,20.75663
9.027391,5.232305,20.69449
9.067275,5.16759,20.63635
9.098596,5.084313,20.58234
9.121215,4.983309,20.53261
9.135032,4.865585,20.48727
9.139985,4.732321,20.44645
9.136053,4.584844,20.41024
9.123253,4.424627,20.37873
9.101642,4.253278,20.35201
9.071315,4.0725,20.33013
9.032408,3.884104,20.31315
