x,y,z
7.14,3.31,22.292
10.14,3.31,22.292
10.138,3.31,22.292
10.138,3.31,22.292
10.13134,3.306667,22.49172
10.10809,3.303333,22.69011
10.07171,3.3,22.88629
10.02239,3.296667,23.07939
9.960382,3.293333,23.26857
9.885989,3.29,23.45299
9.799571,3.286667,23.63184
9.701536,3.283333,23.80434
9.592347,3.28,23.96974
9.472513,3.276667,24.12732
9.342591,3.273333,24.2764
9.20318,3.27,24.41633
9.054922,3.266667,24.54651
8.898495,3.263333,24.6664
8.734612,3.26,24.77546
8.564018,3.256667,24.87325
8.387486,3.253333,24.95937
8.205814,3.25,25.03344
8.019821,3.246667,25.09517
7.830344,3.243333,25.14431
7.63823,3.24,25.18068
7.444341,3.236667,25.20414
7.249541,3.233333,25.21461
7.054698,3.23,25.21209
6.860678,3.226667,25.1966
6.668342,3.223333,25.16825
6.478539,3.22,25.1272
6.292107,3.216667,25.07364
6.109867,3.213333,25.00786
5.932619,3.21,24.93017
5.761139,3.206667,24.84095
5.596176,3.203333,24.74061
5.438447,3.2,24.62963
5.288636,3.196667,24.50853
5.147393,3.193333,24.37786
5.015323,3.19,24.23823
4.892992,3.186666,24.09029
4.780921,3.183333,23.9347
4.679586,3.18,23.77217
4.589411,3.176666,23.60346
4.51077,3.173333,23.42931
4.443987,3.17,23.25051
4.389331,3.166667,23.06788
4.347016,3.163333,22.88222
4.317201,3.16,22.69438
4.29999,3.156667,22.50519
4.29543,3.153333,22.31549
4.303512,3.15,22.12614
4.324169,3.146667,21.93796
4.357281,3.143333,21.7518
4.402672,3.14,21.56848
4.460111,3.136667,21.3888
4.529314,3.133333,21.21355
4.609945,3.13,21.0435
4.701622,3.126667,20.8794
4.803908,3.123333,20.72196
4.916326,3.12,20.57186
5.038352,3.116667,20.42976
5.16942,3.113333,20.29626
5.308926,3.11,20.17194
5.456233,3.106667,20.05733
5.610665,3.103333,19.95292
5.771519,3.1,19.85914
5.938066,3.096667,19.77639
6.109553,3.093333,19.705
6.285205,3.09,19.64528
6.464232,3.086667,19.59745
6.645832,3.083333,19.56169
6.829189,3.08,19.53815
7.013485,3.076667,19.52689
7.1979,3.073333,19.52794
7.381614,3.07,19.54126
7.563812,3.066667,19.56676
7.743689,3.063333,19.6043
7.92045,3.06,19.65368
8.093318,3.056667,19.71466
8.261534,3.053333,19.78693
8.424361,3.05,19.87016
8.58109,3.046667,19.96393
8.731039,3.043333,20.06782
8.873558,3.04,20.18132
9.008033,3.036667,20.30393
9.133884,3.033333,20.43506
9.250574,3.03,20.57411
9.357607,3.026667,20.72046
9.454531,3.023333,20.87342
9.540939,3.02,21.03231
9.616474,3.016667,21.1964
9.680828,3.013333,21.36495
9.733741,3.01,21.53721
9.775005,3.006667,21.71239
9.804468,3.003333,21.88971
9.822027,3,22.06838
9.827633,2.996667,22.2476
9.821292,2.993333,22.42657
9.80306,2.99,22.60451
9.773048,2.986667,22.78061
9.73142,2.983333,22.95411
9.678388,2.98,23.12423
9.614217,2.976667,23.29024
9.53922,2.973333,23.45139
9.453756,2.97,23.607
9.358233,2.966667,23.75638
9.253098,2.963333,23.89888
9.138845,2.96,24.03389
9.016004,2.956666,24.16083
8.88514,2.953333,24.27914
8.746858,2.95,24.38834
8.601789,2.946667,24.48796
8.450595,2.943333,24.57757
8.293962,2.94,24.6568
8.132604,2.936666,24.72534
7.967246,2.933333,24.78289
7.798635,2.93,24.82924
7.627527,2.926666,24.86421
7.45469,2.923333,24.88766
7.280895,2.92,24.89953
7.106916,2.916667,24.89979
6.93353,2.913333,24.88847
6.761506,2.91,24.86565
6.591598,2.906667,24.83146
6.424564,2.903333,24.78608
6.261135,2.9,24.72975
6.102028,2.896667,24.66273
5.947939,2.893333,24.58536
5.799541,2.89,24.498
5.657478,2.886667,24.40108
5.522365,2.883333,24.29504
5.394783,2.88,24.18038
5.275282,2.876667,24.05763
5.164371,2.873333,23.92736
5.06252,2.87,23.79017
4.970158,2.866667,23.64668
4.887672,2.863333,23.49755
4.815403,2.86,23.34345
4.753643,2.856667,23.18509
4.702641,2.853333,23.02317
4.662597,2.85,22.85843
4.633657,2.846667,22.69161
4.615923,2.843333,22.52346
4.609443,2.84,22.35471
4.614217,2.836667,22.18613
4.630194,2.833333,22.01847
4.657273,2.83,21.85246
4.695305,2.826667,21.68884
4.744092,2.823333,21.52834
4.803389,2.82,21.37165
4.872904,2.816667,21.21946
4.952302,2.813333,21.07244
5.041203,2.81,20.93122
5.139187,2.806667,20.79642
5.245794,2.803333,20.66862
5.360527,2.8,20.54838
5.482855,2.796667,20.43619
5.612215,2.793333,20.33255
5.748012,2.79,20.23788
5.889626,2.786667,20.1526
6.036411,2.783333,20.07704
6.187702,2.78,20.01151
6.342813,2.776667,19.9563
6.501047,2.773333,19.9116
6.66169,2.77,19.87759
6.824022,2.766667,19.85439
6.98732,2.763333,19.84208
7.150851,2.76,19.84069
7.31389,2.756667,19.85018
7.475713,2.753333,19.87049
7.635604,2.75,19.9015
7.792859,2.746666,19.94304
7.946786,2.743333,19.99489
8.096708,2.74,20.05681
8.241973,2.736667,20.12848
8.381946,2.733333,20.20955
8.51602,2.73,20.29966
8.643615,2.726666,20.39836
8.764181,2.723333,20.5052
8.877203,2.72,20.61968
8.982201,2.716666,20.74127
9.078727,2.713333,20.86941
9.166376,2.71,21.00351
9.244784,2.706666,21.14296
9.313629,2.703333,21.28713
9.37263,2.7,21.43536
9.421554,2.696666,21.58698
9.460209,2.693333,21.7413
9.488453,2.69,21.89764
9.50619,2.686666,22.0553
9.513371,2.683333,22.21356
9.509993,2.68,22.37173
9.4961,2.676666,22.5291
9.471785,2.673333,22.68498
9.437181,2.67,22.83867
9.392477,2.666667,22.98951
9.337895,2.663333,23.13681
9.273709,2.66,23.27995
9.20023,2.656667,23.4183
9.11781,2.653333,23.55126
9.026842,2.65,23.67824
8.927754,2.646667,23.79871
8.82101,2.643333,23.91215
8.707106,2.64,24.01806
8.586567,2.636667,24.11601
8.45995,2.633333,24.20559
8.327835,2.63,24.2864
8.190824,2.626667,24.35813
8.04954,2.623333,24.42048
7.904621,2.62,24.4732
7.756726,2.616667,24.51608
7.60652,2.613333,24.54896
7.454676,2.61,24.57172
7.301873,2.606667,24.58429
7.148795,2.603333,24.58665
6.996121,2.6,24.57881
6.84453,2.596667,24.56084
6.694692,2.593333,24.53285
6.547268,2.59,24.49499
6.402907,2.586667,24.44745
6.26224,2.583333,24.39049
6.125883,2.58,24.32437
5.994429,2.576667,24.24942
5.868445,2.573333,24.166
5.74848,2.57,24.0745
5.635048,2.566667,23.97536
5.528633,2.563333,23.86903
5.429687,2.56,23.75601
5.338629,2.556667,23.63683
5.25584,2.553333,23.51203
5.181663,2.55,23.38218
