u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
23.0,94.0,109.0,94.0,22.0,76.5,65.5,75.5,110.0,77.0,24.0,60.0,107.5,59.5
23.0,94.0,109.0,94.0,22.0,76.5,65.5,75.5,110.0,77.0,24.0,60.0,107.0,60.0
23.0,94.0,109.0,94.0,22.0,76.5,66.0,76.0,110.0,77.0,24.0,59.5,107.5,59.5
23.0,94.0,109.0,94.0,22.0,76.5,65.0,76.0,110.0,77.0,24.0,59.0,107.5,59.5
23.0,94.0,109.0,94.0,22.5,76.5,66.0,75.0,109.5,76.5,24.0,60.0,107.5,59.5
23.0,94.0,109.0,94.0,22.5,76.5,66.0,75.0,109.5,76.5,24.5,59.5,107.5,59.5
23.0,94.0,109.0,94.0,23.0,76.0,66.0,75.0,110.0,76.0,24.0,59.0,108.0,59.0
23.0,94.0,109.5,94.0,23.0,76.0,66.0,75.0,110.0,76.0,25.0,59.0,108.0,59.0
23.0,94.0,110.0,94.0,23.0,76.0,65.5,75.5,110.0,76.0,25.0,59.0,108.0,59.0
24.0,93.0,110.0,94.0,23.0,76.0,66.0,75.0,110.0,76.0,25.0,59.0,109.0,59.0
24.0,93.0,110.0,94.0,23.5,76.0,66.5,75.5,111.0,76.0,26.0,59.0,109.0,59.0
25.0,93.0,110.0,94.0,23.5,76.0,67.0,75.0,111.0,76.0,26.0,59.0,109.0,59.0
25.0,93.5,110.0,94.0,24.0,76.0,67.0,75.5,111.0,76.0,26.0,59.0,109.0,59.0
26.0,93.0,111.0,94.0,24.0,76.0,67.0,75.0,112.0,76.0,26.0,59.0,110.0,59.0
26.0,93.0,111.5,94.0,25.0,76.0,68.0,75.0,112.0,76.0,26.0,59.0,110.0,59.0
26.0,93.0,112.0,94.0,25.0,75.5,68.0,75.0,112.5,76.0,27.0,59.0,110.5,59.0
26.0,93.0,112.0,94.0,25.5,75.5,68.5,75.5,113.0,76.0,27.0,58.0,111.0,59.0
26.5,93.0,112.5,94.0,25.5,75.5,68.5,75.5,113.0,76.0,28.0,59.0,111.0,59.0
26.5,93.0,112.0,93.0,26.0,75.5,69.0,75.0,113.0,76.0,29.0,59.0,111.0,59.0
28.0,93.0,111.5,93.5,27.0,75.5,70.0,75.0,113.0,76.0,29.0,58.5,112.0,59.0
28.0,93.0,114.0,94.0,27.0,75.0,70.0,75.0,115.0,76.0,29.0,59.0,113.0,59.0
29.0,93.0,115.0,93.5,28.0,75.5,70.0,75.0,115.5,76.0,30.0,58.0,113.0,59.0
29.0,93.0,115.5,93.5,28.0,75.5,71.0,74.5,116.0,76.0,30.0,58.0,114.0,59.0
30.0,93.0,115.5,93.5,28.5,75.5,72.0,75.0,117.0,76.0,31.0,58.0,114.0,59.0
30.0,93.0,116.0,94.0,29.0,75.5,72.0,75.0,117.5,76.0,31.0,58.0,115.0,59.0
30.5,93.0,117.0,94.0,29.5,75.5,72.5,75.0,118.0,76.0,31.5,58.0,116.0,59.0
32.0,93.0,117.5,94.0,30.0,75.5,73.0,75.0,118.0,76.0,32.0,58.0,116.0,59.0
32.0,93.0,118.0,94.0,30.5,75.5,73.0,75.0,118.0,76.0,32.5,58.0,116.0,58.5
32.0,93.0,118.0,94.0,31.0,75.0,73.5,75.0,119.0,76.0,33.0,58.0,117.0,59.0
32.0,92.5,119.0,94.0,32.0,75.0,74.0,75.0,119.0,76.5,33.0,58.0,117.0,58.0
33.0,93.0,119.0,94.0,32.0,75.0,74.0,74.5,119.0,76.0,34.0,58.0,117.0,58.0
33.0,92.5,119.0,94.0,32.0,75.0,74.0,75.0,119.0,76.0,34.0,58.0,117.5,58.5
33.0,92.5,119.0,94.0,32.0,75.0,74.5,74.5,119.5,76.0,34.0,58.5,117.5,58.5
33.0,92.5,120.0,94.0,32.0,75.0,74.5,74.5,120.0,76.0,34.0,58.0,118.0,59.0
33.0,93.0,120.0,94.0,32.0,75.0,74.5,74.5,120.0,76.0,34.0,58.0,118.0,59.0
34.0,93.0,120.0,94.0,32.5,74.5,75.0,75.0,121.0,76.0,34.5,58.5,118.0,59.0
34.0,93.0,120.0,94.0,33.0,75.0,75.0,74.5,121.0,76.0,35.0,58.0,119.0,59.0
34.0,93.0,121.0,94.0,33.0,75.0,75.0,75.0,122.0,76.0,35.0,58.5,119.0,59.0
35.0,93.0,121.5,94.0,33.5,75.0,75.0,75.0,122.0,76.0,35.0,58.5,119.0,59.0
35.0,93.0,121.5,94.0,34.0,75.0,76.0,75.0,122.0,76.0,35.0,58.0,120.0,59.0
35.0,92.5,122.0,94.0,34.0,75.0,76.0,75.0,123.0,76.0,35.0,58.0,120.0,59.0
35.0,92.0,122.0,94.0,34.0,75.0,76.0,75.0,123.5,76.0,35.0,58.0,120.0,59.0
35.5,92.0,123.0,94.0,34.0,75.0,77.0,75.0,123.5,76.0,35.0,58.0,121.0,59.0
36.0,92.0,123.0,94.0,35.0,75.0,77.0,75.0,123.5,76.0,36.0,58.0,121.5,59.0
36.0,92.5,124.0,94.0,34.5,75.0,77.5,75.0,123.5,76.0,36.0,58.0,121.5,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,36.5,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,36.5,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,36.5,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,37.0,58.5,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,37.0,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,37.0,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,37.0,58.0,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.0,78.0,75.0,124.0,76.0,37.0,58.5,122.0,59.0
36.0,92.5,124.0,94.0,35.0,75.5,78.0,75.0,124.0,76.0,37.0,58.5,122.0,59.0
36.0,92.5,123.5,94.0,34.0,75.0,77.0,75.0,124.0,76.0,36.0,59.0,122.0,59.0
36.0,92.5,123.0,94.0,34.0,75.0,77.0,75.0,124.0,76.0,36.0,59.0,121.0,59.0
36.0,93.0,123.0,94.0,34.0,75.0,77.0,75.0,123.5,76.5,35.5,58.5,120.5,59.0
35.0,92.0,123.0,94.0,34.0,75.5,76.0,75.0,123.0,77.0,35.5,58.5,120.5,59.0
35.0,92.5,122.0,94.0,34.0,75.0,76.0,75.0,123.0,76.0,35.0,59.0,120.5,59.0
35.0,93.0,121.5,94.0,33.0,76.0,75.0,75.0,122.5,76.0,35.0,59.0,120.0,59.0
34.0,93.0,121.0,94.0,33.0,75.5,75.0,75.0,122.0,76.0,35.0,58.5,119.0,59.0
34.0,93.0,121.0,94.0,33.0,76.0,75.0,75.0,121.5,76.5,35.0,58.5,119.0,59.0
34.0,93.0,120.5,94.0,33.0,76.0,75.0,75.0,121.5,76.5,34.5,58.5,119.0,59.0
33.5,92.5,120.0,94.0,33.0,75.5,75.0,75.0,121.0,76.0,34.0,58.0,118.0,59.0
33.0,92.5,120.0,94.0,32.0,75.0,75.0,75.0,120.0,76.0,34.0,58.5,118.0,59.0
33.0,93.0,119.0,94.0,32.0,75.0,74.5,75.0,120.0,76.0,34.0,58.5,118.0,59.0
33.0,92.5,119.0,94.0,32.0,75.0,74.0,75.0,119.5,76.5,34.0,59.0,117.0,59.0
32.5,93.0,119.0,94.0,32.0,75.0,74.0,75.0,119.0,76.0,33.5,58.5,117.0,59.0
32.0,93.0,119.0,94.0,32.0,75.0,74.0,75.0,119.0,76.0,33.0,59.0,117.0,59.0
32.0,92.5,119.0,93.5,31.5,75.5,73.5,75.0,119.0,76.0,33.0,59.0,116.0,59.0
31.5,92.5,118.0,94.0,30.0,75.5,73.0,75.0,119.0,76.0,32.0,58.5,116.0,59.0
31.5,92.5,118.0,94.0,29.5,75.5,73.0,75.0,118.0,76.0,32.0,58.5,116.0,59.0
31.0,93.0,117.0,93.0,29.5,75.5,72.5,75.0,118.0,76.0,32.0,58.5,116.0,59.0
31.0,93.0,117.0,93.0,29.5,75.5,72.0,75.0,118.0,76.0,31.0,58.5,116.0,59.0
30.0,92.5,116.0,93.0,28.5,75.5,72.0,75.0,117.0,76.0,31.0,59.0,115.0,59.0
29.5,92.5,115.5,93.0,28.0,75.5,72.0,75.0,117.0,76.0,30.0,59.0,114.0,59.0
29.0,92.5,115.0,93.0,28.0,75.0,71.0,75.0,116.0,76.0,30.0,59.0,114.0,59.0
28.0,92.0,115.0,93.0,27.5,75.5,70.5,74.5,115.5,76.0,29.0,59.0,113.0,59.0
28.0,92.0,114.5,93.0,27.0,75.0,70.0,75.0,115.0,76.0,29.0,58.5,113.0,59.0
