x,y,z
7.14,3.31,22.292
8.639999,3.31,22.292
8.639325,3.354993,22.38199
8.633187,3.452797,22.57759
8.629325,3.488637,22.64927
8.625804,3.515877,22.70375
8.622606,3.537766,22.74753
8.618108,3.565339,22.80268
8.61346,3.590922,22.85384
8.608035,3.618013,22.90803
8.603144,3.640471,22.95294
8.597173,3.665875,23.00375
8.583458,3.717957,23.10791
8.576264,3.742601,23.1572
8.569538,3.764334,23.20067
8.56144,3.789069,23.25014
8.553937,3.810782,23.29356
8.54315,3.840253,23.35251
8.533412,3.86534,23.40268
8.522296,3.892458,23.45691
8.5117,3.916991,23.50598
8.497935,3.947191,23.56638
8.473481,3.996897,23.66579
8.362766,4.178817,24.02963
8.345136,4.203111,24.07822
8.324168,4.230731,24.13346
8.308117,4.251012,24.17402
8.292902,4.269592,24.21118
8.271033,4.295274,24.26255
8.24432,4.325124,24.32225
8.227786,4.342823,24.35765
8.206417,4.364872,24.40174
8.186307,4.384822,24.44164
8.163768,4.406312,24.48462
8.141927,4.426308,24.52461
8.12203,4.44385,24.5597
8.101949,4.460937,24.59387
8.075693,4.482381,24.63676
8.051366,4.50139,24.67478
8.030021,4.51742,24.70684
8.006925,4.534109,24.74022
7.972873,4.557527,24.78705
7.950845,4.571955,24.81591
7.922945,4.589452,24.8509
7.897868,4.604464,24.88093
7.868687,4.621112,24.91422
7.835634,4.638945,24.94989
7.810925,4.651588,24.97518
7.784759,4.664358,25.00072
7.756263,4.677559,25.02712
7.730865,4.688723,25.04945
7.698957,4.701965,25.07593
7.654594,4.718968,25.10994
7.624251,4.729683,25.13137
7.593853,4.739691,25.15138
7.56855,4.747478,25.16696
7.540432,4.755563,25.18313
7.511175,4.763351,25.1987
7.472627,4.772655,25.21731
7.444663,4.778734,25.22947
7.414649,4.784642,25.24128
7.388377,4.789293,25.25059
7.360403,4.793719,25.25944
7.312304,4.800071,25.27214
7.287016,4.802778,25.27756
7.260508,4.805151,25.2823
7.23524,4.806973,25.28595
7.194824,4.808998,25.29
7.165006,4.809792,25.29158
7.139391,4.81,25.292
7.112794,4.809753,25.29151
7.087268,4.809073,25.29015
7.058923,4.807807,25.28761
7.033069,4.806184,25.28437
7.003481,4.803774,25.27955
6.961233,4.799309,25.27062
6.938029,4.79634,25.26468
6.90469,4.791428,25.25486
6.871919,4.78585,25.2437
6.846498,4.781005,25.23401
6.823406,4.776209,25.22442
6.796996,4.770256,25.21251
6.768192,4.763189,25.19838
6.741544,4.75611,25.18422
6.718437,4.749543,25.17109
6.694239,4.742235,25.15647
6.667884,4.733765,25.13953
6.619267,4.716712,25.10542
6.596608,4.708115,25.08823
6.574326,4.699249,25.0705
6.550657,4.689375,25.05075
6.527919,4.679437,25.03087
6.503748,4.668375,25.00875
6.481195,4.657582,24.98716
6.457044,4.645504,24.96301
6.433516,4.633208,24.93842
6.409352,4.620021,24.91204
6.383587,4.605314,24.88263
6.359244,4.590789,24.85358
6.320597,4.566415,24.80483
6.30017,4.552854,24.77771
6.276265,4.536361,24.74472
6.254413,4.520676,24.71335
6.232525,4.504357,24.68071
6.211279,4.487913,24.64783
6.189123,4.4701,24.6122
6.169477,4.453716,24.57943
6.146975,4.434234,24.54047
6.126653,4.415951,24.5039
6.105784,4.396461,24.46492
6.087519,4.378777,24.42955
6.056096,4.346896,24.36579
6.037891,4.327524,24.32705
6.021465,4.309439,24.29088
6.004419,4.290028,24.25206
5.987264,4.269792,24.21158
5.970894,4.249783,24.17156
5.952792,4.226809,24.12562
5.935585,4.204084,24.08017
5.918858,4.181098,24.0342
5.902744,4.158055,23.98811
5.8868,4.134312,23.94062
5.872904,4.112787,23.89758
5.848398,4.072734,23.81747
5.836225,4.051734,23.77547
5.82296,4.027918,23.72784
5.808578,4.00088,23.67376
5.797345,3.978788,23.62958
5.783968,3.951232,23.57446
5.773331,3.928236,23.52847
5.762264,3.903165,23.47833
5.751873,3.878422,23.42884
5.742294,3.854443,23.38089
5.732293,3.828036,23.32807
5.723355,3.803069,23.27814
5.709437,3.761098,23.1942
5.702537,3.738604,23.14921
5.694866,3.71198,23.09596
5.688303,3.687593,23.04719
5.682087,3.662832,22.99767
5.675708,3.635344,22.94269
5.670221,3.609586,22.89117
5.665099,3.583253,22.83851
5.660491,3.557089,22.78618
5.656387,3.531116,22.73423
5.652711,3.504864,22.68173
5.649198,3.475861,22.62372
5.646458,3.449045,22.57009
5.64327,3.408991,22.48998
5.641309,3.372649,22.4173
5.640479,3.347895,22.36779
5.640028,3.319117,22.31023
5.640179,3.286829,22.24566
5.640781,3.261591,22.19518
5.64185,3.235513,22.14303
5.643414,3.208852,22.0897
5.646264,3.173057,22.01811
5.649567,3.140858,21.95371
5.652563,3.116272,21.90454
5.656353,3.089108,21.85022
5.66265,3.050316,21.77263
5.667144,3.025929,21.72386
5.672552,2.999201,21.6704
5.677789,2.975428,21.62286
5.684825,2.94604,21.56408
5.694247,2.910252,21.4925
5.701558,2.884696,21.44139
5.708839,2.860802,21.3936
5.716537,2.836975,21.34595
5.724619,2.813312,21.29862
5.734313,2.786509,21.24502
5.744339,2.760337,21.19267
5.760797,2.720255,21.11251
5.770865,2.697243,21.06649
5.781314,2.674412,21.02082
5.794373,2.647212,20.96642
5.805386,2.625306,20.92261
5.817166,2.602815,20.87763
5.829951,2.579403,20.83081
5.845418,2.552334,20.77667
5.85977,2.528328,20.72866
5.87363,2.506067,20.68414
5.88972,2.481266,20.63453
5.903956,2.460179,20.59236
5.928186,2.42597,20.52394
5.943065,2.405927,20.48385
5.960629,2.383132,20.43826
5.978614,2.360694,20.39339
5.996324,2.33943,20.35086
6.01628,2.316393,20.30479
6.033692,2.297042,20.26608
6.052216,2.277176,20.22635
6.068898,2.259885,20.19177
6.087613,2.241131,20.15426
6.107492,2.221916,20.11583
6.130571,2.200471,20.07294
6.166383,2.168917,20.00983
6.184891,2.153381,19.97876
6.208412,2.134354,19.94071
6.227175,2.119727,19.91145
6.251746,2.10128,19.87456
6.272491,2.086306,19.84461
6.295838,2.070084,19.81217
6.32023,2.053825,19.77965
6.341931,2.039927,19.75185
6.365942,2.025151,19.7223
6.390532,2.010655,19.69331
6.413277,1.997798,19.6676
6.447941,1.97919,19.63038
6.469758,1.96807,19.60814
6.492659,1.956874,19.58575
6.517797,1.945132,19.56226
6.543245,1.933816,19.53963
6.568604,1.923095,19.51819
6.593659,1.913035,19.49807
6.620022,1.903009,19.47802
6.643937,1.894401,19.4608
6.669442,1.885719,19.44344
6.696226,1.877148,19.4263
6.72323,1.869062,19.41012
6.749487,1.861725,19.39545
6.788266,1.851822,19.37564
6.813018,1.846073,19.36415
6.839054,1.8405,19.353
6.865348,1.835359,19.34272
6.89032,1.830926,19.33385
6.915784,1.826852,19.3257
6.945836,1.82262,19.31724
6.973376,1.819283,19.31057
7.001132,1.816442,19.30488
7.028764,1.81413,19.30026
7.063705,1.811942,19.29588
7.089154,1.810862,19.29372
7.126045,1.810065,19.29213
7.150536,1.810037,19.29207
7.181856,1.810584,19.29317
7.209521,1.811612,19.29522
7.236499,1.813107,19.29821
7.265927,1.815295,19.30259
7.292507,1.817773,19.30755
7.320323,1.820878,19.31376
7.346891,1.824336,19.32067
7.374351,1.82842,19.32884
7.399199,1.832564,19.33713
7.423065,1.836951,19.3459
7.451216,1.84264,19.35728
