u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
15.0,94.0,101.0,94.0,14.0,77.0,59.0,75.5,102.0,77.0,17.0,60.0,100.0,59.0
15.0,95.0,101.0,94.0,14.5,77.0,59.0,76.0,102.0,77.0,17.0,60.0,100.0,60.0
15.0,95.0,101.0,94.5,15.0,77.0,59.0,76.0,102.0,77.0,17.0,60.5,100.0,60.0
15.5,95.0,102.0,95.0,14.5,78.0,59.5,76.5,102.0,77.0,17.0,61.0,100.0,60.0
16.0,95.0,102.0,95.0,15.0,78.0,59.5,77.5,102.0,78.0,17.0,61.0,100.5,61.0
16.0,95.5,101.0,96.0,15.0,79.0,59.5,77.5,102.0,78.0,17.0,61.0,100.5,61.0
15.0,96.0,101.5,96.0,15.0,79.0,59.5,77.5,103.0,78.5,17.0,62.0,100.5,61.5
16.0,97.0,102.0,96.5,15.0,79.0,59.5,77.5,102.5,79.0,18.0,62.0,101.0,62.0
16.0,97.0,102.0,97.0,15.5,79.5,59.5,78.0,103.0,79.0,18.0,62.0,101.0,62.0
16.0,98.0,102.0,97.0,16.0,79.5,60.0,78.0,103.0,79.0,18.0,62.5,101.0,62.0
16.0,97.5,102.0,98.0,16.0,80.0,60.0,79.0,103.0,79.0,18.0,63.0,101.0,62.5
16.0,98.5,102.0,98.0,16.0,80.0,60.0,79.0,103.0,79.0,18.0,63.5,100.5,63.5
16.0,99.0,102.5,98.5,16.5,80.5,60.5,79.5,103.0,80.0,18.5,63.5,101.0,63.5
17.0,99.0,102.5,98.5,16.5,81.0,60.5,79.5,104.0,81.0,18.5,63.5,101.5,63.5
17.0,99.5,103.0,99.0,17.0,82.0,60.5,80.0,104.0,82.0,19.0,65.0,101.0,64.0
17.0,100.0,103.0,100.0,17.0,82.0,61.0,81.0,104.0,82.0,19.0,65.0,102.0,65.0
17.0,101.0,104.0,100.5,17.0,83.0,61.0,82.0,104.5,82.5,19.5,65.5,102.0,65.0
17.5,101.5,104.0,101.0,17.0,83.5,61.0,82.0,105.0,83.0,20.0,66.0,102.5,65.5
18.0,102.0,104.0,101.5,18.0,84.0,61.5,82.0,104.5,83.5,20.0,66.0,102.5,66.0
18.0,102.0,104.5,101.5,18.0,84.0,62.0,83.0,105.5,84.0,20.0,67.0,103.0,67.0
18.0,103.0,105.0,103.0,18.0,85.0,61.5,83.5,105.5,84.0,20.5,67.5,102.5,67.5
18.5,103.5,105.0,103.0,18.0,85.0,62.5,83.5,106.0,85.0,21.0,68.0,103.0,68.0
19.0,104.0,105.0,104.0,19.0,86.0,63.0,84.0,106.0,85.5,21.0,68.5,103.5,68.5
19.0,104.5,106.0,104.0,19.0,86.0,62.5,84.5,106.0,86.0,21.0,69.0,104.0,69.0
19.5,105.0,106.0,105.0,19.0,87.0,63.0,85.0,106.5,87.0,22.0,69.5,104.0,69.0
20.0,105.5,107.0,105.0,20.0,87.0,63.5,85.5,107.0,87.0,22.0,70.0,104.5,70.0
20.0,106.0,107.0,106.0,20.0,88.0,64.0,86.0,107.5,87.5,22.5,70.0,105.0,70.0
21.0,106.0,108.0,106.0,20.0,88.0,64.0,86.0,108.0,88.0,23.0,71.0,105.0,71.0
