u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
12.0,94.5,98.0,94.0,11.0,77.0,56.0,76.0,99.0,76.5,13.0,60.0,97.0,59.0
12.0,95.0,98.0,94.0,11.0,78.0,56.5,76.0,99.0,77.0,14.0,60.5,97.0,60.0
12.0,96.0,98.0,95.0,12.0,79.0,56.0,77.0,99.0,78.0,14.0,61.0,97.0,60.5
12.5,97.0,98.5,95.5,12.0,79.0,57.0,78.0,99.5,78.0,14.0,62.0,97.0,62.0
13.0,98.0,99.0,97.0,12.5,79.5,57.0,79.0,100.0,79.0,14.5,63.0,98.0,62.5
13.0,99.0,99.5,97.5,13.0,81.0,57.5,79.0,100.0,80.0,14.5,63.5,98.0,63.0
13.5,100.0,100.0,99.5,13.5,82.0,57.5,80.0,100.5,81.5,15.0,64.0,98.5,63.5
14.0,101.0,100.5,100.0,14.0,83.0,58.0,81.0,101.0,82.0,16.5,65.5,99.0,64.0
15.0,102.0,101.0,101.0,14.5,83.5,59.0,82.0,101.5,83.0,17.0,66.0,99.5,65.5
15.0,103.0,102.0,102.0,15.0,84.0,59.0,82.5,102.0,83.5,18.0,67.0,100.0,66.0
15.5,103.5,102.0,103.0,16.0,85.0,59.5,83.5,103.0,85.0,18.5,67.5,100.5,67.5
16.5,105.0,103.0,104.0,16.5,86.0,60.5,84.5,103.0,86.0,19.0,69.0,101.0,68.0
17.0,106.0,104.0,105.5,17.0,87.5,60.5,85.5,104.0,87.0,19.5,69.5,102.0,69.5
18.0,107.0,105.0,107.0,18.0,88.0,61.0,86.0,104.5,87.5,20.5,71.0,102.5,70.5
19.0,108.0,106.0,108.0,19.0,89.5,62.5,87.5,106.0,89.5,21.0,72.0,103.0,72.0
19.5,109.5,107.0,109.5,20.0,91.0,63.0,88.5,107.0,91.0,22.0,73.0,104.5,73.5
21.0,111.0,108.0,111.0,21.0,92.0,64.5,90.0,108.0,92.0,23.5,74.5,105.0,74.0
22.0,111.5,109.5,112.0,21.5,93.0,65.0,91.0,109.0,93.0,24.5,75.5,106.0,76.0
22.5,113.0,110.5,113.0,22.5,94.0,66.0,92.0,110.5,94.5,25.0,76.0,107.5,76.5
24.0,114.0,112.0,115.0,24.0,95.0,67.0,93.0,111.0,95.5,27.0,78.0,108.5,77.5
26.0,115.0,114.0,116.0,25.0,95.5,68.5,94.0,114.0,97.0,28.0,79.0,110.0,79.0
27.0,115.0,116.0,117.0,27.0,96.5,70.0,95.0,115.0,98.0,30.0,79.0,111.0,81.0
28.0,116.0,117.0,118.0,28.0,97.0,71.0,95.0,117.0,99.0,31.0,79.5,113.0,81.0
30.0,116.0,119.0,118.0,29.0,97.0,73.0,96.0,118.0,99.0,32.0,80.0,114.5,81.0
32.0,116.0,120.5,118.5,30.5,97.5,73.5,96.0,119.5,99.0,33.0,79.0,116.0,81.0
32.0,116.0,121.5,118.5,32.0,97.0,75.0,95.5,120.0,99.0,35.0,79.0,117.0,81.0
33.5,115.0,123.0,118.0,33.0,96.0,75.0,95.0,122.0,99.0,35.5,78.5,117.5,80.5
35.0,114.0,125.0,117.5,34.0,95.0,76.0,95.0,123.5,98.0,36.0,78.0,119.0,80.0
36.0,113.0,126.0,116.0,35.0,94.0,77.5,93.5,125.0,97.0,38.0,77.0,120.5,80.0
37.0,112.0,126.0,115.0,36.0,93.0,78.5,92.5,125.5,96.0,38.0,76.0,122.0,78.0
38.0,110.0,127.0,114.0,37.0,92.0,79.0,91.5,126.0,95.0,39.0,75.0,123.0,77.0
38.0,109.0,127.0,113.0,37.5,91.0,80.0,90.0,126.5,94.0,39.5,73.5,123.0,76.0
39.0,108.0,127.0,111.5,38.0,89.5,80.0,89.0,127.0,92.0,40.0,72.0,124.0,75.0
39.0,107.0,127.02724970190006,109.91961150094073,38.5,88.0,80.5,88.0,127.0,92.0,40.5,71.5,125.0,73.0
39.0,106.0,127.04519034634409,108.3462309029357,38.5,87.5,81.0,87.5,127.0,92.0,41.0,70.0,125.0,72.0
40.5,104.5,127.05382193333205,106.77985820598497,40.0,86.0,81.5,85.5,127.00483830772207,91.81221606575247,41.5,69.0,126.0,71.0
41.0,103.5,127.053144462864,105.2204934100885,40.5,85.0,82.0,85.0,126.99807052193903,91.47932164368102,42.0,67.5,126.0,70.0
42.0,102.0,127.0431579349399,103.6681365152463,40.5,84.0,82.5,83.5,126.97969664265098,91.00131673378569,42.5,67.0,126.5,69.0
42.0,101.5,127.02386234955975,102.12278752145836,40.5,83.5,83.0,83.0,126.94971666985786,90.37820133606647,43.0,66.0,127.0,68.0
42.0,100.0,126.99525770672359,100.58444642872469,42.0,82.0,83.0,82.0,126.90813060355973,89.60997545052334,42.5,65.5,127.0,67.0
43.0,99.0,126.95734400643141,99.05311323704527,42.0,81.5,84.0,81.5,126.85493844375654,88.69663907715633,44.0,64.0,126.97666281644759,65.98843559921895
44.0,98.0,126.91012124868315,97.52878794642015,42.5,81.0,84.5,81.5,126.79014019044828,87.63819221596542,44.0,64.0,127.02231261004052,64.96335770840425
44.0,98.0,126.85358943347885,96.01147055684928,43.5,79.5,85.0,80.0,126.71373584363498,86.43463486695062,44.5,63.0,127.13694938077879,63.924766327555865
44.5,97.5,126.78774856081854,94.50116106833265,44.0,79.0,85.5,79.5,126.62572540331665,85.08596703011192,45.0,62.0,127.32057312866243,62.87266145667383
45.0,96.0,126.71259863070222,92.99785948087033,44.5,78.5,86.0,78.0,126.52610886949327,83.59218870544933,45.5,61.5,127.5731838536914,61.80704309575814
46.0,95.0,126.62813964312983,91.50156579446227,45.0,78.0,87.0,78.0,126.41488624216483,81.95329989296285,46.0,61.0,127.89478155586576,60.72791124480879
46.0,94.0,126.53437159810137,90.01228000910845,45.0,77.0,87.0,76.0,126.29205752133132,80.16930059265245,47.0,60.0,128.28536623518542,59.63526590382577
47.0,93.0,126.43365981781912,88.542470684434,46.0,76.0,88.0,76.0,126.15762270699281,78.24019080451819,48.0,59.0,128.7449378916504,58.52910707280908
47.5,92.5,126.34019623549621,87.1669491781893,46.0,75.0,88.0,75.0,126.01158179914923,76.16597052856001,48.0,59.0,129.27349652526084,57.409434751758745
48.0,92.0,126.25634617333486,85.89818404999947,46.0,74.5,89.0,74.0,125.870524750498,74.10026075741246,48.0,58.0,129.87104213601657,56.276248940674755
49.0,91.0,126.18210963133505,84.73617529986448,47.0,74.0,89.0,74.0,125.75104151373654,72.19668248371,48.0,57.0,130.5375747239176,55.129549639557084
49.0,90.0,126.11748660949681,83.68092292778435,47.0,73.0,89.5,72.5,125.65313208886484,70.4552357074527,49.0,56.0,131.2411151774403,53.978192981102325
