u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
64.5,44.0,17.0,44.0,18.5,66.0,42.5,66.0,64.5,66.0,19.0,89.0,62.5,89.0,41.0,44.0
64.5,44.0,17.0,45.0,18.5,67.0,42.5,67.0,65.0,66.0,18.5,89.5,62.5,89.5,42.0,43.5
65.0,45.0,17.5,45.5,19.0,67.0,42.5,67.5,65.0,67.0,18.5,90.0,63.0,90.0,41.5,45.5
64.5,45.5,18.0,45.5,19.0,68.0,42.5,68.0,64.5,67.5,19.0,91.0,63.0,89.5,42.0,46.0
64.5,45.5,18.0,47.0,19.0,68.5,42.5,68.0,64.5,68.5,19.0,91.0,63.0,90.5,42.0,46.5
64.5,46.5,18.5,47.0,19.0,69.0,42.5,69.0,65.0,69.0,19.0,92.0,63.0,91.5,42.5,48.0
64.5,47.5,18.5,47.5,19.0,70.0,42.5,69.5,65.0,69.5,19.0,92.0,64.0,92.0,42.5,85.5
65.0,48.0,19.0,48.0,19.0,70.0,43.0,70.0,65.0,70.0,19.0,93.0,64.0,92.5,42.5,85.5
65.0,48.0,19.0,49.0,19.0,71.0,43.0,70.5,65.0,70.0,19.0,93.0,64.0,93.0,42.5,85.5
65.0,49.0,19.5,49.5,20.0,71.0,43.5,71.5,65.5,71.0,19.5,94.0,64.5,93.5,43.0,86.0
65.5,49.5,20.0,50.0,20.0,71.5,43.5,71.5,65.5,71.5,20.0,94.5,64.5,93.5,43.5,86.5
65.5,49.5,20.0,50.0,20.5,71.5,44.0,72.0,,,20.0,95.0,65.0,94.0,43.5,86.5
66.5,50.0,20.0,51.0,21.0,72.5,44.5,72.0,,,20.5,95.5,65.0,95.0,43.5,123.0
66.5,50.5,20.5,51.5,21.0,73.0,44.5,72.5,66.0,73.0,20.5,95.5,65.0,95.0,44.5,87.0
66.5,51.5,21.0,51.5,21.5,73.5,44.5,73.5,66.5,73.5,21.0,96.0,65.5,96.0,44.5,87.5
66.5,51.5,21.0,52.0,22.0,74.0,45.0,74.0,67.0,74.0,21.0,97.0,65.5,96.0,44.5,87.5
67.5,52.0,22.0,53.0,22.0,75.0,45.5,74.0,67.5,74.0,21.5,97.5,,,45.0,87.5
67.5,52.0,22.5,53.5,23.0,75.0,45.0,74.0,67.5,74.0,22.0,98.0,67.0,97.0,45.5,123.0
68.0,52.0,23.0,54.0,23.0,75.0,,,68.0,74.5,22.5,98.0,,,28.0,125.0
68.0,53.0,23.0,54.0,23.0,75.5,46.5,75.5,,,22.5,98.5,,,46.0,54.0
68.5,53.5,24.0,54.5,71.5,58.5,46.5,75.5,68.5,75.5,23.0,98.5,,,46.0,54.0
68.5,54.0,24.0,55.0,24.0,76.0,47.0,76.0,69.0,76.0,23.0,99.5,,,46.5,54.0
69.0,54.0,24.5,55.5,24.5,76.5,47.5,76.0,69.0,76.5,24.0,100.0,68.5,99.5,37.5,89.5
69.5,55.0,24.5,55.5,25.0,77.0,48.0,76.5,70.0,77.0,24.0,100.0,68.5,99.5,38.0,90.0
70.0,55.0,25.5,55.5,26.0,77.0,48.0,77.0,70.5,77.0,24.5,100.5,69.0,99.5,48.0,89.5
70.5,55.5,26.0,56.0,25.5,77.5,48.5,77.5,70.5,77.5,25.5,100.5,69.5,100.0,48.0,56.0
70.5,55.5,26.5,56.5,26.0,78.0,49.0,78.0,70.5,77.5,26.0,101.0,70.5,100.5,48.0,56.0
71.0,55.5,26.5,56.5,26.5,78.5,49.5,77.5,71.5,77.5,26.5,101.5,70.5,100.5,49.0,89.5
71.5,56.0,27.0,57.0,27.0,78.5,50.0,78.0,72.0,78.0,26.5,101.5,71.0,101.0,49.0,123.0
72.0,56.5,28.0,57.0,27.5,79.0,50.5,78.5,72.0,78.0,27.0,102.0,71.5,101.5,50.0,57.0
72.0,57.0,28.5,57.5,28.5,79.5,51.0,78.5,72.5,78.5,28.0,102.0,71.5,101.5,50.0,57.0
72.5,57.0,28.5,57.5,28.5,79.5,51.0,79.0,73.0,78.5,28.5,102.5,72.5,101.5,51.0,123.0
73.0,57.0,29.0,58.0,29.0,80.0,51.5,79.0,73.5,79.0,29.0,103.0,72.5,101.5,51.0,123.0
74.0,57.5,30.0,58.0,29.5,79.5,52.5,79.5,74.0,79.0,29.0,103.0,73.0,102.0,52.0,58.0
74.5,57.5,30.5,58.0,30.0,80.0,52.5,79.5,74.5,79.5,30.0,103.0,73.5,102.0,52.0,58.0
75.0,58.0,31.0,58.0,30.5,80.0,53.0,80.0,74.5,79.5,30.5,103.5,74.5,102.5,29.0,125.0
83.0,91.5,31.0,59.0,31.0,80.0,53.5,79.5,75.0,79.5,30.5,103.5,74.5,102.5,53.0,123.0
76.0,58.0,32.0,58.5,31.0,80.0,54.0,80.0,76.0,79.5,31.5,103.5,75.0,103.0,29.0,125.0
76.5,58.5,32.0,59.0,32.0,81.0,54.5,80.0,76.5,80.0,31.5,103.5,76.0,103.0,54.0,123.0
77.0,59.0,33.0,58.5,32.5,80.5,55.0,80.0,76.5,80.0,32.5,103.5,76.5,103.5,54.0,123.0
77.0,59.0,33.5,59.0,33.0,80.5,55.0,80.0,77.0,80.0,33.0,103.5,77.0,103.0,42.0,124.0
77.5,59.0,34.5,59.0,33.5,81.0,,,,,33.0,103.5,77.0,103.5,56.0,123.0
78.0,59.0,34.5,59.0,34.0,81.0,,,78.5,80.0,34.5,103.5,78.0,103.0,56.0,59.0
79.0,59.0,35.0,59.5,34.5,81.0,,,79.0,80.0,34.5,103.5,78.5,103.5,29.0,125.0
79.0,58.5,36.0,59.0,35.0,81.0,,,79.0,80.0,35.0,104.0,78.5,103.5,29.0,125.0
79.5,59.0,36.5,59.5,35.5,81.0,58.0,80.0,,,35.5,103.5,79.5,103.5,58.0,123.0
80.0,59.0,36.5,59.5,36.5,81.0,58.5,80.5,80.0,81.0,36.5,103.5,80.0,103.5,58.5,91.0
81.0,59.0,38.0,60.0,36.5,81.0,59.0,80.5,81.0,81.0,36.5,103.5,80.5,103.5,59.0,91.0
81.0,59.0,38.5,59.5,37.5,81.0,59.5,80.5,81.0,81.0,37.5,103.5,81.0,104.0,59.0,123.0
82.0,59.0,39.0,60.0,38.0,81.0,60.5,80.5,82.0,80.5,38.5,103.5,82.0,104.0,60.0,123.0
82.5,59.0,39.0,60.0,38.5,81.0,60.5,80.5,82.5,80.5,38.5,103.5,82.5,103.5,60.0,123.0
83.0,59.0,40.0,125.0,39.0,81.0,61.0,80.5,83.0,81.0,38.5,103.5,82.5,103.5,60.5,123.0
84.0,59.0,40.5,125.0,39.0,80.5,62.0,80.0,83.0,80.0,40.0,104.0,83.0,103.5,60.5,123.0
84.5,58.5,41.0,59.0,40.0,80.0,62.5,80.0,85.0,80.0,40.5,103.5,83.5,103.5,61.0,123.0
85.0,58.5,41.0,59.5,40.5,80.5,63.0,80.0,85.0,80.0,40.5,103.5,85.0,103.0,61.0,123.0
85.0,58.5,41.0,59.0,41.5,80.0,63.0,80.0,85.0,80.0,41.0,103.0,85.0,103.0,60.5,123.0
85.0,58.0,42.0,59.0,42.0,80.0,63.5,79.5,85.0,80.0,42.0,103.0,85.5,103.5,60.5,123.0
85.5,58.0,42.5,58.5,42.0,80.0,64.5,79.5,86.0,80.0,42.0,103.0,86.0,103.0,62.0,90.5
86.5,58.0,43.0,58.5,42.5,79.5,64.5,79.5,86.5,79.5,42.0,103.0,86.5,103.0,62.5,90.5
86.5,57.5,43.0,58.0,42.5,79.5,64.5,79.5,87.0,80.0,43.0,102.0,86.5,103.0,62.5,90.5
87.0,58.0,43.0,58.0,43.0,79.5,65.5,79.5,87.5,79.5,44.0,102.5,87.5,102.5,61.0,123.0
88.0,57.0,44.0,58.0,44.5,79.5,66.0,79.0,88.5,79.5,44.5,102.0,88.5,102.5,59.5,123.0
88.5,57.5,44.0,58.0,44.5,79.5,66.5,79.0,88.5,79.5,45.0,102.0,88.5,102.0,60.0,123.0
88.5,57.5,45.0,57.5,45.0,79.0,67.0,79.0,89.0,79.0,46.0,102.0,89.0,102.0,63.5,90.5
89.5,57.5,45.0,57.0,46.0,79.0,67.5,78.5,90.0,79.0,46.5,101.5,89.5,101.5,45.0,124.0
90.0,57.0,46.0,57.0,46.5,78.5,68.0,78.0,90.5,78.5,46.5,101.5,90.5,101.5,61.0,123.0
90.5,56.5,46.0,57.5,46.5,78.0,68.0,78.0,90.5,78.5,46.5,101.5,90.5,101.5,60.5,123.0
91.0,56.0,45.5,91.0,46.5,77.5,68.5,77.5,91.0,78.0,47.0,101.0,91.0,101.0,61.5,123.0
91.0,56.0,47.0,56.0,46.5,77.5,69.0,77.5,91.5,77.5,48.0,100.5,91.0,101.0,61.5,123.0
91.5,55.5,48.0,56.0,48.0,77.5,69.0,77.0,92.0,77.0,48.0,100.0,92.0,100.0,61.0,123.0
92.5,55.5,48.0,56.0,48.5,77.5,70.0,77.0,92.5,77.5,49.0,100.0,92.5,100.0,65.5,89.5
93.0,55.0,48.5,55.5,49.0,77.0,70.5,76.5,93.0,77.0,49.0,99.0,93.0,100.0,61.0,123.0
93.0,55.0,49.0,55.0,49.0,76.0,71.0,76.0,93.5,76.5,50.0,99.0,93.0,99.5,61.0,123.0
94.0,54.0,50.0,54.0,50.0,76.0,71.5,75.5,94.5,76.0,50.0,99.0,94.0,99.0,61.0,123.0
94.0,54.0,50.0,54.0,50.0,76.0,72.0,75.5,94.0,76.0,50.5,98.0,94.5,99.0,66.0,88.5
94.5,53.5,50.0,54.0,50.5,75.5,72.5,75.5,94.5,75.5,51.0,97.5,94.5,98.0,72.0,54.0
95.0,53.0,50.0,54.0,50.5,75.0,73.0,75.0,95.0,75.5,52.0,97.5,95.0,98.0,72.0,54.0
95.0,53.0,51.0,53.0,51.0,75.0,73.0,74.5,95.0,75.0,52.0,97.0,95.0,97.5,72.0,53.0
96.0,52.0,52.0,52.0,51.0,74.0,74.0,74.0,96.5,74.0,52.5,97.0,96.0,97.5,72.0,52.0
96.5,51.5,52.0,52.0,52.0,73.5,74.0,73.5,96.5,74.0,53.0,96.0,96.0,97.0,73.0,52.0
97.5,51.5,52.0,52.0,52.0,73.0,74.0,73.0,97.0,73.0,53.0,96.0,97.0,96.0,67.0,87.5
97.0,51.0,52.0,52.0,52.5,73.0,75.0,73.0,97.0,73.0,53.0,95.5,97.0,95.0,74.0,52.0
97.5,50.5,53.0,50.0,53.0,72.0,75.0,72.0,98.0,73.0,54.0,95.0,97.0,95.0,74.0,51.0
98.0,50.0,53.0,50.0,53.0,72.0,75.5,71.5,98.0,72.0,54.5,94.0,98.0,95.0,74.0,50.0
97.5,49.5,53.0,50.0,53.5,71.5,75.5,71.5,98.0,72.0,54.0,94.0,98.0,94.5,74.0,50.0
99.0,49.0,54.0,49.0,54.0,71.0,75.5,71.5,99.0,71.0,55.0,93.0,98.0,94.0,75.0,50.0
99.0,49.0,54.0,49.0,54.0,71.0,76.0,71.0,99.0,71.0,55.0,93.0,99.0,93.0,75.0,50.0
99.5,48.5,54.0,49.0,54.5,70.5,76.5,70.5,99.0,71.0,55.0,93.0,99.0,93.0,76.0,49.0
99.5,48.0,54.5,48.5,55.0,70.0,77.0,70.0,99.0,70.0,55.0,92.0,99.0,93.0,76.0,47.5
100.0,47.0,54.5,47.0,54.5,68.5,76.5,68.5,100.0,69.0,55.5,91.5,99.0,92.0,76.0,47.5
100.0,46.0,54.0,47.0,54.5,68.5,76.5,68.5,100.0,68.0,56.0,90.0,99.0,91.0,76.0,47.5
100.5,46.0,54.0,47.0,55.0,68.0,77.0,68.0,100.0,68.0,56.0,90.0,99.0,91.0,76.0,47.0
100.5,45.0,55.0,46.0,55.0,67.5,77.5,67.5,100.0,68.0,56.0,90.0,99.5,90.0,76.0,46.0
101.0,45.0,55.0,45.0,55.5,66.5,77.0,67.0,100.5,67.0,56.0,89.0,100.0,90.0,77.0,45.0
101.0,44.0,55.0,45.0,55.5,66.5,77.0,66.0,101.0,67.0,57.0,88.0,100.0,89.0,77.0,45.0
101.0,44.0,55.0,45.0,55.5,66.0,77.0,66.0,101.0,66.0,57.0,88.0,100.0,88.0,77.0,44.0
101.5,42.5,55.0,43.0,55.0,66.0,77.5,65.5,101.0,65.0,57.0,88.0,100.0,88.0,77.0,43.0
101.5,42.5,55.0,43.0,56.0,65.0,77.0,65.0,101.5,64.5,57.0,87.0,100.0,87.0,77.0,43.0
101.0,42.0,55.0,43.0,55.5,64.5,77.5,64.5,101.5,64.5,57.5,86.5,100.0,86.5,76.0,43.0
101.5,40.5,56.0,42.0,56.0,64.0,78.0,64.0,101.0,64.0,57.0,86.0,101.0,86.0,77.0,41.0
101.5,40.5,55.0,41.0,56.0,63.0,78.0,63.0,102.0,63.0,57.0,85.0,100.5,86.0,77.0,41.0
102.0,40.0,55.0,41.0,56.0,63.0,77.5,62.5,101.5,62.5,57.5,84.5,101.0,85.0,77.0,41.0
102.0,39.0,55.0,40.0,55.5,62.5,78.0,62.0,101.5,62.5,57.0,84.0,100.5,84.0,77.5,40.0
101.5,38.5,55.0,39.0,56.0,61.0,78.0,61.0,101.5,60.5,57.0,84.0,101.0,84.0,77.0,39.0
