x,y,z
9.63238,3.359778,23.65052
9.601752,3.34425,23.47964
9.667479,3.286415,23.76334
9.636567,3.246033,23.84843
9.672723,3.167341,23.85327
9.588724,3.15789,24.06623
9.489471,3.122347,24.09493
9.409032,3.0756,24.21017
9.320769,3.015795,24.25344
9.171864,2.890561,24.33828
9.109104,2.954673,24.46056
8.929167,2.911311,24.40795
8.923451,3.015953,24.43906
8.753366,2.959034,24.5937
8.596324,3.099896,24.5874
8.424206,3.125189,24.65699
8.420637,3.122172,24.60957
8.1054,3.06324,24.46441
8.145869,3.325021,24.46779
7.845931,3.399035,24.57919
7.79425,3.414735,24.49806
7.603364,3.4164,24.2871
7.59775,3.567753,24.21959
7.493481,3.708495,24.22289
7.274237,3.941478,24.19845
7.231355,4.03536,24.10981
7.21986,4.130398,23.93929
7.066899,4.265282,23.91987
6.988663,4.483659,23.76636
6.949749,4.545041,23.61402
6.890221,4.573011,23.59572
6.909657,4.893488,23.47621
6.70698,5.016324,23.37838
6.889289,4.982375,23.14886
6.75916,5.224556,23.16595
6.854508,5.386868,23.09007
6.748663,5.332931,22.91821
6.762455,5.514669,22.93523
6.887287,5.534505,22.77306
6.839443,5.607739,22.6665
6.887133,5.804543,22.7057
6.971062,5.810605,22.54332
6.993409,5.735827,22.66397
7.115393,5.844524,22.49211
7.192444,5.710421,22.53732
7.210488,5.783547,22.4909
7.315593,5.84944,22.54352
7.272261,5.833793,22.70616
7.282007,5.715046,22.58765
7.354539,5.687464,22.76928
7.525632,5.581762,22.82195
7.521964,5.462945,22.84639
7.459616,5.342404,22.99059
7.496298,5.309191,23.07199
7.547279,5.111625,23.15389
7.557241,5.07764,23.25426
7.462689,4.888409,23.32755
7.479433,4.823956,23.36248
7.400486,4.580173,23.65484
7.274237,4.424361,23.76283
7.189382,4.384919,23.77261
7.135239,4.273926,23.83981
7.215534,4.112032,23.93696
7.04812,4.015318,24.09529
6.847379,3.738456,24.07973
6.738547,3.598432,24.34659
6.601231,3.480928,24.28009
6.621104,3.518393,24.37214
6.411923,3.326615,24.38357
6.355024,3.320854,24.53959
6.080129,3.111407,24.53993
6.069609,3.18769,24.47602
5.953152,3.010708,24.48563
5.717792,3.015558,24.55228
5.620927,2.979117,24.54087
5.450843,2.934126,24.46331
5.308626,2.892201,24.54929
5.18511,2.901865,24.40492
5.190239,2.922279,24.39297
5.038029,3.039968,24.32403
4.973292,2.922534,24.23403
4.840093,2.984909,24.15042
4.708407,2.99293,24.01582
4.75532,3.217193,24.02046
4.687366,3.188368,23.78903
4.559964,3.305989,23.76093
4.596257,3.240991,23.61897
4.614715,3.33453,23.48216
4.581923,3.312233,23.37292
4.63228,3.359465,23.38052
4.674197,3.54405,23.13702
4.731715,3.513022,23.01272
4.738595,3.488862,23.10644
4.956892,3.530949,22.91397
5.079029,3.648926,22.91795
5.140043,3.691318,22.79404
5.270656,3.658017,22.64673
5.227287,3.690516,22.71794
5.351924,3.582713,22.53503
5.583279,3.655474,22.49672
5.730601,3.653476,22.51713
5.781123,3.581089,22.50042
5.940633,3.566012,22.61375
6.064013,3.35456,22.51739
6.353178,3.407624,22.71891
6.481729,3.341856,22.70195
6.550673,3.184236,22.65953
6.699174,3.10796,22.72133
6.685158,3.065049,22.78436
6.968976,2.84273,22.99124
7.054322,2.791475,23.06306
7.127486,2.580289,23.11634
7.184512,2.521356,23.18126
7.277263,2.335282,23.41337
7.411374,2.214984,23.47582
7.347999,2.068034,23.48711
7.370126,1.868884,23.73904
7.418266,1.688595,23.78307
7.516164,1.593232,23.78991
7.401055,1.441015,24.04182
7.489344,1.354677,24.00429
7.550318,1.331768,24.17736
7.424812,1.200342,24.2643
7.445753,1.129263,24.24104
7.429059,0.9767753,24.32568
7.30933,1.015531,24.5335
7.369897,0.813216,24.56265
7.222587,0.9252054,24.51415
7.267779,0.8461177,24.55097
7.138028,0.7307924,24.58799
7.190475,0.8899922,24.52182
7.07932,0.8077585,24.62057
7.062402,0.8313392,24.55479
6.968097,0.9244518,24.51999
6.887326,0.9208581,24.44898
6.838269,1.047877,24.38347
6.874503,1.11882,24.38423
6.727684,1.12214,24.27861
6.734564,1.224647,24.16348
6.882055,1.430218,24.17141
6.776186,1.41456,24.00564
6.727775,1.598365,23.82155
6.798764,1.745391,23.83898
6.765702,1.831666,23.69929
6.875481,1.988301,23.53513
6.901495,2.091042,23.49128
6.973413,2.248334,23.26705
7.129795,2.408711,23.28718
7.166624,2.527581,23.08466
7.23099,2.815488,22.96795
7.479308,2.920578,22.84677
7.568542,2.96879,22.94932
7.647515,3.011479,22.74376
7.83041,3.268664,22.65306
7.937448,3.306052,22.76859
7.971438,3.426977,22.549
8.205873,3.485856,22.61595
8.2293,3.542117,22.6422
8.482998,3.46806,22.58772
8.652402,3.543301,22.64342
8.76153,3.70949,22.57141
8.811093,3.645036,22.70776
8.966523,3.71794,22.75057
9.103627,3.640414,22.67476
9.088493,3.564164,22.84398
9.228181,3.699908,22.83445
9.39658,3.69994,22.95722
9.354226,3.638195,23.02513
9.547965,3.618076,23.19468
9.499708,3.398448,23.16913
9.568257,3.408951,23.21668
9.710987,3.478067,23.50838
9.687099,3.270683,23.5011
9.576199,3.264403,23.54973
9.637319,3.1445,23.73447
9.547204,3.257816,23.81462
9.549966,3.142266,24.04992
9.513372,3.154443,24.0257
9.367952,3.100122,24.21824
9.262793,2.988002,24.16912
9.228627,3.028502,24.21959
9.181198,2.878245,24.44575
9.075686,2.963069,24.44844
8.921983,2.899796,24.49512
8.85969,2.999588,24.60644
8.581538,2.915157,24.61966
8.464897,2.986852,24.4837
8.322824,3.032526,24.60742
8.319415,3.04068,24.58986
8.151483,3.107551,24.49221
7.882447,3.331663,24.58819
7.793561,3.337506,24.4898
7.792748,3.52715,24.34942
7.487735,3.601555,24.39836
7.496008,3.678074,24.2161
7.304252,3.887843,24.18489
7.327423,3.965719,23.9903
7.077701,4.019547,24.02499
6.979722,4.144409,23.93317
6.998655,4.298532,23.86118
7.02082,4.505985,23.71644
6.970934,4.65219,23.60153
6.85754,4.807266,23.42522
6.886859,4.940872,23.39168
6.788828,5.084271,23.31549
6.762437,5.165115,23.0604
6.828661,5.164425,23.07473
6.758441,5.460961,22.9375
6.761672,5.439466,22.83704
6.924063,5.642048,22.87493
6.941768,5.702672,22.72909
6.875769,5.676567,22.702
7.054358,5.836813,22.65414
7.086068,5.739192,22.65602
7.129245,5.740676,22.61665
7.09172,5.812952,22.54691
7.244784,5.776324,22.56064
7.278474,5.794731,22.66745
7.315139,5.798157,22.68966
7.257837,5.794478,22.73697
7.384324,5.667005,22.73965
7.324441,5.51508,22.86468
7.396377,5.452433,22.93078
7.459774,5.452641,22.97015
7.442889,5.331934,22.96516
7.520637,5.26754,23.12762
7.452664,5.157766,23.25568
7.491717,4.952412,23.35201
7.538181,4.895363,23.46277
7.480356,4.622196,23.44946
7.341361,4.618909,23.6407
7.366025,4.366744,23.68295
7.263559,4.337477,23.89375
7.1139,4.160947,23.86159
7.020965,3.917905,24.12977
7.003562,3.939563,24.12191
6.904047,3.754601,24.21335
6.797792,3.613497,24.39779
6.657742,3.585366,24.41064
6.469232,3.352403,24.51692
6.290482,3.280476,24.43148
6.276253,3.211504,24.59323
6.133604,3.184431,24.51531
6.0309,3.020565,24.51671
5.719183,3.027024,24.64671
5.583278,2.930516,24.62402
5.560618,2.97376,24.56428
5.358538,2.930001,24.51052
5.388459,3.024662,24.38731
5.144488,2.863938,24.46658
5.109702,2.985442,24.43283
5.029975,2.931848,24.18267
4.852719,3.097155,24.27397
4.792185,2.988636,24.11967
4.668513,3.093324,24.08155
4.784138,3.125365,23.80984
4.62933,3.207477,23.8064
4.604465,3.25386,23.76402
4.597121,3.349496,23.53171
4.55607,3.291807,23.54704
4.752465,3.426806,23.41028
4.625706,3.472959,23.2837
4.720095,3.555214,23.16246
4.74906,3.637578,22.95313
4.849027,3.672661,23.05458
4.925781,3.628293,22.92817
4.964247,3.696463,22.72204
5.201717,3.71715,22.73507
5.346966,3.612433,22.59457
5.34634,3.69344,22.651
5.580439,3.56575,22.54492
5.676518,3.55062,22.54929
5.712888,3.595923,22.61598
5.842167,3.428949,22.50303
6.082531,3.377349,22.50348
6.242889,3.426749,22.64958
6.358945,3.340137,22.55633
6.460854,3.150278,22.65434
6.57966,3.190608,22.79948
6.722477,2.962671,22.82427
6.874273,2.980216,22.98414
6.916816,2.683787,22.96217
7.084014,2.614236,23.04842
7.152411,2.581332,23.24528
7.188183,2.280319,23.34652
7.222063,2.171277,23.36863
7.295466,2.018454,23.50964
7.459964,2.051264,23.5891
7.486083,1.870973,23.76396
7.498408,1.754732,23.81857
7.578921,1.548824,23.95015
7.410489,1.526031,24.13018
7.491466,1.396491,24.16769
7.542757,1.277487,24.30828
7.45793,1.110819,24.28391
7.478789,1.124639,24.33959
7.467823,0.904399,24.45114
7.307665,0.8442632,24.48446
7.240134,0.8705307,24.50179
7.319601,0.7712241,24.51933
7.168726,0.785206,24.49197
7.220464,0.8831432,24.5159
7.008503,0.7621835,24.50909
6.98447,0.8703929,24.5654
6.899758,0.8481008,24.42858
6.855469,0.8888752,24.49422
6.833936,0.913563,24.43804
6.842316,1.069709,24.44463
6.766133,1.233521,24.35007
6.724738,1.166657,24.24901
6.845551,1.344421,24.07929
6.771749,1.410295,24.03838
6.774803,1.520291,23.83053
6.884526,1.818304,23.73292
6.801334,1.861548,23.60159
6.958972,1.960145,23.62984
6.856616,2.196851,23.52021
6.950321,2.169484,23.40353
7.000397,2.440355,23.23575
7.239101,2.560985,23.11627
7.203852,2.74879,23.11588
7.357208,2.784687,23.03642
7.398329,2.864061,22.92905
7.547991,2.954815,22.77219
7.779202,3.07179,22.80448
7.918575,3.162317,22.74509
7.994145,3.397287,22.59867
8.010709,3.343361,22.68833
8.190718,3.540146,22.63862
8.340815,3.594288,22.55062
