u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
0.5,52.5,85.5,54.0,,,45.0,66.0,87.0,66.0,0.5,81.5,85.5,79.5
1.0,53.0,85.0,54.5,,,45.0,67.5,87.0,67.0,0.5,82.0,85.0,79.5
1.0,54.0,86.0,55.0,,,46.0,68.0,87.0,67.5,0.5,82.0,85.5,79.5
1.0,55.0,86.0,56.0,0.5,69.5,46.5,68.5,88.5,69.0,1.5,83.5,86.5,81.5
1.0,56.0,86.0,57.0,0.5,69.5,46.5,69.5,88.5,69.5,1.0,84.0,86.0,82.0
3.0,56.5,87.0,57.0,0.0,71.0,47.0,69.5,89.0,70.0,2.0,84.5,87.0,81.5
3.0,57.0,87.0,57.5,1.0,71.0,47.5,70.0,89.0,70.0,2.5,85.0,87.0,83.0
3.0,57.5,87.0,58.0,0.5,71.5,47.5,70.0,89.0,71.0,3.0,86.0,87.0,84.0
4.0,58.0,88.5,58.5,2.0,72.0,48.0,71.0,91.0,71.0,4.0,86.0,89.0,84.0
3.5,60.0,88.5,60.0,1.5,73.5,48.0,72.0,89.5,72.0,3.0,87.5,88.0,85.0
4.5,61.5,89.0,61.0,3.0,75.0,49.0,73.5,90.5,73.5,4.5,88.5,89.0,86.5
5.0,62.0,89.0,62.0,3.0,76.0,49.0,74.0,91.0,74.0,4.5,89.5,89.0,87.0
6.5,61.5,91.0,62.0,5.5,75.5,51.0,74.0,92.5,74.5,6.5,89.5,90.5,87.0
6.5,62.5,90.0,63.0,4.5,76.5,,,92.0,75.0,6.0,90.0,90.5,88.0
8.0,63.0,92.0,63.0,6.5,76.5,52.0,75.0,93.5,75.5,8.0,91.0,91.0,88.0
9.0,64.0,92.5,64.0,7.0,78.5,52.5,77.0,94.5,77.0,9.0,92.0,92.0,90.0
10.0,64.0,93.0,64.0,8.0,77.0,53.0,76.0,95.0,77.0,9.5,91.5,93.5,89.5
11.0,64.0,,,9.5,78.5,54.0,77.0,,,10.5,92.5,95.0,90.0
,,,,10.0,80.0,54.5,78.0,97.0,78.0,11.5,93.5,95.0,91.5
11.0,66.0,,,10.0,79.5,54.5,78.0,97.0,78.0,11.5,93.5,95.0,91.5
14.0,66.0,96.5,66.0,12.0,80.0,56.0,79.0,99.0,79.0,13.5,93.5,,
14.5,67.5,99.0,67.0,13.0,81.0,57.5,79.5,100.0,80.0,15.0,95.0,98.5,93.5
15.5,68.5,98.5,68.5,13.5,82.0,57.5,80.5,100.5,81.5,15.0,96.0,98.5,95.0
17.0,68.0,100.0,68.0,15.0,81.5,59.0,80.0,102.0,81.0,17.0,95.5,100.5,95.0
18.5,68.0,102.0,68.0,16.5,82.0,60.5,80.5,103.5,82.0,18.5,95.5,102.0,95.5
20.0,69.0,103.0,69.0,18.0,83.0,62.0,81.5,105.0,82.0,20.0,96.5,102.5,95.5
20.0,69.0,103.5,69.0,18.0,83.0,62.0,81.0,105.0,82.0,20.0,97.0,103.0,96.0
22.0,69.0,105.0,69.0,20.0,82.5,64.0,81.0,107.0,82.0,22.0,96.5,105.0,97.0
25.0,69.0,108.0,69.0,22.5,82.5,66.0,81.5,110.0,83.0,25.0,97.0,108.0,97.0
