u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
81.0,94.0,64.5,104.5,79.0,87.0,72.0,87.0,56.0,86.5,61.0,80.0,64.5,79.5
80.5,95.5,63.0,106.0,78.0,88.0,72.0,88.0,55.0,88.0,60.5,81.0,63.0,81.0
78.5,97.5,62.0,108.0,77.0,90.0,70.5,90.0,54.0,90.0,59.5,82.0,62.0,82.0
78.5,99.0,61.0,110.0,76.5,91.5,70.0,91.5,53.0,91.5,59.0,84.0,61.0,84.0
77.5,100.5,60.0,111.5,75.5,92.5,68.5,93.0,52.5,93.0,58.0,85.5,60.5,85.5
76.5,102.0,59.0,113.0,74.5,94.0,68.0,94.0,51.5,93.5,57.0,87.0,60.0,86.5
76.0,103.0,58.5,114.0,74.0,95.0,67.0,95.0,50.5,95.0,57.0,88.0,58.5,87.5
75.0,104.0,57.0,115.5,73.0,96.0,66.5,96.0,50.0,97.0,56.0,89.0,58.0,89.0
74.0,105.0,57.0,116.0,72.0,97.0,65.5,97.0,49.0,97.0,55.0,90.0,57.5,89.5
73.5,106.0,56.0,117.0,72.0,98.0,65.5,97.5,49.0,98.0,54.0,90.0,57.0,90.0
73.0,106.0,55.5,117.0,71.0,98.0,64.5,98.0,47.0,98.0,53.5,90.5,56.0,90.0
72.0,106.0,55.0,118.0,71.0,98.0,63.5,98.5,47.0,98.0,53.0,90.0,55.0,90.0
72.0,106.0,54.0,118.0,70.0,97.5,63.0,98.0,47.0,98.0,52.5,90.5,55.0,90.0
71.0,106.0,53.0,117.0,69.0,98.0,63.0,98.0,46.0,98.0,52.0,90.0,54.0,90.0
71.0,106.0,53.0,117.0,69.0,97.0,62.0,98.0,45.0,98.0,51.0,90.0,54.0,90.0
70.0,105.0,53.0,117.0,68.5,97.0,62.0,98.0,45.0,97.0,51.5,89.5,53.5,89.5
70.0,104.0,52.0,115.0,68.0,96.0,61.0,96.5,44.5,96.5,50.0,89.0,53.0,89.0
69.0,103.0,51.0,114.0,68.0,97.0,61.0,97.0,44.0,96.0,50.0,88.5,53.0,89.0
,,51.5,113.0,68.0,97.0,60.5,97.0,44.0,95.5,50.0,86.5,52.0,89.0
68.5,99.5,50.5,111.0,67.0,95.0,60.0,93.0,44.0,93.0,49.5,85.0,,
68.5,98.0,50.5,109.5,66.5,90.5,60.0,97.0,43.0,91.0,49.0,83.0,51.5,83.5
68.5,97.0,50.5,107.5,66.0,89.5,59.0,89.0,42.5,89.5,48.5,81.5,51.0,81.0
68.0,95.0,50.5,106.0,66.5,87.5,59.5,87.5,42.5,87.5,48.5,80.5,51.0,80.0
68.0,93.5,50.5,104.0,66.5,85.5,59.5,85.5,43.0,86.0,48.5,79.0,51.0,79.0
