x,y,z
7.14,4.87,21.72
4.796421,4.87,21.72
4.796421,4.87,21.72
4.796421,4.87,21.72
4.852967,4.831879,21.65415
4.919808,4.795966,21.59212
4.996758,4.762748,21.53475
5.083571,4.732701,21.48285
5.179944,4.706283,21.43722
5.285517,4.683931,21.39861
5.399878,4.666059,21.36774
5.522563,4.653054,21.34528
5.653059,4.645271,21.33183
5.790809,4.643029,21.32796
5.935211,4.646614,21.33415
6.085626,4.656268,21.35083
6.241378,4.672194,21.37833
6.401761,4.694549,21.41695
6.566043,4.723444,21.46686
6.733468,4.758946,21.52818
6.903261,4.801069,21.60094
7.074636,4.849781,21.68508
7.246799,4.904997,21.78045
7.418948,4.966587,21.88683
7.590285,5.034367,22.00391
7.760018,5.108108,22.13128
7.927363,5.187531,22.26846
8.091555,5.272311,22.4149
8.251844,5.362081,22.56996
8.407508,5.456427,22.73292
8.557851,5.5549,22.90301
8.70221,5.65701,23.07938
8.83996,5.762232,23.26113
8.970513,5.870014,23.4473
9.093328,5.979772,23.63688
9.207905,6.090898,23.82882
9.313798,6.202767,24.02205
9.410612,6.314735,24.21545
9.498002,6.426147,24.40789
9.575682,6.536339,24.59822
9.643421,6.644647,24.7853
9.701047,6.750404,24.96797
9.748444,6.852951,25.1451
9.785558,6.951638,25.31556
9.812389,7.045832,25.47825
9.829,7.134914,25.63212
9.835506,7.218292,25.77614
9.832084,7.295402,25.90933
9.818957,7.365707,26.03077
9.796407,7.428709,26.13959
9.764762,7.483945,26.23499
9.7244,7.530998,26.31627
9.675741,7.569493,26.38276
9.619248,7.599103,26.4339
9.555422,7.619555,26.46923
9.484796,7.630622,26.48835
9.407934,7.632136,26.49096
9.325428,7.623985,26.47688
9.23789,7.606112,26.44601
9.14595,7.578519,26.39835
9.050253,7.541265,26.334
8.951451,7.494468,26.25317
8.850201,7.438304,26.15616
8.747161,7.373005,26.04337
8.642983,7.298862,25.91531
8.538311,7.216215,25.77255
8.433777,7.125461,25.6158
8.329992,7.027047,25.44581
8.227551,6.921465,25.26344
8.127019,6.809255,25.06962
8.028935,6.690997,24.86536
7.933806,6.56731,24.65172
7.842103,6.438848,24.42983
7.75426,6.306296,24.20087
7.670668,6.170363,23.96608
7.591678,6.031784,23.72672
7.517593,5.891309,23.48408
7.448674,5.749701,23.23948
7.385128,5.607732,22.99426
7.327121,5.46618,22.74977
7.274764,5.325819,22.50732
7.22812,5.187418,22.26827
7.187205,5.051735,22.03391
7.151983,4.919512,21.80552
7.122374,4.791471,21.58436
7.098248,4.668312,21.37163
7.079432,4.550703,21.16849
7.065711,4.43928,20.97603
7.056826,4.334642,20.79529
7.052482,4.237349,20.62724
7.052348,4.147913,20.47276
7.056059,4.066801,20.33265
7.063224,3.99443,20.20765
7.073422,3.931165,20.09838
7.086214,3.877313,20.00536
7.101138,3.833128,19.92904
7.11772,3.798803,19.86975
7.135476,3.774473,19.82773
7.153914,3.760212,19.80309
7.172541,3.756035,19.79588
7.190865,3.761894,19.806
7.208399,3.777683,19.83327
7.224669,3.803238,19.87741
7.23921,3.838335,19.93803
7.25158,3.882694,20.01465
7.261354,3.935981,20.10669
7.268137,3.99781,20.21349
7.271556,4.067747,20.33429
7.271276,4.145307,20.46826
7.266992,4.229966,20.61448
7.258438,4.321158,20.772
7.245387,4.418282,20.93976
7.227655,4.520704,21.11667
7.205099,4.627763,21.30159
7.177621,4.738774,21.49334
7.145172,4.853031,21.69069
7.107747,4.969815,21.89241
7.065388,5.088397,22.09723
7.018185,5.208042,22.30389
6.966273,5.328016,22.51112
6.909838,5.447586,22.71765
6.849104,5.566032,22.92224
6.784346,5.682643,23.12366
6.715876,5.796727,23.32071
6.644047,5.907619,23.51225
6.569253,6.014669,23.69715
6.49192,6.117269,23.87437
6.412506,6.214838,24.0429
6.331501,6.306835,24.20181
6.249418,6.392758,24.35022
6.166794,6.472149,24.48735
6.084183,6.544599,24.61249
6.002154,6.609742,24.72501
5.921288,6.667267,24.82437
5.84217,6.716913,24.91012
5.765388,6.758472,24.98191
5.691528,6.791793,25.03946
5.621169,6.816775,25.08261
5.554878,6.833375,25.11128
5.493208,6.841606,25.1255
5.436696,6.84153,25.12537
5.38585,6.833268,25.1111
5.341154,6.816987,25.08298
5.303061,6.792908,25.04139
5.271987,6.7613,24.98679
5.248314,6.722475,24.91973
5.23238,6.67679,24.84082
5.224481,6.624643,24.75075
5.224865,6.566467,24.65026
5.233732,6.50273,24.54017
5.251234,6.433931,24.42134
5.277465,6.360593,24.29466
5.312472,6.283263,24.16109
5.356244,6.202505,24.0216
5.408715,6.1189,23.87719
5.469765,6.033036,23.72888
5.539221,5.945507,23.57769
5.616852,5.856909,23.42466
5.702376,5.767835,23.27081
5.79546,5.67887,23.11714
5.895719,5.590589,22.96465
6.00272,5.503551,22.81431
6.115984,5.418294,22.66705
6.234991,5.335336,22.52376
6.359177,5.255166,22.38529
6.487945,5.178244,22.25242
6.620662,5.104997,22.1259
6.756668,5.035815,22.00641
6.89527,4.971053,21.89454
7.035764,4.911021,21.79085
7.177421,4.855989,21.6958
7.319503,4.806181,21.60977
7.461263,4.761777,21.53307
7.60195,4.722911,21.46594
7.740814,4.689667,21.40851
7.877112,4.662084,21.36087
8.01011,4.640153,21.32299
8.139091,4.623819,21.29478
8.263354,4.612979,21.27605
8.382228,4.607488,21.26657
8.495066,4.607155,21.266
8.601253,4.61175,21.27393
8.700212,4.621,21.28991
8.791405,4.634598,21.3134
8.874338,4.652202,21.3438
8.948566,4.673438,21.38048
9.013689,4.697903,21.42274
9.069362,4.72517,21.46984
9.115292,4.754791,21.521
9.151243,4.786299,21.57542
9.177039,4.819214,21.63228
9.192559,4.853047,21.69072
9.197742,4.8873,21.74988
9.19259,4.921477,21.80892
9.17716,4.955082,21.86696
9.151572,4.987625,21.92317
9.116004,5.018626,21.97672
9.070689,5.047622,22.0268
9.015921,5.074164,22.07265
8.952042,5.097829,22.11352
8.87945,5.118216,22.14874
8.798591,5.134953,22.17765
8.709958,5.147702,22.19967
8.614085,5.156158,22.21427
8.51155,5.160053,22.221
8.402964,5.15916,22.21946
8.288969,5.153293,22.20932
8.170239,5.14231,22.19035
8.047469,5.126113,22.16238
7.921373,5.104654,22.12531
7.792681,5.077926,22.07915
7.662136,5.045976,22.02396
7.53048,5.008893,21.95991
7.398462,4.966816,21.88723
7.266823,4.919932,21.80625
7.136297,4.86847,21.71736
7.007605,4.812707,21.62104
6.881451,4.752962,21.51784
6.758514,4.689592,21.40839
6.639452,4.622996,21.29336
6.524888,4.553607,21.1735
6.415414,4.481893,21.04963
6.311584,4.408349,20.9226
