u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
96.0,94.0,78.5,104.5,93.5,87.0,86.5,86.5,70.0,86.0,75.0,79.0,78.0,79.0
96.0,94.0,78.0,104.0,93.5,87.0,86.5,86.5,70.0,86.0,75.0,79.0,77.0,79.0
96.0,94.0,78.0,104.0,93.0,87.0,86.0,86.5,69.0,86.0,75.0,79.0,77.0,79.0
95.0,94.0,78.0,104.0,92.5,86.5,86.0,86.5,69.0,86.0,74.0,79.0,77.0,79.0
94.5,94.0,77.0,104.0,92.5,86.5,85.0,86.0,68.5,86.0,74.0,79.0,76.5,78.5
94.0,94.0,77.0,104.0,91.0,86.0,85.0,86.0,67.5,85.5,73.0,79.0,76.0,79.0
93.5,93.5,76.0,103.0,91.0,86.0,84.0,86.0,67.5,85.5,73.0,79.0,75.0,79.0
93.0,93.0,75.0,103.0,90.0,86.0,83.0,86.0,67.0,85.0,72.0,79.0,74.5,78.5
92.0,93.0,74.5,103.0,89.5,86.0,83.0,86.0,66.0,85.0,71.0,79.0,74.0,78.0
90.5,93.0,73.5,103.0,89.0,86.0,81.5,85.5,65.0,86.0,70.0,79.0,73.0,78.0
90.0,93.0,73.0,103.0,88.0,86.0,81.0,85.5,64.5,85.0,69.5,78.5,72.5,78.5
89.0,93.0,72.0,103.0,87.0,86.0,80.0,86.0,63.5,85.5,68.5,78.5,71.0,79.0
88.0,93.0,71.0,103.0,86.0,86.0,79.0,86.0,62.5,85.5,68.0,79.0,70.0,79.0
87.0,93.0,70.0,103.5,85.0,86.0,78.0,86.0,62.0,85.0,67.0,79.0,69.5,79.0
86.0,93.0,69.0,103.0,84.0,86.0,77.0,86.0,61.0,86.0,66.0,79.0,69.0,79.0
84.5,94.0,67.5,103.5,82.0,86.0,76.0,86.0,60.0,86.0,64.5,79.0,67.5,79.0
84.0,94.0,66.0,104.0,82.0,86.0,75.0,86.0,58.5,86.0,64.0,79.0,66.5,79.0
83.0,93.5,66.0,104.0,81.0,86.0,74.0,86.5,58.0,86.0,63.0,79.0,66.5,79.5
82.5,94.0,,,80.0,86.5,73.5,86.5,57.0,86.0,63.0,79.0,65.0,79.0
80.5,94.0,64.0,104.0,78.5,87.0,72.0,87.0,55.5,87.0,61.0,80.0,64.0,79.0
80.0,95.0,62.0,105.0,78.0,87.0,71.0,87.0,55.0,87.0,59.5,79.5,62.5,79.5
78.5,95.0,61.0,105.5,76.0,88.0,70.0,88.0,53.0,87.5,58.5,80.0,61.0,80.0
77.0,95.5,60.0,106.0,75.0,88.0,68.5,87.5,52.5,87.5,57.5,80.5,60.5,80.5
76.5,95.5,59.0,106.0,74.0,88.0,68.0,88.0,51.0,88.0,56.5,81.5,59.0,81.0
75.0,96.0,58.0,107.0,73.0,88.0,66.0,89.0,50.0,89.0,56.0,81.5,58.5,81.5
74.5,96.5,57.0,107.0,72.5,89.0,65.5,89.0,49.0,89.0,54.5,81.5,57.0,82.0
73.0,97.0,56.0,107.5,72.0,89.0,64.5,89.5,48.5,89.5,54.0,82.0,56.5,82.0
72.5,97.5,55.0,108.0,70.5,89.5,64.0,89.5,47.0,90.0,53.0,83.0,55.5,82.5
72.0,98.0,54.0,109.0,70.0,90.0,63.0,90.0,46.5,90.0,52.0,83.0,54.5,83.0
70.5,98.0,53.0,109.0,69.0,91.0,62.0,91.0,45.5,91.0,51.5,83.5,54.5,83.5
70.0,99.0,52.5,110.0,68.0,91.0,61.5,91.5,44.5,91.5,51.0,84.0,53.0,84.0
69.0,99.0,52.0,110.0,67.5,91.5,60.5,91.5,44.0,92.0,50.5,84.5,52.5,84.0
69.0,100.0,51.0,111.0,67.0,92.0,60.0,92.0,43.5,92.5,49.0,85.0,52.0,84.5
68.0,100.0,50.5,111.5,66.5,92.5,59.5,92.5,43.0,93.0,48.5,85.5,51.5,85.5
68.0,101.0,50.0,112.0,66.0,93.0,59.0,93.0,42.5,93.5,48.5,85.5,50.5,85.5
67.0,101.5,49.0,113.0,66.0,93.0,58.5,93.5,42.0,94.0,48.0,86.0,50.5,85.5
66.5,101.5,48.5,113.5,65.0,93.5,58.0,94.0,42.0,94.0,47.5,86.5,50.0,86.5
66.5,102.0,48.5,113.5,64.5,94.0,58.0,94.0,41.0,95.0,47.0,87.0,50.0,86.5
66.0,103.0,48.0,114.0,64.5,94.5,57.5,95.0,40.5,95.5,46.5,87.5,49.5,87.5
66.0,103.0,48.0,114.5,64.5,95.0,57.0,95.5,40.5,95.5,46.5,87.5,49.0,88.0
66.0,104.0,48.0,115.0,64.5,95.5,57.0,95.5,40.5,95.5,46.5,87.5,49.0,88.0
66.0,104.0,48.0,115.5,64.5,95.5,57.0,96.0,40.5,96.0,46.5,88.0,49.0,88.0
66.0,104.0,48.0,116.0,64.5,95.5,57.0,96.0,40.0,97.0,46.5,88.5,48.5,88.5
65.0,104.0,48.0,116.0,64.0,96.0,56.5,96.5,40.0,97.0,46.0,89.0,49.0,88.0
65.0,105.0,47.5,116.5,64.0,96.0,57.0,97.0,40.0,97.0,46.5,89.5,48.5,89.5
65.5,105.5,48.0,117.0,64.0,97.0,57.0,97.0,40.5,97.5,46.0,89.0,48.5,89.5
66.0,105.0,48.0,117.0,64.0,97.0,57.0,97.0,40.0,98.0,46.5,89.5,49.0,89.0
66.0,105.5,47.5,117.5,64.5,97.5,57.5,97.5,40.5,98.0,47.0,90.0,49.0,89.5
66.0,105.0,48.0,117.5,65.0,97.0,57.5,97.5,40.5,98.0,47.0,90.0,49.0,89.0
67.0,106.0,48.0,117.0,65.0,97.5,57.5,97.5,41.0,98.0,47.0,90.0,50.0,90.0
67.0,106.0,49.0,118.0,66.0,97.0,58.0,98.0,41.0,98.0,47.0,90.0,50.0,90.0
67.0,106.0,49.0,118.0,66.0,98.0,59.0,98.0,42.0,98.0,47.5,90.0,50.5,90.0
67.5,106.0,49.0,118.0,66.0,98.0,59.0,98.0,42.0,98.0,48.5,90.0,50.5,90.0
68.0,106.0,50.0,118.0,67.0,98.0,60.0,98.0,43.0,98.0,48.5,90.0,51.0,90.0
69.0,106.0,51.0,118.0,67.0,98.0,60.0,98.0,43.0,98.0,49.0,90.0,52.0,90.0
69.0,106.0,51.0,118.0,68.0,98.0,60.5,98.5,44.0,99.0,50.0,90.0,52.0,90.0
69.5,106.5,52.0,118.0,68.0,98.0,60.5,98.5,44.0,99.0,50.5,90.5,52.5,90.5
70.0,106.5,52.0,118.0,68.0,98.0,61.0,98.0,44.0,98.5,50.5,90.5,53.0,90.0
70.0,106.0,52.0,117.5,68.0,97.5,61.0,98.0,45.0,98.0,51.0,90.0,53.0,90.0
71.0,106.0,53.0,117.5,69.5,97.5,62.0,98.0,45.0,98.0,51.0,90.0,53.5,90.0
71.0,106.0,53.5,117.0,69.5,97.5,62.0,97.0,45.5,97.5,51.5,89.5,54.0,89.5
72.0,106.0,54.0,117.0,70.0,97.0,63.0,98.0,46.0,97.5,52.5,89.5,55.0,90.0
72.0,105.0,54.0,117.0,70.5,97.0,63.0,98.0,47.0,97.0,53.5,89.5,55.5,89.5
73.0,105.0,55.0,116.5,71.0,97.0,64.0,97.0,47.5,97.0,53.5,89.0,56.0,89.0
73.5,105.0,56.0,115.5,71.5,96.5,65.0,96.5,48.0,97.0,54.0,89.0,56.5,88.5
74.5,103.5,56.5,115.0,72.5,96.0,65.0,96.0,48.5,96.5,54.5,88.5,57.0,88.0
74.5,103.5,57.0,114.0,72.0,96.0,66.0,95.5,49.0,96.0,55.0,88.0,58.0,88.0
75.0,103.0,58.0,113.5,73.0,96.0,66.0,95.0,50.0,95.0,55.5,87.5,58.0,87.0
76.0,102.0,58.5,113.5,74.0,94.0,67.0,95.0,50.5,94.5,56.5,87.0,59.0,87.0
76.5,101.5,59.0,112.5,74.0,94.0,67.0,94.0,51.0,94.0,57.0,86.0,59.0,86.0
77.0,101.0,59.0,112.0,75.0,93.0,68.0,94.0,52.0,93.0,57.5,85.5,59.5,85.5
77.5,100.5,60.0,111.0,75.5,92.5,69.0,93.0,52.5,92.5,58.0,85.0,60.0,85.0
78.0,100.0,60.5,110.5,76.0,92.0,69.0,92.0,52.5,92.0,58.5,84.5,61.0,84.0
78.5,99.0,61.0,110.0,76.5,91.5,70.0,91.5,53.0,91.5,59.0,84.0,61.0,83.5
79.0,99.0,62.0,109.0,77.0,91.0,70.0,91.0,53.0,91.0,59.0,83.5,62.0,83.0
79.0,98.0,62.0,109.0,77.0,90.0,70.5,90.0,54.0,90.0,60.0,83.0,62.0,83.0
80.0,97.0,62.5,108.0,78.0,89.5,71.0,90.0,54.5,89.5,60.0,82.0,62.5,82.0
80.0,97.0,63.0,107.0,78.0,89.0,71.0,89.0,54.5,89.0,60.5,81.5,62.5,81.5
80.5,96.0,63.0,106.0,79.0,88.0,71.5,88.5,55.0,88.0,60.5,81.0,63.0,81.0
80.5,95.0,63.5,105.5,79.0,88.0,72.0,87.5,55.5,87.5,61.0,80.5,64.0,80.0
81.0,94.5,64.0,105.0,78.5,87.5,72.0,87.0,56.0,87.0,61.0,80.0,64.0,79.5
81.0,94.0,64.0,104.5,79.0,87.0,72.0,87.0,56.0,86.0,62.0,79.0,64.0,79.5
81.0,93.0,64.5,104.0,79.0,86.0,72.5,86.0,56.0,86.0,62.0,79.0,64.5,79.0
82.0,93.0,65.0,103.0,79.0,85.0,72.5,85.5,57.0,86.0,62.0,78.0,64.5,78.0
82.0,92.0,65.0,102.0,80.0,85.0,73.0,85.0,56.5,85.0,62.0,77.5,65.0,78.0
82.0,91.0,65.0,102.0,80.0,85.0,73.0,84.0,57.0,84.0,62.0,77.5,64.5,77.0
82.0,91.0,64.5,101.5,80.0,84.0,73.0,84.0,57.0,84.0,62.0,77.0,65.0,77.0
82.0,90.5,65.0,100.0,80.0,83.0,73.0,83.5,57.0,83.0,62.0,76.0,65.0,76.0
82.0,90.0,65.0,100.0,80.0,83.0,73.0,82.5,57.0,83.0,62.0,76.0,65.0,76.0
82.0,89.5,65.0,100.0,80.0,82.5,73.0,82.0,57.0,82.0,62.0,75.5,65.0,75.0
82.0,89.0,65.0,99.0,80.0,82.0,73.5,82.0,57.0,82.0,62.0,75.0,65.0,75.0
82.0,89.0,65.0,99.0,80.0,82.0,73.5,82.0,57.0,82.0,62.0,75.0,65.0,75.0
82.0,89.0,65.0,99.0,80.0,82.0,73.0,82.0,57.0,81.0,62.5,75.0,65.0,75.0
82.0,88.0,65.0,98.5,80.0,82.0,73.0,81.5,57.0,81.0,62.0,74.5,65.0,74.0
82.0,88.0,65.0,98.5,79.5,81.5,74.0,81.0,57.0,81.0,62.0,74.0,65.0,74.0
82.0,88.0,65.0,98.5,79.5,81.5,74.0,81.0,56.5,80.5,62.0,74.0,65.0,74.0
82.0,88.0,65.0,98.0,79.0,81.0,73.0,81.0,56.5,80.5,62.0,74.0,65.0,74.0
82.0,88.0,65.0,98.0,79.0,81.0,73.0,81.0,56.5,80.5,62.0,74.0,64.5,74.0
82.0,88.0,65.0,98.0,79.0,81.0,73.0,81.0,56.0,81.0,62.0,74.0,64.5,74.0
81.0,88.0,64.0,98.5,79.0,81.0,73.0,81.0,56.0,81.0,62.0,74.0,64.0,74.0
81.0,88.5,64.0,98.5,79.0,81.0,73.0,81.0,56.0,81.0,61.0,74.5,64.0,74.0
81.5,89.0,64.0,99.0,79.0,82.0,72.0,82.0,56.0,81.0,61.0,75.0,64.0,75.0
81.0,89.0,64.0,99.0,79.0,82.0,72.0,82.0,56.0,81.0,61.0,75.0,64.0,75.0
81.0,89.0,64.0,99.0,78.5,82.5,72.0,82.0,56.0,82.0,61.0,75.5,64.0,75.0
81.0,90.0,64.0,100.0,78.5,83.0,72.0,83.0,56.0,82.5,61.0,76.0,64.0,76.0
81.0,90.0,64.0,100.0,78.5,83.0,72.0,83.0,56.0,83.0,61.0,76.0,64.0,76.0
80.5,91.0,64.0,101.0,78.5,83.5,72.0,83.5,56.0,83.0,61.0,76.5,64.0,76.5
80.5,91.0,64.0,101.0,78.5,84.0,72.0,84.0,56.0,84.0,61.0,77.0,64.0,77.0
81.0,92.0,64.0,102.0,78.0,85.0,72.0,84.5,56.0,84.0,61.0,77.5,64.0,77.0
81.0,92.0,64.0,102.5,78.5,85.0,72.0,85.0,56.0,85.0,61.0,78.0,64.0,78.0
81.0,93.0,64.0,103.0,78.5,85.5,72.0,85.5,56.0,85.0,61.0,78.5,64.0,78.0
81.0,93.5,64.0,104.0,78.5,86.0,72.0,86.0,56.0,86.0,61.0,79.0,64.0,79.0
81.0,94.0,64.0,104.0,79.0,87.0,72.0,87.0,56.0,86.5,61.0,79.5,64.0,79.5
81.0,95.0,64.5,105.0,79.0,87.5,73.0,87.0,56.0,87.0,61.5,80.0,64.0,80.0
81.5,95.0,64.0,106.0,79.0,87.5,72.5,87.5,56.0,87.5,62.0,80.0,64.0,80.0
82.0,95.5,65.0,106.0,79.0,88.0,73.0,88.0,57.0,88.0,62.0,81.0,65.0,81.0
82.0,96.0,65.0,107.0,80.0,89.0,73.5,89.0,56.5,88.5,62.0,81.5,64.5,81.5
82.5,97.0,65.0,107.5,80.0,89.5,73.5,89.5,57.0,89.0,62.0,82.0,65.0,82.0
82.5,97.5,65.0,108.0,80.5,90.0,74.0,90.0,57.0,89.5,62.5,82.0,65.0,82.0
83.0,98.0,66.0,109.0,81.0,90.0,74.0,90.5,57.0,90.0,63.0,83.0,65.0,83.0
83.0,99.0,66.0,109.0,81.0,91.0,75.0,91.0,58.0,91.0,63.0,83.5,66.0,83.5
84.0,99.0,66.0,110.0,82.0,91.5,75.0,91.0,58.0,91.0,63.5,83.5,66.0,84.0
84.0,100.0,67.0,110.0,82.0,92.0,75.0,92.0,58.0,91.0,64.0,84.0,66.0,84.0
84.5,100.5,67.0,111.0,82.5,92.5,75.0,92.0,58.5,92.0,64.0,84.5,66.5,84.5
85.0,101.0,67.0,111.0,82.5,93.0,76.0,93.0,59.0,92.0,64.5,85.0,67.0,85.0
85.0,101.0,68.0,111.5,83.0,93.0,76.0,93.0,59.0,93.0,64.5,85.5,67.0,86.0
85.5,101.5,68.0,112.0,83.0,94.0,76.5,93.5,60.0,93.0,65.0,86.0,68.0,86.0
86.0,102.0,69.0,112.0,84.0,94.0,77.0,94.0,60.5,93.0,66.0,86.0,68.0,86.0
87.0,102.0,69.0,112.5,84.0,94.0,77.5,94.0,60.5,93.5,66.0,86.0,68.5,86.0
87.0,103.0,70.0,113.0,85.0,94.5,78.0,94.0,60.5,94.0,67.0,87.0,69.0,86.5
87.5,103.0,70.0,113.0,85.0,95.0,78.0,94.0,61.0,94.0,67.0,87.0,69.0,87.0
88.0,103.0,70.5,113.5,85.5,95.0,79.0,95.0,62.0,94.0,68.0,87.0,70.0,87.0
88.5,103.0,70.5,113.5,86.0,95.0,79.0,95.0,62.0,94.0,68.0,87.5,70.0,87.0
88.5,103.5,71.0,114.0,86.5,95.5,79.0,95.0,62.5,94.5,68.0,87.0,70.0,87.0
89.0,103.5,72.0,114.0,86.5,95.5,80.0,95.0,62.5,94.5,68.5,87.0,70.0,87.0
89.5,103.5,72.0,114.0,87.0,95.5,80.0,95.0,63.0,95.0,69.0,87.5,71.0,87.0
90.0,103.5,72.0,114.0,87.0,96.0,80.0,95.0,63.0,95.0,69.0,88.0,71.5,87.5
90.0,104.0,72.0,114.0,87.5,95.5,80.5,95.0,63.5,95.0,69.5,87.5,71.5,87.5
90.0,103.5,72.0,114.0,88.0,95.5,81.0,95.0,64.0,95.0,69.5,87.5,72.0,87.5
90.0,103.5,73.0,114.0,88.0,95.0,81.0,95.0,64.0,95.0,70.0,88.0,72.0,87.5
91.0,103.5,73.0,114.0,88.5,95.5,81.0,95.5,64.5,94.5,70.0,87.5,72.0,87.0
91.0,103.5,73.0,114.0,88.5,95.5,81.5,95.0,64.5,94.5,70.0,87.5,72.0,87.0
91.0,103.0,73.5,113.5,89.0,95.0,81.5,95.0,65.0,94.0,70.0,87.5,73.0,87.0
91.5,103.0,74.0,114.0,89.0,95.0,82.0,95.0,65.0,94.0,70.5,86.5,73.0,87.0
91.5,103.0,74.0,113.0,89.0,95.0,82.0,94.5,65.0,94.0,70.5,86.5,73.0,86.0
92.0,103.0,74.0,113.0,89.0,95.0,82.5,94.0,65.0,94.0,70.5,86.5,73.0,86.0
92.0,102.0,74.0,113.0,89.0,94.5,82.5,94.0,65.0,93.5,70.5,86.5,73.0,86.0
92.0,102.0,74.0,113.0,89.0,94.0,82.0,94.0,65.0,93.0,71.0,86.0,73.0,85.5
91.5,101.5,74.0,112.0,89.0,94.0,82.0,93.5,65.0,93.0,71.0,86.0,73.5,85.5
91.5,101.5,74.0,111.5,89.0,94.0,82.0,93.0,65.0,93.0,70.5,85.5,73.0,85.0
91.0,101.5,74.0,111.0,89.0,93.0,82.0,93.0,65.0,92.0,70.0,85.0,73.0,85.0
91.0,101.0,74.0,111.0,88.5,93.0,82.0,92.5,65.0,92.0,70.5,85.0,73.0,84.0
90.5,100.0,73.0,110.0,88.5,92.5,81.0,92.0,64.5,91.5,70.0,84.0,72.5,84.0
90.0,100.0,73.0,110.0,88.0,92.0,81.0,91.5,64.0,91.0,70.0,84.0,72.0,84.0
90.0,99.0,73.0,110.0,88.0,91.5,81.0,92.0,64.0,91.0,69.0,83.5,72.0,83.5
89.5,99.0,72.0,109.0,87.0,91.0,80.5,91.0,64.0,90.0,69.0,83.0,71.5,83.5
89.0,98.0,72.0,108.0,86.5,90.5,80.0,90.0,63.0,90.0,68.5,83.0,71.0,83.0
89.0,98.0,71.0,108.0,86.0,90.0,79.0,90.0,62.5,89.5,68.5,82.5,70.5,82.5
88.0,97.0,71.0,108.0,85.5,90.0,79.0,90.0,62.0,89.5,68.0,82.0,70.0,82.0
87.0,97.0,70.0,107.0,85.0,89.0,78.0,89.5,61.5,89.0,67.0,81.5,69.5,81.5
87.0,97.0,69.0,107.0,84.0,89.0,77.5,89.0,61.0,89.0,66.0,81.0,69.0,81.5
86.0,96.0,68.5,106.5,83.5,89.0,76.5,89.0,60.0,88.0,66.0,81.0,68.0,81.0
85.0,96.0,68.0,106.0,83.0,89.0,76.0,88.0,60.0,88.0,64.5,81.0,67.0,81.0
84.5,95.5,67.0,106.0,82.0,88.0,75.0,88.0,58.5,87.5,64.0,81.0,67.0,80.0
84.0,95.0,66.5,105.5,82.0,88.0,74.5,87.5,58.5,87.5,64.0,80.0,66.0,80.0
83.0,95.0,65.5,105.0,81.0,87.5,74.0,87.0,57.0,87.5,63.0,80.0,65.5,80.0
82.0,94.5,65.0,105.0,80.0,87.0,73.0,87.0,56.5,86.5,62.0,79.5,65.0,79.0
81.0,94.0,64.0,105.0,79.0,87.0,72.0,87.0,56.0,86.5,61.0,79.5,64.0,79.5
80.0,94.0,63.0,104.0,78.0,86.5,71.0,87.0,55.0,87.0,60.5,79.5,63.0,79.0
79.0,93.5,62.0,104.0,77.0,86.0,70.5,86.0,54.0,86.0,59.5,79.0,62.0,79.0
78.0,93.0,61.0,104.0,76.0,86.0,70.0,86.0,53.0,86.0,58.5,79.0,61.0,79.0
77.0,93.0,60.0,103.5,75.0,86.0,69.0,86.0,52.5,86.0,58.0,79.0,60.5,79.0
76.5,93.0,59.5,103.5,74.5,86.0,68.0,86.0,51.5,85.5,57.0,79.0,60.0,79.0
76.0,93.0,58.5,103.5,74.0,85.5,67.0,86.0,51.0,86.0,56.5,79.0,59.0,79.0
75.0,93.0,58.0,103.0,73.0,85.5,66.5,85.5,50.0,85.5,55.0,79.0,58.0,78.0
74.0,93.0,57.0,103.0,72.0,85.0,66.0,86.0,49.0,85.5,55.0,79.0,57.5,78.5
73.0,93.0,56.0,103.0,71.5,85.5,65.0,85.5,48.5,85.5,54.0,78.5,57.0,78.5
