u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6
97.5,94.5,80.0,103.5,94.5,86.5,88.0,87.0,70.5,86.5,76.0,79.0,78.0,79.0
97.5,94.5,80.0,103.5,94.5,86.5,88.0,87.0,70.5,86.5,76.0,79.0,78.0,79.0
97.0,94.0,79.5,104.0,94.0,87.0,88.0,87.0,70.5,86.5,76.0,79.0,78.0,79.0
96.5,94.5,79.0,104.0,94.0,87.0,87.0,87.0,70.0,86.0,76.0,79.0,78.0,79.0
96.5,94.0,78.5,104.0,93.0,87.0,86.0,86.0,70.0,86.0,75.0,79.0,77.0,79.0
96.0,94.0,78.0,103.5,93.0,86.0,86.0,86.0,69.5,85.5,75.0,79.0,77.0,79.0
95.0,93.5,77.5,103.5,92.0,86.0,86.0,86.0,68.5,85.5,74.0,79.0,76.0,79.0
94.0,93.0,76.0,103.0,91.0,86.0,84.5,86.0,67.5,85.5,73.0,79.0,75.5,79.5
93.0,93.5,76.0,103.0,90.5,86.0,84.0,86.0,67.5,85.5,72.5,79.0,74.5,79.0
91.5,93.5,75.0,103.0,89.5,86.0,82.0,86.0,66.5,85.5,71.0,79.0,74.0,79.0
91.0,93.0,73.5,103.0,88.5,86.0,82.0,86.0,65.5,85.5,70.5,79.0,73.0,79.0
90.0,93.0,73.0,103.0,88.0,86.0,81.0,86.0,64.5,85.5,69.5,79.0,72.0,79.0
89.0,93.0,72.0,103.0,86.5,86.0,80.0,86.0,63.0,86.0,69.0,79.0,71.0,79.0
88.5,93.5,71.0,103.5,86.0,86.0,79.0,86.0,62.5,85.5,68.0,79.0,70.0,79.0
87.5,93.5,69.5,103.5,84.0,86.0,78.0,86.0,61.0,86.0,66.5,79.0,69.0,79.0
85.0,94.0,68.5,103.5,83.0,86.0,76.5,86.0,60.0,85.5,65.0,79.0,68.0,79.0
84.0,94.0,66.5,104.0,82.0,86.0,75.0,86.5,59.0,86.0,64.0,79.0,66.5,79.0
83.0,94.0,66.0,104.0,81.0,86.0,74.0,86.0,58.0,86.0,64.0,80.0,66.0,79.0
82.5,94.0,65.0,104.0,80.0,87.0,73.0,87.0,56.5,86.0,62.5,79.5,65.0,79.0
80.5,94.0,64.5,104.0,78.5,87.0,72.0,87.0,56.0,87.0,61.0,79.5,64.5,79.5
79.0,94.0,62.0,105.0,77.0,87.0,70.5,87.0,54.0,87.0,59.5,79.5,62.0,80.0
78.5,95.0,60.5,105.5,76.0,87.5,69.5,87.5,52.5,87.5,59.0,80.0,61.0,80.0
77.0,95.0,60.0,106.0,75.0,87.5,68.5,87.5,52.0,88.0,57.5,80.5,59.5,80.5
75.5,95.5,58.5,106.0,74.0,88.0,67.0,88.0,51.0,88.0,56.0,81.0,58.5,80.5
75.0,96.0,57.0,107.0,73.0,88.0,66.0,88.0,49.5,88.5,55.0,81.5,57.5,81.5
73.5,96.5,56.5,107.0,72.0,89.0,65.0,89.0,48.5,89.0,54.5,81.5,56.5,81.5
72.5,96.5,55.0,107.5,70.5,89.5,64.0,89.0,47.5,89.5,53.0,81.5,55.5,81.5
72.0,97.0,54.0,108.0,70.0,89.5,63.0,89.5,46.5,89.5,52.0,82.0,54.5,82.0
70.5,97.5,53.0,108.0,69.0,89.5,62.5,89.5,45.5,90.0,51.0,82.0,54.0,82.0
70.0,98.0,52.5,109.0,68.0,90.0,61.0,90.0,44.5,90.0,50.5,82.5,53.0,83.0
69.0,98.0,51.5,109.5,67.5,90.5,60.5,90.5,44.0,91.0,49.5,83.5,52.5,83.5
68.5,98.5,50.5,109.5,67.0,91.0,60.0,91.0,43.0,91.0,49.0,83.5,51.5,83.5
68.0,99.0,50.0,110.0,66.5,91.5,59.5,91.5,42.5,91.5,48.5,83.5,50.5,83.5
67.5,99.5,49.0,111.0,65.5,91.5,58.5,91.5,42.0,92.0,48.0,84.0,50.0,84.0
66.5,99.5,48.5,111.0,65.5,91.5,58.0,92.0,41.5,92.5,48.0,84.5,50.0,84.5
66.5,100.0,48.5,111.5,64.5,92.0,57.5,92.5,40.0,93.0,47.0,85.0,49.0,84.5
66.5,100.5,48.0,112.0,64.5,92.5,57.0,93.0,40.5,93.5,47.0,85.0,49.0,85.0
66.0,101.0,48.0,112.0,64.5,92.5,57.0,93.0,40.0,93.5,46.5,85.5,48.5,85.5
65.5,101.5,47.0,112.5,64.0,93.0,56.5,93.5,39.5,93.5,46.5,85.5,48.5,85.5
65.0,101.5,47.0,113.0,64.0,93.0,56.5,93.5,39.5,94.0,46.5,85.5,48.5,85.5
65.0,102.0,46.5,113.5,64.0,93.5,56.5,93.5,39.0,94.0,46.0,86.0,48.0,86.0
65.0,102.0,46.5,113.5,64.0,93.5,56.0,94.0,39.0,95.0,46.0,86.5,48.0,86.5
65.0,102.0,46.5,113.5,64.0,94.0,56.5,94.5,39.0,95.0,46.0,86.5,48.0,86.5
65.0,103.0,46.5,114.0,64.0,94.5,56.5,94.5,39.0,95.0,46.0,87.0,48.0,86.5
65.0,103.0,46.5,114.5,63.5,94.5,56.0,95.0,38.5,95.5,46.0,87.0,48.0,87.5
65.0,104.0,46.5,114.5,64.0,95.0,56.5,95.5,39.0,96.0,46.5,87.5,48.5,87.5
65.0,104.0,47.0,115.0,63.5,95.0,56.5,95.5,39.0,96.0,46.5,87.5,48.5,87.5
65.5,103.5,47.0,115.0,64.5,95.0,56.5,95.5,39.0,96.0,46.5,87.5,48.5,87.5
66.0,104.0,47.0,115.0,64.0,95.0,56.5,95.5,39.5,96.0,46.5,87.5,48.5,87.5
66.0,104.0,47.5,115.0,64.5,95.5,57.0,96.0,40.0,96.0,46.5,87.5,48.5,87.5
