x,y,z
7.14,4.87,21.72
7.611105,5.341105,22.16842
7.819405,5.549405,22.39569
7.29367,5.02367,21.87319
7.809198,5.60649,22.33851
7.476904,5.259805,21.9889
8.065141,5.969661,22.5142
8.26584,6.227604,22.59262
8.258512,6.228345,22.64108
8.46892,6.487306,22.61607
8.38017,6.375322,22.78302
7.621952,5.449692,22.1361
8.277389,6.212434,22.46407
7.505269,5.287018,22.06382
7.980186,5.779761,22.44466
7.98186,5.712807,22.3136
7.520745,5.211302,22.0496
7.517704,5.161185,21.99648
7.981529,5.399682,22.33315
8.193294,5.373282,22.55839
8.195098,5.206089,22.66704
8.666885,5.104523,23.24653
8.630996,4.84606,23.21094
8.373046,4.635171,22.94827
7.682878,4.669766,22.22278
7.850478,4.48089,22.42747
7.734482,4.442004,22.31446
7.690816,4.386711,22.24204
7.939459,4.058607,22.41388
7.793828,4.128718,22.26578
8.084856,3.697693,22.6389
7.609349,4.239163,22.14448
8.063046,3.533127,22.37317
7.753496,3.919634,22.33323
8.297812,2.976198,22.87764
7.385427,4.447647,21.96244
8.15027,3.025803,22.78256
7.484302,4.190117,22.08367
7.688542,3.658306,22.27061
7.464643,4.022336,22.1383
7.559851,3.440309,22.66318
7.289729,4.040006,22.27843
7.164366,4.186316,22.11731
7.136807,4.849774,21.73101
7.093822,4.766854,21.76143
6.790076,4.522546,21.76845
7.099638,4.85709,21.70791
6.992439,4.894321,21.6158
6.711465,5.113983,21.32845
6.690697,5.283666,21.17227
6.467469,5.698118,20.79885
6.969602,5.123889,21.46043
6.304976,6.26513,20.73681
6.771488,5.516632,21.12882
7.014772,5.088375,21.53949
6.842458,5.364103,21.35931
6.345556,6.090801,20.89121
6.736736,5.43476,21.31823
6.106224,6.184062,20.7764
6.76063,5.309278,21.34633
6.376316,5.681475,20.94172
6.784983,5.218688,21.40725
6.035183,5.876935,20.83293
6.390123,5.503319,21.03496
6.9021,5.055048,21.51128
5.507915,6.028029,20.09152
5.449861,5.944636,20.03774
6.480608,5.233908,21.08674
7.105115,4.885813,21.68659
5.42345,5.448453,20.47652
5.199396,5.262226,20.04632
7.075097,4.873279,21.66478
6.879226,4.840417,21.45939
6.257662,4.619298,20.96784
6.298999,4.486034,21.01239
6.160935,4.254785,20.88566
6.725709,4.538033,21.3187
6.400766,4.144187,20.99304
6.353271,3.939949,20.94274
5.947049,3.171731,20.57081
6.960124,4.555591,21.56242
6.867377,4.260646,21.4777
6.971397,4.354329,21.53341
6.774452,3.153924,21.23389
7.106049,4.558888,21.60747
7.109387,3.20282,21.13057
7.14796,4.732483,21.67801
7.308344,3.473064,21.23868
7.278707,4.069903,21.45484
7.299876,4.15852,21.541
7.419241,3.911294,21.52387
7.431641,4.159719,21.67635
7.201838,4.78091,21.74728
7.294671,4.783796,21.84173
7.153505,4.872167,21.73687
7.20905,4.923096,21.84318
7.430251,5.255126,22.27549
7.471867,5.478265,22.35515
7.271953,5.163319,21.95838
7.509624,5.763005,22.46721
